"Time","52 LDS cle","v2 L COP","v3 xCoM","v1 R COP","51 RDS cle","40 FRy (cm)","36 HRy (cm)","38 FLy (cm)","34 HLy (cm)","42a CoMy (cm)","42 CoMy (cm)","3 Platform","2 Trdml"
0.000,0,0.000000,5.130252,0.000000,0,4.187726,3.652791,5.771627,6.248295,-0.539004,5.159179,1.47644,0.09963
0.001,0,0.000000,5.128026,0.000000,0,4.188501,3.652187,5.769607,6.248762,-0.568397,5.158668,1.47385,0.09898
0.002,0,0.000000,5.126068,0.000000,0,4.189276,3.651584,5.767586,6.249228,-0.597790,5.158157,1.47522,0.10002
0.003,0,0.000000,5.124200,0.000000,0,4.190051,3.650980,5.765565,6.249694,-0.627182,5.157646,1.47575,0.10173
0.004,0,0.000000,5.122533,0.000000,0,4.190584,3.654049,5.763645,6.249077,-0.638966,5.156836,1.47697,0.10201
0.005,0,0.000000,5.120934,0.000000,0,4.191096,3.657429,5.761733,6.248368,-0.649260,5.156002,1.47675,0.10292
0.006,0,0.000000,5.119723,0.000000,0,4.191609,3.660808,5.759821,6.247659,-0.659554,5.155167,1.47606,0.10405
0.007,0,0.000000,5.118642,0.000000,0,4.192122,3.664187,5.757909,6.246951,-0.669849,5.154332,1.47568,0.10372
0.008,0,0.000000,5.118043,0.000000,0,4.193192,3.664873,5.755830,6.247434,-0.665880,5.153673,1.47720,0.10265
0.009,0,0.000000,5.117605,0.000000,0,4.194308,3.665332,5.753736,6.248017,-0.660704,5.153028,1.47491,0.10366
0.010,0,0.000000,5.117297,0.000000,0,4.195426,3.665791,5.751643,6.248601,-0.655528,5.152384,1.47537,0.10494
0.011,0,0.000000,5.117033,0.000000,0,4.196542,3.666249,5.749549,6.249185,-0.650353,5.151740,1.47804,0.10460
0.012,0,0.000000,5.116633,0.000000,0,4.193586,3.664732,5.747101,6.247387,-0.643256,5.150988,1.47758,0.10329
0.013,0,0.000000,5.116188,0.000000,0,4.190285,3.663048,5.744622,6.245388,-0.635996,5.150226,1.47385,0.10184
0.014,0,0.000000,5.115868,0.000000,0,4.186984,3.661364,5.742144,6.243388,-0.628737,5.149465,1.47621,0.10128
0.015,0,0.000000,5.115590,0.000000,0,4.183683,3.659680,5.739665,6.241388,-0.621478,5.148704,1.47751,0.10081
0.016,0,0.000000,5.115599,0.000000,0,4.178330,3.660511,5.737047,6.239983,-0.613857,5.148265,1.47568,0.10132
0.017,0,0.000000,5.115702,0.000000,0,4.172804,3.661555,5.734416,6.238628,-0.606205,5.147853,1.47690,0.10339
0.018,0,0.000000,5.115617,0.000000,0,4.167278,3.662598,5.731785,6.237274,-0.598553,5.147442,1.47743,0.10477
0.019,0,0.000000,5.115469,0.000000,0,4.161752,3.663642,5.729155,6.235919,-0.590901,5.147030,1.47415,0.10433
0.020,0,0.000000,5.114710,0.000000,0,4.162603,3.660847,5.726965,6.233851,-0.601751,5.146465,1.47614,0.10432
0.021,0,0.000000,5.113746,0.000000,0,4.163995,3.657727,5.724813,6.231724,-0.614166,5.145886,1.47453,0.10486
0.022,0,0.000000,5.112278,0.000000,0,4.165386,3.654607,5.722661,6.229596,-0.626582,5.145307,1.47621,0.10404
0.023,0,0.000000,5.110643,0.000000,0,4.166777,3.651488,5.720510,6.227468,-0.638997,5.144728,1.47705,0.10306
0.024,0,0.000000,5.108642,0.000000,0,4.166320,3.647560,5.719019,6.229839,-0.669659,5.144082,1.47614,0.10325
0.025,0,0.000000,5.106520,0.000000,0,4.165706,3.643564,5.717585,6.232590,-0.701866,5.143431,1.47514,0.10344
0.026,0,0.000000,5.103951,0.000000,0,4.165092,3.639568,5.716151,6.235340,-0.734072,5.142779,1.47827,0.10266
0.027,0,0.000000,5.101234,0.000000,0,4.164477,3.635572,5.714717,6.238091,-0.766279,5.142128,1.47690,0.10129
0.028,0,0.000000,5.097958,0.000000,0,4.160171,3.632344,5.713485,6.239021,-0.823707,5.141484,1.47491,0.10041
0.029,0,0.000000,5.094494,0.000000,0,4.155551,3.629180,5.712269,6.239797,-0.883270,5.140841,1.47461,0.09990
0.030,0,2.240788,5.090387,0.000000,0,4.150931,3.626017,5.711054,6.240573,-0.942832,5.140199,1.47202,0.09872
0.031,1,5.228505,5.086066,0.000000,0,4.146312,3.622854,5.709839,6.241349,-1.002395,5.139556,1.47598,0.09739
