"Time","v3 L COP","v2 R COP","47 RDS cle","45  R marks","39 FRx (cm)","35 HRx (cm)","48 LDS cle","46 L marks","37 FLx (cm)","33 HLx (cm)","v1 xCoM","3 Platform","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","42 CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","m3 RDS cle","m1 R marks","38 FLy (cm)","36 HRy (cm)","35a HRx (cm)","m4 LDS cle","m2 L marks","37a FLx (cm)","34 HLy (cm)","33a HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","11 Gr","10 Gs","9 TA","8 St","7 BF","6 Ip","5 VL","4 GM","2 Trdml","12 Sync","1 Synch"
0.000,0.000000,0.000000,1,0,19.718229,16.487648,1,0,18.095774,15.296470,5.269242,-0.00003,7.482359,0.692504,2.568397,5.139045,17.489500,5.073667,17.110489,1,0,6.486262,3.256566,-11.268279,1,0,-9.828521,5.560374,32.426212,172.159424,0,44.896412,91.754440,80.506531,8.803527,20.458324,8.556233,17.170624,8.563973,16.591591,8.696314,15.717273,9.643254,17.006914,10.796496,16.213299,11.224854,17.130213,-0.01844,-0.01373,-0.02051,0.00327,0.00831,-0.01235,0.00502,0.00358,0.10398,0,3.27710
0.001,0.000000,0.000000,1,0,19.733456,16.476637,1,0,18.085758,15.329814,5.275694,0.00013,7.483703,0.683022,2.639757,5.141911,17.490631,5.075072,16.097181,1,0,6.487023,3.256821,-11.373292,1,0,-9.808920,5.564626,32.605087,172.632965,0,44.391293,91.888611,80.906113,8.804786,20.471502,8.553116,17.157528,8.563446,16.580141,8.692714,15.704069,9.633044,16.998491,10.792099,16.213518,11.219328,17.129126,-0.02104,-0.01277,-0.02043,0.00341,0.00800,-0.01246,0.00543,0.00344,0.10655,0,3.27687
0.002,0.000000,0.000000,1,0,19.748682,16.465626,1,0,18.075743,15.363158,5.282195,0.00015,7.485046,0.673539,2.711116,5.144778,17.491762,5.076477,15.083873,1,0,6.487785,3.257077,-11.478306,1,0,-9.789320,5.568879,32.783958,173.106506,0,43.886173,92.022774,81.305695,8.806046,20.484678,8.549997,17.144432,8.562920,16.568691,8.689115,15.690866,9.622833,16.990067,10.787701,16.213739,11.213801,17.128040,-0.01573,-0.01544,-0.02192,0.00626,0.00817,-0.01257,0.00581,0.00242,0.10587,0,3.27737
0.003,0.000000,0.000000,1,0,19.763908,16.454615,1,0,18.065727,15.396503,5.288702,-0.00025,7.486389,0.664056,2.782475,5.147645,17.492893,5.077882,14.070564,1,0,6.488547,3.257332,-11.583319,1,0,-9.769720,5.573131,32.962833,173.580032,0,43.381054,92.156944,81.705276,8.807304,20.497854,8.546880,17.131336,8.562392,16.557241,8.685514,15.677662,9.612622,16.981644,10.783303,16.213959,11.208275,17.126953,-0.01980,-0.01458,-0.02133,0.00269,0.00890,-0.01262,0.00771,0.00266,0.10436,0,3.27806
0.004,0.000000,0.000000,1,0,19.777033,16.443184,1,0,18.055853,15.429989,5.294953,0.00010,7.490443,0.660997,2.849303,5.150495,17.496838,5.075525,13.092822,1,0,6.491206,3.259082,-11.690125,1,0,-9.729591,5.585423,33.061192,174.084274,0,42.896736,92.276009,82.054886,8.808623,20.517052,8.545236,17.119246,8.563550,16.547766,8.683514,15.666798,9.604465,16.975138,10.780338,16.215418,11.203948,17.127131,-0.01957,-0.01431,-0.02043,0.00281,0.01035,-0.01252,0.00393,0.00354,0.10374,0,3.27753
0.005,0.000000,0.000000,1,0,19.788532,16.431429,1,0,18.046083,15.463583,5.301170,-0.00015,7.496592,0.662903,2.912628,5.153332,17.502954,5.070260,12.142575,1,0,6.495332,3.261986,-11.798318,1,0,-9.673593,5.603930,33.097313,174.612259,0,42.428505,92.383408,82.365875,8.809989,20.540903,8.544732,17.107933,8.566011,16.539816,8.682749,15.657743,9.597895,16.970114,10.778481,16.217836,11.200550,17.128284,-0.01863,-0.01167,-0.02128,0.00159,0.00935,-0.01257,0.00759,0.00235,0.10414,0,3.27669
0.006,0.000000,0.000000,1,0,19.800032,16.419674,1,0,18.036316,15.497178,5.307156,0.00025,7.502740,0.664809,2.975953,5.156169,17.509071,5.064995,11.192327,1,0,6.499458,3.264890,-11.906510,1,0,-9.617594,5.622438,33.133434,175.140244,0,41.960274,92.490807,82.676857,8.811354,20.564754,8.544229,17.096621,8.568472,16.531866,8.681984,15.648687,9.591324,16.965090,10.776624,16.220255,11.197152,17.129438,-0.01936,-0.01385,-0.01989,0.00322,0.00844,-0.01164,0.00517,0.00405,0.10243,0,3.27688
0.007,0.000000,0.000000,1,0,19.811531,16.407919,1,0,18.026548,15.530772,5.313111,0.00010,7.508890,0.666715,3.039278,5.159006,17.515188,5.059730,10.242081,1,0,6.503583,3.267794,-12.014703,1,0,-9.561595,5.640945,33.169556,175.668228,0,41.492039,92.598206,82.987846,8.812719,20.588608,8.543724,17.085308,8.570933,16.523914,8.681219,15.639633,9.584754,16.960066,10.774767,16.222673,11.193754,17.130592,-0.01952,-0.01494,-0.02123,0.00358,0.00937,-0.01273,0.00652,0.00316,0.10015,0,3.27734
0.008,0.000000,0.000000,1,0,19.820879,16.395691,1,0,18.016874,15.564391,5.318948,-0.00013,7.509598,0.667066,3.092242,5.162109,17.520302,5.045237,9.347744,1,0,6.504827,3.270602,-12.129478,1,0,-9.492766,5.660511,33.119980,175.595688,0,41.207188,92.614594,83.223991,8.808122,20.583643,8.544445,17.076176,8.570757,16.515409,8.680891,15.630311,9.578229,16.954948,10.771908,16.223463,11.190081,17.131641,-0.01874,-0.01345,-0.02107,0.00367,0.00943,-0.01277,0.00517,0.00294,0.09914,0,3.27750
0.009,0.000000,0.000000,1,0,19.828560,16.383097,1,0,18.007273,15.598029,5.324769,0.00000,7.506102,0.666216,3.137196,5.165418,17.524639,5.023610,8.496630,1,0,6.503842,3.273336,-12.249343,1,0,-9.414019,5.680895,33.004158,175.058929,0,41.064098,92.560623,83.402275,8.798915,20.556404,8.546111,17.068731,8.568542,16.506474,8.680901,15.620784,9.571739,16.949759,10.768275,16.222994,11.186193,17.132610,-0.01834,-0.01379,-0.02145,0.00288,0.00923,-0.01124,0.00507,0.00255,0.09863,0,3.27757
0.010,0.000000,0.000000,1,0,19.836243,16.370504,1,0,17.997671,15.631667,5.330283,0.00013,7.502605,0.665366,3.182150,5.168727,17.528978,5.001984,7.645515,1,0,6.502858,3.276070,-12.369208,1,0,-9.335271,5.701280,32.888336,174.522171,0,40.921009,92.506660,83.580559,8.789708,20.529163,8.547778,17.061285,8.566328,16.497538,8.680910,15.611257,9.565249,16.944569,10.764642,16.222525,11.182305,17.133577,-0.01938,-0.01284,-0.02115,0.00302,0.01051,-0.01228,0.00717,0.00327,0.09831,0,3.27777
0.011,0.000000,0.000000,1,0,19.843925,16.357910,1,0,17.988070,15.665305,5.335756,-0.00013,7.499108,0.664516,3.227105,5.172036,17.533316,4.980357,6.794401,1,0,6.501873,3.278804,-12.489073,1,0,-9.256524,5.721664,32.772514,173.985413,0,40.777916,92.452690,83.758842,8.780500,20.501925,8.549444,17.053841,8.564114,16.488604,8.680920,15.601729,9.558760,16.939377,10.761008,16.222054,11.178417,17.134546,-0.01924,-0.01260,-0.02018,0.00320,0.00930,-0.01328,0.00580,0.00363,0.09912,0,3.27800
0.012,0.000000,0.000000,1,0,19.849739,16.345098,1,0,17.978865,15.698573,5.340670,0.00003,7.498003,0.670388,3.258122,5.175441,17.537382,4.963497,5.995645,1,0,6.499132,3.283352,-12.599015,1,0,-9.174006,5.744394,32.596420,173.778595,0,40.476498,92.368958,84.023109,8.773710,20.492853,8.551601,17.044809,8.564393,16.478552,8.681322,15.592286,9.551799,16.934708,10.756919,16.222231,11.175229,17.135262,-0.01782,-0.01174,-0.02245,0.00377,0.00839,-0.01131,0.00671,0.00268,0.10374,0,3.27774
0.013,0.000000,0.000000,1,0,19.854111,16.332119,1,0,17.969967,15.731556,5.345508,-0.00013,7.498745,0.681457,3.278365,5.178922,17.541239,4.950320,5.237364,1,0,6.495031,3.289302,-12.701287,1,0,-9.088572,5.768939,32.373734,173.826843,0,40.052681,92.262215,84.353844,8.768789,20.497828,8.554136,17.034552,8.566599,16.467636,8.682028,15.582908,9.544474,16.930441,10.752476,16.222904,11.172582,17.135782,-0.01784,-0.01210,-0.02043,0.00342,0.00729,-0.01160,0.00546,0.00455,0.10476,0,3.27736
0.014,0.000000,0.000000,1,0,19.858480,16.319141,1,0,17.961069,15.764539,5.349897,0.00018,7.499487,0.692526,3.298609,5.182402,17.545094,4.937143,4.479084,1,0,6.490932,3.295253,-12.803558,1,0,-9.003139,5.793483,32.151043,173.875076,0,39.628864,92.155472,84.684570,8.763867,20.502804,8.556672,17.024294,8.568806,16.456722,8.682734,15.573530,9.537148,16.926172,10.748034,16.223579,11.169933,17.136303,-0.01981,-0.01438,-0.02148,0.00458,0.00735,-0.01182,0.00708,0.00303,0.10448,0,3.27728
0.015,0.000000,0.000000,1,0,19.862850,16.306162,1,0,17.952171,15.797522,5.354226,-0.00003,7.500230,0.703595,3.318852,5.185883,17.548950,4.923966,3.720803,1,0,6.486832,3.301203,-12.905830,1,0,-8.917705,5.818028,31.928356,173.923325,0,39.205048,92.048729,85.015305,8.758946,20.507778,8.559208,17.014038,8.571012,16.445808,8.683439,15.564152,9.529823,16.921906,10.743591,16.224255,11.167286,17.136824,-0.01892,-0.01424,-0.02040,0.00244,0.00845,-0.01279,0.00583,0.00312,0.10495,0,3.27728
0.016,0.000000,0.000000,1,0,19.865580,16.293297,1,0,17.943438,15.829580,5.358318,0.00000,7.499990,0.703560,3.332687,5.189304,17.552177,4.916179,2.998308,1,0,6.485736,3.305425,-13.002935,1,0,-8.828333,5.841399,31.661930,173.492630,0,38.641907,92.013077,85.884865,8.755030,20.512365,8.561185,16.999836,8.570936,16.430746,8.688781,15.537250,9.516167,16.906008,10.738506,16.224573,11.164351,17.136820,-0.01802,-0.01297,-0.02111,0.00325,0.00961,-0.01246,0.00759,0.00341,0.10714,0,3.27680
