"Time","v3 L COP","v2 R COP","47 RDS cle","45  R marks","39 FRx (cm)","35 HRx (cm)","48 LDS cle","46 L marks","37 FLx (cm)","33 HLx (cm)","v1 xCoM","3 Platform","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","42 CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","m3 RDS cle","m1 R marks","38 FLy (cm)","36 HRy (cm)","35a HRx (cm)","m4 LDS cle","m2 L marks","37a FLx (cm)","34 HLy (cm)","33a HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","11 Gr","10 Gs","9 TA","8 St","7 BF","6 Ip","5 VL","4 GM","2 Trdml","12 Sync","1 Synch"
0.000,0.000000,0.000000,0,0,18.198011,14.708885,0,0,19.294645,15.016912,6.637172,-1.49153,7.542892,0.643688,1.997869,6.535605,17.143715,5.693453,-9.242358,0,0,7.049314,4.912112,23.019459,0,0,14.593985,7.208127,-9.203806,145.175781,0,45.587196,91.482780,89.222336,8.656073,18.607162,8.667148,15.699504,8.676238,15.213361,9.444763,14.154877,9.711714,15.732011,11.097455,15.534193,11.222325,16.502502,-0.01755,-0.01275,-0.01016,0.00352,0.00819,-0.01323,0.00200,0.00329,0.10124,0,3.27708
0.001,0.000000,0.000000,0,0,18.188934,14.731738,0,0,19.309250,15.007580,6.637770,-1.49106,7.544685,0.633602,1.973078,6.537591,17.145821,5.692874,-9.266398,0,0,7.057282,4.938931,23.923784,0,0,14.239267,7.207022,-9.220764,146.245667,0,45.532761,91.654762,88.582222,8.652935,18.602709,8.668783,15.701700,8.680265,15.245987,9.434926,14.178382,9.720368,15.752439,11.104410,15.542539,11.226534,16.508329,-0.01608,-0.01427,-0.01953,0.00335,0.00935,-0.01258,0.00728,0.00357,0.10192,0,3.27731
0.002,0.000000,0.000000,0,0,18.179794,14.755458,0,0,19.323666,14.998195,6.638132,-1.49208,7.544258,0.629545,1.943506,6.539610,17.148315,5.692037,-9.291018,0,0,7.065658,4.966256,24.820719,0,0,13.870937,7.206823,-9.234017,147.329681,0,45.914764,91.815666,88.147591,8.650274,18.599472,8.673836,15.700821,8.699245,15.241541,9.429008,14.197641,9.728078,15.769442,11.110995,15.551462,11.231025,16.514444,-0.01837,-0.01371,0.00834,0.00394,0.00841,-0.01283,0.00508,0.01023,0.10358,0,3.27736
0.003,0.000000,0.000000,0,0,18.170443,14.782012,0,0,19.337454,14.988640,6.638304,-1.49257,7.536560,0.645223,1.898281,6.541740,17.152082,5.690352,-9.317533,0,0,7.075364,4.995239,25.693457,0,0,13.458046,7.209583,-9.235145,148.460022,0,47.725460,91.940292,88.385597,8.649174,18.600225,8.690073,15.689871,8.767170,15.115739,9.435915,14.203002,9.732695,15.775231,11.116372,15.562279,11.236436,16.521494,-0.01854,-0.01343,-0.00649,0.00607,0.00898,-0.01383,0.00595,0.00091,0.10677,0,3.27721
0.004,0.000000,0.000000,0,0,18.161091,14.808567,0,0,19.351242,14.979086,6.638197,-1.49106,7.528862,0.660901,1.853056,6.543870,17.155851,5.688667,-9.344047,0,0,7.085070,5.024223,26.566193,0,0,13.045155,7.212343,-9.236272,149.590363,0,49.536156,92.064911,88.623604,8.648072,18.600979,8.706310,15.678921,8.835095,14.989936,9.442822,14.208363,9.737312,15.781021,11.121749,15.573095,11.241847,16.528545,-0.01761,-0.01273,-0.00482,0.00349,0.00909,-0.01346,0.00674,0.00155,0.10975,0,3.27724
0.005,0.000000,0.000000,0,0,18.151741,14.835122,0,0,19.365030,14.969531,6.637864,-1.49103,7.521163,0.676579,1.807831,6.546001,17.159618,5.686982,-9.370561,0,0,7.094776,5.053206,27.438929,0,0,12.632263,7.215104,-9.237399,150.720703,0,51.346848,92.189537,88.861618,8.646972,18.601732,8.722547,15.667970,8.903021,14.864134,9.449729,14.213723,9.741929,15.786811,11.127125,15.583912,11.247259,16.535595,-0.01693,-0.01366,-0.02843,0.00291,0.01203,-0.01215,0.00239,0.00372,0.10863,0,3.27746
0.006,0.000000,0.000000,0,0,18.142332,14.862454,0,0,19.378353,14.960077,6.637232,-1.49206,7.514781,0.688166,1.761460,6.547992,17.163874,5.686080,-9.394560,0,0,7.102767,5.080377,28.301006,0,0,12.204713,7.217410,-9.236341,151.131256,0,52.907642,92.682869,89.299583,8.645713,18.600855,8.731525,15.650811,8.942603,14.774730,9.450810,14.215737,9.745994,15.788152,11.132369,15.594555,11.253036,16.543215,-0.01888,-0.01304,-0.01880,0.00452,0.00804,-0.01287,0.00615,-0.00060,0.10782,0,3.27755
0.007,0.000000,0.000000,0,0,18.132740,14.892332,0,0,19.390150,14.950952,6.636358,-1.48987,7.512701,0.686359,1.711337,6.549529,17.169725,5.687742,-9.410326,0,0,7.105141,5.101616,29.128189,0,0,11.729177,7.218230,-9.228131,149.185593,0,53.650379,94.383194,90.392113,8.643937,18.594633,8.716742,15.613330,8.889405,14.804478,9.432820,14.206799,9.748249,15.774933,11.137177,15.604630,11.260009,16.552698,-0.01667,-0.01408,-0.02049,0.00200,0.00908,-0.01271,0.00611,0.00318,0.10737,0,3.27748
0.008,0.000000,0.000000,0,0,18.123146,14.922210,0,0,19.401947,14.941825,6.635369,-1.49066,7.510622,0.684553,1.661215,6.551065,17.175575,5.689403,-9.426091,0,0,7.107515,5.122856,29.955372,0,0,11.253641,7.219049,-9.219920,147.239914,0,54.393116,96.083519,91.484642,8.642161,18.588413,8.701959,15.575849,8.836207,14.834225,9.414829,14.197861,9.750504,15.761713,11.141986,15.614705,11.266982,16.562181,-0.01844,-0.01186,-0.02666,0.00456,0.00617,-0.01263,0.00578,0.00312,0.10599,0,3.27761
0.009,0.000000,0.000000,0,0,18.113554,14.952087,0,0,19.413742,14.932699,6.634289,-1.49230,7.508543,0.682746,1.611092,6.552602,17.181427,5.691064,-9.441856,0,0,7.109889,5.144095,30.782555,0,0,10.778106,7.219869,-9.211710,145.294235,0,55.135857,97.783844,92.577171,8.640386,18.582191,8.687175,15.538367,8.783010,14.863973,9.396839,14.188922,9.752759,15.748493,11.146794,15.624781,11.273955,16.571665,-0.01716,-0.01262,-0.01898,0.00231,0.00789,-0.01153,0.00701,0.00257,0.10254,0,3.27799
