"Time","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","42 CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","39 FRx (cm)","38 FLy (cm)","37 FLx (cm)","36 HRy (cm)","35 HRx (cm)","34 HLy (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","24a toex (cm)"
0.000,0,0,7.120282,1.023014,5.996448,14.041035,4.964613,15.744288,6.763855,14.718272,4.838423,11.065698,6.771404,12.891947,108.174004,0,98.946785,94.077805,89.794685,7.949702,16.280266,8.063222,11.292138,8.225148,10.796621,9.266758,10.794965,9.549026,12.572657,11.043433,12.443371,11.117868,13.341091,0,0.00226,0.00242,0.00101,0.00096,0.00061,0.00094,0.00091,0.00219,-1.48646,0.11262,3.27783,11.292138
0.001,0,0,7.121067,1.027379,5.994243,14.046307,4.964983,15.732310,6.761013,14.764270,4.836414,11.061327,6.772293,12.888611,108.223511,0,99.460762,94.000023,89.979431,7.950871,16.276033,8.067645,11.281023,8.236101,10.788010,9.271070,10.799535,9.547043,12.578244,11.041737,12.452225,11.117349,13.352868,0,0.00222,0.00258,0.00121,0.00097,0.00064,0.00095,0.00092,0.00232,-1.48544,0.11164,3.27818,11.281023
0.002,0,0,7.117946,1.020942,5.996771,14.055575,4.967318,15.720690,6.756583,14.806830,4.835419,11.056785,6.773406,12.876522,108.084831,0,100.162788,93.599983,89.783340,7.951142,16.268839,8.069194,11.274608,8.244632,10.782828,9.275270,10.810452,9.545054,12.590091,11.039255,12.458836,11.115134,13.361805,0,0.00220,0.00280,0.00138,0.00096,0.00063,0.00095,0.00088,0.00232,-1.48655,0.10964,3.27773,11.274608
0.003,0,0,7.113885,1.011905,6.000438,14.065805,4.970125,15.709155,6.751770,14.848564,4.834669,11.052201,6.774573,12.862326,107.900856,0,100.910072,93.122375,89.495583,7.951197,16.260931,8.070049,11.269323,8.252580,10.778472,9.279442,10.822896,9.543066,12.603443,11.036584,12.464907,11.112513,13.370058,0,0.00219,0.00293,0.00156,0.00093,0.00063,0.00094,0.00086,0.00238,-1.48811,0.10793,3.27729,11.269323
0.004,0,0,7.109824,1.002867,6.004104,14.076035,4.972932,15.697619,6.746958,14.890298,4.833918,11.047618,6.775740,12.848129,107.716873,0,101.657364,92.644775,89.207825,7.951252,16.253023,8.070906,11.264039,8.260528,10.774117,9.283615,10.835340,9.541078,12.616796,11.033914,12.470977,11.109891,13.378310,0,0.00213,0.00292,0.00169,0.00093,0.00064,0.00094,0.00086,0.00243,-1.49465,0.10964,3.27752,11.264039
0.005,0,0,7.105762,0.993830,6.007771,14.086266,4.975739,15.686085,6.742146,14.932032,4.833167,11.043034,6.776907,12.833933,107.532898,0,102.404655,92.167168,88.920067,7.951308,16.245113,8.071762,11.258755,8.268475,10.769760,9.287787,10.847785,9.539089,12.630149,11.031242,12.477048,11.107269,13.386563,0,0.00209,0.00292,0.00186,0.00088,0.00064,0.00093,0.00083,0.00243,-1.48646,0.11239,3.27774,11.258755
0.006,0,0,7.103850,0.996782,6.011342,14.093962,4.978815,15.675328,6.737240,14.983265,4.829213,11.041246,6.775467,12.823549,107.995781,0,102.810463,92.131615,88.920517,7.951827,16.241968,8.072734,11.253911,8.278946,10.766821,9.292938,10.854336,9.539459,12.637361,11.031911,12.487337,11.106039,13.396530,0,0.00200,0.00290,0.00192,0.00086,0.00064,0.00092,0.00082,0.00244,-1.48564,0.11249,3.27782,11.253911
0.007,0,0,7.102454,1.002619,6.014889,14.101048,4.981955,15.664761,6.732311,15.036784,4.824487,11.040131,6.773400,12.814083,108.614365,0,103.134071,92.202454,88.990341,7.952457,16.239969,8.073733,11.249173,8.290024,10.764223,9.298326,10.859468,9.540397,12.643094,11.033383,12.498641,11.105144,13.406910,0,0.00203,0.00315,0.00210,0.00084,0.00064,0.00091,0.00084,0.00251,-1.48578,0.11092,3.27787,11.249173
0.008,0,0,7.101059,1.008456,6.018436,14.108133,4.985095,15.654192,6.727382,15.090304,4.819761,11.039016,6.771332,12.804617,109.232948,0,103.457687,92.273293,89.060165,7.953088,16.237970,8.074733,11.244435,8.301102,10.761625,9.303712,10.864600,9.541334,12.648828,11.034856,12.509945,11.104248,13.417289,0,0.00212,0.00328,0.00225,0.00087,0.00064,0.00091,0.00083,0.00270,-1.48755,0.10970,3.27726,11.244435
0.009,0,0,7.099663,1.014294,6.021984,14.115220,4.988235,15.643624,6.722453,15.143824,4.815036,11.037901,6.769265,12.795152,109.851532,0,103.781296,92.344131,89.129990,7.953718,16.235970,8.075733,11.239698,8.312180,10.759027,9.309098,10.869733,9.542271,12.654562,11.036328,12.521249,11.103353,13.427669,0,0.00210,0.00346,0.00251,0.00090,0.00063,0.00096,0.00083,0.00309,-1.48536,0.10803,3.27667,11.239698
