"Time","v3 L COP","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","v2 R COP","49 RDS cle","39 FRx (cm)","38 FLy (cm)","36 HRy (cm)","35a HRx (cm)","35 HRx (cm)","50 LDS cle","48 L marks","37a FLx (cm)","37 FLx (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","42 CoMy (cm)","v1 xCoM","3 Platform","2 Trdml","1 Synch","24a toex (cm)"
0.000,0.000000,0,0,0,7.358624,1.300155,-1.510926,11.167967,4.271996,11.560637,0.000000,0,12.795210,5.645505,4.253124,-10.340664,9.427465,0,0,-10.555572,13.148769,7.210925,-10.027367,8.973254,166.484955,0,49.983200,84.846954,70.085831,7.583159,12.286484,8.167541,9.492400,8.237014,8.879487,8.459885,8.266618,9.359857,9.825478,10.586287,8.961864,10.846292,9.916345,0,0.00259,0.00163,0.00196,0.00300,0.00089,0.00241,0.00206,0.00124,5.530789,5.449170,1.47892,0.11265,3.27755,9.492400
0.001,0.000000,0,0,0,7.357912,1.308775,-1.492903,11.165229,4.272783,12.214043,0.000000,0,12.807597,5.644923,4.253986,-10.353817,9.416973,0,0,-10.526032,13.138493,7.214192,-9.990854,8.963077,166.593231,0,49.969265,85.031425,70.335274,6.909177,11.893895,8.167463,9.476635,8.236492,8.872693,8.459373,8.257998,9.360426,9.816233,10.589029,8.955722,10.850881,9.910092,0,0.00261,0.00164,0.00198,0.00298,0.00095,0.00245,0.00209,0.00127,5.529175,5.448474,1.47936,0.11205,3.27770,9.476635
0.002,0.000000,0,0,0,7.357199,1.317395,-1.474880,11.162491,4.273571,12.867449,0.000000,0,12.819984,5.644341,4.254848,-10.366969,9.406481,0,0,-10.496493,13.128216,7.217459,-9.954341,8.952898,166.701508,0,49.955330,85.215904,70.584717,6.235195,11.501307,8.167385,9.460869,8.235970,8.865899,8.458862,8.249377,9.360995,9.806987,10.591772,8.949581,10.855468,9.903839,0,0.00263,0.00166,0.00198,0.00308,0.00096,0.00245,0.00209,0.00128,5.527562,5.447888,1.47887,0.10915,3.27748,9.460869
0.003,0.000000,0,0,0,7.356487,1.326015,-1.456857,11.159753,4.274357,13.520855,0.000000,0,12.832372,5.643758,4.255710,-10.380122,9.395988,0,0,-10.466954,13.117939,7.220725,-9.917829,8.942720,166.809769,0,49.941399,85.400375,70.834160,5.561213,11.108719,8.167308,9.445104,8.235449,8.859105,8.458351,8.240757,9.361565,9.797742,10.594515,8.943439,10.860056,9.897587,0,0.00268,0.00167,0.00199,0.00315,0.00097,0.00247,0.00214,0.00129,5.525948,5.447257,1.47924,0.10700,3.27740,9.445104
0.004,0.000000,0,0,0,7.353662,1.319325,-1.445975,11.158998,4.281171,14.187615,0.000000,0,12.846703,5.647195,4.259367,-10.376590,9.385509,0,0,-10.453639,13.107548,7.222321,-9.882743,8.932954,166.553162,0,49.826859,85.331757,71.168472,5.512604,11.082493,8.167969,9.434184,8.235868,8.849118,8.464367,8.223930,9.357778,9.786426,10.594978,8.938394,10.861015,9.891435,0,0.00275,0.00169,0.00202,0.00325,0.00099,0.00250,0.00222,0.00133,5.524386,5.446489,1.48015,0.10982,3.27816,9.434184
0.005,0.000000,0,0,0,7.350679,1.311482,-1.435631,11.158391,4.288438,14.855381,0.000000,0,12.861179,5.650934,4.263234,-10.371801,9.375031,0,0,-10.441544,13.097147,7.223791,-9.847765,8.923218,166.269073,0,49.704746,85.244080,71.509171,5.511065,11.083841,8.168686,9.423629,8.236359,8.838891,8.470875,8.206487,9.353662,9.774955,10.595271,8.933431,10.861701,9.885290,0,0.00278,0.00171,0.00207,0.00331,0.00100,0.00260,0.00232,0.00135,5.522829,5.445635,1.47882,0.11107,3.27873,9.423629
0.006,0.000000,0,0,0,7.347695,1.303640,-1.425287,11.157784,4.295706,15.523147,0.000000,0,12.875657,5.654672,4.267101,-10.367013,9.364552,0,0,-10.429449,13.086746,7.225261,-9.812787,8.913482,165.985001,0,49.582638,85.156403,71.849869,5.509527,11.085191,8.169403,9.413074,8.236849,8.828664,8.477383,8.189043,9.349546,9.763483,10.595563,8.928468,10.862387,9.879146,0,0.00282,0.00174,0.00208,0.00352,0.00104,0.00263,0.00236,0.00135,5.521272,5.444518,1.48258,0.11077,3.27819,9.413074
0.007,0.000000,0,0,0,7.344711,1.295797,-1.414944,11.157178,4.302973,16.190912,0.000000,0,12.890134,5.658411,4.270968,-10.362225,9.354073,0,0,-10.417355,13.076345,7.226731,-9.777808,8.903747,165.700912,0,49.460526,85.068726,72.190567,5.507989,11.086540,8.170119,9.402519,8.237339,8.818437,8.483890,8.171598,9.345431,9.752011,10.595856,8.923504,10.863073,9.873001,0,0.00286,0.00176,0.00210,0.00361,0.00104,0.00267,0.00244,0.00135,5.519714,5.443288,1.47620,0.11111,3.27773,9.402519
0.008,0.000000,0,0,0,7.347332,1.293270,-1.420931,11.157918,4.301422,16.873234,0.000000,0,12.907659,5.654678,4.269668,-10.340960,9.343654,0,0,-10.397351,13.065843,7.225058,-8.567541,8.893944,165.811066,0,49.114166,85.149651,72.612717,6.180361,11.465819,8.170185,9.396732,8.237595,8.809721,8.485239,8.155579,9.340631,9.739302,10.595377,8.917453,10.865281,9.868852,0,0.00288,0.00175,0.00210,0.00382,0.00103,0.00269,0.00246,0.00135,5.518121,5.441711,1.47768,0.11039,3.27765,9.396732
0.009,0.000000,0,0,0,7.350375,1.291142,-1.428149,11.158759,4.299208,17.556650,0.000000,0,12.925413,5.650382,4.267979,-10.318454,9.333240,0,0,-10.376753,13.055332,7.223147,-7.268810,8.884136,165.950882,0,48.750927,85.243263,73.041000,6.903459,11.873546,8.170202,9.391305,8.237833,8.801119,8.486199,8.139666,9.335780,9.726499,10.594840,8.911319,10.867604,9.864853,0,0.00292,0.00175,0.00212,0.00403,0.00101,0.00271,0.00248,0.00137,5.516524,5.439982,1.47778,0.10787,3.27759,9.391305
