"Time","m2 FLl swoff","v2 R COP","49 RDS cle","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","m1 FLr swoff","39a FRx (cm)","39 FRx (cm)","38 FLy (cm)","36 HRy (cm)","m3 HLr swoff","35a HRx (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","48 L marks","37a FLx (cm)","37 FLx (cm)","m4 HLl swoff","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","42 CoMy (cm)","v1 xCoM","42a CoMy (cm)","3 Platform","2 Trdml","1 Synch","24a toex (cm)"
0.000,0,0.000000,0,0,0,0,7.162831,0.960685,7.717985,4.262429,0,-9.409288,9.718457,6.052254,4.200965,0,45.347279,5.009285,0.000000,0,0,36.649979,8.907177,0,6.113045,8.593244,6.442813,163.437653,0,83.496536,95.587738,102.673058,7.992486,9.938840,8.524606,2.777255,9.045577,2.850707,9.896317,3.021277,9.344607,4.733767,10.720093,5.330290,10.517486,6.395617,0,0.00121,0.00117,0.00138,0.00171,0.00065,0.00081,0.00096,0.00297,5.091924,4.771622,-5.955225,0.71832,0.27419,3.27711,2.573207
0.001,0,0.000000,0,0,0,0,7.171599,0.958472,7.738878,4.266476,0,-10.520965,9.707753,6.010808,4.157360,0,45.534027,5.055657,0.000000,0,0,38.148758,8.945515,0,6.075849,11.924252,6.418139,159.686707,0,80.533478,93.638771,101.525040,7.992277,9.909737,8.545787,2.782707,9.069125,2.950375,9.927436,3.091370,9.347128,4.794197,10.732555,5.366851,10.528600,6.423266,0,0.00116,0.00115,0.00111,0.00180,0.00066,0.00077,0.00078,0.00281,5.086879,4.769924,-5.899973,0.69347,0.27372,3.27697,2.650456
0.002,0,0.000000,0,0,0,0,7.180367,0.956259,7.759770,4.270523,0,-11.632641,9.697048,5.969361,4.113754,0,45.720772,5.102028,0.000000,0,0,39.647537,8.983852,0,6.038653,15.255260,6.393466,155.935776,0,77.570427,91.689804,100.377014,7.992067,9.880632,8.566967,2.788159,9.092673,3.050043,9.958556,3.161462,9.349648,4.854627,10.745018,5.403412,10.539713,6.450916,0,0.00112,0.00107,0.00098,0.00188,0.00067,0.00073,0.00071,0.00220,5.081833,4.767187,-5.844722,0.66889,0.27382,3.27735,2.727705
0.003,0,0.000000,0,0,0,0,7.187884,0.956357,7.779467,4.274587,0,-12.691542,9.685523,5.925854,4.073072,0,45.882401,5.148314,0.000000,0,0,41.125595,9.023079,0,6.005708,18.523287,6.379952,153.031830,0,74.600761,89.770561,99.153946,7.991744,9.850275,8.585391,2.817972,9.112344,3.151452,9.986084,3.231511,9.351337,4.915854,10.756830,5.439107,10.549586,6.479469,0,0.00107,0.00102,0.00081,0.00188,0.00067,0.00072,0.00068,0.00178,5.076827,4.763504,-5.801663,0.64969,0.27436,3.27756,2.817972
0.004,0,0.000000,0,0,0,0,7.188738,0.968766,7.792794,4.278738,0,-13.469193,9.669627,5.871373,4.047973,0,45.910156,5.194140,0.000000,0,0,42.493244,9.067040,0,5.995415,21.455677,6.425914,154.641586,0,71.595901,88.009727,97.530937,7.990809,9.813238,8.589124,2.977607,9.111349,3.262134,9.994467,3.301330,9.348596,4.981324,10.765180,5.470191,10.552854,6.512836,0,0.00105,0.00101,0.00075,0.00194,0.00066,0.00072,0.00069,0.00121,5.072028,4.758771,-5.823578,0.62303,0.27407,3.27748,2.977607
0.005,0,0.000000,0,0,0,0,7.189591,0.981175,7.806120,4.282889,0,-14.246845,9.653731,5.816891,4.022873,0,45.937912,5.239967,0.000000,0,0,43.860893,9.111002,0,5.985121,24.388065,6.471875,156.251343,0,68.591042,86.248894,95.907921,7.989876,9.776201,8.592855,3.137242,9.110354,3.372817,10.002849,3.371148,9.345854,5.046794,10.773529,5.501274,10.556121,6.546203,0,0.00096,0.00087,0.00073,0.00211,0.00065,0.00074,0.00066,0.00105,5.067228,4.753137,-5.845492,0.58319,0.27369,3.27755,3.137242
0.006,0,0.000000,0,0,0,0,7.190445,0.993583,7.819448,4.287040,0,-15.024497,9.637836,5.762409,3.997774,0,45.965668,5.285793,0.000000,0,0,45.228542,9.154963,0,5.974827,27.320456,6.517837,157.861099,0,65.586182,84.488060,94.284912,7.988942,9.739165,8.596588,3.296876,9.109360,3.483500,10.011231,3.440966,9.343112,5.112264,10.781878,5.532357,10.559388,6.579569,0,0.00081,0.00074,0.00072,0.00212,0.00066,0.00072,0.00064,0.00102,5.062429,4.746501,-5.867407,0.55161,0.27404,3.27786,3.296876
0.007,0,0.000000,0,0,0,0,7.191266,1.005777,7.835590,4.291745,0,-15.711246,9.621325,5.716178,3.972717,0,45.985085,5.331577,0.000000,0,0,46.553886,9.199906,0,5.959194,29.977077,6.563474,159.487305,0,62.481758,82.793648,92.660881,7.988830,9.703486,8.599539,3.462463,9.105962,3.599295,10.012985,3.511302,9.339720,5.180500,10.789536,5.562512,10.564638,6.611546,0,0.00081,0.00074,0.00070,0.00209,0.00065,0.00069,0.00065,0.00096,5.057663,4.739051,-5.899226,0.53105,0.27440,3.27796,3.462463
0.008,0,0.000000,0,0,0,0,7.191911,1.016825,7.866740,4.299397,0,-15.913559,9.601538,5.713915,3.947884,0,45.960060,5.377131,0.000000,0,0,47.653774,9.250079,0,5.915106,31.164097,6.607378,161.201157,0,58.846748,81.453201,91.031425,7.993095,9.675046,8.598327,3.659769,9.089758,3.742330,9.979411,3.584396,9.332861,5.263474,10.793510,5.587721,10.580461,6.636110,0,0.00079,0.00071,0.00069,0.00202,0.00066,0.00069,0.00064,0.00084,5.053077,4.730695,-5.983825,0.50578,0.27348,3.27773,3.659769
0.009,0,0.000000,0,0,0,0,7.192555,1.027873,7.897890,4.307050,0,-16.115871,9.581752,5.711652,3.923052,0,45.935040,5.422687,0.000000,0,0,48.753666,9.300251,0,5.871018,32.351116,6.651282,162.915024,0,55.211742,80.112755,89.401962,7.997361,9.646605,8.597116,3.857074,9.073554,3.885365,9.945838,3.657490,9.326002,5.346447,10.797483,5.612929,10.596283,6.660676,0,0.00077,0.00073,0.00069,0.00200,0.00064,0.00069,0.00057,0.00079,5.048491,4.721758,-6.068424,0.47973,0.27251,3.27744,3.857074
0.010,0,0.000000,0,0,0,0,7.193200,1.038921,7.929039,4.314703,0,-16.318186,9.561965,5.709389,3.898219,0,45.910019,5.468241,0.000000,0,0,49.853554,9.350423,0,5.826930,33.538136,6.695187,164.628891,0,51.576736,78.772308,87.772507,8.001626,9.618164,8.595903,4.054380,9.057350,4.028400,9.912265,3.730584,9.319143,5.429421,10.801456,5.638138,10.612105,6.685241,0,0.00076,0.00074,0.00068,0.00198,0.00064,0.00070,0.00056,0.00078,5.043904,4.712177,-6.153022,0.45539,0.27235,3.27706,4.054380
0.011,0,0.000000,0,0,0,0,7.194343,1.049466,7.958673,4.322285,0,-16.408049,9.542270,5.708736,3.867239,0,45.889576,5.513817,0.000000,0,0,50.889534,9.401317,0,5.803936,34.655537,6.737876,166.566498,0,48.105698,77.578117,86.131950,8.007868,9.589944,8.595861,4.251971,9.042608,4.170719,9.878493,3.804110,9.315547,5.513364,10.807285,5.665099,10.629262,6.708939,0,0.00075,0.00076,0.00066,0.00199,0.00065,0.00071,0.00056,0.00078,5.039243,4.702269,-6.240895,0.43118,0.27224,3.27680,4.251971
0.012,0,0.000000,0,0,0,0,7.198143,1.057327,7.980224,4.329487,0,-15.898652,9.523054,5.716668,3.803504,0,45.893532,5.559505,0.000000,0,0,51.584953,9.456059,0,5.893352,35.401939,6.774090,169.696442,0,45.508469,77.163330,84.432228,8.024638,9.562900,8.602056,4.451083,9.035660,4.309226,9.843664,3.879936,9.329339,5.602467,10.823001,5.701398,10.653534,6.728018,0,0.00074,0.00075,0.00067,0.00198,0.00064,0.00073,0.00054,0.00078,5.034182,4.691996,-6.346214,0.38505,0.27197,3.27672,4.451083
0.013,0,0.000000,0,0,0,0,7.201942,1.065187,8.001776,4.336689,0,-15.389256,9.503839,5.724599,3.739768,0,45.897488,5.605194,0.000000,0,0,52.280369,9.510799,0,5.982767,36.148346,6.810304,172.826401,0,42.911243,76.748535,82.732513,8.041409,9.535856,8.608249,4.650194,9.028710,4.447732,9.808835,3.955764,9.343132,5.691570,10.838717,5.737698,10.677805,6.747097,0,0.00073,0.00075,0.00066,0.00194,0.00064,0.00071,0.00054,0.00075,5.029121,4.681384,-6.451533,0.35663,0.27233,3.27679,4.650194
