"Time","m4 HLl swoff","v2 R COP","47 RDS cle","45 R marks","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","m1 FLr swoff","39a FRx (cm)","39 FRx (cm)","m3 HLr swoff","35a HRx (cm)","35 HRx (cm)","m2 FLl swoff","52 HLl swoff","51 HLr swoff","50 FLl swoff","49 FLr swoff","48 LDS cle","46 L marks","38 FLy (cm)","37a FLx (cm)","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","v3 L COP","42 CoMy (cm)","v1 xCoM","3 Platform","2 Trdml","1 Synch"
0.000,0,0.000000,1,0,7.530840,1.906227,-1.140593,16.241693,4.797258,0,15.679541,17.741957,0,-9.766045,14.099278,0,0,0,0,0,1,0,6.446554,-9.575041,17.288340,4.911069,7.126144,17.773432,15.549990,118.641426,64.134476,76.808441,79.408539,9.002181,18.593515,8.659982,14.744776,8.629860,14.230088,9.579798,13.634576,9.742154,15.125743,11.153762,14.627368,11.292118,15.499143,0,-0.01905,-0.01459,-0.02280,0.00144,0.00889,-0.01456,0.00802,0.00327,0.000000,6.088830,6.033958,-1.48692,0.11108,3.27760
0.001,0,0.000000,1,0,7.529529,1.913773,-1.120755,16.246521,4.795508,0,15.239470,17.757444,0,-9.766477,14.089239,0,0,0,0,0,1,0,6.446422,-9.559494,17.278643,4.912780,7.126247,17.309235,15.567476,118.349968,64.513885,76.666367,79.524612,9.004416,18.605539,8.659698,14.734983,8.629985,14.218363,9.583504,13.633018,9.741786,15.124636,11.152165,14.626619,11.293481,15.498545,0,-0.02021,-0.01143,-0.02100,0.00276,0.00964,-0.01357,0.00578,0.00327,0.000000,6.087491,6.033497,-1.48717,0.12095,3.27714
0.002,0,0.000000,1,0,7.530087,1.916620,-1.105140,16.249451,4.792832,0,14.800234,17.771900,0,-9.766110,14.079230,0,0,0,0,0,1,0,6.447104,-9.533186,17.268999,4.913517,7.124680,16.861303,15.583644,118.206169,64.721924,76.589249,79.769814,9.005685,18.613831,8.659468,14.725155,8.631798,14.205984,9.586923,13.629099,9.739839,15.121257,11.150540,14.626430,11.294352,15.497773,0,-0.01858,-0.01559,-0.02191,0.00187,0.00857,-0.01312,0.00711,0.00338,0.000000,6.086130,6.032924,-1.48718,0.12340,3.27717
0.003,0,0.000000,1,0,7.531750,1.916682,-1.092027,16.251257,4.789608,0,14.361494,17.785746,0,-9.765271,14.069240,0,0,0,0,0,1,0,6.448268,-9.500503,17.259392,4.913676,7.122123,16.423006,15.599031,118.149841,64.828453,76.550606,80.091499,9.006381,18.619911,8.659270,14.715304,8.634610,14.193219,9.590171,13.623780,9.736958,15.116531,11.148899,14.626572,11.294930,15.496898,0,-0.01842,-0.01485,-0.02068,0.00375,0.00898,-0.01446,0.00615,0.00392,0.000000,6.084757,6.032310,-1.48596,0.11885,3.27748
0.004,0,0.000000,1,0,7.533414,1.916744,-1.078914,16.253063,4.786384,0,13.922754,17.799591,0,-9.764432,14.059250,0,0,0,0,0,1,0,6.449432,-9.467819,17.249783,4.913835,7.119566,15.984708,15.614418,118.093513,64.934982,76.511963,80.413185,9.007078,18.625992,8.659074,14.705454,8.637423,14.180454,9.593418,13.618462,9.734076,15.111807,11.147258,14.626713,11.295507,15.496023,0,-0.01803,-0.01440,-0.02172,0.00351,0.00927,-0.01443,0.00617,0.00378,0.000000,6.083384,6.031528,-1.48585,0.10802,3.27739
0.005,0,0.000000,1,0,7.535078,1.916806,-1.065801,16.254869,4.783160,0,13.484015,17.813437,0,-9.763593,14.049259,0,0,0,0,0,1,0,6.450597,-9.435136,17.240173,4.913994,7.117009,15.546410,15.629806,118.037186,65.041512,76.473312,80.734871,9.007774,18.632072,8.658876,14.695603,8.640235,14.167689,9.596666,13.613144,9.731194,15.107081,11.145617,14.626855,11.296085,15.495148,0,-0.01837,-0.01461,-0.02228,0.00387,0.00917,-0.01385,0.00685,0.00475,0.000000,6.082010,6.030684,-1.49021,0.09818,3.27709
0.006,0,0.000000,1,0,7.536170,1.916945,-1.062423,16.256601,4.779502,0,13.047695,17.826275,0,-9.761961,14.039222,0,0,0,0,0,1,0,6.450479,-9.384248,17.230713,4.912770,7.112227,15.141928,15.644412,117.580070,65.183006,76.252541,80.885956,9.008173,18.636602,8.658755,14.685647,8.641856,14.157753,9.602512,13.610545,9.729372,15.105118,11.143970,14.626701,11.296029,15.494556,0,-0.01897,-0.01472,-0.02262,0.00395,0.00932,-0.01382,0.00663,0.00408,0.000000,6.080766,6.029614,-1.48951,0.08871,3.27693
0.007,0,0.000000,1,0,7.536923,1.917131,-1.064813,16.258289,4.775588,0,12.612810,17.838516,0,-9.759860,14.029156,0,0,0,0,0,1,0,6.449600,-9.322577,17.221340,4.910728,7.106127,14.757479,15.658556,116.885536,65.345207,75.923882,80.935974,9.008393,18.640211,8.658680,14.675627,8.642773,14.149493,9.609897,13.609557,9.728179,15.104791,11.142321,14.626373,11.295599,15.494132,0,-0.01961,-0.01290,-0.02297,0.00358,0.00788,-0.01241,0.00685,0.00399,0.000000,6.079599,6.028464,-1.48669,0.08832,3.27685
0.008,0,0.000000,1,0,7.537677,1.917316,-1.067202,16.259977,4.771674,0,12.177924,17.850760,0,-9.757759,14.019090,0,0,0,0,0,1,0,6.448722,-9.260906,17.211969,4.908685,7.100028,14.373028,15.672701,116.191002,65.507416,75.595215,80.986000,9.008615,18.643822,8.658604,14.665607,8.643689,14.141232,9.617281,13.608569,9.726985,15.104463,11.140671,14.626044,11.295168,15.493708,0,-0.01731,-0.01470,-0.02092,0.00280,0.00883,-0.01219,0.00674,0.00332,0.000000,6.078432,6.027138,-1.48799,0.09909,3.27697
0.009,0,0.000000,1,0,7.538431,1.917501,-1.069591,16.261667,4.767759,0,11.743039,17.863001,0,-9.755658,14.009024,0,0,0,0,0,1,0,6.447844,-9.199236,17.202597,4.906642,7.093928,13.988579,15.686845,115.496468,65.669617,75.266556,81.036026,9.008836,18.647432,8.658528,14.655587,8.644606,14.132972,9.624665,13.607581,9.725792,15.104136,11.139021,14.625716,11.294738,15.493283,0,-0.01969,-0.01183,-0.02137,0.00380,0.00823,-0.01415,0.00611,0.00361,0.000000,6.077264,6.025749,-1.48880,0.11633,3.27720
