"Time","v2 R COP","47 RDS cle","39 FRx (cm)","35 HRx (cm)","48 LDS cle","37 FLx (cm)","33 HLx (cm)","v3 L COP","42 CoMy (cm)","v1 xCoM","3 Platform","2 Trdml"
0.000,0.000000,1,17.741957,14.099278,1,17.288340,15.549990,0.000000,6.088830,6.033958,-1.48692,0.11108
0.001,0.000000,1,17.757444,14.089239,1,17.278643,15.567476,0.000000,6.087491,6.033497,-1.48717,0.12095
0.002,0.000000,1,17.771900,14.079230,1,17.268999,15.583644,0.000000,6.086130,6.032924,-1.48718,0.12340
0.003,0.000000,1,17.785746,14.069240,1,17.259392,15.599031,0.000000,6.084757,6.032310,-1.48596,0.11885
0.004,0.000000,1,17.799591,14.059250,1,17.249783,15.614418,0.000000,6.083384,6.031528,-1.48585,0.10802
0.005,0.000000,1,17.813437,14.049259,1,17.240173,15.629806,0.000000,6.082010,6.030684,-1.49021,0.09818
0.006,0.000000,1,17.826275,14.039222,1,17.230713,15.644412,0.000000,6.080766,6.029614,-1.48951,0.08871
0.007,0.000000,1,17.838516,14.029156,1,17.221340,15.658556,0.000000,6.079599,6.028464,-1.48669,0.08832
0.008,0.000000,1,17.850760,14.019090,1,17.211969,15.672701,0.000000,6.078432,6.027138,-1.48799,0.09909
0.009,0.000000,1,17.863001,14.009024,1,17.202597,15.686845,0.000000,6.077264,6.025749,-1.48880,0.11633
0.010,0.000000,1,17.874519,13.999115,1,17.193235,15.699978,0.000000,6.076131,6.024226,-1.48813,0.12540
0.011,0.000000,1,17.885607,13.989299,1,17.183880,15.712511,0.000000,6.075019,6.022655,-1.48571,0.11991
0.012,0.000000,1,17.896694,13.979482,1,17.174524,15.725045,0.000000,6.073907,6.020820,-1.48889,0.11137
0.013,0.000000,1,17.907782,13.969666,1,17.165171,15.737579,0.000000,6.072794,6.018888,-1.48929,0.10212
0.014,0.000000,1,17.917938,13.959952,1,17.156052,15.749403,0.000000,6.071566,6.016569,-1.48716,0.09066
0.015,0.000000,1,17.927546,13.950300,1,17.147072,15.760807,0.000000,6.070268,6.014110,-1.48906,0.07981
0.016,0.000000,1,17.937153,13.940647,1,17.138094,15.772210,0.000000,6.068970,6.011428,-1.48683,0.08852
0.017,0.000000,1,17.946760,13.930995,1,17.129114,15.783614,0.000000,6.067672,6.008667,-1.48895,0.11214
0.018,0.000000,1,17.955532,13.921342,1,17.120302,15.794242,0.000000,6.066414,6.005896,-1.48782,0.12392
0.019,0.000000,1,17.963806,13.911689,1,17.111588,15.804411,0.000000,6.065179,6.003121,-1.48855,0.12310
0.020,0.000000,1,17.972082,13.902036,1,17.102873,15.814580,0.000000,6.063944,6.000373,-1.48674,0.11843
0.021,0.000000,1,17.980358,13.892382,1,17.094158,15.824749,0.000000,6.062709,5.997633,-1.48915,0.10951
0.022,0.000000,1,17.987835,13.882697,1,17.085781,15.833671,0.000000,6.061401,5.994920,-1.48889,0.09822
0.023,0.000000,1,17.994837,13.872994,1,17.077606,15.841852,0.000000,6.060051,5.992216,-1.48731,0.08940
0.024,0.000000,1,18.001841,13.863291,1,17.069431,15.850034,0.000000,6.058701,5.989616,-1.48589,0.08467
0.025,0.000000,1,18.008842,13.853587,1,17.061256,15.858215,0.000000,6.057350,5.987053,-1.48704,0.09456
0.026,0.000000,1,18.015251,13.843863,1,17.053694,15.864960,0.000000,6.055987,5.984695,-1.48600,0.10892
0.027,0.000000,1,18.021307,13.834126,1,17.046492,15.870852,0.000000,6.054617,5.982412,-1.48692,0.12032
0.028,0.000000,1,18.027363,13.824389,1,17.039289,15.876746,0.000000,6.053247,5.980444,-1.48753,0.12413
0.029,0.000000,1,18.033419,13.814653,1,17.032089,15.882639,0.000000,6.051877,5.978590,-1.48859,0.11681
0.030,0.000000,1,18.038448,13.804994,1,17.025488,15.886963,0.000000,6.050512,5.977139,-1.48701,0.10818
0.031,0.000000,1,18.042871,13.795379,1,17.019245,15.890356,0.000000,6.049151,5.975834,-1.48697,0.09930
0.032,0.000000,1,18.047293,13.785765,1,17.013002,15.893750,0.000000,6.047790,5.974904,-1.48886,0.08840
0.033,0.000000,1,18.051716,13.776150,1,17.006760,15.897143,0.000000,6.046429,5.974109,-1.48713,0.07888
0.034,0.000000,1,18.055357,13.766703,1,17.001245,15.899302,0.000000,6.045126,5.973631,-1.48631,0.09152
0.035,0.000000,1,18.058537,13.757354,1,16.996164,15.900729,0.000000,6.043858,5.973269,-1.48779,0.11590
0.036,0.000000,1,18.061716,13.748005,1,16.991081,15.902156,0.000000,6.042590,5.973176,-1.48824,0.12489
0.037,0.000000,1,18.064896,13.738657,1,16.986000,15.903583,0.000000,6.041322,5.973181,-1.49576,0.12226
0.038,0.000000,1,18.067430,13.729332,1,16.981817,15.904622,0.000000,6.040125,5.973401,-1.48677,0.11598
