"Time","m4 HLl swoff","v2 R COP","47 RDS cle","45 R marks","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","m1 FLr swoff","39a FRx (cm)","39 FRx (cm)","m3 HLr swoff","35a HRx (cm)","35 HRx (cm)","m2 FLl swoff","52 HLl swoff","51 HLr swoff","50 FLl swoff","49 FLr swoff","48 LDS cle","46 L marks","38 FLy (cm)","37a FLx (cm)","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","v3 L COP","42 CoMy (cm)","v1 xCoM","3 Platform","2 Trdml","1 Synch"
0.000,0,0.000000,0,0,7.690320,2.093775,4.782909,17.815575,5.585293,0,-10.023664,18.811995,0,3.177701,15.642947,0,0,0,0,0,0,0,7.210390,3.278216,19.904131,4.997313,7.648983,-5.119203,15.013778,142.842606,14.115681,60.056274,94.123817,8.945149,19.671831,8.888223,16.248278,8.933784,15.767615,9.804863,14.891745,9.038720,16.181131,10.540237,16.201410,10.586013,17.014376,0,-0.02524,-0.01343,-0.01935,0.01384,0.00900,-0.01300,0.00824,-0.00084,0.000000,6.619412,6.850873,1.20862,0.11230,3.27699
0.001,0,0.000000,0,0,7.688544,2.093603,4.806860,17.814171,5.585053,0,-9.986114,18.801809,0,3.827024,15.644661,0,0,0,0,0,0,0,7.251103,3.551841,19.915726,4.995644,7.656530,-5.296760,15.010242,142.561371,14.488489,60.046440,94.377937,8.943876,19.664896,8.889840,16.238823,8.940228,15.754133,9.826132,14.888238,9.050124,16.171722,10.547794,16.203239,10.594660,17.014782,0,-0.01794,-0.01427,-0.02219,0.00177,0.00876,-0.01239,-0.01068,0.01743,0.000000,6.624124,6.856565,1.19760,0.10330,3.27668
0.002,0,0.000000,0,0,7.686768,2.093431,4.830811,17.812767,5.584814,0,-9.948563,18.791624,0,4.476347,15.646375,0,0,0,0,0,0,0,7.291816,3.825466,19.927320,4.993974,7.664077,-5.474317,15.006705,142.280121,14.861297,60.036606,94.632057,8.942602,19.657961,8.891457,16.229368,8.946671,15.740652,9.847401,14.884731,9.061528,16.162315,10.555350,16.205067,10.603306,17.015188,0,-0.01596,-0.01373,-0.02347,0.01123,0.00961,-0.01373,0.00931,-0.01480,0.000000,6.628836,6.861965,1.17966,0.09193,3.27645
0.003,0,0.000000,0,0,7.683804,2.091100,4.829136,17.810911,5.583762,0,-9.914762,18.781527,0,5.171713,15.650320,0,0,0,0,0,0,0,7.332950,3.932446,19.933125,4.992316,7.679099,-5.665349,15.003009,142.887115,15.256453,60.109520,94.646408,8.940111,19.647940,8.893084,16.216019,8.957214,15.724845,9.863983,14.881179,9.073208,16.155802,10.562964,16.206188,10.610782,17.014147,0,-0.02707,-0.01358,-0.03180,-0.00137,0.00833,-0.01193,0.03433,0.01239,0.000000,6.633531,6.866627,1.14893,0.08082,3.27651
0.004,0,0.000000,0,0,7.680093,2.087412,4.811352,17.808771,5.582200,0,-9.883321,18.771484,0,5.896023,15.655667,0,0,0,0,0,0,0,7.374350,3.934661,19.935289,4.990667,7.698819,-5.864850,14.999210,144.052490,15.665658,60.234459,94.510033,8.936855,19.635977,8.894717,16.200220,8.970336,15.707578,9.877619,14.877598,9.085059,16.151110,10.570615,16.206863,10.617520,17.012197,0,-0.02017,-0.01343,-0.02560,0.00095,0.00903,-0.01413,-0.00580,0.00027,0.000000,6.638214,6.871003,1.13403,0.08877,3.27674
0.005,0,0.000000,0,0,7.676382,2.083724,4.793567,17.806633,5.580637,0,-9.851880,18.761442,0,6.620334,15.661015,0,0,0,0,0,0,0,7.415749,3.936876,19.937452,4.989017,7.718539,-6.064352,14.995413,145.217880,16.074863,60.359394,94.373650,8.933599,19.624012,8.896350,16.184422,8.983457,15.690310,9.891255,14.874016,9.096911,16.146416,10.578265,16.207539,10.624260,17.010248,0,-0.02130,-0.01305,-0.01706,-0.02646,0.00830,-0.01160,0.00153,0.01759,0.000000,6.642897,6.874663,1.11526,0.11248,3.27692
0.006,0,0.000000,0,0,7.672671,2.080035,4.775783,17.804493,5.579074,0,-9.820438,18.751400,0,7.344645,15.666362,0,0,0,0,0,0,0,7.457149,3.939091,19.939615,4.987368,7.738259,-6.263854,14.991614,146.383255,16.484070,60.484333,94.237267,8.930343,19.612049,8.897984,16.168621,8.996578,15.673041,9.904891,14.870435,9.108764,16.141724,10.585916,16.208214,10.630999,17.008299,0,-0.01620,-0.01396,-0.01886,-0.00581,0.00861,-0.01430,0.00839,-0.00043,0.000000,6.647581,6.878044,1.09882,0.12426,3.27707
0.007,0,0.000000,0,0,7.670962,2.077973,4.741046,17.804451,5.576388,0,-9.798750,18.741497,0,8.080221,15.673519,0,0,0,0,0,0,0,7.479792,4.141256,19.941828,4.985413,7.747929,-6.442660,14.986089,147.518951,16.671204,60.255447,94.285271,8.926720,19.600151,8.900084,16.159565,9.007658,15.665034,9.919219,14.873473,9.116389,16.140430,10.593592,16.208908,10.638158,17.009329,0,-0.02036,-0.01328,-0.02139,-0.00104,0.00977,-0.01360,0.04227,0.00304,0.000000,6.652051,6.880771,1.08704,0.12284,3.27708
0.008,0,0.000000,0,0,7.670512,2.076933,4.695652,17.805729,5.572997,0,-9.783194,18.731682,0,8.822881,15.681816,0,0,0,0,0,0,0,7.490644,4.469121,19.944071,4.983265,7.751282,-6.608455,14.979476,148.635971,16.718727,59.804123,94.449196,8.922866,19.588295,8.902477,16.154745,9.017453,15.662849,9.933984,14.880674,9.121358,16.141275,10.601285,16.209616,10.645581,17.012228,0,-0.01382,-0.01358,-0.02704,0.00006,0.00891,-0.01479,-0.00702,0.00729,0.000000,6.656389,6.883243,1.06393,0.11762,3.27701
0.009,0,0.000000,0,0,7.670062,2.075893,4.650258,17.807007,5.569604,0,-9.767636,18.721867,0,9.565539,15.690112,0,0,0,0,0,0,0,7.501496,4.796986,19.946316,4.981118,7.754635,-6.774251,14.972864,149.753006,16.766251,59.352802,94.613113,8.919012,19.576439,8.904871,16.149925,9.027249,15.660664,9.948748,14.887876,9.126328,16.142120,10.608977,16.210321,10.653005,17.015129,0,-0.00293,-0.01289,-0.01389,-0.00070,0.00781,-0.01273,-0.01038,0.00899,0.000000,6.660727,6.885293,1.04407,0.10840,3.27698
