"Time","v3 L COP","v2 R COP","47 RDS cle","39 FRx (cm)","35 HRx (cm)","48 LDS cle","37 FLx (cm)","33 HLx (cm)","v1 xCoM","42 CoMy (cm)","3 Platform","2 Trdml"
0.000,0.000000,0.000000,1,16.829782,12.252037,1,16.371202,14.830838,5.096443,5.110960,-0.00005,0.08746
0.001,0.000000,0.000000,1,16.819681,12.272015,1,16.406425,14.828697,5.100134,5.110733,0.00011,0.08254
0.002,0.000000,0.000000,1,16.809467,12.293953,1,16.442844,14.825012,5.103576,5.110620,-0.00015,0.08512
0.003,0.000000,0.000000,1,16.799164,12.317409,1,16.480192,14.820133,5.106894,5.110598,0.00021,0.09349
0.004,0.000000,0.000000,1,16.788862,12.340863,1,16.517538,14.815254,5.110044,5.110576,-0.00011,0.10626
0.005,0.000000,0.000000,1,16.778561,12.364319,1,16.554886,14.810375,5.113111,5.110553,-0.00009,0.12048
0.006,0.000000,0.000000,1,16.768467,12.389312,1,16.593548,14.804140,5.116076,5.110681,-0.00015,0.12347
0.007,0.000000,0.000000,1,16.758533,12.415495,1,16.633226,14.796859,5.118988,5.110925,0.00032,0.12078
0.008,0.000000,0.000000,1,16.748602,12.441678,1,16.672903,14.789577,5.121772,5.111169,0.00021,0.11738
0.009,0.000000,0.000000,1,16.738668,12.467861,1,16.712582,14.782294,5.124493,5.111414,0.00006,0.11146
0.010,0.000000,0.000000,1,16.728889,12.495836,1,16.753139,14.774529,5.127053,5.111757,-0.00015,0.10322
0.011,0.000000,0.000000,1,16.719229,12.525197,1,16.794380,14.766390,5.129534,5.112176,-0.00015,0.09677
0.012,0.000000,0.000000,1,16.709568,12.554558,1,16.835619,14.758251,5.131910,5.112595,-0.00020,0.09118
0.013,0.000000,0.000000,1,16.699905,12.583919,1,16.876858,14.750113,5.134235,5.113014,-0.00015,0.08368
0.014,0.000000,0.000000,1,16.690081,12.614907,1,16.918531,14.742705,5.136499,5.113545,0.00000,0.07684
0.015,0.000000,0.000000,1,16.680130,12.647155,1,16.960541,14.735864,5.138734,5.114163,-0.00027,0.08424
0.016,0.000000,0.000000,1,16.670177,12.679402,1,17.002550,14.729022,5.140766,5.114781,-0.00009,0.10494
0.017,0.000000,0.000000,1,16.660227,12.711650,1,17.044559,14.722180,5.142699,5.115399,-0.00020,0.11828
0.018,0.000000,0.000000,1,16.650581,12.745232,1,17.087082,14.715308,5.144258,5.116118,-0.00005,0.12111
0.019,0.000000,0.000000,1,16.641172,12.779845,1,17.130003,14.708412,5.145631,5.116915,0.00006,0.12178
0.020,0.000000,0.000000,1,16.631763,12.814458,1,17.172922,14.701516,5.146563,5.117712,-0.00015,0.11984
0.021,0.000000,0.000000,1,16.622355,12.849072,1,17.215841,14.694620,5.147276,5.118508,0.00011,0.11310
0.022,0.000000,0.000000,1,16.612850,12.885395,1,17.258627,14.687345,5.147538,5.119236,-0.00006,0.10676
0.023,0.000000,0.000000,1,16.603273,12.923042,1,17.301308,14.679775,5.147578,5.119910,-0.00005,0.10092
0.024,0.000000,0.000000,1,16.593697,12.960690,1,17.343990,14.672206,5.147283,5.120584,0.00011,0.09300
0.025,0.000000,0.000000,1,16.584118,12.998337,1,17.386671,14.664637,5.146823,5.121259,-0.00005,0.08466
0.026,0.000000,0.000000,1,16.574638,13.037591,1,17.428492,14.656742,5.146150,5.121951,-0.00026,0.07928
0.027,0.000000,0.000000,1,16.565235,13.078087,1,17.469645,14.648598,5.145372,5.122658,-0.00005,0.08715
0.028,0.000000,0.000000,1,16.555832,13.118584,1,17.510799,14.640453,5.144340,5.123364,-0.00015,0.10391
0.029,0.000000,0.000000,1,16.546429,13.159081,1,17.551952,14.632309,5.143183,5.124072,0.00015,0.11288
0.030,0.000000,0.000000,1,16.537109,13.201263,1,17.591148,14.623829,5.141752,5.124450,-0.00015,0.11956
0.031,0.000000,0.000000,1,16.527855,13.244751,1,17.628830,14.615091,5.140187,5.124575,0.00000,0.12362
0.032,0.000000,0.000000,1,16.518600,13.288239,1,17.666512,14.606353,5.138638,5.124700,-0.00020,0.11909
0.033,0.000000,0.000000,1,16.509346,13.331726,1,17.704193,14.597615,5.137098,5.124825,-0.00026,0.11276
0.034,0.000000,0.000000,1,16.500174,13.376354,1,17.739290,14.588777,5.135885,5.124900,0.00005,0.10644
0.035,0.000000,0.000000,1,16.491062,13.421864,1,17.772387,14.579860,5.134834,5.124938,-0.00015,0.09800
0.036,0.000000,0.000000,1,16.481951,13.467374,1,17.805483,14.570943,5.134093,5.124974,-0.00026,0.08893
0.037,0.000000,0.000000,1,16.472841,13.512884,1,17.838579,14.562026,5.133505,5.125011,-0.00006,0.08231
0.038,0.000000,0.000000,1,16.463850,13.558586,1,17.868935,14.553144,5.133135,5.125101,0.00009,0.08556
0.039,0.000000,0.000000,1,16.454950,13.604438,1,17.897171,14.544289,5.132873,5.125231,-0.00015,0.09934
0.040,0.000000,0.000000,1,16.446053,13.650290,1,17.925407,14.535433,5.132828,5.125360,-0.00011,0.10973
0.041,0.000000,0.000000,1,16.437153,13.696141,1,17.953644,14.526578,5.132891,5.125490,-0.00006,0.11774
0.042,0.000000,0.000000,1,16.428482,13.741664,1,17.979639,14.517751,5.133171,5.125679,-0.00005,0.12383
0.043,0.000000,0.000000,1,16.419987,13.786932,1,18.003899,14.508947,5.133557,5.125913,0.00015,0.12073
0.044,0.000000,0.000000,1,16.411491,13.832200,1,18.028160,14.500143,5.134030,5.126147,-0.00015,0.11518
0.045,0.000000,0.000000,1,16.402996,13.877468,1,18.052420,14.491340,5.134545,5.126380,0.00021,0.10942
0.046,0.000000,0.000000,1,16.394791,13.921412,1,18.074305,14.482687,5.134997,5.126629,-0.00011,0.10116
0.047,0.000000,0.000000,1,16.386810,13.964334,1,18.094353,14.474153,5.135418,5.126889,0.00002,0.09186
0.048,0.000000,0.000000,1,16.378830,14.007255,1,18.114401,14.465617,5.135730,5.127148,-0.00021,0.08501
0.049,0.000000,0.000000,1,16.370850,14.050175,1,18.134447,14.457082,5.135989,5.127408,0.00011,0.08395
0.050,0.000000,0.000000,1,16.363260,14.091029,1,18.152479,14.448429,5.136131,5.127605,-0.00005,0.09338
0.051,0.000000,0.000000,1,16.355974,14.130286,1,18.168955,14.439686,5.136214,5.127755,-0.00015,0.10490
0.052,0.000000,0.000000,1,16.348686,14.169543,1,18.185429,14.430943,5.136204,5.127905,-0.00015,0.11552
0.053,0.000000,0.000000,1,16.341400,14.208800,1,18.201902,14.422198,5.136148,5.128055,-0.00006,0.12409
0.054,0.000000,0.000000,1,16.334148,14.246036,1,18.216469,14.413185,5.136022,5.128188,-0.00026,0.12177
0.055,0.000000,0.000000,1,16.326927,14.281706,1,18.229563,14.403964,5.135862,5.128307,-0.00011,0.11605
0.056,0.000000,0.000000,1,16.319704,14.317377,1,18.242655,14.394742,5.135610,5.128427,-0.00021,0.10995
0.057,0.000000,0.000000,1,16.312483,14.353047,1,18.255747,14.385521,5.135313,5.128546,-0.00015,0.10124
0.058,0.000000,0.000000,1,16.305637,14.386839,1,18.267143,14.376235,5.134889,5.128715,-0.00012,0.09142
0.059,0.000000,0.000000,1,16.299084,14.419179,1,18.277225,14.366899,5.134403,5.128922,-0.00032,0.08406
0.060,0.000000,0.000000,1,16.292528,14.451518,1,18.287310,14.357565,5.133753,5.129130,0.00000,0.08711
0.061,0.000000,0.000000,1,16.285975,14.483857,1,18.297392,14.348229,5.133021,5.129337,-0.00027,0.10201
0.062,0.000000,0.000000,1,16.280151,14.514498,1,18.305496,14.338774,5.132088,5.129509,0.00005,0.11402
0.063,0.000000,0.000000,1,16.274895,14.543824,1,18.312069,14.329225,5.131055,5.129654,0.00000,0.12127
0.064,0.000000,0.000000,1,16.269638,14.573151,1,18.318644,14.319675,5.129795,5.129798,0.00005,0.12385
0.065,0.000000,0.000000,1,16.264381,14.602477,1,18.325216,14.310127,5.128423,5.129942,-0.00026,0.11738
0.066,0.000000,0.000000,1,16.260233,14.630052,1,18.329987,14.300536,5.126801,5.129957,-0.00015,0.10985
0.067,0.000000,0.000000,1,16.256941,14.656272,1,18.333363,14.290913,5.125056,5.129872,0.00000,0.10276
0.068,0.000000,0.000000,1,16.253649,14.682491,1,18.336739,14.281290,5.123051,5.129787,-0.00009,0.09369
0.069,0.000000,0.000000,1,16.250357,14.708712,1,18.340113,14.271667,5.120918,5.129702,-0.00003,0.08432
0.070,0.000000,0.000000,1,16.248205,14.733093,1,18.342081,14.262187,5.118537,5.129433,-0.00015,0.08071
0.071,0.000000,0.000000,1,16.246937,14.756055,1,18.342962,14.252819,5.116035,5.129023,-0.00011,0.09327
0.072,0.000000,0.000000,1,16.245668,14.779016,1,18.343843,14.243450,5.113409,5.128613,-0.00031,0.11126
0.073,0.000000,0.000000,1,16.244400,14.801978,1,18.344725,14.234081,5.110722,5.128203,-0.00020,0.11786
0.074,0.000000,0.000000,1,16.244165,14.823137,1,18.344259,14.224854,5.108037,5.127757,-0.00020,0.12151
0.075,0.000000,0.000000,1,16.244732,14.842902,1,18.342756,14.215736,5.105353,5.127281,-0.00015,0.12246
0.076,0.000000,0.000000,1,16.245298,14.862667,1,18.341253,14.206619,5.102667,5.126805,-0.00020,0.11643
0.077,0.000000,0.000000,1,16.245865,14.882432,1,18.339750,14.197501,5.099981,5.126330,-0.00011,0.10986
0.078,1.975598,0.000000,1,16.248123,14.900250,1,18.337000,14.188480,5.097265,5.125767,-0.00015,0.10349
0.079,4.924253,0.000000,1,16.251690,14.916563,1,18.333286,14.179534,5.094534,5.125136,-0.00026,0.09471
0.080,5.897819,0.000000,1,16.255259,14.932877,1,18.329575,14.170588,5.091809,5.124505,-0.00021,0.08542
0.081,5.898579,0.000000,1,16.258825,14.949190,1,18.325861,14.161641,5.089087,5.123874,-0.00037,0.08123
0.082,5.899190,0.000000,1,16.264057,14.963906,1,18.321114,14.152828,5.086416,5.123061,0.00011,0.09364
0.083,5.899727,0.000000,1,16.270573,14.977389,1,18.315567,14.144117,5.083770,5.122108,0.00005,0.11288
0.084,5.900154,0.000000,1,16.277088,14.990871,1,18.310022,14.135406,5.081176,5.121153,-0.00021,0.12035
0.085,5.900527,0.000000,1,16.283604,15.004354,1,18.304476,14.126696,5.078608,5.120200,0.00015,0.12285
0.086,5.900939,0.000000,1,16.291821,15.016277,1,18.297804,14.118059,5.076097,5.119158,-0.00011,0.12099
0.087,5.901371,0.000000,1,16.301352,15.026997,1,18.290264,14.109481,5.073615,5.118049,0.00011,0.11262
0.088,5.901702,0.000000,1,16.310884,15.037716,1,18.282722,14.100902,5.071279,5.116939,0.00000,0.10452
0.089,5.901983,0.000000,1,16.320417,15.048434,1,18.275183,14.092322,5.069015,5.115829,-0.00015,0.09689
0.090,5.902018,0.000000,1,16.332150,15.057389,1,18.266836,14.084125,5.066975,5.114709,-0.00005,0.08728
0.091,5.901932,0.000000,1,16.345583,15.064981,1,18.257868,14.076222,5.065046,5.113580,0.00000,0.07994
0.092,5.901834,0.000000,1,16.359016,15.072571,1,18.248898,14.068319,5.063261,5.112452,0.00000,0.09178
0.093,5.901729,0.000000,1,16.372448,15.080162,1,18.239929,14.060416,5.061547,5.111322,-0.00018,0.11526
0.094,5.901846,0.000000,1,16.387733,15.085863,1,18.230215,14.052882,5.059851,5.110251,0.00027,0.12468
0.095,5.902072,0.000000,1,16.404451,15.090103,1,18.219925,14.045633,5.058163,5.109224,-0.00020,0.12315
0.096,5.902249,0.000000,1,16.421167,15.094343,1,18.209635,14.038383,5.056363,5.108197,0.00006,0.11850
0.097,5.902401,0.000000,1,16.437885,15.098583,1,18.199345,14.031135,5.054507,5.107170,-0.00015,0.11031
0.098,5.902162,0.000000,1,16.456507,15.100694,1,18.188747,14.024775,5.052452,5.106027,-0.00015,0.09943
0.099,5.901730,0.000000,1,16.476603,15.101160,1,18.177912,14.019102,5.050299,5.104796,-0.00011,0.09071
0.100,5.900939,0.000000,1,16.496698,15.101625,1,18.167074,14.013429,5.048057,5.103564,-0.00015,0.08737
0.101,5.899972,0.000000,1,16.516794,15.102091,1,18.156239,14.007756,5.045770,5.102333,-0.00017,0.09757
0.102,3.923269,0.000000,1,16.538280,15.100664,1,18.145477,14.003443,5.043514,5.101142,0.00005,0.11261
0.103,0.973443,0.000000,1,16.560841,15.097775,0,18.134775,14.000180,5.041273,5.099984,-0.00002,0.12193
0.104,0.000000,0.000000,1,16.583403,15.094884,0,18.124071,13.996918,5.038948,5.098826,0.00006,0.12443
0.105,0.000000,0.000000,1,16.605963,15.091994,0,18.113369,13.993655,5.036581,5.097668,0.00006,0.11630
0.106,0.000000,0.000000,1,16.629642,15.087596,0,18.102936,13.992072,5.034020,5.096260,-0.00026,0.10707
0.107,0.000000,0.000000,1,16.654188,15.082032,0,18.092712,13.991787,5.031364,5.094658,0.00000,0.09822
0.108,0.000000,0.000000,1,16.678734,15.076468,0,18.082487,13.991502,5.028749,5.093057,-0.00017,0.08766
0.109,0.000000,0.000000,1,16.703279,15.070905,0,18.072264,13.991217,5.026152,5.091455,-0.00015,0.08353
0.110,0.000000,0.000000,1,16.729300,15.064121,0,18.062325,13.992714,5.023857,5.089876,0.00002,0.10009
