"Time","m4 HLl swoff","45 R marks","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","m1 FLr swoff","39a FRx (cm)","v2 R COP","47 RDS cle","39 FRx (cm)","38 FLy (cm)","m3 HLr swoff","35a HRx (cm)","35 HRx (cm)","v3 L COP","48 LDS cle","46 L marks","m2 FLl swoff","37a FLx (cm)","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","42a CoMy (cm)","v1 xCoM","42 CoMy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,7.029221,1.426494,17.345308,3.397947,0,-10.086038,0.000000,0,18.332495,5.223145,0,9.616958,14.029341,0.000000,0,0,0,12.686791,19.715191,3.759171,6.129701,88.034363,15.432925,1.608963,4.708384,4.635579,103.630043,0,89.788338,85.157944,108.453972,8.239474,19.302662,8.196547,14.439045,8.421943,14.005353,9.492693,14.327595,9.084290,15.666701,10.271399,15.918626,10.360149,16.842737,0,-0.01654,-0.01239,-0.02061,0.00102,0.00851,-0.01352,0.00838,0.00304,-1.49457,0.11016,3.27725
0.001,0,0,7.029356,1.426522,17.346008,3.396765,0,-10.079980,0.000000,0,18.322397,5.221868,0,10.105222,14.038384,0.000000,0,0,0,11.040541,19.729290,3.757624,6.127120,77.495613,15.433948,1.579078,4.708581,4.637128,104.423012,0,90.065987,84.965500,108.323204,8.238609,19.292391,8.202378,14.427060,8.429041,14.002335,9.498900,14.332899,9.087197,15.670968,10.275478,15.921851,10.361847,16.844820,0,-0.01894,-0.01473,-0.02108,0.00529,0.00854,-0.01343,0.01198,0.00192,-1.49279,0.10034,3.27706
0.002,0,0,7.029553,1.426569,17.346416,3.394842,0,-10.067731,0.000000,0,18.312063,5.221714,0,10.596850,14.048108,0.000000,0,0,0,9.262037,19.742123,3.754900,6.126022,66.912117,15.434945,1.551844,4.708746,4.638558,105.494278,0,90.208046,84.639130,108.198647,8.238381,19.281517,8.208852,14.415464,8.437346,14.000694,9.507471,14.339396,9.089965,15.675639,10.279784,15.924936,10.364051,16.846678,0,-0.01868,-0.01293,0.01108,0.00198,0.00939,-0.01292,0.00256,-0.00900,-1.49393,0.08955,3.27668
0.003,0,0,7.029751,1.426615,17.346825,3.392919,0,-10.055483,0.000000,0,18.301727,5.221559,0,11.088479,14.057832,0.000000,0,0,0,7.483534,19.754955,3.752175,6.124924,56.328621,15.435943,1.524610,4.708950,4.639988,106.565544,0,90.350098,84.312767,108.074097,8.238153,19.270643,8.215325,14.403869,8.445650,13.999055,9.516042,14.345893,9.092733,15.680311,10.284090,15.928021,10.366256,16.848536,0,-0.01146,-0.01354,0.00491,-0.00020,0.00895,-0.01266,-0.00343,0.01062,-1.49321,0.07977,3.27665
0.004,0,0,7.029949,1.426661,17.347233,3.390996,0,-10.043234,0.000000,0,18.291391,5.221404,0,11.580108,14.067555,0.000000,0,0,0,5.705031,19.767786,3.749450,6.123827,45.745129,15.436940,1.497375,4.709173,4.641419,107.636810,0,90.492157,83.986397,107.949539,8.237926,19.259771,8.221799,14.392273,8.453955,13.997415,9.524612,14.352389,9.095501,15.684982,10.288396,15.931107,10.368460,16.850393,0,-0.02083,-0.01328,0.03366,0.00582,0.00901,-0.01202,0.00639,-0.00985,-1.49358,0.09068,3.27688
0.005,0,0,7.030017,1.427417,17.347530,3.390354,0,-10.023152,0.000000,0,18.281185,5.220189,0,12.071701,14.078665,0.000000,0,0,0,3.964194,19.779188,3.747009,6.122148,37.121258,15.437587,1.472155,4.709552,4.642899,108.824097,0,90.263245,83.582535,107.801033,8.237600,19.247988,8.228722,14.387245,8.463507,13.998938,9.537179,14.357816,9.099484,15.687542,10.292915,15.932981,10.370737,16.852495,0,-0.01743,-0.01345,-0.04245,0.00128,0.00846,-0.01186,0.00568,-0.01021,-1.49537,0.11359,3.27667
0.006,0,0,7.029982,1.428735,17.347740,3.390729,0,-9.996867,0.000000,0,18.271084,5.218133,0,12.563266,14.090872,0.000000,0,0,0,2.253193,19.789457,3.744792,6.120009,30.049631,15.437956,1.448529,4.710011,4.644418,110.103294,0,89.740471,83.117302,107.633553,8.237200,19.235483,8.236000,14.387421,8.474048,14.002966,9.552912,14.362394,9.104430,15.688429,10.297603,15.933897,10.373073,16.854792,0,-0.01830,-0.01482,0.04409,0.00272,0.00855,-0.01374,0.00746,-0.00195,-1.49426,0.12176,3.27614
0.007,0,0,7.029948,1.430053,17.347952,3.391104,0,-9.970581,0.000000,0,18.260981,5.216077,0,13.054831,14.103078,0.000000,0,0,1,0.542192,19.799726,3.742576,6.117870,22.978008,15.438324,1.424903,4.710459,4.645937,111.382492,0,89.217705,82.652061,107.466072,8.236798,19.222979,8.243279,14.387595,8.484589,14.006994,9.568645,14.366974,9.109376,15.689317,10.302290,15.934813,10.375407,16.857086,0,-0.02103,-0.01432,-0.03253,0.00449,0.00839,-0.01266,0.00894,0.00125,-1.50347,0.12381,3.27600
0.008,0,0,7.029913,1.431371,17.348162,3.391478,0,-9.944296,0.000000,0,18.250877,5.214022,0,13.546394,14.115285,0.000000,0,0,0,-1.168809,19.809996,3.740360,6.115731,15.906384,15.438693,1.401277,4.710903,4.647457,112.661690,0,88.694931,82.186829,107.298592,8.236398,19.210476,8.250557,14.387770,8.495130,14.011023,9.584377,14.371552,9.114322,15.690204,10.306977,15.935728,10.377743,16.859381,0,-0.01588,-0.01317,-0.01389,0.00172,0.00905,-0.01248,0.00654,0.00245,-1.49312,0.11796,3.27615
0.009,0,0,7.026486,1.431943,17.348227,3.391729,0,-9.917827,0.000000,0,18.240561,5.212246,0,14.033289,14.129004,0.000000,0,0,0,-2.639361,19.818892,3.730384,6.114338,10.795001,15.438785,1.374651,4.711145,4.648877,114.184402,0,87.534103,81.503044,107.137444,8.236891,19.199028,8.258354,14.396163,8.502967,14.025147,9.604231,14.378777,9.118934,15.691675,10.311824,15.936853,10.380195,16.861723,0,-0.01454,-0.01385,0.03370,0.00377,0.00778,-0.01236,0.00441,0.00383,-1.49241,0.10828,3.27652
0.010,0,0,7.020370,1.431925,17.348177,3.391881,0,-9.891213,0.000000,0,18.230076,5.210691,0,14.516484,14.143924,0.000000,0,0,0,-3.919450,19.826700,3.714261,6.113536,7.236356,15.438656,1.345649,4.711284,4.650220,115.900002,0,85.867851,80.646149,106.981323,8.238093,19.188419,8.266562,14.411065,8.508664,14.047270,9.627348,14.388096,9.123281,15.693610,10.316794,15.938147,10.382740,16.864100,0,-0.02157,-0.01377,-0.03704,0.00344,0.00820,-0.01277,0.00862,0.00269,-1.49420,0.09970,3.27706
0.011,1,0,7.014256,1.431906,17.348127,3.392033,0,-9.864600,0.000000,0,18.219589,5.209137,0,14.999680,14.158843,0.000000,0,0,0,-5.199539,19.834509,3.698139,6.112734,3.677710,15.438528,1.316646,4.711291,4.651563,117.615601,0,84.201607,79.789253,106.825195,8.239296,19.177811,8.274771,14.425968,8.514361,14.069392,9.650466,14.397415,9.127629,15.695545,10.321766,15.939439,10.385284,16.866478,0,-0.01580,-0.01410,0.04749,0.00615,0.00767,-0.01312,0.00566,0.00135,-1.49279,0.09146,3.27715
0.012,0,0,7.008140,1.431888,17.348078,3.392186,0,-9.837987,0.000000,0,18.209103,5.207583,0,15.482874,14.173761,0.000000,0,0,0,-6.479628,19.842318,3.682017,6.111932,0.119065,15.438399,1.287643,4.711232,4.652905,119.331200,0,82.535355,78.932358,106.669075,8.240499,19.167202,8.282980,14.440871,8.520059,14.091515,9.673583,14.406734,9.131977,15.697479,10.326737,15.940732,10.387830,16.868855,0,-0.01909,-0.01357,-0.02780,0.00100,0.00801,-0.01317,0.01494,0.00412,-1.49354,0.08484,3.27692
0.013,0,0,7.004899,1.431187,17.347719,3.393453,0,-9.813385,0.000000,0,18.198721,5.206229,0,15.957436,14.189979,0.000000,0,0,0,-7.516392,19.836580,3.665371,6.111639,-1.482479,15.438217,1.257854,4.711154,4.654181,123.531693,0,80.429352,78.608177,106.441078,8.241188,19.158875,8.291380,14.455908,8.524072,14.129736,9.689843,14.411016,9.139928,15.698492,10.331712,15.942591,10.391279,16.871572,0,-0.01887,-0.01383,-0.05687,0.00206,0.00709,-0.01485,0.00005,0.00649,-1.49437,0.09175,3.27682
