"Time","v3 L COP","v2 R COP","47 RDS cle","39 FRx (cm)","35 HRx (cm)","48 LDS cle","37 FLx (cm)","33 HLx (cm)","v1 xCoM","42 CoMy (cm)","3 Platform","2 Trdml"
0.000,0.000000,0.000000,0,18.388260,13.986464,0,19.620361,15.441133,4.708313,4.625939,-1.49333,0.08215
0.001,0.000000,0.000000,0,18.378538,13.992858,0,19.638472,15.435579,4.708019,4.627612,-1.49529,0.09722
0.002,0.000000,0.000000,0,18.368818,13.999253,0,19.656582,15.430025,4.707740,4.629285,-1.49377,0.11385
0.003,0.000000,0.000000,0,18.359035,14.007164,0,19.672647,15.430074,4.707834,4.630979,-1.49062,0.12537
0.004,0.000000,0.000000,0,18.349241,14.015347,0,19.688345,15.431126,4.707945,4.632677,-1.49181,0.12123
0.005,0.000000,0.000000,0,18.339447,14.023531,0,19.704044,15.432178,4.708199,4.634374,-1.49319,0.11519
0.006,0.000000,0.000000,0,18.329653,14.031714,0,19.719744,15.433230,4.708459,4.636072,-1.49492,0.10784
0.007,0.000000,0.000000,0,18.319401,14.041203,0,19.733011,15.434237,4.708629,4.637543,-1.49396,0.09691
0.008,0.000000,0.000000,0,18.309065,14.050928,0,19.745844,15.435234,4.708795,4.638973,-1.49355,0.08675
0.009,0.000000,0.000000,0,18.298729,14.060652,0,19.758677,15.436232,4.709015,4.640403,-1.49317,0.07690
0.010,0.000000,0.000000,0,18.288395,14.070375,0,19.771507,15.437229,4.709238,4.641834,-1.49358,0.10055
0.011,0.000000,0.000000,0,18.278255,14.082205,0,19.782167,15.437694,4.709685,4.643340,-1.49012,0.11665
0.012,0.000000,0.000000,0,18.268154,14.094411,0,19.792437,15.438063,4.710144,4.644859,-1.49325,0.12336
0.013,0.000000,0.000000,0,18.258051,14.106618,0,19.802706,15.438431,4.710588,4.646378,-1.49320,0.12329
0.014,0.000000,0.000000,0,18.247948,14.118824,0,19.812975,15.438800,4.711032,4.647897,-1.49558,0.11496
0.015,0.000000,0.000000,0,18.237520,14.133331,0,19.821157,15.438747,4.711185,4.649267,-1.49244,0.10569
0.016,0.000000,0.000000,0,18.227034,14.148251,0,19.828966,15.438619,4.711324,4.650609,-1.49768,0.09733
0.017,0.000000,0.000000,0,18.216547,14.163169,0,19.836775,15.438491,4.711274,4.651952,-1.49431,0.08906
0.018,0.000000,0.000000,0,18.206062,14.178088,0,19.844584,15.438362,4.711215,4.653295,-1.49548,0.08346
0.019,0.000000,0.000000,0,18.195736,14.194980,0,19.831806,15.438151,4.711128,4.654535,-1.49239,0.09751
0.020,0.000000,0.000000,0,18.185438,14.212224,0,19.815338,15.437926,4.711040,4.655756,-1.49182,0.11561
0.021,0.000000,0.000000,0,18.175140,14.229468,0,19.798870,15.437700,4.710837,4.656978,-1.49146,0.12649
0.022,0.000000,0.000000,0,18.164845,14.246713,0,19.782402,15.437475,4.710629,4.658200,-1.49339,0.12195
0.023,0.000000,0.000000,0,18.154781,14.266370,0,19.764971,15.437720,4.710189,4.659320,-1.49313,0.11121
0.024,0.000000,0.000000,0,18.144762,14.286460,0,19.747368,15.438050,4.709739,4.660423,-1.49222,0.10276
0.025,0.000000,0.000000,0,18.134743,14.306550,0,19.729763,15.438380,4.709137,4.661526,-1.49453,0.09226
