"Time","25 toey (cm)","17 Hipy (cm)"
0.000,8.659982,11.153762
0.001,8.659698,11.152165
0.002,8.659468,11.150540
0.003,8.659270,11.148899
0.004,8.659074,11.147258
0.005,8.658876,11.145617
0.006,8.658755,11.143970
0.007,8.658680,11.142321
0.008,8.658604,11.140671
0.009,8.658528,11.139021
0.010,8.658458,11.137341
0.011,8.658390,11.135642
0.012,8.658322,11.133944
0.013,8.658255,11.132245
0.014,8.658113,11.130511
0.015,8.657928,11.128757
0.016,8.657742,11.127003
0.017,8.657556,11.125248
0.018,8.657388,11.123580
0.019,8.657230,11.121963
0.020,8.657073,11.120346
0.021,8.656915,11.118729
0.022,8.656707,11.117172
0.023,8.656467,11.115653
0.024,8.656229,11.114133
0.025,8.655990,11.112614
0.026,8.655757,11.111087
0.027,8.655528,11.109555
0.028,8.655299,11.108024
0.029,8.655070,11.106492
0.030,8.654897,11.104970
0.031,8.654756,11.103452
0.032,8.654615,11.101934
0.033,8.654474,11.100416
0.034,8.654329,11.099011
0.035,8.654181,11.097673
0.036,8.654034,11.096336
0.037,8.653887,11.094998
0.038,8.653675,11.093836
0.039,8.653426,11.092778
0.040,8.653178,11.091721
0.041,8.652929,11.090663
0.042,8.652822,11.089770
0.043,8.652797,11.088975
0.044,8.652773,11.088181
0.045,8.652748,11.087386
0.046,8.652843,11.086737
0.047,8.653007,11.086174
0.048,8.653172,11.085611
0.049,8.653336,11.085049
0.050,8.653682,11.084671
0.051,8.654136,11.084402
0.052,8.654589,11.084133
0.053,8.655043,11.083864
0.054,8.655611,11.083772
0.055,8.656248,11.083783
0.056,8.656885,11.083795
0.057,8.657522,11.083806
0.058,8.658181,11.084157
0.059,8.658854,11.084709
0.060,8.659527,11.085260
0.061,8.660200,11.085813
0.062,8.660888,11.086639
0.063,8.661584,11.087630
0.064,8.662281,11.088620
0.065,8.662977,11.089611
0.066,8.663826,11.090863
0.067,8.664763,11.092271
0.068,8.665702,11.093678
0.069,8.666639,11.095085
0.070,8.667868,11.096811
0.071,8.669268,11.098725
0.072,8.670668,11.100640
0.073,8.672068,11.102554
0.074,8.673546,11.104795
0.075,8.675072,11.107227
0.076,8.676597,11.109659
0.077,8.678122,11.112092
0.078,8.679695,11.114774
0.079,8.681297,11.117602
0.080,8.682899,11.120431
0.081,8.684501,11.123260
0.082,8.686654,11.126378
0.083,8.689135,11.129668
0.084,8.691614,11.132959
0.085,8.694095,11.136250
0.086,8.696859,11.139834
0.087,8.699793,11.143592
0.088,8.702726,11.147350
0.089,8.705660,11.151108
0.090,8.708686,11.155178
0.091,8.711767,11.159434
0.092,8.714848,11.163690
0.093,8.717929,11.167946
0.094,8.721099,11.172350
0.095,8.724320,11.176841
0.096,8.727543,11.181333
0.097,8.730764,11.185823
0.098,8.733821,11.190389
0.099,8.736778,11.194999
0.100,8.739736,11.199608
0.101,8.742693,11.204217
0.102,8.745244,11.208891
0.103,8.747555,11.213604
0.104,8.749866,11.218317
0.105,8.752176,11.223030
0.106,8.754437,11.227798
0.107,8.756669,11.232598
0.108,8.758901,11.237398
0.109,8.761132,11.242199
0.110,8.764168,11.246997
0.111,8.767680,11.251794
0.112,8.771193,11.256591
0.113,8.774705,11.261389
0.114,8.778953,11.266245
0.115,8.783635,11.271137
0.116,8.788319,11.276029
0.117,8.793001,11.280921
0.118,8.798111,11.285759
0.119,8.803473,11.290566
0.120,8.808835,11.295373
0.121,8.814197,11.300179
0.122,8.820151,11.305004
0.123,8.826457,11.309840
