"Time","25 toey (cm)","17 Hipy (cm)"
0.000,8.691731,10.449907
0.001,8.691441,10.448104
0.002,8.691150,10.446301
0.003,8.690884,10.444485
0.004,8.690628,10.442665
0.005,8.690372,10.440845
0.006,8.690116,10.439025
0.007,8.689835,10.437233
0.008,8.689544,10.435451
0.009,8.689254,10.433669
0.010,8.688963,10.431887
0.011,8.688605,10.430248
0.012,8.688222,10.428661
0.013,8.687840,10.427074
0.014,8.687457,10.425487
0.015,8.687082,10.424068
0.016,8.686710,10.422709
0.017,8.686337,10.421351
0.018,8.685966,10.419992
0.019,8.685485,10.418903
0.020,8.684966,10.417910
0.021,8.684447,10.416917
0.022,8.683928,10.415924
0.023,8.683325,10.415205
0.024,8.682693,10.414585
0.025,8.682059,10.413964
0.026,8.681426,10.413344
0.027,8.680736,10.413024
0.028,8.680025,10.412812
0.029,8.679315,10.412601
0.030,8.678604,10.412389
0.031,8.677942,10.412482
0.032,8.677299,10.412686
0.033,8.676655,10.412890
0.034,8.676010,10.413095
0.035,8.675330,10.413663
0.036,8.674636,10.414363
0.037,8.673943,10.415063
0.038,8.673248,10.415763
0.039,8.672589,10.416611
0.040,8.671943,10.417510
0.041,8.671295,10.418410
0.042,8.670649,10.419311
0.043,8.669997,10.420383
0.044,8.669345,10.421517
0.045,8.668693,10.422652
0.046,8.668040,10.423787
0.047,8.667370,10.424963
0.048,8.666695,10.426155
0.049,8.666018,10.427346
0.050,8.665342,10.428537
0.051,8.664644,10.429732
0.052,8.663938,10.430928
0.053,8.663231,10.432125
0.054,8.662524,10.433321
0.055,8.661732,10.434591
0.056,8.660909,10.435889
0.057,8.660087,10.437186
0.058,8.659264,10.438484
0.059,8.658334,10.439846
0.060,8.657366,10.441232
0.061,8.656398,10.442617
0.062,8.655430,10.444002
0.063,8.654476,10.445456
0.064,8.653527,10.446932
0.065,8.652578,10.448408
0.066,8.651630,10.449884
0.067,8.650743,10.451439
0.068,8.649878,10.453022
0.069,8.649012,10.454604
0.070,8.648147,10.456187
0.071,8.647411,10.457834
0.072,8.646724,10.459504
0.073,8.646036,10.461174
0.074,8.645348,10.462845
0.075,8.644613,10.464600
0.076,8.643862,10.466385
0.077,8.643111,10.468170
0.078,8.642360,10.469956
0.079,8.641699,10.471763
0.080,8.641070,10.473576
0.081,8.640442,10.475389
0.082,8.639813,10.477203
0.083,8.639246,10.479120
0.084,8.638700,10.481073
0.085,8.638155,10.483027
0.086,8.637609,10.484981
0.087,8.637006,10.486960
0.088,8.636381,10.488950
0.089,8.635756,10.490939
0.090,8.635132,10.492929
0.091,8.634510,10.494944
0.092,8.633888,10.496967
0.093,8.633267,10.498991
0.094,8.632647,10.501016
0.095,8.632102,10.503015
0.096,8.631584,10.505005
0.097,8.631067,10.506996
0.098,8.630549,10.508986
0.099,8.630096,10.511096
0.100,8.629666,10.513248
0.101,8.629236,10.515401
0.102,8.628806,10.517553
0.103,8.628402,10.519767
0.104,8.628008,10.522002
0.105,8.627613,10.524237
0.106,8.627218,10.526472
0.107,8.626831,10.528751
0.108,8.626446,10.531046
0.109,8.626060,10.533340
0.110,8.625675,10.535635
0.111,8.625395,10.538000
0.112,8.625153,10.540391
0.113,8.624911,10.542781
0.114,8.624669,10.545172
0.115,8.624585,10.547586
0.116,8.624558,10.550009
0.117,8.624532,10.552432
0.118,8.624505,10.554854
0.119,8.624611,10.557380
0.120,8.624763,10.559942
0.121,8.624916,10.562505
0.122,8.625070,10.565067
0.123,8.625361,10.567761
0.124,8.625704,10.570503
0.125,8.626046,10.573246
0.126,8.626389,10.575988
0.127,8.626788,10.578803
0.128,8.627208,10.581646
0.129,8.627627,10.584488
0.130,8.628047,10.587330
0.131,8.628596,10.590401
0.132,8.629192,10.593553
0.133,8.629788,10.596705
0.134,8.630384,10.599857
0.135,8.631323,10.603112
0.136,8.632384,10.606403
0.137,8.633445,10.609694
0.138,8.634506,10.612985
0.139,8.636030,10.616597
0.140,8.637720,10.620325
0.141,8.639410,10.624054
0.142,8.641099,10.627782
0.143,8.642976,10.631720
0.144,8.644919,10.635734
0.145,8.646864,10.639747
0.146,8.648808,10.643761
0.147,8.651666,10.647919
0.148,8.654853,10.652127
0.149,8.658039,10.656337
0.150,8.661226,10.660546
0.151,8.664092,10.664672
0.152,8.666842,10.668768
0.153,8.669593,10.672864
0.154,8.672344,10.676960
0.155,8.674746,10.680963
0.156,8.677022,10.684931
0.157,8.679299,10.688899
0.158,8.681576,10.692867
0.159,8.683913,10.696695
0.160,8.686274,10.700472
0.161,8.688633,10.704249
0.162,8.690993,10.708026
0.163,8.694834,10.711633
0.164,8.699204,10.715178
0.165,8.703576,10.718722
0.166,8.707948,10.722267
0.167,8.713143,10.725700
0.168,8.718636,10.729095
0.169,8.724128,10.732489
0.170,8.729620,10.735883
0.171,8.736130,10.739141
0.172,8.743004,10.742350
0.173,8.749879,10.745559
0.174,8.756754,10.748768
0.175,8.764036,10.751830
0.176,8.771465,10.754841
0.177,8.778894,10.757851
0.178,8.786324,10.760861
0.179,8.793853,10.763597
0.180,8.801417,10.766236
0.181,8.808982,10.768874
0.182,8.816546,10.771513
0.183,8.821849,10.773927
0.184,8.826340,10.776259
0.185,8.830832,10.778593
0.186,8.835322,10.780926
0.187,8.839786,10.782998
0.188,8.844240,10.784977
0.189,8.848694,10.786956
0.190,8.853148,10.788934
0.191,8.857696,10.790573
0.192,8.862278,10.792091
0.193,8.866860,10.793609
0.194,8.871443,10.795127
0.195,8.876156,10.796310
0.196,8.880915,10.797375
0.197,8.885674,10.798439
0.198,8.890433,10.799503
0.199,8.895108,10.800107
0.200,8.899754,10.800546
0.201,8.904400,10.800983
0.202,8.909045,10.801422
0.203,8.914115,10.801325
0.204,8.919336,10.801036
0.205,8.924558,10.800746
0.206,8.929779,10.800457
0.207,8.934053,10.799855
0.208,8.937987,10.799140
0.209,8.941922,10.798426
0.210,8.945857,10.797711
0.211,8.948346,10.796779
0.212,8.950317,10.795767
0.213,8.952289,10.794756
0.214,8.954260,10.793745
0.215,8.955471,10.792504
0.216,8.956409,10.791181
0.217,8.957347,10.789857
0.218,8.958284,10.788533
0.219,8.958795,10.786826
0.220,8.959151,10.784981
0.221,8.959508,10.783136
0.222,8.959865,10.781291
0.223,8.958773,10.779285
0.224,8.957160,10.777223
0.225,8.955547,10.775159
0.226,8.953935,10.773096
0.227,8.951380,10.770755
0.228,8.948486,10.768314
0.229,8.945592,10.765873
0.230,8.942698,10.763433
0.231,8.938485,10.760574
0.232,8.933798,10.757567
0.233,8.929111,10.754560
0.234,8.924423,10.751554
0.235,8.918941,10.748095
0.236,8.913171,10.744473
0.237,8.907402,10.740850
0.238,8.901632,10.737228
0.239,8.895697,10.733286
0.240,8.889702,10.729230
0.241,8.883706,10.725173
0.242,8.877711,10.721117
0.243,8.873886,10.716780
0.244,8.870840,10.712342
0.245,8.867794,10.707905
0.246,8.864748,10.703466
0.247,8.861637,10.699013
0.248,8.858503,10.694553
0.249,8.855370,10.690093
0.250,8.852236,10.685634
0.251,8.848876,10.681065
0.252,8.845435,10.676457
0.253,8.841994,10.671850
0.254,8.838553,10.667243
0.255,8.834707,10.662634
0.256,8.830715,10.658023
0.257,8.826722,10.653412
0.258,8.822730,10.648801
0.259,8.818257,10.644232
0.260,8.813611,10.639677
0.261,8.808966,10.635122
0.262,8.804319,10.630568
0.263,8.799061,10.626164
0.264,8.793582,10.621816
0.265,8.788103,10.617467
0.266,8.782624,10.613118
0.267,8.777367,10.608836
0.268,8.772190,10.604578
0.269,8.767013,10.600320
0.270,8.761835,10.596062
0.271,8.758542,10.592020
0.272,8.755924,10.588056
0.273,8.753306,10.584091
0.274,8.750689,10.580127
0.275,8.749122,10.576390
0.276,8.747932,10.572734
0.277,8.746743,10.569078
0.278,8.745553,10.565422
0.279,8.744560,10.562114
0.280,8.743639,10.558929
0.281,8.742717,10.555745
0.282,8.741795,10.552561
0.283,8.740747,10.549584
0.284,8.739655,10.546682
0.285,8.738564,10.543780
0.286,8.737471,10.540877
0.287,8.736444,10.538253
0.288,8.735439,10.535727
0.289,8.734435,10.533201
0.290,8.733431,10.530675
0.291,8.732800,10.528568
0.292,8.732305,10.526610
0.293,8.731809,10.524653
0.294,8.731313,10.522696
0.295,8.731135,10.521215
0.296,8.731071,10.519904
0.297,8.731008,10.518594
0.298,8.730944,10.517283
0.299,8.730908,10.516317
0.300,8.730884,10.515474
0.301,8.730860,10.514632
0.302,8.730835,10.513789
0.303,8.730761,10.513175
0.304,8.730669,10.512642
0.305,8.730577,10.512109
0.306,8.730486,10.511576
0.307,8.730227,10.511040
0.308,8.729908,10.510503
0.309,8.729589,10.509966
0.310,8.729270,10.509430
0.311,8.728937,10.508962
0.312,8.728599,10.508517
0.313,8.728260,10.508074
0.314,8.727921,10.507630
0.315,8.727595,10.507204
0.316,8.727274,10.506785
0.317,8.726954,10.506366
0.318,8.726632,10.505946
0.319,8.726462,10.505407
0.320,8.726346,10.504826
0.321,8.726231,10.504243
0.322,8.726114,10.503661
0.323,8.726045,10.503017
0.324,8.725992,10.502351
0.325,8.725939,10.501684
0.326,8.725886,10.501018
0.327,8.725685,10.500237
0.328,8.725432,10.499414
0.329,8.725179,10.498592
0.330,8.724925,10.497770
0.331,8.724527,10.496840
0.332,8.724077,10.495872
0.333,8.723627,10.494905
0.334,8.723178,10.493937
0.335,8.722606,10.492838
0.336,8.721990,10.491693
0.337,8.721374,10.490548
0.338,8.720757,10.489404
0.339,8.720210,10.488163
0.340,8.719687,10.486888
0.341,8.719163,10.485612
0.342,8.718639,10.484337
0.343,8.718175,10.482964
0.344,8.717732,10.481556
0.345,8.717290,10.480147
0.346,8.716847,10.478740
0.347,8.716483,10.477296
0.348,8.716147,10.475840
0.349,8.715811,10.474382
0.350,8.715474,10.472926
0.351,8.715055,10.471371
0.352,8.714608,10.469780
0.353,8.714160,10.468189
0.354,8.713712,10.466598
0.355,8.713243,10.464943
0.356,8.712766,10.463265
0.357,8.712289,10.461587
0.358,8.711812,10.459909
0.359,8.711310,10.458176
0.360,8.710800,10.456422
0.361,8.710290,10.454668
0.362,8.709780,10.452914
0.363,8.709206,10.451101
0.364,8.708610,10.449266
0.365,8.708013,10.447431
0.366,8.707416,10.445596
0.367,8.707033,10.443830
0.368,8.706728,10.442091
0.369,8.706423,10.440351
0.370,8.706118,10.438612
0.371,8.705833,10.436874
0.372,8.705557,10.435137
0.373,8.705280,10.433400
0.374,8.705004,10.431664
