"Time","17 Hipy (cm)","25 toey (cm)"
0.000,10.846414,8.503209
0.001,10.850850,8.510472
0.002,10.854968,8.518201
0.003,10.858839,8.526289
0.004,10.862710,8.534377
0.005,10.866580,8.542464
0.006,10.870142,8.551201
0.007,10.873465,8.560437
0.008,10.876788,8.569674
0.009,10.880111,8.578911
0.010,10.883386,8.588301
0.011,10.886623,8.597809
0.012,10.889861,8.607316
0.013,10.893099,8.616824
0.014,10.896162,8.626414
0.015,10.899092,8.636067
0.016,10.902021,8.645720
0.017,10.904951,8.655375
0.018,10.907592,8.665115
0.019,10.910008,8.674925
0.020,10.912426,8.684733
0.021,10.914844,8.694543
0.022,10.917221,8.704181
0.023,10.919567,8.713687
0.024,10.921914,8.723194
0.025,10.924260,8.732700
0.026,10.926546,8.742032
0.027,10.928784,8.751230
0.028,10.931023,8.760427
0.029,10.933261,8.769625
0.030,10.935341,8.777805
0.031,10.937298,8.785199
0.032,10.939256,8.792593
0.033,10.941213,8.799987
0.034,10.943227,8.806465
0.035,10.945285,8.812237
0.036,10.947343,8.818008
0.037,10.949401,8.823780
0.038,10.951520,8.828861
0.039,10.953687,8.833407
0.040,10.955853,8.837955
0.041,10.958020,8.842501
0.042,10.960293,8.846371
0.043,10.962647,8.849717
0.044,10.965002,8.853064
0.045,10.967357,8.856410
0.046,10.969738,8.859193
0.047,10.972140,8.861540
0.048,10.974542,8.863886
0.049,10.976944,8.866233
0.050,10.979329,8.868028
0.051,10.981700,8.869394
0.052,10.984072,8.870762
0.053,10.986444,8.872129
0.054,10.988589,8.872467
0.055,10.990561,8.872009
0.056,10.992534,8.871552
0.057,10.994506,8.871094
0.058,10.996449,8.868726
0.059,10.998368,8.864882
0.060,11.000287,8.861036
0.061,11.002207,8.857192
0.062,11.004038,8.852307
0.063,11.005801,8.846620
0.064,11.007565,8.840931
0.065,11.009329,8.835243
0.066,11.010604,8.828286
0.067,11.011501,8.820350
0.068,11.012399,8.812413
0.069,11.013296,8.804477
0.070,11.013632,8.796344
0.071,11.013535,8.788059
0.072,11.013437,8.779776
0.073,11.013340,8.771491
0.074,11.012330,8.763126
0.075,11.010614,8.754700
0.076,11.008900,8.746273
0.077,11.007184,8.737846
0.078,11.004358,8.729310
0.079,11.000675,8.720690
0.080,10.996991,8.712070
0.081,10.993307,8.703449
0.082,10.988890,8.694780
0.083,10.983904,8.686074
0.084,10.978919,8.677368
0.085,10.973933,8.668661
0.086,10.968305,8.660051
0.087,10.962179,8.651515
0.088,10.956054,8.642979
0.089,10.949928,8.634443
0.090,10.943158,8.626149
0.091,10.935889,8.618044
0.092,10.928621,8.609939
0.093,10.921353,8.601833
0.094,10.913510,8.593798
0.095,10.905224,8.585817
0.096,10.896937,8.577836
0.097,10.888651,8.569856
0.098,10.879792,8.561813
0.099,10.870491,8.553723
0.100,10.861190,8.545634
0.101,10.851888,8.537544
0.102,10.842031,8.529488
0.103,10.831742,8.521456
0.104,10.821455,8.513425
0.105,10.811167,8.505393
0.106,10.800472,8.497857
0.107,10.789462,8.490704
0.108,10.778452,8.483550
0.109,10.767442,8.476397
0.110,10.756407,8.470698
0.111,10.745353,8.466125
0.112,10.734299,8.461553
0.113,10.723245,8.456980
0.114,10.712372,8.453377
0.115,10.701639,8.450524
0.116,10.690907,8.447673
0.117,10.680175,8.444820
0.118,10.670152,8.443140
0.119,10.660677,8.442367
0.120,10.651202,8.441592
0.121,10.641727,8.440819
0.122,10.633180,8.440095
0.123,10.625350,8.439410
0.124,10.617520,8.438725
0.125,10.609691,8.438041
0.126,10.602451,8.437443
0.127,10.595670,8.436911
0.128,10.588888,8.436379
0.129,10.582107,8.435848
0.130,10.575769,8.435352
0.131,10.569776,8.434884
0.132,10.563782,8.434415
0.133,10.557787,8.433947
0.134,10.552331,8.433517
0.135,10.547289,8.433116
0.136,10.542248,8.432714
0.137,10.537207,8.432314
0.138,10.532795,8.431948
0.139,10.528871,8.431608
0.140,10.524946,8.431269
0.141,10.521022,8.430929
0.142,10.517620,8.430576
0.143,10.514621,8.430212
0.144,10.511622,8.429848
0.145,10.508623,8.429483
0.146,10.506138,8.429129
0.147,10.504050,8.428782
0.148,10.501962,8.428433
0.149,10.499874,8.428086
0.150,10.498227,8.427802
0.151,10.496922,8.427567
0.152,10.495617,8.427331
0.153,10.494312,8.427095
0.154,10.493366,8.426954
0.155,10.492700,8.426888
0.156,10.492032,8.426821
0.157,10.491364,8.426754
0.158,10.491104,8.426761
0.159,10.491158,8.426825
0.160,10.491212,8.426888
0.161,10.491265,8.426953
0.162,10.491533,8.427040
0.163,10.491967,8.427145
0.164,10.492401,8.427251
0.165,10.492835,8.427356
0.166,10.493321,8.427470
0.167,10.493848,8.427591
0.168,10.494375,8.427713
0.169,10.494902,8.427835
0.170,10.495457,8.427937
0.171,10.496034,8.428023
0.172,10.496611,8.428109
0.173,10.497187,8.428196
0.174,10.497949,8.428211
0.175,10.498855,8.428171
0.176,10.499760,8.428132
0.177,10.500665,8.428092
0.178,10.501766,8.427964
0.179,10.503020,8.427769
0.180,10.504273,8.427573
0.181,10.505527,8.427378
0.182,10.506891,8.427133
0.183,10.508340,8.426848
0.184,10.509789,8.426563
0.185,10.511238,8.426279
0.186,10.512752,8.425958
0.187,10.514313,8.425608
0.188,10.515875,8.425258
0.189,10.517436,8.424908
0.190,10.519283,8.424614
0.191,10.521351,8.424365
0.192,10.523418,8.424115
0.193,10.525486,8.423865
0.194,10.527780,8.423630
0.195,10.530248,8.423404
0.196,10.532716,8.423179
0.197,10.535184,8.422953
0.198,10.537910,8.422633
0.199,10.540835,8.422242
0.200,10.543760,8.421850
0.201,10.546686,8.421459
0.202,10.549682,8.420977
0.203,10.552733,8.420424
0.204,10.555784,8.419872
0.205,10.558835,8.419320
0.206,10.562008,8.418714
0.207,10.565275,8.418063
0.208,10.568542,8.417414
0.209,10.571809,8.416763
0.210,10.575172,8.416050
0.211,10.578609,8.415287
0.212,10.582047,8.414524
0.213,10.585485,8.413761
0.214,10.588885,8.412886
0.215,10.592259,8.411923
0.216,10.595634,8.410961
0.217,10.599008,8.409999
0.218,10.602210,8.408998
0.219,10.605282,8.407969
0.220,10.608353,8.406940
0.221,10.611424,8.405911
0.222,10.614192,8.404986
0.223,10.616724,8.404140
0.224,10.619256,8.403295
0.225,10.621788,8.402450
0.226,10.623952,8.401675
0.227,10.625831,8.400958
0.228,10.627710,8.400240
0.229,10.629589,8.399522
0.230,10.631307,8.399275
0.231,10.632900,8.399391
0.232,10.634493,8.399508
0.233,10.636086,8.399625
0.234,10.637317,8.400087
0.235,10.638268,8.400817
0.236,10.639217,8.401547
0.237,10.640168,8.402277
0.238,10.640850,8.403600
0.239,10.641325,8.405379
0.240,10.641801,8.407160
0.241,10.642276,8.408939
0.242,10.642396,8.411113
0.243,10.642241,8.413591
0.244,10.642087,8.416069
0.245,10.641933,8.418547
0.246,10.641592,8.421564
