"Time","17 Hipy (cm)","25 toey (cm)"
0.000,10.250353,8.171198
0.001,10.253856,8.174678
0.002,10.257360,8.178157
0.003,10.261110,8.182943
0.004,10.264907,8.187963
0.005,10.268703,8.192983
0.006,10.272499,8.198003
0.007,10.276728,8.204255
0.008,10.281034,8.210729
0.009,10.285339,8.217202
0.010,10.289645,8.223676
0.011,10.294274,8.230832
0.012,10.298962,8.238111
0.013,10.303650,8.245389
0.014,10.308337,8.252667
0.015,10.313265,8.260735
0.016,10.318236,8.268943
0.017,10.323208,8.277151
0.018,10.328179,8.285360
0.019,10.333155,8.293860
0.020,10.338131,8.302412
0.021,10.343107,8.310965
0.022,10.348083,8.319517
0.023,10.352923,8.328705
0.024,10.357738,8.338006
0.025,10.362554,8.347307
0.026,10.367369,8.356608
0.027,10.372005,8.365790
0.028,10.376611,8.374951
0.029,10.381215,8.384112
0.030,10.385820,8.393273
0.031,10.390116,8.400822
0.032,10.394355,8.408081
0.033,10.398594,8.415339
0.034,10.402833,8.422599
0.035,10.406556,8.429102
0.036,10.410186,8.435470
0.037,10.413816,8.441837
0.038,10.417446,8.448205
0.039,10.420671,8.454434
0.040,10.423823,8.460639
0.041,10.426975,8.466843
0.042,10.430128,8.473047
0.043,10.432424,8.479334
0.044,10.434566,8.485635
0.045,10.436709,8.491936
0.046,10.438851,8.498237
0.047,10.440483,8.504427
0.048,10.442023,8.510597
0.049,10.443563,8.516768
0.050,10.445104,8.522938
0.051,10.445983,8.526241
0.052,10.446744,8.529032
0.053,10.447505,8.531822
0.054,10.448266,8.534613
0.055,10.448465,8.535869
0.056,10.448565,8.536848
0.057,10.448665,8.537828
0.058,10.448764,8.538809
0.059,10.448293,8.538767
0.060,10.447720,8.538542
0.061,10.447146,8.538318
0.062,10.446572,8.538093
0.063,10.445700,8.537239
0.064,10.444774,8.536273
0.065,10.443848,8.535307
0.066,10.442922,8.534341
0.067,10.441917,8.532495
0.068,10.440899,8.530490
0.069,10.439881,8.528485
0.070,10.438863,8.526481
0.071,10.437898,8.523976
0.072,10.436942,8.521382
0.073,10.435987,8.518788
0.074,10.435030,8.516194
0.075,10.434326,8.512700
0.076,10.433667,8.509044
0.077,10.433007,8.505387
0.078,10.432348,8.501732
0.079,10.431854,8.497688
0.080,10.431390,8.493575
0.081,10.430924,8.489462
0.082,10.430460,8.485350
0.083,10.430045,8.481095
0.084,10.429639,8.476816
0.085,10.429233,8.472536
0.086,10.428826,8.468257
0.087,10.428206,8.463457
0.088,10.427548,8.458564
0.089,10.426890,8.453671
0.090,10.426232,8.448777
0.091,10.424886,8.444049
0.092,10.423415,8.439349
0.093,10.421946,8.434650
0.094,10.420475,8.429952
0.095,10.418290,8.425202
0.096,10.415976,8.420444
0.097,10.413662,8.415685
0.098,10.411348,8.410926
0.099,10.408644,8.406216
0.100,10.405869,8.401513
0.101,10.403094,8.396811
0.102,10.400320,8.392109
0.103,10.397495,8.387473
0.104,10.394661,8.382849
0.105,10.391827,8.378224
0.106,10.388993,8.373600
0.107,10.386219,8.369275
0.108,10.383456,8.365003
