"Time","17 Hipy (cm)","25 toey (cm)"
0.000,10.467951,8.464458
0.001,10.465665,8.463009
0.002,10.463761,8.461335
0.003,10.461859,8.459662
0.004,10.459955,8.457990
0.005,10.458697,8.456055
0.006,10.457900,8.453933
0.007,10.457102,8.451811
0.008,10.456305,8.449689
0.009,10.456205,8.447598
0.010,10.456605,8.445528
0.011,10.457004,8.443458
0.012,10.457402,8.441387
0.013,10.458452,8.441593
0.014,10.459966,8.443419
0.015,10.461479,8.445247
0.016,10.462993,8.447073
0.017,10.464921,8.449735
0.018,10.467145,8.452991
0.019,10.469370,8.456247
0.020,10.471594,8.459504
0.021,10.474181,8.464061
0.022,10.477029,8.469543
0.023,10.479876,8.475027
0.024,10.482722,8.480510
0.025,10.486041,8.486292
0.026,10.489695,8.492287
0.027,10.493349,8.498282
0.028,10.497003,8.504277
0.029,10.500934,8.510242
0.030,10.505062,8.516187
0.031,10.509190,8.522132
0.032,10.513318,8.528076
0.033,10.517570,8.534628
0.034,10.521910,8.541612
0.035,10.526249,8.548596
0.036,10.530588,8.555580
0.037,10.534850,8.562944
0.038,10.539057,8.570580
0.039,10.543262,8.578215
0.040,10.547469,8.585850
0.041,10.551441,8.593559
0.042,10.555245,8.601322
0.043,10.559050,8.609085
0.044,10.562854,8.616849
0.045,10.566262,8.624188
0.046,10.569386,8.631227
0.047,10.572512,8.638265
0.048,10.575637,8.645303
0.049,10.578428,8.651048
0.050,10.580981,8.655870
0.051,10.583534,8.660694
0.052,10.586087,8.665517
0.053,10.588209,8.668415
0.054,10.590024,8.669942
0.055,10.591839,8.671469
0.056,10.593653,8.672996
0.057,10.594763,8.673314
0.058,10.595370,8.672771
0.059,10.595977,8.672230
0.060,10.596584,8.671687
0.061,10.596203,8.671158
0.062,10.595117,8.670638
0.063,10.594030,8.670117
0.064,10.592944,8.669597
0.065,10.590945,8.666804
0.066,10.588296,8.662393
0.067,10.585647,8.657981
0.068,10.582998,8.653569
0.069,10.579586,8.648292
0.070,10.575630,8.642397
0.071,10.571674,8.636502
0.072,10.567719,8.630608
0.073,10.563326,8.623289
0.074,10.558624,8.614956
0.075,10.553922,8.606623
0.076,10.549219,8.598289
0.077,10.544141,8.589572
0.078,10.538795,8.580581
0.079,10.533449,8.571589
0.080,10.528104,8.562598
0.081,10.522467,8.553580
0.082,10.516623,8.544543
0.083,10.510779,8.535507
0.084,10.504935,8.526470
0.085,10.498724,8.516711
0.086,10.492250,8.506439
0.087,10.485777,8.496166
0.088,10.479303,8.485893
0.089,10.472594,8.475108
0.090,10.465716,8.463958
0.091,10.458839,8.452807
0.092,10.451962,8.441657
0.093,10.444781,8.430506
0.094,10.437385,8.419353
0.095,10.429988,8.408202
0.096,10.422591,8.397050
0.097,10.414899,8.386372
0.098,10.406997,8.376031
0.099,10.399094,8.365689
0.100,10.391191,8.355349
