"Time","64 sinus 2","63 Ramp down","62 Ramp up","61 right DS","60 left DS","59 lHL swoff","58 lHL swon","57 rHL swoff","56 rHL swon","55 lFL swoff","54 lFL swon","53 rFL swoff","52 rFL swon","51 CoM peak","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,-0.01262,0.00402,-0.02124,-0.01453,0.00867,-0.01412,0.00575,0.00261,0.00015,0.10607,3.27720
0.001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,-0.01655,0.00382,-0.01977,-0.01379,0.00928,-0.01133,0.00334,0.00452,0.00015,0.06899,3.27715
0.002,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,-0.02551,0.00402,-0.02065,-0.00889,0.00726,-0.01475,0.00823,0.00266,-0.00015,0.06282,3.27730
0.003,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,-0.01970,0.00351,-0.01984,-0.01824,0.00906,-0.01308,0.00356,0.00450,-0.00015,0.11731,3.27740
0.004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,-0.02130,0.00350,-0.02073,-0.01332,0.00878,-0.01316,0.00444,0.00206,0.00015,0.09960,3.27710
0.005,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,-0.02498,0.00402,-0.02090,-0.01397,0.00838,-0.01407,0.00422,0.00229,0.00001,0.08617,3.27681
0.006,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,-0.02074,0.00401,-0.02232,-0.01290,0.00872,-0.01396,0.00334,0.00278,-0.00013,0.07463,3.27665
0.007,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,-0.02162,0.00285,-0.02006,-0.01470,0.00907,-0.01356,0.00650,0.00326,-0.00015,0.09305,3.27656
0.008,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,-0.01954,0.00362,-0.02028,-0.01542,0.00872,-0.01342,0.00490,0.00294,0.00000,0.09514,3.27694
0.009,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,-0.01021,0.00248,-0.02294,-0.01589,0.00945,-0.01111,0.00116,0.00289,0.00001,0.09609,3.27727
0.010,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,-0.00096,0.00331,-0.02135,-0.01358,0.00835,-0.01266,0.00710,0.00313,-0.00029,0.08650,3.27720
0.011,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.039673,69.180641,105.626900,57.725670,5.663508,15.809421,4.616132,15.681441,6.203803,17.578003,0,4.731334,14.248665,6.503139,11.822607,8.702961,15.616035,8.643693,14.422189,8.730839,13.833387,9.082745,13.353662,,,11.062597,14.075923,10.858483,14.855669,0,-0.00865,0.00370,-0.02028,-0.01039,0.00898,-0.01251,0.00308,0.00371,0.00044,0.07072,3.27710
0.012,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.200882,68.617889,105.276329,57.530140,5.669805,15.806551,4.617591,15.683901,6.203798,17.565153,0,4.725603,14.237991,6.501019,11.810420,8.713305,15.610529,8.644142,14.408307,8.729383,13.824512,9.088371,13.334406,,,11.061905,14.069568,10.857382,14.845330,0,-0.04023,0.00087,-0.02148,-0.01614,0.00828,-0.01266,0.00528,0.00448,0.00015,0.10420,3.27679
0.013,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.362076,68.055138,104.925766,57.334610,5.676101,15.803682,4.619050,15.686360,6.203794,17.552301,0,4.719871,14.227318,6.498898,11.798232,8.723648,15.605023,8.644592,14.394425,8.727929,13.815637,9.093997,13.315151,,,11.061213,14.063211,10.856280,14.834991,0,-0.00901,0.00494,-0.02116,-0.01222,0.00885,-0.01170,0.00402,0.00215,-0.00001,0.11524,3.27655
0.014,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.523285,67.492386,104.575195,57.139080,5.682397,15.800813,4.620508,15.688820,6.203789,17.539452,0,4.714139,14.216644,6.496777,11.786045,8.733991,15.599517,8.645042,14.380544,8.726474,13.806761,9.099624,13.295896,,,11.060520,14.056856,10.855178,14.824653,0,-0.02964,0.00249,-0.02040,-0.01542,0.00841,-0.01283,0.00557,0.00287,-0.00014,0.08731,3.27686
0.015,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.703522,66.957954,104.268143,56.978397,5.688147,15.797896,4.622387,15.690788,6.203573,17.526159,0,4.709222,14.206042,6.495200,11.774645,8.743777,15.594957,8.645445,14.367783,8.725104,13.798346,9.104201,13.277586,9.830238,14.448584,11.060195,14.050685,10.854221,14.814789,0,-0.01574,0.00458,-0.02020,-0.01373,0.00986,-0.01307,0.00560,0.00336,0.00015,0.07496,3.27715
0.016,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.020691,66.627335,104.274239,57.068508,5.689956,15.794636,4.627298,15.689216,6.201839,17.509689,0,4.710166,14.195957,6.497541,11.768910,8.749551,15.597212,8.645509,14.363080,8.724342,13.793244,9.101229,13.266078,9.830224,14.440301,11.062515,14.045837,10.854304,14.808344,0,-0.01674,0.00427,-0.02095,-0.01400,0.00814,-0.01274,0.00273,0.00373,0.00015,0.10133,3.27730
0.017,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.337845,66.296722,104.280342,57.158619,5.691765,15.791374,4.632209,15.687644,6.200105,17.493221,0,4.711112,14.185873,6.499883,11.763175,8.755325,15.599466,8.645574,14.358378,8.723581,13.788142,9.098256,13.254570,9.830210,14.432019,11.064835,14.040990,10.854387,14.801900,0,-0.02089,0.00362,-0.01892,-0.01252,0.00793,-0.01365,0.00991,0.00225,-0.00013,0.10596,3.27737
