"Time","61 right DS","60 left DS","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,1,0,0.000000,0.000000,5.710297,-0.988519,5.756379,5.137702,6.173184,4.716573,6.843931,0.00004,0.11127,3.27731
0.001,1,0,0.000000,0.000000,5.706930,-1.038693,5.755304,5.146487,6.173237,4.716486,6.860733,0.00013,0.08195,3.27716
0.002,1,0,0.000000,0.000000,5.703930,-1.065133,5.753917,5.156187,6.172949,4.716417,6.877247,0.00004,0.08546,3.27731
0.003,1,0,0.000000,0.000000,5.701135,-1.091572,5.752530,5.165887,6.172662,4.716349,6.893761,0.00025,0.10215,3.27736
0.004,1,0,0.000000,0.000000,5.698841,-1.118012,5.751143,5.175587,6.172375,4.716281,6.910274,0.00002,0.10525,3.27698
0.005,1,0,0.000000,0.000000,5.696785,-1.138202,5.749787,5.185362,6.172097,4.716228,6.926390,0.00015,0.11155,3.27661
0.006,1,0,0.000000,0.000000,5.695315,-1.134306,5.748554,5.195430,6.171859,4.716229,6.940970,0.00002,0.10124,3.27631
0.007,1,0,0.000000,0.000000,5.694067,-1.130409,5.747321,5.205497,6.171620,4.716231,6.955550,-0.00013,0.08305,3.27617
0.008,1,0,0.000000,0.000000,5.693371,-1.126512,5.746088,5.215564,6.171382,4.716232,6.970130,0.00042,0.08862,3.27670
0.009,1,0,0.000000,0.000000,5.692867,-1.117095,5.744868,5.225684,6.171179,4.716297,6.984321,0.00000,0.12007,3.27713
0.010,1,0,0.000000,0.000000,5.692838,-1.086396,5.743696,5.236007,6.171112,4.716604,6.997014,0.00015,0.11177,3.27713
0.011,1,0,0.000000,0.000000,5.692961,-1.055697,5.742524,5.246330,6.171044,4.716911,7.009706,0.00002,0.08339,3.27713
0.012,1,0,0.000000,0.000000,5.693459,-1.024998,5.741353,5.256653,6.170977,4.717218,7.022399,-0.00012,0.08610,3.27713
0.013,1,0,0.000000,0.000000,5.694064,-0.992647,5.740251,5.267086,6.170918,4.717502,7.034823,0.00029,0.10058,3.27718
0.014,1,0,0.000000,0.000000,5.694934,-0.953929,5.739421,5.277944,6.170893,4.717695,7.046211,0.00017,0.11185,3.27740
0.015,1,0,0.000000,0.000000,5.695858,-0.915211,5.738591,5.288802,6.170867,4.717889,7.057599,-0.00027,0.11120,3.27750
0.016,1,0,0.000000,0.000000,5.696916,-0.876492,5.737761,5.299659,6.170842,4.718082,7.068987,0.00029,0.09805,3.27704
0.017,1,0,0.000000,0.000000,5.697989,-0.836672,5.736929,5.310579,6.170786,4.718319,7.079944,0.00015,0.08060,3.27672
0.018,1,0,0.000000,0.000000,5.699102,-0.792605,5.736090,5.321738,6.170618,4.718728,7.089243,0.00002,0.10320,3.27695
0.019,1,0,0.000000,0.000000,5.700268,-0.748537,5.735250,5.332897,6.170449,4.719135,7.098542,0.00000,0.11907,3.27713
0.020,1,0,0.000000,0.000000,5.701560,-0.704469,5.734411,5.344057,6.170280,4.719543,7.107841,0.00013,0.10791,3.27713
0.021,1,0,0.000000,0.000000,5.702941,-0.660082,5.733648,5.355214,6.170280,4.719996,7.116357,0.00000,0.08364,3.27713
0.022,1,0,0.000000,0.000000,5.704538,-0.614465,5.733178,5.366367,6.170928,4.720625,7.121858,0.00032,0.08276,3.27713
0.023,1,0,0.000000,0.000000,5.706165,-0.568847,5.732707,5.377519,6.171577,4.721253,7.127359,0.00002,0.11041,3.27712
0.024,1,0,0.000000,0.000000,5.707863,-0.523230,5.732237,5.388672,6.172225,4.721881,7.132860,0.00013,0.10242,3.27704
0.025,1,0,0.000000,0.000000,5.709541,-0.476294,5.731735,5.399800,6.172771,4.722477,7.137533,0.00004,0.10773,3.27701
0.026,1,0,0.000000,0.000000,5.711168,-0.424277,5.731112,5.410835,6.172919,4.722950,7.139013,-0.00023,0.09194,3.27716
0.027,1,0,0.000000,0.000000,5.712885,-0.372259,5.730488,5.421870,6.173067,4.723422,7.140493,-0.00013,0.07307,3.27730
0.028,1,0,0.000000,0.000000,5.714824,-0.320242,5.729864,5.432904,6.173214,4.723894,7.141973,0.00000,0.11916,3.27737
0.029,1,0,0.000000,0.000000,5.716959,-0.266576,5.729363,5.443913,6.173373,4.724360,7.142912,0.00002,0.11376,3.27739
0.030,1,0,0.000000,0.000000,5.719579,-0.206559,5.729338,5.454820,6.173573,4.724804,7.141761,0.00017,0.09503,3.27716
0.031,1,0,0.000000,0.000000,5.722278,-0.146543,5.729312,5.465726,6.173773,4.725248,7.140610,0.00000,0.08587,3.27699
0.032,1,0,0.000000,0.000000,5.725169,-0.086526,5.729287,5.476634,6.173973,4.725692,7.139460,0.00002,0.10628,3.27707
0.033,1,0,0.000000,0.000000,5.727999,-0.027075,5.729266,5.487410,6.174162,4.726191,7.137943,0.00013,0.11738,3.27710
0.034,1,0,0.000000,0.000000,5.730678,0.030196,5.729264,5.497686,6.174307,4.726902,7.135014,0.00015,0.09975,3.27695
0.035,1,0,0.000000,0.738320,5.733348,0.087466,5.729262,5.507962,6.174453,4.727612,7.132085,-0.00031,0.08346,3.27684
0.036,1,0,0.000000,3.301930,5.735995,0.144736,5.729259,5.518237,6.174598,4.728322,7.129156,-0.00002,0.08197,3.27692
0.037,1,0,0.000000,5.128638,5.738705,0.201048,5.729337,5.528275,6.174733,4.728984,7.126045,-0.00012,0.10315,3.27701
0.038,1,0,0.000000,5.133561,5.741571,0.253666,5.729722,5.537395,6.174826,4.729460,7.122233,0.00002,0.11077,3.27716
0.039,1,0,0.000000,5.138417,5.744420,0.306285,5.730107,5.546515,6.174920,4.729936,7.118422,-0.00008,0.09265,3.27718
0.040,1,0,0.000000,5.143108,5.747225,0.358903,5.730492,5.555634,6.175013,4.730412,7.114610,0.00027,0.07099,3.27664
0.041,1,0,0.000000,5.147807,5.749917,0.408156,5.730914,5.564631,6.175061,4.730964,7.110774,0.00015,0.11208,3.27626
0.042,1,0,0.000000,5.152524,5.752326,0.444435,5.731478,5.573152,6.174933,4.731806,7.106840,0.00013,0.10552,3.27649
0.043,1,0,0.000000,5.157222,5.754653,0.480715,5.732043,5.581672,6.174806,4.732648,7.102906,0.00004,0.09289,3.27676
0.044,1,0,0.000000,5.161874,5.756771,0.516994,5.732608,5.590193,6.174678,4.733490,7.098973,0.00002,0.09292,3.27722
0.045,1,0,0.000000,5.166453,5.758855,0.551243,5.733196,5.598483,6.174738,4.734358,7.095336,0.00017,0.06802,3.27751
0.046,1,0,0.000000,5.170855,5.760858,0.577668,5.733876,5.605884,6.175521,4.735327,7.092844,0.00000,0.11758,3.27713
0.047,1,0,0.000000,5.175140,5.762810,0.604093,5.734556,5.613285,6.176303,4.736297,7.090352,0.00013,0.10694,3.27684
0.048,1,0,0.000000,5.179142,5.764641,0.630517,5.735236,5.620686,6.177086,4.737266,7.087860,0.00004,0.09077,3.27692
0.049,1,0,0.000000,5.183001,5.766400,0.655433,5.735905,5.627829,6.177831,4.738120,7.085804,-0.00002,0.07989,3.27698
0.050,1,0,0.000000,5.186505,5.767984,0.674534,5.736535,5.633974,6.178431,4.738531,7.085432,0.00015,0.09698,3.27698
0.051,1,0,0.000000,5.189888,5.769533,0.693635,5.737164,5.640119,6.179029,4.738941,7.085060,0.00012,0.11614,3.27690
0.052,1,0,0.000000,5.192974,5.770995,0.712736,5.737794,5.646264,6.179629,4.739351,7.084688,-0.00013,0.09922,3.27652
0.053,1,0,0.000000,5.195967,5.772471,0.731536,5.738457,5.652285,6.180246,4.739593,7.084491,0.00027,0.07557,3.27631
0.054,1,0,0.000000,5.198734,5.773983,0.749179,5.739246,5.657827,6.180935,4.739185,7.084969,-0.00002,0.09450,3.27676
0.055,1,0,0.000000,5.201395,5.775548,0.766822,5.740035,5.663370,6.181623,4.738777,7.085447,-0.00013,0.10919,3.27716
