"Time","61 right DS","60 left DS","59 lHL swoff","58 lHL swon","57 rHL swoff","56 rHL swon","55 lFL swoff","54 lFL swon","53 rFL swoff","52 rFL swon","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","34 FRx (cm)","29 HRx (cm)","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.253752,3.557578,7.088262,11.916325,5.985750,13.425682,6.823372,1.48401,0.07923,3.27751
0.001,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.262644,3.670996,7.091809,11.909263,5.979611,13.460004,6.813448,1.48425,0.09292,3.27690
0.002,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.271507,3.784414,7.095356,11.902200,5.973473,13.494327,6.803524,1.48471,0.11139,3.27638
0.003,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.280271,3.897831,7.098902,11.895138,5.967334,13.528649,6.793601,1.48575,0.10281,3.27645
0.004,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.289101,4.010623,7.102527,11.887522,5.961410,13.561317,6.783573,1.48453,0.08602,3.27653
0.005,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.298165,4.119500,7.106633,11.876452,5.956822,13.583656,6.772892,1.48267,0.11892,3.27661
0.006,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.307273,4.228378,7.110740,11.865382,5.952236,13.605994,6.762210,1.48071,0.10973,3.27665
0.007,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.316536,4.337256,7.114847,11.854313,5.947649,13.628332,6.751529,1.48407,0.07699,3.27650
0.008,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.325788,4.443782,7.119048,11.843729,5.942605,13.650357,6.740862,1.48386,0.11039,3.27641
0.009,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.335002,4.535621,7.123838,11.836185,5.934709,13.670423,6.730285,1.48318,0.10825,3.27671
0.010,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.344154,4.627459,7.128628,11.828642,5.926813,13.690488,6.719708,1.48569,0.09647,3.27699
0.011,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.353089,4.719297,7.133419,11.821098,5.918917,13.710553,6.709132,1.48511,0.06686,3.27706
0.012,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.361910,4.806707,7.138262,11.813149,5.911132,13.731365,6.698579,1.48300,0.12395,3.27711
0.013,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.370325,4.866456,7.143440,11.802676,5.904046,13.756848,6.688178,1.48419,0.11782,3.27696
0.014,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.378554,4.926205,7.148617,11.792203,5.896959,13.782331,6.677777,1.48312,0.09714,3.27684
0.015,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,7.386122,4.985953,7.153795,11.781730,5.889873,13.807813,6.667376,1.48453,0.11182,3.27700
0.016,0,0,0,0,0,0,0,0,0,0,0.000000,0.675251,7.393435,5.038342,7.159000,11.771292,5.883167,13.833771,6.657050,1.48215,0.10856,3.27713
0.017,0,0,0,0,0,1,0,0,0,0,0.000000,3.744571,7.399838,5.044763,7.164381,11.761073,5.878839,13.862700,6.647195,1.48376,0.09709,3.27713
0.018,1,0,0,0,0,0,0,0,0,0,0.000000,6.137679,7.405948,5.051182,7.169761,11.750854,5.874511,13.891629,6.637339,1.48508,0.07308,3.27714
0.019,1,0,0,0,0,0,0,0,0,0,0.000000,6.133306,7.411013,5.057602,7.175142,11.740636,5.870183,13.920558,6.627484,1.48251,0.10917,3.27722
0.020,1,0,0,0,0,0,0,0,0,0,0.000000,6.128709,7.415756,5.056052,7.180491,11.731053,5.866796,13.949925,6.617635,1.48270,0.10615,3.27727
0.021,1,0,0,0,0,0,0,0,0,0,0.000000,6.123322,7.419359,5.004715,7.185648,11.725442,5.869283,13.982029,6.607828,1.48355,0.09057,3.27720
0.022,1,0,0,0,0,0,0,0,0,0,0.000000,6.117799,7.422622,4.953378,7.190805,11.719831,5.871770,14.014133,6.598021,1.48441,0.08554,3.27713
0.023,1,0,0,0,0,0,0,0,0,0,0.000000,6.111790,7.424684,4.902041,7.195962,11.714219,5.874257,14.046237,6.588214,1.48276,0.12485,3.27713
0.024,1,0,0,0,0,0,0,0,0,0,0.000000,6.105771,7.426398,4.842726,7.201067,11.708026,5.878110,14.078694,6.578449,1.48459,0.11692,3.27720
0.025,1,0,0,0,0,0,0,0,0,0,0.000000,6.099714,7.426885,4.733575,7.205841,11.698196,5.890497,14.113357,6.568948,1.48657,0.07680,3.27773
0.026,1,0,0,0,0,0,0,0,0,0,0.000000,6.093772,7.427050,4.624424,7.210615,11.688368,5.902884,14.148019,6.559446,1.48468,0.08225,3.27810
0.027,1,0,0,0,0,0,0,0,0,0,0.000000,6.088240,7.426075,4.515273,7.215389,11.678539,5.915271,14.182682,6.549944,1.48242,0.11440,3.27734
0.028,1,0,0,0,0,0,0,0,0,0,0.000000,6.082926,7.424818,4.399548,7.220119,11.668733,5.930143,14.216822,6.540330,1.48361,0.09919,3.27663
0.029,1,0,0,0,0,0,0,0,0,0,0.000000,6.078390,7.422552,4.242757,7.224570,11.659063,5.960541,14.247698,6.530011,1.48352,0.09201,3.27633
0.030,1,0,0,0,0,0,0,0,0,0,0.000000,6.074077,7.420053,4.085968,7.229022,11.649395,5.990938,14.278573,6.519691,1.48309,0.10247,3.27609
0.031,1,0,0,0,0,0,0,0,0,0,0.000000,6.070556,7.416720,3.929178,7.233473,11.639726,6.021335,14.309449,6.509371,1.48157,0.12201,3.27632
0.032,1,0,0,0,0,0,0,0,0,0,0.000000,6.067232,7.413199,3.769483,7.237815,11.629237,6.056304,14.338985,6.499056,1.48361,0.09417,3.27659
0.033,1,0,0,0,0,0,0,0,0,0,0.000000,6.064608,7.409009,3.591648,7.241474,11.613625,6.119833,14.360153,6.488769,1.48376,0.08788,3.27712
0.034,1,0,0,0,0,0,0,0,0,0,0.000000,6.062144,7.404646,3.413812,7.245132,11.598012,6.183361,14.381322,6.478482,1.48508,0.11673,3.27756
0.035,1,0,0,0,0,0,0,0,0,0,0.000000,6.060249,7.399672,3.235977,7.248791,11.582399,6.246889,14.402490,6.468195,1.48523,0.10237,3.27733
0.036,1,0,0,0,0,0,0,0,0,0,0.000000,6.058476,7.394543,3.058184,7.252271,11.567644,6.314352,14.421648,6.457915,1.48303,0.07882,3.27713
0.037,1,0,0,0,0,0,0,0,0,0,0.000000,6.057136,7.388868,2.880659,7.254637,11.558248,6.406391,14.428251,6.447679,1.48288,0.07430,3.27713
0.038,1,0,0,0,0,0,0,0,0,0,0.000000,6.055884,7.383104,2.703134,7.257002,11.548851,6.498430,14.434855,6.437442,1.48633,0.12562,3.27712
0.039,1,0,0,0,0,0,0,0,0,0,0.000000,6.054946,7.377026,2.525609,7.259368,11.539454,6.590469,14.441458,6.427206,1.48172,0.10659,3.27704
0.040,1,0,0,0,0,0,1,0,0,0,0.846047,6.054060,7.370934,2.349406,7.261651,11.529537,6.685941,14.444709,6.417079,1.48404,0.08945,3.27696
0.041,1,1,0,0,0,0,0,0,0,0,4.691718,6.053359,7.364789,2.181460,7.263412,11.516363,6.802851,14.427020,6.407642,1.48502,0.11730,3.27681
0.042,1,1,0,0,0,0,0,0,0,0,7.691258,6.052652,7.358682,2.013514,7.265173,11.503190,6.919762,14.409331,6.398205,1.48621,0.11833,3.27673
0.043,1,1,0,0,0,0,0,0,0,0,7.690883,6.051923,7.352710,1.845568,7.266935,11.490016,7.036673,14.391643,6.388767,1.48334,0.09913,3.27719
0.044,1,1,0,0,0,0,0,0,0,0,7.690583,6.051148,7.346795,1.678433,7.268691,11.477849,7.154098,14.374861,6.379335,1.48416,0.07184,3.27754
0.045,1,1,0,0,0,0,0,0,0,0,7.690552,6.050205,7.341084,1.516366,7.270410,11.471969,7.274739,14.363750,6.369933,1.48438,0.10900,3.27716
0.046,1,1,0,0,0,0,0,0,0,0,7.690579,6.049274,7.335329,1.354298,7.272130,11.466088,7.395380,14.352639,6.360530,1.48407,0.09267,3.27683
0.047,1,1,0,0,0,0,0,0,0,0,7.690808,6.048390,7.329417,1.192231,7.273849,11.460208,7.516020,14.341529,6.351128,1.48416,0.08559,3.27691
0.048,1,1,0,0,0,0,0,0,0,0,7.691071,6.047590,7.323354,1.029414,7.275452,11.453780,7.632000,14.329106,6.341906,1.48251,0.12293,3.27702
0.049,1,1,0,0,0,0,0,0,0,0,7.691449,6.047086,7.316754,0.861915,7.276334,11.443929,7.718868,14.308495,6.333811,1.48520,0.10219,3.27732
0.050,1,1,0,0,0,0,0,0,0,0,7.691822,6.046652,7.310029,0.694416,7.277216,11.434078,7.805736,14.287883,6.325716,1.48395,0.09383,3.27757
0.051,1,1,0,0,0,0,0,0,0,0,7.692176,6.046465,7.302855,0.526917,7.278099,11.424228,7.892603,14.267271,6.317621,1.48737,0.12963,3.27742
0.052,1,1,0,0,0,0,0,0,0,0,7.692502,6.046334,7.295619,0.361095,7.278833,11.414086,7.976779,14.247956,6.309668,1.48407,0.11542,3.27728
0.053,1,1,0,0,0,0,0,0,0,0,7.692730,6.046401,7.288166,0.205748,7.278646,11.402134,8.044138,14.236744,6.302606,1.48495,0.07874,3.27728
0.054,1,1,0,0,0,0,0,0,0,0,7.692995,6.046617,7.280729,0.050401,7.278459,11.390181,8.111498,14.225532,6.295543,1.48419,0.10550,3.27726
0.055,1,1,0,0,0,0,0,0,0,0,7.693390,6.047360,7.273348,-0.104946,7.278272,11.378228,8.178857,14.214319,6.288480,1.48477,0.10029,3.27711
0.056,1,1,0,0,0,0,0,0,0,0,7.693875,6.048351,7.266057,-0.256525,7.278016,11.365432,8.246889,14.202995,6.281667,1.48428,0.08682,3.27709
0.057,1,1,0,0,0,0,0,0,0,0,7.694676,6.050214,7.259086,-0.384563,7.277328,11.347365,8.319125,14.190981,6.276407,1.48508,0.12162,3.27793
0.058,1,1,0,0,0,0,0,0,0,0,7.695450,6.052304,7.252247,-0.512601,7.276639,11.329299,8.391360,14.178967,6.271147,1.48453,0.10195,3.27853
0.059,1,1,0,0,0,0,0,0,0,0,7.696126,6.055194,7.245879,-0.640640,7.275950,11.311234,8.463596,14.166952,6.265888,1.48346,0.09489,3.27754
0.060,1,1,0,0,0,0,0,0,0,0,7.696690,6.058280,7.239679,-0.762197,7.275175,11.294320,8.536295,14.155932,6.260703,1.48468,0.12836,3.27669
0.061,1,1,0,0,0,0,0,0,0,0,7.696852,6.062058,7.234073,-0.843272,7.273857,11.284615,8.611887,14.151123,6.255984,1.48309,0.11635,3.27684
0.062,1,1,0,0,0,0,0,0,0,0,7.697169,6.066106,7.228677,-0.924346,7.272539,11.274908,8.687478,14.146314,6.251265,1.48373,0.07567,3.27697
0.063,1,1,0,0,0,0,0,0,0,0,7.698037,6.071109,7.224025,-1.005421,7.271221,11.265202,8.763070,14.141503,6.246546,1.48459,0.11427,3.27689
0.064,1,1,0,0,0,0,0,0,0,0,7.699224,6.076433,7.219606,-1.081567,7.269935,11.255054,8.838375,14.135913,6.241981,1.48438,0.10384,3.27684
0.065,1,1,0,0,0,0,0,0,0,0,7.701543,6.082899,7.216013,-1.126926,7.268848,11.242149,8.911888,14.125443,6.238379,1.48373,0.07878,3.27700
