"Time","61 right DS","60 left DS","59 lHL swoff","58 lHL swon","57 rHL swoff","56 rHL swon","55 lFL swoff","54 lFL swon","53 rFL swoff","52 rFL swon","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","34 FRx (cm)","29 HRx (cm)","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,6.565077,-2.243053,6.670143,14.232632,10.038299,16.530901,10.353432,1.48497,0.11064,3.27670
0.001,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,6.564797,-2.210375,6.667860,14.221727,10.084778,16.539299,10.344436,1.48385,0.09617,3.27701
0.002,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,6.565222,-2.151395,6.665625,14.211059,10.126231,16.545788,10.335415,1.48346,0.09645,3.27704
0.003,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,6.565968,-2.075171,6.663422,14.200545,10.164389,16.551029,10.326378,1.48422,0.10941,3.27689
0.004,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,6.567471,-1.998946,6.661219,14.190031,10.202546,16.556269,10.317340,1.48610,0.10222,3.27710
0.005,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,6.569321,-1.922722,6.659016,14.179518,10.240705,16.561508,10.308303,1.48748,0.08845,3.27756
0.006,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,6.571996,-1.819522,6.657010,14.169644,10.281773,16.563681,10.299249,1.48634,0.10050,3.27756
0.007,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,6.575050,-1.698636,6.655133,14.160192,10.324751,16.563843,10.290184,1.48386,0.11560,3.27725
0.008,0,0,0,0,0,0,1,0,0,0,2.464690,0.000000,6.578982,-1.577751,6.653255,14.150740,10.367728,16.564005,10.281119,1.48731,0.09757,3.27727
0.009,0,1,0,0,0,0,0,0,0,0,6.057532,0.000000,6.583315,-1.456865,6.651378,14.141288,10.410706,16.564167,10.272055,1.48661,0.08295,3.27750
0.010,0,1,0,0,0,0,0,0,0,0,7.185525,0.000000,6.588579,-1.306179,6.649767,14.129892,10.448996,16.564816,10.262944,1.48365,0.10062,3.27754
0.011,0,1,0,0,0,0,0,0,0,0,7.185294,0.000000,6.594267,-1.135956,6.648330,14.117224,10.484213,16.565781,10.253803,1.48462,0.11572,3.27747
0.012,0,1,0,0,0,0,0,0,0,0,7.185293,0.000000,6.600961,-0.965732,6.646893,14.104555,10.519430,16.566746,10.244662,1.48583,0.09547,3.27753
0.013,0,1,0,0,0,0,0,0,0,0,7.185398,0.000000,6.608116,-0.795509,6.645455,14.091887,10.554647,16.567711,10.235522,1.48398,0.07831,3.27768
0.014,0,1,0,0,0,0,0,0,0,0,7.185703,0.000000,6.616281,-0.604985,6.644682,14.080221,10.590558,16.564985,10.226241,1.48309,0.09208,3.27747
0.015,0,1,0,0,0,0,0,0,0,0,7.186100,0.000000,6.624907,-0.401152,6.644343,14.069214,10.626923,16.559841,10.216868,1.48265,0.10909,3.27701
0.016,0,1,0,0,0,0,0,0,0,0,7.186503,0.000000,6.634190,-0.197319,6.644005,14.058207,10.663288,16.554695,10.207496,1.48337,0.10252,3.27723
0.017,0,1,0,0,0,0,0,0,0,0,7.186911,0.000000,6.643773,0.006514,6.643666,14.047200,10.699654,16.549551,10.198123,1.48385,0.10063,3.27792
0.018,0,1,0,0,0,0,0,0,0,0,7.187145,0.000000,6.653637,0.214536,6.643775,14.037184,10.730206,16.538719,10.188589,1.48560,0.11282,3.27765
0.019,0,1,0,0,0,0,0,0,0,0,7.187301,0.000000,6.663630,0.425306,6.644176,14.027818,10.756949,16.524158,10.178949,1.48394,0.10452,3.27674
0.020,0,1,0,0,0,0,0,0,0,0,7.187373,0.000000,6.673894,0.636075,6.644578,14.018451,10.783691,16.509596,10.169310,1.48346,0.08029,3.27664
0.021,0,1,0,0,0,0,0,0,0,0,7.187406,0.000000,6.684283,0.846845,6.644980,14.009085,10.810434,16.495035,10.159670,1.48449,0.08264,3.27710
0.022,0,1,0,0,0,0,0,0,0,0,7.187462,0.000000,6.694945,1.046406,6.646193,13.998521,10.850345,16.482758,10.149832,1.48442,0.10770,3.27719
0.023,0,1,0,0,0,0,0,0,0,0,7.187530,0.000000,6.705734,1.238618,6.647936,13.987171,10.898890,16.471979,10.139864,1.48481,0.11300,3.27704
0.024,0,1,0,0,0,0,0,0,0,0,7.187485,0.000000,6.716393,1.430831,6.649680,13.975821,10.947433,16.461199,10.129895,1.48361,0.09523,3.27689
0.025,0,1,0,0,0,0,0,0,0,0,7.187389,0.000000,6.726992,1.623043,6.651423,13.964472,10.995978,16.450420,10.119927,1.48492,0.09291,3.27673
0.026,0,1,0,0,0,0,0,0,0,0,7.187047,0.000000,6.737073,1.796228,6.653395,13.953619,11.041557,16.437557,10.109864,1.48339,0.10061,3.27685
0.027,0,1,0,0,0,0,0,0,0,0,7.186591,0.000000,6.746917,1.956937,6.655517,13.943091,11.085193,16.423328,10.099739,1.48564,0.09078,3.27716
0.028,0,1,0,0,0,0,0,0,0,0,7.186066,0.000000,6.756448,2.117646,6.657638,13.932564,11.128827,16.409100,10.089614,1.48286,0.08916,3.27692
0.029,0,1,0,0,0,0,0,0,0,0,7.185511,0.000000,6.765835,2.278355,6.659759,13.922036,11.172462,16.394871,10.079488,1.48527,0.11267,3.27631
0.030,0,1,0,0,0,0,0,0,0,0,7.185087,0.000000,6.775234,2.431550,6.662169,13.911981,11.210588,16.380648,10.068857,1.48517,0.11718,3.27652
0.031,0,1,0,0,0,0,0,0,0,0,7.184724,0.000000,6.784637,2.579819,6.664768,13.902233,11.245100,16.366426,10.057896,1.48906,0.09570,3.27728
0.032,0,1,0,0,0,0,0,0,0,0,7.184397,0.000000,6.794158,2.728088,6.667367,13.892487,11.279613,16.352205,10.046933,1.48676,0.09540,3.27754
0.033,0,1,0,0,0,0,0,0,0,0,7.184086,0.000000,6.803734,2.876357,6.669966,13.882739,11.314124,16.337984,10.035972,1.48315,0.10761,3.27747
