"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 simus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 Sw offset","44 Sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.165466,38.877148,86.172890,84.467300,5.942123,14.484819,4.970119,17.339167,6.258752,16.760410,0,4.809443,12.107306,6.591036,11.890706,8.038368,17.630939,7.630937,12.389744,7.835128,11.824179,8.304162,11.373144,8.111213,12.845441,9.505237,12.931576,9.379231,13.691841,0,-0.01989,0.00275,-0.01929,-0.00790,0.00841,-0.01342,0.00598,0.00265,-1.48049,0.10695,3.27641
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.774200,39.044720,86.169212,84.687813,5.935418,14.491690,4.969067,17.345196,6.259134,16.749231,0,4.810431,12.095030,6.589313,11.891018,8.039844,17.637926,7.634380,12.380532,7.837481,11.815006,8.306721,11.366026,8.112455,12.837558,9.507514,12.926881,9.380580,13.694742,0,-0.01677,0.00447,-0.02419,-0.01645,0.00880,-0.01424,0.00366,0.00213,-1.47964,0.12854,3.27649
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.382935,39.212292,86.165543,84.908333,5.928713,14.498560,4.968015,17.351227,6.259516,16.738052,0,4.811419,12.082752,6.587589,11.891331,8.041319,17.644913,7.637823,12.371322,7.839834,11.805835,8.309279,11.358909,8.113698,12.829676,9.509792,12.922187,9.381927,13.697643,0,-0.01673,0.00328,-0.02141,-0.01131,0.00898,-0.01249,0.00630,0.00150,-1.47998,0.10412,3.27682
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.991669,39.379860,86.161873,85.128845,5.922008,14.505430,4.966963,17.357258,6.259898,16.726873,0,4.812407,12.070475,6.585865,11.891643,8.042794,17.651899,7.641266,12.362110,7.842187,11.796663,8.311838,11.351790,8.114941,12.821793,9.512070,12.917492,9.383276,13.700544,0,-0.01637,0.00328,-0.02032,-0.01325,0.00847,-0.01188,0.00472,0.00129,-1.47831,0.10206,3.27735
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.581970,39.519650,86.140671,85.391945,5.913537,14.513906,4.966209,17.365179,6.260299,16.715113,0,4.813467,12.059224,6.584107,11.891949,8.044652,17.657984,7.645795,12.350117,7.845978,11.785420,8.317540,11.344448,8.115790,12.813484,9.512920,12.913518,9.383674,13.703893,0,-0.01462,0.00355,-0.01953,-0.01184,0.00798,-0.01206,0.00504,0.00316,-1.47792,0.11951,3.27759
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.158127,39.638130,86.106026,85.687691,5.903712,14.523611,4.965683,17.374548,6.260715,16.702908,0,4.814581,12.048760,6.582322,11.892251,8.046802,17.663376,7.651157,12.335991,7.850871,11.772590,8.325654,11.336933,8.116339,12.804848,9.512675,12.910095,9.383345,13.707584,0,-0.01793,0.00258,-0.02066,-0.01224,0.00717,-0.01237,0.00386,0.00245,-1.47867,0.10886,3.27759
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.734299,39.756611,86.071381,85.983437,5.893887,14.533317,4.965156,17.383919,6.261131,16.690702,0,4.815695,12.038297,6.580538,11.892552,8.048951,17.668770,7.656519,12.321865,7.855764,11.759760,8.333767,11.329417,8.116887,12.796212,9.512431,12.906672,9.383015,13.711275,0,-0.02183,0.00300,-0.01732,-0.01229,0.00785,-0.01232,0.00549,0.00179,-1.47823,0.10832,3.27746
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.310455,39.875092,86.036736,86.279182,5.884062,14.543021,4.964629,17.393290,6.261547,16.678495,0,4.816810,12.027833,6.578753,11.892855,8.051102,17.674162,7.661881,12.307739,7.860658,11.746929,8.341881,11.321902,8.117435,12.787576,9.512186,12.903251,9.382686,13.714967,0,-0.01455,0.00410,-0.02106,-0.01313,0.00904,-0.01225,0.00562,0.00253,-1.48009,0.10229,3.27723
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.663239,40.108875,86.059250,86.672974,5.879348,14.550942,4.964176,17.402693,6.261871,16.666258,0,4.817851,12.012042,6.577302,11.895455,8.051037,17.676655,7.666995,12.292906,7.863615,11.737335,8.349074,11.314290,8.117469,12.779101,9.512326,12.900916,9.382473,13.719120,0,-0.02273,0.00353,-0.01914,-0.01266,0.00835,-0.01136,0.00341,0.00076,-1.48086,0.11025,3.27730
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.844742,40.431068,86.125595,87.141945,5.878553,14.557495,4.963778,17.412123,6.262125,16.653997,0,4.818835,11.992167,6.576108,11.899819,8.049273,17.676926,7.671920,12.277530,7.865088,11.730224,8.355563,11.306603,8.117106,12.770750,9.512760,12.899418,9.382350,13.723627,0,-0.02220,0.00302,-0.02255,-0.01378,0.00921,-0.01253,0.00273,0.00290,-1.47849,0.11787,3.27761
0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.026245,40.753258,86.191948,87.610909,5.877759,14.564048,4.963380,17.421551,6.262379,16.641735,0,4.819819,11.972292,6.574914,11.904183,8.047510,17.677197,7.676844,12.262155,7.866560,11.723112,8.362051,11.298916,8.116744,12.762399,9.513194,12.897919,9.382227,13.728135,0,-0.03266,0.00328,-0.02003,-0.01339,0.00911,-0.01223,0.00428,0.00192,-1.47867,0.08850,3.27753
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.207733,41.075451,86.258293,88.079880,5.876964,14.570601,4.962983,17.430981,6.262633,16.629473,0,4.820804,11.952417,6.573719,11.908547,8.045747,17.677465,7.681769,12.246778,7.868033,11.716000,8.368540,11.291229,8.116382,12.754047,9.513628,12.896420,9.382104,13.732642,0,-0.02841,0.00225,-0.02061,-0.01434,0.00868,-0.01241,0.00497,0.00254,-1.47889,0.10264,3.27715
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.119690,41.565315,86.392738,88.529068,5.871048,14.579130,4.962414,17.439600,6.262714,16.616949,0,4.821890,11.932655,6.572236,11.913726,8.047076,17.682241,7.685183,12.233453,7.867295,11.706503,8.375832,11.284272,8.117230,12.746783,9.512247,12.896799,9.382637,13.737181,0,0.00876,0.00286,-0.01822,-0.01185,0.00797,-0.01075,0.00359,0.00225,-1.47919,0.11542,3.27719
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.824966,42.183750,86.579407,88.963089,5.861204,14.589175,4.961714,17.447599,6.262662,16.604223,0,4.823054,11.912980,6.570532,11.919530,8.050776,17.690468,7.687439,12.221698,7.864861,11.695177,8.383740,11.277874,8.119008,12.740355,9.509477,12.898619,9.383673,13.741744,0,-0.03624,0.00324,-0.02073,-0.01459,0.00749,-0.01318,0.00751,0.00283,-1.47906,0.10206,3.27757
