"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 simus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 Sw offset","44 Sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.927170,51.278889,84.126869,64.260201,4.942666,11.532088,3.890402,13.096662,5.408501,13.762208,0,3.840672,9.516276,5.486732,7.888454,7.825257,12.756938,7.775550,9.635201,8.003452,9.051115,8.458755,8.601869,8.609948,10.067560,10.000116,9.790597,9.763919,10.658672,0,-0.01799,0.00375,-0.02115,-0.01300,0.02269,-0.01322,0.00726,0.00219,-0.60472,0.10580,3.27744
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.694504,51.426624,83.880280,64.639839,4.939509,11.524526,3.886955,13.154747,5.406158,13.752049,0,3.838096,9.502888,5.484342,7.876219,7.865785,13.278703,7.771837,9.615632,8.004333,9.022068,8.456808,8.589800,8.598271,10.055829,9.988464,9.782231,9.757066,10.648206,0,-0.01833,0.00273,-0.02031,-0.01292,0.00449,-0.01181,0.00585,0.00290,-0.62510,0.09929,3.27744
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.091843,51.803696,83.767372,65.009560,4.932040,11.514502,3.883308,13.217835,5.403930,13.739077,0,3.835741,9.492771,5.482013,7.862370,7.861273,13.430771,7.765239,9.595814,8.000194,9.007466,8.455533,8.576513,8.588283,10.043689,9.977664,9.772601,9.751266,10.636600,0,-0.01650,0.00294,-0.02012,-0.01350,0.00479,-0.01291,0.00723,0.00280,-0.64979,0.12028,3.27720
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.394379,52.239536,83.688721,65.376747,4.923465,11.503846,3.879609,13.282207,5.401732,13.725382,0,3.833442,9.483492,5.479700,7.848109,7.845218,13.488094,7.757900,9.575931,7.994768,8.996567,8.454431,8.562916,8.578726,10.031443,9.967083,9.762647,9.745737,10.624703,0,-0.01816,0.00381,-0.02150,-0.01277,0.00949,-0.01162,0.00234,0.00311,-0.66730,0.11427,3.27689
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.696915,52.675377,83.610069,65.743927,4.914890,11.493192,3.875909,13.346578,5.399534,13.711687,0,3.831143,9.474214,5.477387,7.833848,7.829164,13.545417,7.750562,9.556048,7.989342,8.985667,8.453327,8.549318,8.569170,10.019197,9.956502,9.752692,9.740208,10.612807,0,-0.01544,0.00461,-0.01922,-0.01454,0.00731,-0.01219,0.00800,0.00175,-0.69438,0.11919,3.27682
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.999451,53.111217,83.531418,66.111107,4.906315,11.482536,3.872210,13.410948,5.397335,13.697992,0,3.828845,9.464935,5.475074,7.819586,7.813109,13.602739,7.743224,9.536165,7.983916,8.974768,8.452225,8.535721,8.559613,10.006950,9.945920,9.742738,9.734679,10.600910,0,-0.01851,0.00366,-0.02262,-0.01442,0.00931,-0.01147,0.00648,0.00214,-0.71616,0.10753,3.27682
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.040466,53.697174,83.566689,66.554718,4.903091,11.472059,3.868071,13.476675,5.395070,13.682686,0,3.826783,9.444958,5.472818,7.805554,7.837625,13.655420,7.739146,9.499955,7.969657,8.955455,8.448121,8.523376,8.549457,9.991714,9.937858,9.733361,9.728198,10.592669,0,-0.02410,0.00310,-0.02086,-0.01239,0.00711,-0.01222,0.00745,0.00178,-0.76404,0.08624,3.27700
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.014465,54.321598,83.631165,67.017921,4.901238,11.461628,3.863818,13.542750,5.392787,13.666965,0,3.824781,9.422239,5.470576,7.791580,7.872537,13.706912,7.735905,9.459560,7.953135,8.933986,8.443249,8.511352,8.539146,9.975710,9.930441,9.724133,9.721473,10.585365,0,-0.02005,0.00295,-0.02103,-0.01259,0.00822,-0.01297,0.00249,0.00305,-0.78438,0.10007,3.27723
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.988464,54.946022,83.695633,67.481125,4.899385,11.451197,3.859566,13.608825,5.390505,13.651245,0,3.822780,9.399521,5.468335,7.777606,7.907449,13.758404,7.732664,9.419167,7.936613,8.912518,8.438376,8.499327,8.528836,9.959707,9.923023,9.714905,9.714747,10.578062,0,0.00452,0.00319,-0.02115,-0.01312,0.00941,-0.01225,0.01349,0.00193,-0.80668,0.10857,3.27746
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.962463,55.570446,83.760101,67.944328,4.897532,11.440764,3.855314,13.674900,5.388222,13.635526,0,3.820779,9.376802,5.466093,7.763633,7.942362,13.809896,7.729423,9.378772,7.920091,8.891048,8.433504,8.487303,8.518525,9.943704,9.915606,9.705676,9.708023,10.570758,0,-0.02073,0.00267,-0.01992,-0.01412,-0.00359,-0.01337,-0.00471,0.00398,-0.82827,0.11357,3.27769
