"Time","63 sinus","62 rm dwn st","61 rm dwn sw","60 rmp up st","59 rmp up sw","58 Ramp down","57 Ramp up","56 right DS","55 left DS","54 lHL swoff","53 lHL swon","52 rHL swoff","51 rHL swon","50 lFL swoff","49 lFL swon","48 rFL swoff","47 rFL swon","46 sw offset","45 sw onset","44 ramnp dwn","43 ramp up","42 sinus rmp","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.917679,20.965784,77.053795,74.770187,6.410490,9.394142,5.677536,10.428404,6.628941,12.087486,0,5.427220,7.631502,7.042695,6.635170,7.947882,9.896621,7.981406,7.352504,8.104440,6.997715,8.318960,6.487988,8.273161,7.860116,9.562999,7.622324,9.488383,8.332159,0,-0.01740,0.00290,-0.02078,-0.01337,0.00970,-0.01297,0.00615,0.00247,1.48299,0.09519,3.27657
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.181351,21.108450,76.796234,75.275490,6.415318,9.396454,5.681948,10.447922,6.629067,12.076333,0,5.431065,7.634183,7.037904,6.614257,7.947592,9.922237,7.986049,7.613242,8.113344,6.949906,8.323657,6.471907,8.264605,7.845323,9.554160,7.612682,9.484405,8.326632,0,-0.01808,0.00412,-0.02087,-0.01340,0.01305,-0.01266,-0.00073,0.00211,1.48143,0.10266,3.27689
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.199615,21.136614,76.624382,75.621620,6.422006,9.398843,5.686736,10.470048,6.629082,12.065125,0,5.434417,7.634456,7.037065,6.614949,7.947173,9.961717,7.986032,7.581937,8.114419,6.939258,8.329540,6.459558,8.257875,7.832150,9.547180,7.605220,9.481389,8.324608,0,-0.01389,0.00327,-0.02002,-0.01282,0.00250,-0.01160,0.00734,0.00290,1.48354,0.10467,3.27704
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.217880,21.164780,76.452522,75.967743,6.428693,9.401232,5.691524,10.492175,6.629097,12.053917,0,5.437769,7.634729,7.036225,6.615640,7.946753,10.001196,7.986015,7.550633,8.115494,6.928610,8.335423,6.447210,8.251146,7.818976,9.540200,7.597758,9.478374,8.322582,0,-0.01587,0.00317,-0.02061,-0.01260,0.00958,-0.01175,0.00386,0.00177,1.48438,0.08167,3.27706
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.236145,21.192944,76.280663,76.313873,6.435381,9.403620,5.696311,10.514301,6.629113,12.042708,0,5.441122,7.635002,7.035386,6.616332,7.946333,10.040675,7.985999,7.519328,8.116569,6.917963,8.341307,6.434862,8.244418,7.805803,9.533220,7.590296,9.475359,8.320558,0,-0.01991,0.00360,-0.01678,-0.01694,0.00351,-0.01282,-0.00159,0.00302,1.48978,0.08756,3.27691
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.065170,21.364470,76.148018,76.537796,6.440183,9.405758,5.701009,10.538676,6.629105,12.031466,0,5.443638,7.632802,7.031318,6.600066,7.946096,10.080096,7.985075,7.491783,8.117814,6.903638,8.346040,6.422412,8.239015,7.794134,9.527648,7.584096,9.471180,8.318390,0,-0.01556,0.00494,-0.02104,-0.01215,0.01881,-0.01099,0.00441,0.00278,1.48347,0.12313,3.27676
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.662903,21.711210,76.063293,76.612366,6.442680,9.407590,5.705595,10.565798,6.629069,12.020182,0,5.445133,7.627578,7.023303,6.563077,7.946083,10.119447,7.983044,7.468832,8.119268,6.884821,8.349368,6.409840,8.235231,7.784303,9.523796,7.579441,9.465578,8.316047,0,-0.01572,0.00302,-0.01994,-0.01251,0.02643,-0.01373,0.00325,0.00574,1.48563,0.10292,3.27661
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.260635,22.057953,75.978569,76.686935,6.445177,9.409422,5.710183,10.592920,6.629034,12.008898,0,5.446629,7.622354,7.015288,6.526087,7.946070,10.158798,7.981013,7.445880,8.120723,6.866004,8.352695,6.397267,8.231448,7.774472,9.519944,7.574785,9.459977,8.313704,0,-0.01793,0.00372,-0.01898,-0.01450,0.00673,-0.01160,0.00587,0.00217,1.48474,0.09500,3.27662
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.858368,22.404694,75.893852,76.761497,6.447674,9.411254,5.714769,10.620042,6.628997,11.997614,0,5.448123,7.617130,7.007274,6.489098,7.946057,10.198149,7.978982,7.422929,8.122176,6.847187,8.356024,6.384695,8.227666,7.764641,9.516092,7.570129,9.454375,8.311362,0,-0.01755,0.00323,-0.01477,-0.01498,0.00409,-0.01434,0.01843,0.00305,1.48520,0.10348,3.27685
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.288361,22.903679,75.810165,76.718559,6.452310,9.415799,5.719639,10.649442,6.629038,11.986100,0,5.449215,7.610124,6.999664,6.452439,7.946094,10.237479,7.977116,7.406580,8.121876,6.833502,8.359492,6.375175,8.224955,7.757747,9.513300,7.566971,9.450334,8.310026,0,-0.00679,0.00369,-0.02362,-0.01297,0.00787,-0.01129,-0.00194,0.00360,1.48236,0.09194,3.27688
