"Time","63 sinus","62 rm dwn st","61 rm dwn sw","60 rmp up st","59 rmp up sw","58 Ramp down","57 Ramp up","56 right DS","55 left DS","54 lHL swoff","53 lHL swon","52 rHL swoff","51 rHL swon","50 lFL swoff","49 lFL swon","48 rFL swoff","47 rFL swon","46 sw offset","45 sw onset","44 ramnp dwn","43 ramp up","42 sinus rmp","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.011002,28.884956,79.564796,64.607231,6.008807,16.274836,5.350801,18.677721,6.154155,17.827482,0,5.239565,14.703687,6.778572,12.425229,8.075683,18.324020,7.833352,15.043907,7.812061,14.584229,7.914932,14.131847,8.290483,15.428877,9.431788,14.846252,9.449299,15.508537,0,-0.01791,0.00297,-0.02622,-0.01365,0.00955,-0.01297,0.00061,0.00380,0.02315,0.09340,3.27671
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.060730,28.817049,79.910858,64.811470,5.998605,16.265560,5.353084,18.689980,6.152604,17.811945,0,5.238002,14.687854,6.777558,12.416742,8.056116,18.228321,7.832941,15.023179,7.810261,14.562937,7.915503,14.105234,8.288553,15.408114,9.435257,14.832403,9.448956,15.498296,0,-0.01719,0.00270,-0.01492,-0.01243,0.00950,-0.01322,0.00924,0.00225,-0.02194,0.11146,3.27686
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.110458,28.749142,80.256912,65.015709,5.988403,16.256285,5.355367,18.702236,6.151053,17.796406,0,5.236438,14.672020,6.776544,12.408256,8.036550,18.132622,7.832530,15.002450,7.808461,14.541643,7.916074,14.078622,8.286623,15.387353,9.438725,14.818554,9.448614,15.488053,0,-0.01837,0.00352,-0.01862,-0.01380,0.00831,-0.01231,0.00401,0.00292,-0.04920,0.09560,3.27703
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.160187,28.681232,80.602974,65.219948,5.978200,16.247007,5.357650,18.714495,6.149502,17.780867,0,5.234875,14.656187,6.775530,12.399769,8.016983,18.036924,7.832119,14.981722,7.806661,14.520350,7.916645,14.052009,8.284694,15.366590,9.442193,14.804705,9.448271,15.477812,0,-0.02170,0.00157,-0.01609,-0.00587,0.00561,-0.01876,0.01229,0.00594,-0.07343,0.09603,3.27726
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.193573,28.667816,80.875603,65.426712,5.968361,16.238552,5.359681,18.725323,6.147994,17.765533,0,5.233224,14.640464,6.774645,12.392496,7.997202,17.941133,7.831430,14.963289,7.805201,14.499182,7.916263,14.028156,8.282863,15.346713,9.445328,14.791950,9.448442,15.468607,0,-0.01532,-0.01249,-0.02009,-0.01294,0.00583,-0.00281,-0.00041,0.00431,-0.10143,0.11752,3.27728
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.175720,28.825077,80.918213,65.641380,5.959661,16.232660,5.360919,18.731670,6.146618,17.750845,0,5.231304,14.625088,6.774166,12.389024,7.976751,17.845055,7.829870,14.952049,7.804807,14.478403,7.912896,14.012951,8.281342,15.329607,9.447420,14.782625,9.450225,15.462653,0,-0.01871,0.00812,-0.02540,-0.01485,0.00820,-0.01440,0.00448,-0.00186,-0.13260,0.10790,3.27659
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.157852,28.982338,80.960823,65.856049,5.950961,16.226770,5.362158,18.738020,6.145243,17.736156,0,5.229383,14.609712,6.773687,12.385552,7.956300,17.748976,7.828311,14.940809,7.804414,14.457624,7.909529,13.997745,8.279819,15.312501,9.449513,14.773301,9.452007,15.456699,0,-0.01900,0.00646,-0.02075,-0.01231,0.00861,-0.00745,0.00080,0.00360,-0.15936,0.11390,3.27615
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.139999,29.139599,81.003433,66.070717,5.942260,16.220879,5.363398,18.744370,6.143868,17.721468,0,5.227462,14.594335,6.773208,12.382080,7.935849,17.652899,7.826752,14.929570,7.804020,14.436845,7.906162,13.982539,8.278298,15.295394,9.451606,14.763976,9.453790,15.450745,0,-0.01633,0.00131,-0.02206,-0.01402,0.00784,-0.01196,0.00440,0.00315,-0.20574,0.12339,3.27653
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.223526,29.265453,81.011269,66.265816,5.934399,16.213911,5.364087,18.749596,6.142435,17.706890,0,5.225463,14.579115,6.772616,12.379716,7.919717,17.580507,7.824808,14.917485,7.804088,14.416566,7.906119,13.965761,8.276739,15.278542,9.453315,14.753725,9.455023,15.444045,0,-0.01669,0.00164,-0.02050,-0.01277,0.00907,-0.01052,0.00960,0.00192,-0.22837,0.10562,3.27686
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.624619,29.292940,80.910172,66.399612,5.929162,16.203566,5.363057,18.751308,6.140819,17.692652,0,5.223224,14.564383,6.771674,12.380817,7.917114,17.582312,7.821662,14.902753,7.805600,14.397851,7.916490,13.944058,8.275062,15.262484,9.453824,14.740569,9.454535,15.435009,0,-0.01453,0.00497,-0.01898,-0.01406,0.00914,-0.01263,0.00307,0.00204,-0.25840,0.11209,3.27701
