"Time","60 right DS","59 left DS","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
2115.233,0,0,-11.018043,0.000000,0.000000,4.278507,3.805161,3.150062,4.903504,3.120203,4.667820,1.48300,0.11194,3.27687
2115.234,0,0,-11.180836,0.000000,0.000000,4.266606,3.787174,3.149219,4.909461,3.118114,4.668737,1.48460,0.09387,3.27694
2115.235,0,0,-11.264737,0.000000,0.000000,4.254782,3.771273,3.148315,4.907917,3.118887,4.656367,1.48678,0.09569,3.27680
2115.236,0,0,-11.290566,0.000000,0.000000,4.243014,3.756466,3.147367,4.900849,3.121767,4.634216,1.48477,0.09904,3.27650
2115.237,0,0,-11.316395,0.000000,0.000000,4.231247,3.744008,3.146420,4.893781,3.124648,4.612065,1.48334,0.08710,3.27645
2115.238,0,0,-11.342224,0.000000,0.000000,4.219480,3.732781,3.145472,4.886713,3.127528,4.589914,1.48423,0.10377,3.27661
2115.239,0,0,-11.256493,0.000000,0.000000,4.207483,3.724065,3.144396,4.880903,3.132146,4.570749,1.48608,0.11888,3.27672
2115.240,0,0,-11.088641,0.000000,0.000000,4.195317,3.716667,3.143225,4.876019,3.138043,4.553783,1.48449,0.09482,3.27679
2115.241,0,0,-10.920789,0.000000,0.000000,4.183152,3.712211,3.142054,4.871136,3.143941,4.536817,1.48433,0.08755,3.27708
2115.242,0,0,-10.752937,0.000000,0.000000,4.170986,3.709298,3.140883,4.866252,3.149838,4.519851,1.48457,0.10588,3.27754
2115.243,0,0,-10.474206,0.000000,0.000000,4.159619,3.709696,3.139743,4.861085,3.151514,4.505332,1.48431,0.10350,3.27744
2115.244,0,0,-10.113853,0.000000,0.000000,4.148841,3.711830,3.138626,4.855711,3.150084,4.492615,1.48450,0.09352,3.27690
2115.245,0,0,-9.753501,0.000000,0.000000,4.138063,3.717030,3.137510,4.850336,3.148653,4.479898,1.48412,0.10026,3.27659
2115.246,0,0,-9.393148,0.000000,0.000000,4.127285,3.723838,3.136393,4.844961,3.147222,4.467182,1.48481,0.10550,3.27643
2115.247,0,0,-8.940471,0.000000,0.000000,4.117556,3.733391,3.134897,4.841629,3.141276,4.453941,1.48422,0.09160,3.27663
2115.248,0,0,-8.419832,0.000000,0.000000,4.108599,3.744383,3.133123,4.839802,3.132007,4.440314,1.48372,0.10154,3.27708
2115.249,0,0,-7.899193,0.000000,0.000000,4.099643,3.758234,3.131349,4.837974,3.122738,4.426688,1.48646,0.11563,3.27737
2115.250,0,0,-7.378553,0.000000,0.000000,4.090687,3.773583,3.129574,4.836146,3.113469,4.413062,1.48718,0.09958,3.27752
2115.251,0,0,-6.783953,0.000000,0.000000,4.083433,3.791881,3.127905,4.835245,3.103004,4.401303,1.48424,0.09154,3.27737
2115.252,0,0,-6.134908,0.000000,0.000000,4.077432,3.811725,3.126314,4.835026,3.091660,4.390921,1.48442,0.10456,3.27699
2115.253,0,0,-5.485863,0.000000,0.000000,4.071431,3.833947,3.124723,4.834807,3.080316,4.380538,1.48497,0.10537,3.27739
2115.254,0,0,-4.836818,0.000000,0.000000,4.065430,3.857418,3.123132,4.834589,3.068972,4.370155,1.48286,0.09354,3.27838
2115.255,0,0,-4.143289,0.000000,0.000000,4.060823,3.882638,3.120669,4.834776,3.056683,4.362657,1.48193,0.09308,3.27825
2115.256,0,0,-3.417013,0.000000,0.000000,4.057243,3.908776,3.117564,4.835262,3.043699,4.357282,1.48003,0.10743,3.27726
2115.257,0,0,-2.690738,0.000000,0.000000,4.053663,3.936605,3.114460,4.835749,3.030715,4.351907,1.47872,0.10170,3.27726
2115.258,0,0,-1.964463,0.000000,0.000000,4.050083,3.965321,3.111355,4.836235,3.017730,4.346532,1.47637,0.08251,3.27802
2115.259,0,0,-1.217633,1.504515,0.000000,4.048485,3.995755,3.107960,4.837360,3.004345,4.343683,1.47380,0.08572,3.27788
