"Time","60 right DS","59 left DS","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,1,-4.014194,0.000000,0.000000,4.056093,3.882803,2.946632,4.699379,3.237229,5.224337,0.00011,0.09609,3.27706
0.001,0,1,-3.973976,0.000000,0.000000,4.052293,3.880815,2.945899,4.701952,3.231339,5.223857,-0.00004,0.11202,3.27690
0.002,0,1,-3.954138,0.000000,0.000000,4.048690,3.878537,2.945252,4.703977,3.226336,5.223377,0.00015,0.09730,3.27705
0.003,0,1,-3.934299,0.000000,0.000000,4.045087,3.875751,2.944605,4.706001,3.221334,5.222896,0.00015,0.08895,3.27702
0.004,0,1,-3.914461,0.000000,0.000000,4.041484,3.872607,2.943958,4.708026,3.216331,5.222415,0.00013,0.08864,3.27679
0.005,0,1,-3.911849,0.000000,0.000000,4.037755,3.868907,2.943480,4.708909,3.212586,5.221980,0.00002,0.10616,3.27686
0.006,0,1,-3.926054,0.000000,0.000000,4.033903,3.864815,2.943167,4.708675,3.210070,5.221588,0.00011,0.10726,3.27724
0.007,0,1,-3.940260,0.000000,0.000000,4.030050,3.860317,2.942854,4.708441,3.207553,5.221196,0.00002,0.08968,3.27702
0.008,0,1,-3.954466,0.000000,0.000000,4.026198,3.855532,2.942541,4.708208,3.205036,5.220804,0.00015,0.08494,3.27618
0.009,0,1,-3.978525,0.000000,0.000000,4.022299,3.850509,2.942026,4.706726,3.203170,5.220212,-0.00004,0.11030,3.27644
0.010,0,1,-4.012204,0.000000,0.000000,4.018353,3.845317,2.941314,4.704025,3.201940,5.219423,0.00028,0.10130,3.27781
0.011,0,1,-4.045884,0.000000,0.000000,4.014408,3.839899,2.940602,4.701324,3.200710,5.218635,0.00011,0.07412,3.27809
0.012,0,1,-4.079563,0.000000,0.000000,4.010462,3.834320,2.939889,4.698623,3.199479,5.217846,0.00002,0.08699,3.27725
0.013,0,1,-4.114902,0.000000,0.000000,4.006341,3.828534,2.939189,4.695757,3.198092,5.217092,0.00033,0.11573,3.27667
0.014,0,1,-4.151862,0.000000,0.000000,4.002047,3.822601,2.938501,4.692732,3.196551,5.216371,0.00015,0.09766,3.27637
0.015,0,1,-4.188821,1.450362,0.000000,3.997753,3.816714,2.937813,4.689706,3.195010,5.215649,0.00015,0.08265,3.27644
0.016,0,1,-4.225781,3.925382,0.000000,3.993459,3.810859,2.937125,4.686680,3.193469,5.214928,0.00020,0.09755,3.27690
0.017,0,1,-4.252899,4.948759,0.000000,3.989138,3.805303,2.936276,4.683147,3.192244,5.214280,0.00028,0.11437,3.27709
0.018,0,1,-4.270408,4.946572,0.000000,3.984789,3.799959,2.935268,4.679118,3.191329,5.213704,0.00013,0.10207,3.27702
0.019,0,1,-4.287917,4.944259,0.000000,3.980440,3.794875,2.934261,4.675089,3.190413,5.213127,0.00011,0.09153,3.27702
0.020,0,1,-4.305426,4.941858,0.000000,3.976091,3.789973,2.933254,4.671061,3.189498,5.212551,0.00013,0.09385,3.27709
0.021,0,1,-4.314195,4.939392,0.000000,3.971700,3.785234,2.931918,4.666729,3.188396,5.211888,-0.00009,0.11030,3.27732
0.022,0,1,-4.314432,4.936878,0.000000,3.967269,3.780612,2.930263,4.662103,3.187112,5.211142,0.00013,0.10476,3.27770
0.023,0,1,-4.314669,4.934176,0.000000,3.962837,3.776185,2.928607,4.657476,3.185828,5.210394,-0.00013,0.08889,3.27778
0.024,0,1,-4.314906,4.931343,0.000000,3.958406,3.771898,2.926951,4.652849,3.184545,5.209648,0.00013,0.09088,3.27755
0.025,0,1,-4.306122,4.928220,0.000000,3.953993,3.767861,2.925066,4.647991,3.183513,5.208421,0.00013,0.11627,3.27736
0.026,0,1,-4.288532,4.924894,0.000000,3.949599,3.764002,2.922957,4.642906,3.182727,5.206726,-0.00015,0.10058,3.27721
0.027,0,1,-4.270941,4.921498,0.000000,3.945204,3.760386,2.920848,4.637821,3.181941,5.205031,0.00026,0.08746,3.27717
0.028,0,1,-4.253350,4.918054,0.000000,3.940810,3.756943,2.918738,4.632736,3.181155,5.203337,0.00000,0.10926,3.27724
0.029,0,1,-4.230429,4.914769,0.000000,3.936562,3.753720,2.916193,4.627508,3.180185,5.202038,-0.00013,0.11297,3.27736
0.030,0,1,-4.202304,4.911599,0.000000,3.932456,3.750650,2.913222,4.622139,3.179035,5.201125,0.00013,0.08429,3.27751
0.031,0,1,-4.174180,4.908461,0.000000,3.928350,3.747775,2.910251,4.616771,3.177886,5.200212,-0.00002,0.09193,3.27759
0.032,0,1,-4.146055,4.905347,0.000000,3.924244,3.745036,2.907281,4.611403,3.176736,5.199300,0.00004,0.12123,3.27759
0.033,0,1,-4.108492,4.902105,0.000000,3.920141,3.742496,2.903741,4.606082,3.175737,5.198156,-0.00002,0.10214,3.27759
0.034,0,1,-4.061713,4.898773,0.000000,3.916042,3.740098,2.899645,4.600810,3.174886,5.196786,0.00004,0.09569,3.27759
0.035,0,1,-4.014935,4.895452,0.000000,3.911943,3.738047,2.895550,4.595536,3.174036,5.195416,0.00013,0.11635,3.27732
