"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.126160,9.588857,67.752197,102.971970,4.279203,9.160755,3.151022,10.744976,4.910184,11.788671,0,3.120203,6.454938,4.711865,5.204812,6.196693,10.549064,6.425311,6.323458,6.271715,7.156293,7.370831,6.309779,6.431304,7.316169,7.463385,7.750804,7.373070,8.504313,0,-0.01738,0.00299,-0.02010,-0.01268,0.00924,-0.01305,0.01862,0.00880,1.48300,0.11194,3.27687
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.519489,7.883188,66.500519,101.434967,4.262319,9.190716,3.149975,10.735157,4.898622,11.882710,0,3.118114,6.569386,4.698572,5.206154,6.194705,10.534119,6.449318,6.406087,6.136071,7.552248,7.396761,6.391691,6.442923,7.382560,7.482985,7.795983,7.387465,8.542051,0,-0.01700,0.00255,-0.02836,-0.01520,0.00885,-0.01270,-0.02015,-0.00729,1.48460,0.09387,3.27694
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.092987,10.316070,65.750221,100.078491,4.244467,9.223720,3.148837,10.725793,4.886519,11.967272,0,3.118887,6.678827,4.673094,5.191190,6.192314,10.520221,6.472224,6.487099,6.206321,7.589181,7.410263,6.460185,6.454686,7.443455,7.504948,7.842675,7.401285,8.583952,0,-0.02529,0.00403,-0.01699,-0.01264,0.00824,-0.01316,0.01484,0.00367,1.48678,0.09569,3.27680
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.840782,15.795384,65.369011,98.854919,4.225904,9.258964,3.147633,10.716763,4.874020,12.044856,0,3.121767,6.784582,4.638648,5.164223,6.189626,10.507094,6.494319,6.566921,6.428132,7.361835,7.414617,6.518801,6.466554,7.500303,7.528652,7.890481,7.414682,8.628918,0,-0.02043,0.00367,-0.02922,-0.01415,0.00717,-0.01084,0.00938,0.00233,1.48477,0.09904,3.27650
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.588570,21.274698,64.987793,97.631340,4.207341,9.294209,3.146429,10.707734,4.861519,12.122439,0,3.124648,6.890337,4.604202,5.137256,6.186938,10.493968,6.516415,6.646743,6.649943,7.134489,7.418971,6.577417,6.478423,7.557152,7.552355,7.938286,7.428080,8.673883,0,-0.01656,0.00323,-0.03563,-0.01714,0.00925,-0.01225,0.00462,0.00299,1.48334,0.08710,3.27645
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.336365,26.754013,64.606583,96.407768,4.188778,9.329453,3.145226,10.698705,4.849020,12.200024,0,3.127528,6.996092,4.569755,5.110290,6.184250,10.480842,6.538511,6.726566,6.871754,6.907143,7.423325,6.636033,6.490292,7.614000,7.576059,7.986092,7.441477,8.718849,0,-0.01862,0.00301,-0.01401,-0.01320,0.00801,-0.01273,-0.00751,0.00913,1.48423,0.10377,3.27661
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.864655,28.594177,64.404556,95.112198,4.172149,9.365722,3.143897,10.689530,4.840671,12.271213,0,3.132146,7.092675,4.557839,5.321219,6.181080,10.471028,6.545593,6.791391,6.969087,6.833144,7.428680,6.684316,6.500488,7.662633,7.593850,8.026114,7.450075,8.760799,0,-0.01658,0.00456,-0.00858,-0.01455,0.00792,-0.01547,0.01711,0.01077,1.48608,0.11888,3.27672
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.925827,27.755522,64.334442,93.763626,4.156943,9.402745,3.142477,10.680249,4.835379,12.337694,0,3.138043,7.182506,4.562507,5.707267,6.177556,10.463653,6.541623,6.845177,6.974790,6.872025,7.434772,6.724991,6.509455,7.705218,7.607289,8.060404,7.455140,8.800530,0,-0.01435,0.00179,-0.02464,-0.01404,0.00872,-0.01207,0.01381,0.02525,1.48449,0.09482,3.27679
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.986984,26.916866,64.264328,92.415062,4.141737,9.439769,3.141057,10.670967,4.830087,12.404177,0,3.143941,7.272336,4.567175,6.093315,6.174031,10.456278,6.537653,6.898963,6.980493,6.910908,7.440865,6.765667,6.518422,7.747803,7.620728,8.094695,7.460205,8.840261,0,-0.01791,0.00296,-0.01058,-0.01521,0.00936,-0.01042,-0.03850,0.01459,1.48433,0.08755,3.27708
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.048157,26.078211,64.194214,91.066490,4.126531,9.476792,3.139636,10.661686,4.824795,12.470658,0,3.149838,7.362167,4.571844,6.479363,6.170507,10.448903,6.533684,6.952749,6.986196,6.949790,7.446957,6.806343,6.527388,7.790388,7.634166,8.128985,7.465270,8.879992,0,-0.01765,0.00220,-0.02263,-0.01330,0.00547,-0.01162,-0.00643,0.00561,1.48457,0.10588,3.27754
