"Time","60 right DS","59 left DS","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,-3.893636,0.000000,0.000000,4.110225,3.941763,3.157686,4.548237,2.839445,4.822562,-0.47973,0.10788,3.27727
0.001,0,0,-3.805413,0.000000,0.000000,4.106167,3.941705,3.152037,4.546067,2.836045,4.812439,-0.50602,0.12045,3.27788
0.002,0,0,-3.723961,0.000000,0.000000,4.102550,3.941765,3.146514,4.543705,2.833990,4.802351,-0.55336,0.09613,3.27732
0.003,0,0,-3.644839,0.000000,0.000000,4.099083,3.941850,3.141036,4.541276,2.832399,4.792275,-0.57739,0.07386,3.27633
0.004,0,0,-3.565716,0.000000,1.227344,4.095616,3.941732,3.135556,4.538847,2.830808,4.782199,-0.60472,0.09559,3.27634
0.005,1,0,-3.486593,0.000000,2.716839,4.092150,3.941571,3.130077,4.536419,2.829216,4.772123,-0.62436,0.10235,3.27672
0.006,1,0,-3.434527,0.000000,2.976514,4.088924,3.940881,3.125058,4.534444,2.827907,4.771051,-0.64661,0.09313,3.27688
0.007,1,0,-3.391771,0.000000,2.973510,4.085781,3.940079,3.120198,4.532626,2.826694,4.773078,-0.67281,0.09884,3.27696
0.008,1,0,-3.349015,0.000000,2.970456,4.082638,3.938524,3.115337,4.530807,2.825481,4.775105,-0.71049,0.11516,3.27659
0.009,1,0,-3.306258,0.000000,2.967393,4.079495,3.936809,3.110476,4.528988,2.824268,4.777132,-0.74067,0.10106,3.27605
0.010,1,0,-3.301517,0.000000,2.964061,4.076419,3.934182,3.105890,4.527676,2.822266,4.777819,-0.76140,0.08464,3.27636
0.011,1,0,-3.309857,0.000000,2.960671,4.073365,3.931361,3.101398,4.526538,2.819992,4.778045,-0.78342,0.09976,3.27697
0.012,1,0,-3.318196,0.000000,2.957292,4.070312,3.927635,3.096907,4.525400,2.817719,4.778271,-0.80857,0.10643,3.27724
0.013,1,0,-3.326536,0.000000,2.953914,4.067257,3.923716,3.092415,4.524262,2.815445,4.778497,-0.82504,0.08637,3.27739
0.014,1,0,-3.365835,0.000000,2.950863,4.064092,3.918966,3.088206,4.523352,2.813668,4.778867,-0.85319,0.08726,3.27688
0.015,1,0,-3.415786,0.000000,2.947881,4.060887,3.914038,3.084095,4.522521,2.812062,4.779287,-0.89056,0.11479,3.27611
0.016,1,0,-3.465737,0.000000,2.945087,4.057683,3.908446,3.079983,4.521689,2.810455,4.779706,-0.90989,0.11762,3.27664
0.017,1,0,-3.515688,0.000000,2.942333,4.054478,3.902713,3.075872,4.520857,2.808849,4.780126,-0.93292,0.09818,3.27763
0.018,1,0,-3.584686,0.000000,2.939569,4.051014,3.896450,3.071661,4.520245,2.807585,4.780654,-0.95011,0.10192,3.27772
0.019,1,0,-3.660237,0.000000,2.936802,4.047460,3.890073,3.067415,4.519708,2.806438,4.781221,-0.97196,0.10832,3.27750
0.020,1,0,-3.735789,0.000000,2.934143,4.043906,3.883023,3.063169,4.519171,2.805292,4.781787,-0.99620,0.09434,3.27744
0.021,1,0,-3.811340,0.000000,2.931506,4.040351,3.875829,3.058923,4.518634,2.804145,4.782353,-1.02903,0.08942,3.27744
0.022,1,0,-3.903344,0.000000,2.929125,4.036236,3.867829,3.055653,4.518242,2.802695,4.782220,-1.04618,0.10824,3.27721
0.023,1,0,-4.001009,0.000000,2.926797,4.031927,3.859657,3.052717,4.517900,2.801141,4.781847,-1.06486,0.10971,3.27691
0.024,1,0,-4.098673,0.000000,2.924596,4.027618,3.850941,3.049782,4.517557,2.799587,4.781475,-1.08449,0.09273,3.27688
0.025,1,0,-4.196338,0.000000,2.922422,4.023309,3.842109,3.046847,4.517214,2.798032,4.781101,-1.10131,0.10006,3.27696
0.026,1,0,-4.319321,0.000000,2.920249,4.019083,3.832929,3.044369,4.516995,2.796358,4.777983,-1.12388,0.11730,3.27771
0.027,1,0,-4.451015,0.000000,2.918076,4.014885,3.823674,3.042049,4.516818,2.794642,4.773921,-1.15093,0.09826,3.27870
0.028,1,0,-4.582708,0.000000,2.916139,4.010687,3.813455,3.039729,4.516642,2.792926,4.769858,-1.16610,0.08040,3.27863
0.029,1,0,-4.714402,0.000000,2.914253,4.006489,3.803030,3.037408,4.516465,2.791210,4.765795,-1.18280,0.09756,3.27817
0.030,1,0,-4.907035,0.000000,2.912825,4.002051,3.790908,3.035757,4.517038,2.790020,4.767838,-1.19956,0.11202,3.27782
0.031,1,0,-5.120636,0.000000,2.911496,3.997530,3.778424,3.034337,4.517871,2.789009,4.771983,-1.21324,0.10294,3.27752
0.032,1,0,-5.334236,0.000000,2.910341,3.993010,3.764010,3.032916,4.518703,2.787998,4.776127,-1.22294,0.09503,3.27721
0.033,1,0,-5.547837,0.000000,2.909222,3.988489,3.749184,3.031495,4.519535,2.786988,4.780272,-1.25547,0.11550,3.27691
0.034,1,0,-5.819883,0.000000,2.907939,3.983030,3.732385,3.029969,4.520298,2.785832,4.782350,-1.26876,0.10739,3.27671
0.035,1,0,-6.112041,0.000000,2.906620,3.977248,3.715164,3.028408,4.521038,2.784627,4.783717,-1.28295,0.08914,3.27656
0.036,1,0,-6.404198,0.000000,2.905202,3.971467,3.696138,3.026847,4.521778,2.783422,4.785083,-1.29457,0.09861,3.27635
0.037,1,0,-6.696355,0.000000,2.903764,3.965685,3.676727,3.025286,4.522518,2.782216,4.786450,-1.30706,0.10600,3.27612
0.038,1,0,-7.030901,0.000000,2.902349,3.958933,3.655746,3.023896,4.523160,2.780687,4.785948,-1.31895,0.09176,3.27640
0.039,1,0,-7.380033,0.000000,2.900940,3.951847,3.634431,3.022566,4.523768,2.779046,4.784802,-1.34192,0.07549,3.27686
0.040,1,0,-7.729165,0.000000,2.899415,3.944760,3.611811,3.021236,4.524377,2.777405,4.783657,-1.35220,0.10758,3.27687
0.041,1,0,-8.078297,0.000000,2.897865,3.937674,3.588913,3.019906,4.524985,2.775764,4.782511,-1.36174,0.12198,3.27671
0.042,1,0,-8.417457,0.000000,2.896079,3.928832,3.565112,3.018528,4.525806,2.773714,4.772553,-1.37234,0.10440,3.27678
0.043,1,0,-8.753186,0.000000,2.894243,3.919386,3.541116,3.017134,4.526700,2.771523,4.759563,-1.38502,0.09600,3.27694
0.044,1,0,-9.088916,0.000000,2.892473,3.909940,3.517188,3.015739,4.527595,2.769332,4.746573,-1.39282,0.09878,3.27715
0.045,1,0,-9.424644,0.000000,2.890716,3.900495,3.493274,3.014345,4.528489,2.767142,4.733583,-1.40850,0.09032,3.27737
0.046,1,0,-9.705395,0.000000,2.889299,3.890250,3.470395,3.013251,4.528505,2.765260,4.721969,-1.41433,0.08617,3.27738
0.047,1,0,-9.967227,0.000000,2.887954,3.879732,3.447736,3.012260,4.528219,2.763484,4.710828,-1.42310,0.11184,3.27730
0.048,1,0,-10.229058,0.000000,2.886551,3.869213,3.426341,3.011270,4.527933,2.761708,4.699687,-1.43134,0.12413,3.27739
0.049,1,0,-10.490891,0.000000,2.885136,3.858694,3.405215,3.010279,4.527647,2.759932,4.688546,-1.43775,0.10355,3.27755
0.050,1,0,-10.680877,0.000000,2.883232,3.847598,3.385425,3.009161,4.525928,2.757119,4.677061,-1.44359,0.07926,3.27764
0.051,1,0,-10.846142,0.000000,2.881222,3.836304,3.365919,3.007998,4.523718,2.753950,4.665457,-1.45450,0.10596,3.27772
0.052,1,0,-11.011407,0.000000,2.878973,3.825011,3.348049,3.006836,4.521507,2.750780,4.653854,-1.45792,0.10397,3.27746
0.053,1,0,-11.176672,0.000000,2.876673,3.813717,3.330527,3.005673,4.519296,2.747611,4.642251,-1.46406,0.08589,3.27708
0.054,1,0,-11.262324,0.000000,2.874499,3.802127,3.314884,3.004793,4.516228,2.744323,4.630593,-1.46705,0.09367,3.27692
0.055,1,0,-11.320582,0.000000,2.872352,3.790437,3.299641,3.004011,4.512865,2.740996,4.618918,-1.46877,0.11072,3.27685
0.056,1,0,-11.378841,0.000000,2.870345,3.778745,3.285978,3.003228,4.509501,2.737668,4.607243,-1.47544,0.10846,3.27677
0.057,1,0,-11.437099,0.000000,2.868368,3.767055,3.272652,3.002445,4.506138,2.734340,4.595568,-1.47424,0.09090,3.27669
0.058,1,0,-11.435875,0.000000,2.866420,3.755210,3.260555,3.001881,4.502157,2.730764,4.584986,-1.47860,0.11135,3.27690
0.059,1,0,-11.414183,0.000000,2.864477,3.743314,3.248720,3.001392,4.497963,2.727103,4.574780,-1.47906,0.10855,3.27720
0.060,1,0,-11.392490,0.000000,2.862333,3.731417,3.238221,3.000904,4.493770,2.723442,4.564574,-1.48038,0.09155,3.27717
0.061,1,0,-11.370798,0.000000,2.860146,3.719520,3.228006,3.000415,4.489576,2.719780,4.554368,-1.47899,0.09391,3.27702
0.062,1,0,-11.293537,0.000000,2.857536,3.707996,3.219342,3.000014,4.485288,2.714660,4.545819,-1.48151,0.10458,3.27703
0.063,1,0,-11.197155,0.000000,2.854836,3.696599,3.211009,2.999644,4.480967,2.709038,4.537841,-1.47838,0.09971,3.27711
0.064,1,0,-11.100773,0.000000,2.851684,3.685204,3.204355,2.999274,4.476645,2.703416,4.529863,-1.47816,0.08483,3.27719
0.065,1,0,-11.004391,0.000000,2.848435,3.673807,3.198061,2.998904,4.472324,2.697793,4.521884,-1.47446,0.10932,3.27726
0.066,1,0,-10.847957,0.000000,2.844929,3.662883,3.193511,2.998717,4.467956,2.691834,4.514860,-1.47139,0.12006,3.27717
0.067,1,0,-10.670858,0.000000,2.841368,3.652121,3.189334,2.998593,4.463570,2.685759,4.508162,-1.47043,0.10173,3.27702
0.068,1,0,-10.493761,0.000000,2.838510,3.641359,3.186784,2.998468,4.459185,2.679684,4.501466,-1.45964,0.09610,3.27715
0.069,1,0,-10.316663,0.000000,2.835801,3.630597,3.184581,2.998344,4.454800,2.673609,4.494769,-1.46024,0.10040,3.27737
0.070,1,0,-10.075571,0.000000,2.834659,3.620175,3.183956,2.998052,4.449975,2.672118,4.490022,-1.45393,0.09145,3.27716
0.071,1,0,-9.812460,0.000000,2.833852,3.609871,3.183668,2.997703,4.444997,2.672205,4.485947,-1.44846,0.08835,3.27677
0.072,1,0,-9.549349,0.000000,2.834077,3.599567,3.185440,2.997353,4.440021,2.672292,4.481871,-1.44177,0.11364,3.27678
0.073,1,0,-9.286238,0.000000,2.834523,3.589262,3.187653,2.997003,4.435044,2.672378,4.477796,-1.43702,0.11989,3.27694
0.074,1,0,-8.936359,0.000000,2.835216,3.579788,3.192478,2.997226,4.429305,2.673307,4.476446,-1.43293,0.09781,3.27731
0.075,1,0,-8.556626,0.000000,2.835962,3.570599,3.197862,2.997646,4.423303,2.674525,4.476035,-1.42122,0.09511,3.27777
0.076,1,0,-8.176892,0.000000,2.836819,3.561410,3.206042,2.998065,4.417301,2.675744,4.475624,-1.40859,0.11365,3.27772
0.077,1,0,-7.797158,0.000000,2.837701,3.552221,3.214820,2.998485,4.411299,2.676963,4.475213,-1.39859,0.09838,3.27750
0.078,1,0,-7.342829,0.000000,2.838753,3.544668,3.226392,2.999041,4.404603,2.678724,4.474989,-1.39111,0.07783,3.27732
0.079,1,0,-6.862833,0.000000,2.839842,3.537678,3.238559,2.999644,4.397667,2.680673,4.474830,-1.38381,0.09565,3.27717
0.080,1,0,-6.382837,0.000000,2.841216,3.530689,3.253138,3.000246,4.390732,2.682622,4.474670,-1.37250,0.11321,3.27741
0.081,1,0,-5.902841,0.000000,2.842650,3.523699,3.268231,3.000849,4.383796,2.684571,4.474511,-1.36110,0.10315,3.27779
0.082,1,0,-5.364038,0.000000,2.844397,3.518006,3.285344,3.001698,4.376129,2.686960,4.475051,-1.34925,0.10222,3.27739
0.083,1,0,-4.805001,0.000000,2.846211,3.512759,3.302889,3.002632,4.368210,2.689500,4.475831,-1.33195,0.11889,3.27670
0.084,1,0,-4.245965,0.000000,2.847908,3.507512,3.322509,3.003566,4.360291,2.692040,4.476612,-1.31862,0.10645,3.27669
0.085,1,0,-3.686927,0.000000,2.849582,3.502265,3.342572,3.004500,4.352372,2.694580,4.477392,-1.30831,0.08839,3.27692
0.086,1,0,-3.109511,0.000000,2.850727,3.499435,3.364678,3.005906,4.344917,2.695318,4.478383,-1.29518,0.10230,3.27715
0.087,1,0,-2.525770,0.000000,2.851759,3.497436,3.387220,3.007475,4.337622,2.695434,4.479447,-1.28354,0.10482,3.27737
0.088,1,0,-1.942030,0.000000,2.852501,3.495438,3.410800,3.009043,4.330326,2.695551,4.480512,-1.26949,0.08793,3.27721
0.089,1,0,-1.358289,0.000000,2.853181,3.493439,3.434601,3.010612,4.323030,2.695668,4.481576,-1.24245,0.08369,3.27691
0.090,1,0,-0.800228,0.000000,2.853859,3.492950,3.458388,3.012189,4.315928,2.695212,4.482705,-1.22802,0.11387,3.27682
0.091,1,0,-0.251002,0.000000,2.854535,3.492980,3.482172,3.013770,4.308892,2.694559,4.483857,-1.21067,0.11837,3.27682
0.092,1,0,0.298224,0.000000,1.678537,3.493010,3.505916,3.015351,4.301856,2.693906,4.485008,-1.19631,0.09765,3.27699
0.093,0,0,0.847449,0.000000,0.251210,3.493040,3.529651,3.016932,4.294819,2.693253,4.486160,-1.18311,0.10673,3.27722
0.094,0,0,1.354678,0.000000,0.000000,3.494773,3.553477,3.018294,4.287363,2.690960,4.487298,-1.16653,0.11292,3.27706
0.095,0,0,1.847456,0.000000,0.000000,3.497092,3.577322,3.019582,4.279763,2.688103,4.488431,-1.13976,0.09272,3.27675
0.096,0,0,2.340233,0.000000,0.000000,3.499411,3.600807,3.020870,4.272162,2.685246,4.489563,-1.11675,0.09172,3.27656
0.097,0,0,2.833011,0.000000,0.000000,3.501731,3.624215,3.022158,4.264562,2.682389,4.490696,-1.09993,0.10918,3.27641
0.098,0,0,3.263123,0.000000,0.000000,3.505482,3.646776,3.023586,4.255526,2.678821,4.492497,-1.08174,0.10819,3.27659
0.099,0,0,3.671673,0.000000,0.000000,3.509727,3.669157,3.025061,4.245997,2.675009,4.494527,-1.06605,0.09180,3.27690
0.100,0,0,4.080224,0.000000,0.000000,3.513972,3.690797,3.026537,4.236469,2.671197,4.496557,-1.04558,0.11109,3.27687
0.101,0,0,4.488773,0.000000,0.000000,3.518217,3.712278,3.028013,4.226940,2.667386,4.498588,-1.02466,0.12047,3.27671
0.102,0,0,4.848043,0.000000,0.000000,3.523443,3.733210,3.029559,4.215719,2.662831,4.501026,-0.99154,0.09561,3.27678
0.103,0,0,5.190357,0.000000,0.000000,3.529006,3.754025,3.031129,4.203915,2.658020,4.503603,-0.97251,0.08090,3.27694
0.104,0,0,5.532670,0.000000,0.000000,3.534570,3.774135,3.032699,4.192111,2.653209,4.506182,-0.95286,0.10010,3.27737
0.105,0,0,5.874983,0.000000,0.000000,3.540133,3.794093,3.034269,4.180308,2.648398,4.508760,-0.93080,0.10180,3.27790
0.106,0,0,6.161504,0.000000,0.000000,3.546490,3.813123,3.036223,4.167658,2.644854,4.511771,-0.91099,0.09341,3.27754
0.107,0,0,6.428829,0.000000,0.000000,3.553119,3.831954,3.038310,4.154717,2.641745,4.514931,-0.89110,0.09512,3.27685
0.108,0,0,6.696153,0.000000,0.000000,3.559749,3.849790,3.040396,4.141777,2.638636,4.518092,-0.86362,0.11715,3.27684
0.109,0,0,6.963478,0.000000,0.000000,3.566379,3.867412,3.042483,4.128836,2.635527,4.521252,-0.82884,0.10937,3.27707
0.110,0,0,7.166892,0.000000,0.000000,3.573855,3.883997,3.044178,4.115711,2.628104,4.524213,-0.80607,0.09213,3.27735
0.111,0,0,7.348316,0.000000,0.000000,3.581623,3.900361,3.045739,4.102522,2.619196,4.527107,-0.78315,0.10305,3.27766
0.112,0,0,7.529740,0.000000,0.000000,3.589391,3.915569,3.047301,4.089333,2.610289,4.530000,-0.76882,0.10753,3.27780
0.113,0,0,7.711164,0.000000,0.000000,3.597159,3.930530,3.048862,4.076144,2.601381,4.532894,-0.73856,0.08941,3.27787
0.114,0,0,7.818962,0.000000,0.000000,3.605566,3.944148,3.050292,4.063076,2.579136,4.535544,-0.71644,0.07120,3.27761
0.115,0,0,7.901424,0.000000,0.000000,3.614194,3.957479,3.051677,4.050050,2.552301,4.538112,-0.68990,0.10655,3.27723
0.116,0,0,7.983888,0.000000,0.000000,3.622821,3.969069,3.053061,4.037024,2.525466,4.540680,-0.64927,0.12593,3.27730
0.117,0,0,8.066351,0.000000,0.000000,3.631449,3.980288,3.054446,4.023997,2.498631,4.543248,-0.62596,0.10905,3.27753
0.118,0,0,8.064066,0.000000,0.000000,3.640029,3.989380,3.055684,4.012226,2.480827,4.545222,-0.60283,0.07745,3.27703
0.119,0,0,8.032621,0.000000,0.000000,3.648592,3.998018,3.056871,4.000885,2.466131,4.546992,-0.57736,0.08907,3.27626
0.120,0,0,8.001176,0.000000,0.000000,3.657156,4.004469,3.058059,3.989544,2.451435,4.548762,-0.55510,0.10402,3.27645
0.121,0,0,7.969730,0.000000,0.000000,3.665720,4.010454,3.059246,3.978204,2.436739,4.550532,-0.53047,0.09535,3.27699
0.122,0,0,7.859809,0.000000,0.000000,3.673831,4.014297,3.060351,3.968279,2.426022,4.552681,-0.49835,0.08718,3.27724
0.123,0,0,7.722885,0.000000,0.000000,3.681786,4.017682,3.061427,3.958842,2.416675,4.554961,-0.45624,0.10360,3.27739
0.124,0,0,7.585960,0.000000,0.000000,3.689741,4.019014,3.062504,3.949404,2.407327,4.557241,-0.43080,0.11787,3.27749
0.125,0,0,7.449036,0.000000,0.000000,3.697696,4.019907,3.063581,3.939966,2.397980,4.559522,-0.40741,0.09856,3.27757
0.126,0,0,7.239813,0.000000,0.000000,3.705238,4.018844,3.065114,3.930828,2.388963,4.560897,-0.37891,0.08145,3.27764
0.127,0,0,7.005713,0.000000,0.000000,3.712639,4.017364,3.066805,3.921792,2.380061,4.561961,-0.35543,0.09754,3.27772
0.128,0,0,6.771614,0.000000,0.000000,3.720039,4.014002,3.068496,3.912757,2.371158,4.563025,-0.33021,0.10927,3.27718
0.129,0,0,6.537514,0.000000,0.000000,3.727440,4.010239,3.070187,3.903721,2.362256,4.564088,-0.30110,0.09408,3.27642
0.130,0,0,6.255378,0.000000,0.000000,3.733917,4.004729,3.071730,3.895952,2.353910,4.563777,-0.25438,0.10569,3.27649
0.131,0,0,5.956715,0.000000,0.000000,3.740077,3.998847,3.073221,3.888618,2.345757,4.562994,-0.22963,0.12054,3.27688
0.132,0,0,5.658051,0.000000,0.000000,3.746238,3.991650,3.074713,3.881283,2.337604,4.562210,-0.20560,0.11386,3.27687
0.133,0,0,5.359386,0.000000,0.000000,3.752398,3.984173,3.076205,3.873949,2.329450,4.561426,-0.17888,0.09422,3.27671
0.134,0,0,5.045505,0.000000,0.000000,3.757565,3.975838,3.077769,3.868637,2.334636,4.559531,-0.15362,0.10014,3.27695
0.135,0,0,4.726386,0.000000,0.000000,3.762391,3.967320,3.079359,3.864020,2.344411,4.557254,-0.12598,0.10307,3.27733
0.136,0,0,4.407268,0.000000,0.000000,3.767218,3.958127,3.080948,3.859403,2.354187,4.554977,-0.09498,0.08812,3.27727
0.137,0,0,4.088150,0.000000,0.000000,3.772044,3.948790,3.082538,3.854786,2.363962,4.552700,-0.04824,0.08525,3.27704
0.138,0,0,3.787532,0.000000,0.000000,3.775454,3.938982,3.084072,3.853000,2.365552,4.550148,-0.02235,0.10678,3.27703
0.139,0,0,3.493280,0.000000,0.000000,3.778377,3.929074,3.085587,3.852187,2.364326,4.547501,0.00250,0.10806,3.27711
0.140,0,0,3.199028,0.000000,0.000000,3.781301,3.919346,3.087102,3.851375,2.363099,4.544854,0.02562,0.09480,3.27724
0.141,0,0,2.904776,0.000000,0.000000,3.784224,3.909656,3.088617,3.850563,2.361873,4.542207,0.05348,0.10550,3.27739
0.142,0,0,2.659740,0.000000,0.000000,3.786336,3.900808,3.090189,3.852005,2.359536,4.539360,0.08083,0.11900,3.27716
