"Time","60 right DS","59 left DS","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,1,1,0.000000,0.000000,4.712864,7.044370,4.462267,3.641845,5.124011,3.402778,5.123077,0.00030,0.11702,3.27712
0.001,1,1,0.000000,0.000000,4.711096,7.128981,4.470561,3.640988,5.124564,3.403792,5.132676,0.00015,0.10318,3.27793
0.002,1,1,0.000000,0.000000,4.709187,7.165606,4.478653,3.640188,5.125088,3.404817,5.142309,0.00001,0.10487,3.27892
0.003,1,1,0.000000,0.000000,4.705936,7.202230,4.486745,3.639388,5.125613,3.405842,5.151942,0.00030,0.11540,3.27825
0.004,1,1,0.000000,0.000000,4.702533,7.238855,4.494838,3.638589,5.126138,3.406867,5.161575,0.00015,0.10511,3.27718
0.005,1,1,0.000000,0.000000,4.697777,7.072591,4.501749,3.638486,5.126621,3.407903,5.171805,0.00015,0.10840,3.27692
0.006,1,1,0.000000,0.000000,4.692867,6.861186,4.508397,3.638538,5.127095,3.408942,5.182169,0.00000,0.11943,3.27684
0.007,1,1,0.000000,0.000000,4.686612,6.649781,4.515046,3.638590,5.127569,3.409981,5.192533,0.00016,0.10655,3.27676
0.008,1,1,0.000000,0.000000,4.680203,6.438375,4.521694,3.638642,5.128043,3.411019,5.202896,0.00045,0.11307,3.27669
0.009,1,1,0.000000,0.000000,4.672468,6.103821,4.528183,3.638499,5.128507,3.412137,5.213778,0.00000,0.11942,3.27667
0.010,1,1,0.000000,0.000000,4.664582,5.741867,4.534638,3.638312,5.128968,3.413272,5.224774,0.00000,0.10490,3.27667
0.011,1,1,0.000000,0.000000,4.655440,5.379913,4.541092,3.638126,5.129429,3.414407,5.235771,0.00030,0.11729,3.27686
0.012,1,1,0.000000,0.000000,4.646156,5.017959,4.547547,3.637939,5.129891,3.415543,5.246768,0.00016,0.11669,3.27709
0.013,1,1,0.000000,0.000000,4.635742,4.569638,4.552514,3.637738,5.130248,3.416631,5.257700,0.00031,0.09667,3.27744
0.014,1,1,0.000000,0.000000,4.625199,4.102102,4.557149,3.637533,5.130582,3.417709,5.268620,-0.00015,0.11570,3.27782
0.015,1,1,0.000000,0.000000,4.613664,3.634566,4.561785,3.637328,5.130916,3.418786,5.279539,0.00000,0.11110,3.27758
0.016,1,1,0.000000,0.000000,4.602016,3.167029,4.566421,3.637124,5.131250,3.419864,5.290457,0.00031,0.08784,3.27720
0.017,1,1,0.000000,0.000000,4.588272,2.612586,4.569584,3.636741,5.131451,3.420798,5.300833,-0.00015,0.11796,3.27738
0.018,1,1,0.000000,0.000000,4.574290,2.038807,4.572419,3.636319,5.131621,3.421699,5.311087,0.00014,0.10976,3.27768
0.019,1,1,0.000000,0.000000,4.558513,1.465028,4.575254,3.635896,5.131792,3.422600,5.321341,0.00015,0.07863,3.27768
0.020,1,1,0.000000,0.000000,4.542532,0.891249,4.578090,3.635474,5.131963,3.423502,5.331595,-0.00000,0.11441,3.27760
