"Time","56 right DS","55 left DS","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0.000000,0.000000,6.508856,2.776109,6.417934,5.677536,6.628941,5.427220,7.042695,1.48299,0.09519,3.27657
0.001,0,0,0.000000,0.000000,6.512836,3.004436,6.421152,5.681948,6.629067,5.431065,7.037904,1.48143,0.10266,3.27689
0.002,0,0,0.000000,0.000000,6.516786,3.185509,6.425196,5.686736,6.629082,5.434417,7.037065,1.48354,0.10467,3.27704
0.003,0,0,0.000000,0.000000,6.520655,3.366583,6.429239,5.691524,6.629097,5.437769,7.036225,1.48438,0.08167,3.27706
0.004,0,0,0.000000,0.000000,6.524452,3.547657,6.433283,5.696311,6.629113,5.441122,7.035386,1.48978,0.08756,3.27691
0.005,0,0,0.000000,0.000000,6.528117,3.673932,6.437516,5.701009,6.629105,5.443638,7.031318,1.48347,0.12313,3.27676
0.006,0,0,0.000000,0.000000,6.531663,3.733228,6.441980,5.705595,6.629069,5.445133,7.023303,1.48563,0.10292,3.27661
0.007,0,0,0.000000,0.000000,6.535007,3.792525,6.446445,5.710183,6.629034,5.446629,7.015288,1.48474,0.09500,3.27662
0.008,0,0,0.000000,0.000000,6.538169,3.851821,6.450909,5.714769,6.628997,5.448123,7.007274,1.48520,0.10348,3.27685
0.009,0,0,0.000000,0.000000,6.541045,3.852497,6.455312,5.719639,6.629038,5.449215,6.999664,1.48236,0.09194,3.27688
0.010,0,0,0.000000,0.000000,6.543667,3.781526,6.459641,5.724854,6.629171,5.449812,6.992552,1.48245,0.09862,3.27665
0.011,0,0,0.000000,0.000000,6.545926,3.710554,6.463969,5.730069,6.629304,5.450409,6.985439,1.48663,0.12632,3.27672
0.012,0,0,0.000000,0.000000,6.547863,3.639582,6.468297,5.735284,6.629437,5.451006,6.978326,1.48264,0.10914,3.27718
0.013,0,0,0.000000,0.000000,6.549370,3.528890,6.472183,5.740396,6.629490,5.451405,6.971403,1.48595,0.09703,3.27730
0.014,0,0,0.000000,0.000000,6.550498,3.369652,6.475528,5.745381,6.629444,5.451561,6.964713,1.48257,0.10591,3.27700
0.015,0,0,0.000000,0.000000,6.551129,3.210413,6.478874,5.750367,6.629398,5.451717,6.958023,1.48499,0.09655,3.27672
