"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.528549,44.356041,87.265327,63.108196,4.048569,14.578552,2.946686,14.985922,4.702384,16.761341,0,3.237229,13.591507,5.224124,12.660991,6.065992,15.235359,6.157681,13.911146,6.207142,13.271358,6.353525,12.768776,6.961559,13.896260,7.995489,13.278239,8.044050,14.062609,0,-0.02396,0.00428,-0.02026,-0.01085,0.00871,-0.01267,0.00321,0.00232,0.00011,0.09609,3.27706
0.001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.504425,44.190926,87.203079,63.303913,4.047969,14.577989,2.946223,14.974265,4.707546,16.770790,0,3.231339,13.584252,5.224282,12.648480,6.065429,15.225537,6.154652,13.902816,6.204319,13.259239,6.350200,12.756437,6.953571,13.887248,7.988187,13.272491,8.037857,14.058436,0,-0.01556,0.00266,-0.02064,-0.01693,0.00891,-0.01192,0.00543,0.00179,-0.00004,0.11202,3.27690
0.002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.398575,44.174812,87.182358,63.471542,4.046749,14.576330,2.945662,14.963035,4.712423,16.780937,0,3.226336,13.575201,5.223913,12.635533,6.064520,15.215520,6.154679,13.895094,6.202424,13.249261,6.350862,12.746439,6.946968,13.878329,7.983053,13.267796,8.032677,14.051648,0,-0.01840,-0.00542,-0.02191,-0.01163,0.00852,-0.01146,0.00457,0.00182,0.00015,0.09730,3.27705
0.003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.292740,44.158699,87.161629,63.639175,4.045529,14.574672,2.945101,14.951803,4.717299,16.791084,0,3.221334,13.566150,5.223545,12.622586,6.063610,15.205503,6.154706,13.887372,6.200528,13.239283,6.351524,12.736442,6.940365,13.869411,7.977920,13.263101,8.027495,14.044859,0,-0.01896,0.00070,-0.01875,-0.01028,0.00843,-0.01348,0.00605,0.00348,0.00015,0.08895,3.27702
0.004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.186890,44.142590,87.140900,63.806808,4.044309,14.573013,2.944540,14.940573,4.722177,16.801231,0,3.216331,13.557098,5.223176,12.609639,6.062701,15.195485,6.154733,13.879650,6.198632,13.229304,6.352186,12.726443,6.933762,13.860493,7.972786,13.258406,8.022315,14.038071,0,-0.01653,0.00294,-0.01977,-0.01154,0.00789,-0.01268,0.01437,0.00175,0.00013,0.08864,3.27679
0.005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.126175,44.153591,87.046478,63.896973,4.042428,14.571495,2.943894,14.929644,4.726337,16.810394,0,3.212586,13.547803,5.223201,12.596936,6.061780,15.186083,6.151649,13.864934,6.196487,13.213655,6.350443,12.714986,6.928835,13.852317,7.968832,13.253880,8.018113,14.031136,0,-0.02023,0.00506,-0.02086,-0.01292,0.00866,-0.01335,-0.00061,0.00284,0.00002,0.10616,3.27686
0.006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.109512,44.191067,86.880112,63.911503,4.039903,14.570113,2.943165,14.919011,4.729799,16.818600,0,3.210070,13.538271,5.223610,12.584472,6.060849,15.177280,6.145526,13.843389,6.194099,13.192467,6.346352,12.702104,6.925544,13.844868,7.966030,13.249518,8.014868,14.024058,0,-0.01450,0.00184,-0.01998,-0.01420,0.00822,-0.01284,0.01339,0.00343,0.00011,0.10726,3.27724
0.007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.092865,44.228546,86.713745,63.926037,4.037378,14.568731,2.942436,14.908378,4.733261,16.826803,0,3.207553,13.528739,5.224020,12.572007,6.059917,15.168479,6.139404,13.821843,6.191710,13.171280,6.342261,12.689220,6.922253,13.837418,7.963227,13.245156,8.011621,14.016981,0,-0.01578,0.00438,-0.01934,-0.01215,0.00929,-0.01281,0.00646,0.00279,0.00002,0.08968,3.27702
0.008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.076202,44.266022,86.547371,63.940567,4.034852,14.567350,2.941707,14.897745,4.736723,16.835007,0,3.205036,13.519207,5.224429,12.559543,6.058985,15.159677,6.133282,13.800298,6.189322,13.150093,6.338171,12.676338,6.918962,13.829967,7.960424,13.240795,8.008376,14.009904,0,-0.01898,0.00290,-0.02015,-0.01196,0.00795,-0.01224,0.00492,0.00186,0.00015,0.08494,3.27618
0.009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.200623,44.252861,86.270065,63.928524,4.032390,14.564240,2.941189,14.887565,4.738568,16.841932,0,3.203170,13.509698,5.224388,12.546534,6.058212,15.151025,6.131000,13.785033,6.189686,13.136694,6.339845,12.666502,6.916465,13.823271,7.958301,13.235319,8.005552,14.003207,0,-0.01654,0.00247,-0.02011,-0.01371,0.00886,-0.01262,0.00605,0.00390,-0.00004,0.11030,3.27644
