"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.045074,74.583038,85.675285,90.048439,4.114846,8.068600,3.159415,10.887664,4.546532,8.674865,0,2.839445,5.619548,4.876967,4.821363,6.396290,10.833539,5.994337,5.163622,6.378440,5.058369,6.897468,5.014155,6.634464,6.283930,7.838638,6.428280,7.738660,7.137474,0,-0.01639,-0.00238,-0.01411,-0.01361,0.00878,-0.01833,0.00425,0.00356,-0.47973,0.10788,3.27727
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.353500,75.229637,85.930054,90.649872,4.111895,8.077763,3.153170,10.895766,4.544494,8.661663,0,2.836045,5.607758,4.877655,4.829638,6.377171,10.834466,5.972355,5.277460,6.365644,5.048737,6.896460,5.012659,6.629427,6.281347,7.835571,6.434354,7.737303,7.145690,0,-0.02036,0.00912,-0.02390,-0.01572,0.00662,-0.00706,0.00463,0.01290,-0.50602,0.12045,3.27788
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.989883,75.554710,86.126625,91.244843,4.106334,8.080630,3.146824,10.898405,4.542146,8.648904,0,2.833990,5.596796,4.865980,4.968165,6.355047,10.834324,5.965085,5.298319,6.362835,5.039687,6.896123,5.010901,6.624092,6.276937,7.827914,6.440678,7.730744,7.153923,0,-0.01744,-0.00255,-0.01257,-0.01248,0.00734,-0.01438,0.00476,0.00318,-0.55336,0.09613,3.27732
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.115448,75.769150,86.303169,91.837593,4.099877,8.081332,3.140444,10.899163,4.539691,8.636297,0,2.832399,5.586120,4.850051,5.151511,6.331890,10.833814,5.962877,5.287184,6.363462,5.030837,6.896018,5.009053,6.618653,6.271897,7.818678,6.447088,7.722395,7.162161,0,-0.01340,0.00372,-0.01928,-0.01464,0.00806,-0.01353,0.00414,-0.00077,-0.57739,0.07386,3.27633
0.004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,147.241013,75.983589,86.479713,92.430344,4.093419,8.082035,3.134064,10.899921,4.537237,8.623692,0,2.830808,5.575444,4.834122,5.334856,6.308733,10.833302,5.960669,5.276049,6.364089,5.021986,6.895912,5.007205,6.613215,6.266858,7.809441,6.453498,7.714046,7.170399,0,-0.01894,0.00734,-0.02261,-0.01343,0.01026,-0.01301,0.00570,0.00369,-0.60472,0.09559,3.27634
0.005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.366592,76.198036,86.656258,93.023094,4.086962,8.082737,3.127684,10.900680,4.534782,8.611085,0,2.829216,5.564768,4.818193,5.518201,6.285576,10.832792,5.958460,5.264915,6.364716,5.013136,6.895807,5.005358,6.607777,6.261818,7.800205,6.459908,7.705698,7.178637,0,-0.01633,0.00404,-0.01931,-0.01457,0.00758,-0.01100,0.00563,0.00327,-0.62436,0.10235,3.27672
0.006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.775513,76.612724,86.794380,93.483604,4.080567,8.084642,3.121747,10.897377,4.532715,8.599294,0,2.827907,5.554453,4.802050,5.701066,6.262245,10.826305,5.957361,5.263597,6.361440,5.005585,6.898813,5.001222,6.603165,6.261415,7.793593,6.467849,7.701101,7.186579,0,-0.01762,0.00489,-0.02056,-0.01100,0.00876,-0.01295,0.00251,-0.00018,-0.64661,0.09313,3.27688
0.007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.281921,77.096329,86.919289,93.898621,4.074195,8.086962,3.115962,10.892676,4.530780,8.587782,0,2.826694,5.544264,4.785832,5.883765,6.238853,10.817761,5.956643,5.265656,6.356820,4.998480,6.902891,4.996298,6.598839,6.262607,7.787886,6.476316,7.697794,7.194419,0,-0.01649,0.00341,-0.01989,-0.01297,0.00305,-0.01147,0.00711,0.00434,-0.67281,0.09884,3.27696
0.008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.788345,77.579926,87.044189,94.313637,4.067823,8.089281,3.110177,10.887977,4.528846,8.576271,0,2.825481,5.534074,4.769616,6.066464,6.215460,10.809217,5.955925,5.267716,6.352200,4.991375,6.906968,4.991375,6.594512,6.263799,7.782178,6.484783,7.694489,7.202260,0,-0.01669,0.00612,-0.02158,-0.01406,0.01281,-0.01490,0.00598,0.00159,-0.71049,0.11516,3.27659
0.009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.294769,78.063522,87.169098,94.728645,4.061450,8.091599,3.104392,10.883276,4.526911,8.564760,0,2.824268,5.523885,4.753398,6.249164,6.192068,10.800673,5.955206,5.269775,6.347580,4.984270,6.911046,4.986451,6.590186,6.264992,7.776470,6.493250,7.691183,7.210101,0,-0.01816,0.00252,-0.02081,-0.01309,0.00850,-0.01237,0.00565,0.00312,-0.74067,0.10106,3.27605
