"Time","m1 Lmark cle","70 Lmark cle","69 Rmark cle","68 LDS clean","m2 LDS clean","67 RDS clean","66 LDS mark","65 RDS mark","v3 L COP","v2 R COP","v1 xCoM","37 CoMy (cm)","34 FRx (cm)","29 HRx (cm)","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0.000000,0.000000,6.770835,6.719928,18.681932,13.903829,17.175091,14.501863,-1.47875,0.07808,3.27657
0.001,0,0,0,0,0,0,0,0,0.000000,0.000000,6.773895,6.721231,18.691156,13.893415,17.163979,14.513115,-1.47860,0.12613,3.27680
0.002,0,0,0,0,0,0,0,0,0.000000,0.000000,6.776759,6.722534,18.700380,13.883003,17.152866,14.524368,-1.48028,0.09296,3.27703
0.003,0,0,0,0,0,0,0,0,0.000000,0.000000,6.779160,6.723837,18.709604,13.872591,17.141754,14.535621,-1.48220,0.07743,3.27725
0.004,0,0,0,0,0,0,0,0,0.000000,0.000000,6.781308,6.725166,18.719194,13.860828,17.130505,14.545491,-1.48129,0.11412,3.27745
0.005,0,0,0,0,0,0,0,0,0.000000,0.000000,6.782864,6.726587,18.730104,13.844164,17.118759,14.550345,-1.48098,0.09980,3.27753
0.006,0,0,0,0,0,0,0,0,0.000000,0.000000,6.784191,6.728009,18.741016,13.827500,17.107016,14.555199,-1.48431,0.09851,3.27756
0.007,0,0,0,0,0,0,0,0,0.000000,0.000000,6.784979,6.729431,18.751926,13.810836,17.095270,14.560053,-1.47901,0.09522,3.27740
0.008,0,0,0,0,0,0,0,0,0.000000,0.000000,6.785535,6.730845,18.765135,13.795443,17.083435,14.564932,-1.47873,0.12183,3.27728
0.009,0,0,0,0,0,0,0,0,0.000000,0.000000,6.785545,6.732235,18.786678,13.784663,17.071268,14.569904,-1.47949,0.10227,3.27728
0.010,0,0,0,0,0,0,0,0,0.000000,0.000000,6.785105,6.733625,18.808222,13.773883,17.059101,14.574877,-1.48294,0.09435,3.27725
0.011,0,0,0,0,0,0,0,0,0.000000,0.000000,6.783605,6.735015,18.829767,13.763103,17.046932,14.579848,-1.48024,0.12528,3.27710
0.012,0,0,0,0,0,0,0,0,0.000000,0.000000,6.781441,6.736302,18.848688,13.751560,17.034935,14.584783,-1.47946,0.09714,3.27690
0.013,0,0,0,0,0,0,0,0,0.000000,0.000000,6.777715,6.737211,18.858089,13.737248,17.023550,14.589577,-1.48123,0.09137,3.27652
0.014,0,0,0,0,0,0,0,0,0.000000,0.000000,6.773413,6.738120,18.867491,13.722936,17.012165,14.594370,-1.48052,0.11161,3.27631
