"Time","v3 L COP","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,6.512242,0.314074,0.000000,0,0,17.863449,12.187275,0,7.102224,0,19.051105,5.194956,7.962829,13.219921,1.48605,0.09818,3.27610
0.001,0.000000,6.515769,0.386338,0.000000,0,0,17.851099,12.177162,0,7.099039,0,19.062201,5.195604,7.960890,13.208689,1.48544,0.09094,3.27565
0.002,0.000000,6.519413,0.458601,0.000000,0,0,17.838751,12.167050,0,7.095853,0,19.073294,5.196253,7.958951,13.197457,1.48361,0.11924,3.27644
0.003,0.000000,6.523057,0.530864,0.000000,0,0,17.826401,12.156938,0,7.092668,0,19.084387,5.196902,7.957011,13.186225,1.48056,0.10615,3.27735
0.004,0.000000,6.526859,0.598323,0.000000,0,0,17.814259,12.146900,0,7.089162,0,19.096388,5.197025,7.955121,13.175709,1.48361,0.10156,3.27730
0.005,0.000000,6.530662,0.665354,0.000000,0,0,17.802135,12.136869,0,7.085629,0,19.108471,5.197101,7.953234,13.165257,1.48392,0.08930,3.27714
0.006,0.000000,6.534543,0.732384,0.000000,0,0,17.790010,12.126838,0,7.082095,0,19.120554,5.197177,7.951347,13.154805,1.48483,0.11386,3.27720
0.007,0.000000,6.538423,0.799415,0.000000,0,0,17.777887,12.116807,0,7.078561,0,19.132637,5.197254,7.949460,13.144354,1.48514,0.10557,3.27728
0.008,0.000000,6.542250,0.854156,0.000000,0,0,17.765703,12.107749,0,7.074704,0,19.145948,5.196955,7.947973,13.134290,1.48224,0.08773,3.27694
0.009,0.000000,6.546076,0.907801,0.000000,0,0,17.753513,12.098779,0,7.070818,0,19.159370,5.196622,7.946522,13.124261,1.48315,0.11940,3.27655
0.010,0.000000,6.549644,0.961445,0.000000,0,0,17.741323,12.089808,0,7.066933,0,19.172792,5.196290,7.945071,13.114232,1.48453,0.11420,3.27728
0.011,0.000000,6.553213,1.015089,0.000000,0,0,17.729134,12.080838,0,7.063047,0,19.186214,5.195957,7.943620,13.104202,1.48239,0.09417,3.27812
0.012,0.000000,6.556345,1.054817,0.000000,0,0,17.717207,12.073388,0,7.059465,0,19.199873,5.195561,7.942170,13.094495,1.48361,0.09014,3.27771
0.013,0.000000,6.559477,1.093302,0.000000,0,0,17.705301,12.066074,0,7.055910,0,19.213554,5.195160,7.940720,13.084815,1.48544,0.10564,3.27718
0.014,0.000000,6.562209,1.131786,0.000000,0,0,17.693398,12.058760,0,7.052355,0,19.227234,5.194758,7.939270,13.075136,1.48346,0.10436,3.27706
0.015,0.000000,6.564942,1.170271,0.000000,0,0,17.681494,12.051446,0,7.048800,0,19.240915,5.194357,7.937821,13.065456,1.48529,0.09495,3.27698
0.016,0.000000,6.567387,1.196846,0.000000,0,0,17.669579,12.046321,0,7.044477,0,19.254421,5.194087,7.936811,13.055698,1.48148,0.09225,3.27670
0.017,0.000000,6.569831,1.222356,0.000000,0,0,17.657663,12.041390,0,7.040085,0,19.267910,5.193829,7.935841,13.045933,1.48590,0.10451,3.27639
0.018,0.000000,6.572168,1.247867,0.000000,0,0,17.645748,12.036461,0,7.035693,0,19.281401,5.193571,7.934871,13.036167,1.48438,0.10159,3.27637
0.019,0.000000,6.574505,1.273378,0.000000,0,0,17.633833,12.031531,0,7.031300,0,19.294889,5.193313,7.933900,13.026402,1.48651,0.07340,3.27637
0.020,0.000000,6.576919,1.301406,0.000000,0,0,17.621914,12.029529,0,7.025591,0,19.307936,5.192545,7.933639,13.016158,1.48331,0.10134,3.27692
0.021,0.000000,6.579333,1.329658,0.000000,0,0,17.609993,12.027787,0,7.019764,0,19.320942,5.191731,7.933440,13.005872,1.48148,0.10502,3.27753
0.022,0.000000,6.581937,1.357911,0.000000,0,0,17.598074,12.026046,0,7.013938,0,19.333950,5.190918,7.933241,12.995585,1.48468,0.08645,3.27752
0.023,0.000000,6.584540,1.386164,0.000000,0,0,17.586153,12.024305,0,7.008111,0,19.346956,5.190105,7.933043,12.985298,1.48453,0.09418,3.27744
0.024,0.000000,6.587388,1.414594,0.000000,0,0,17.574455,12.028479,0,7.001653,0,19.359024,5.189046,7.933755,12.975560,1.48453,0.10229,3.27723
0.025,0.000000,6.590236,1.443040,0.000000,0,0,17.562778,12.033180,0,6.995137,0,19.371010,5.187964,7.934550,12.965871,1.48346,0.10009,3.27700
0.026,0.000000,6.593207,1.471487,0.000000,0,0,17.551100,12.037882,0,6.988622,0,19.382994,5.186883,7.935344,12.956182,1.48361,0.07490,3.27684
0.027,0.000000,6.596179,1.499933,0.000000,0,0,17.539421,12.042584,0,6.982106,0,19.394979,5.185802,7.936139,12.946492,1.48544,0.09946,3.27669
0.028,0.000000,6.599139,1.531610,0.000000,0,0,17.527731,12.055733,0,6.975057,0,19.405510,5.184650,7.936750,12.936931,1.48331,0.11060,3.27695
0.029,0.000000,6.602098,1.563575,0.000000,0,0,17.516041,12.069636,0,6.967959,0,19.415911,5.183491,7.937345,12.927380,1.48193,0.08007,3.27726
0.030,0.000000,6.605061,1.595541,0.000000,0,0,17.504351,12.083540,0,6.960861,0,19.426313,5.182333,7.937939,12.917830,1.47522,0.10236,3.27652
0.031,0.000000,6.608023,1.627506,0.000000,0,0,17.492661,12.097444,0,6.953763,0,19.436714,5.181174,7.938534,12.908278,1.48376,0.12128,3.27568
0.032,0.000000,6.610986,1.650083,0.000000,0,0,17.481207,12.120808,0,6.946095,0,19.445362,5.180141,7.939820,12.898881,1.48468,0.08713,3.27602
0.033,0.000000,6.613949,1.671821,0.000000,0,0,17.469776,12.145018,0,6.938376,0,19.453854,5.179120,7.941168,12.889498,1.48468,0.08382,3.27648
0.034,0.000000,6.616645,1.693560,0.000000,0,0,17.458345,12.169228,0,6.930657,0,19.462347,5.178098,7.942515,12.880114,1.48300,0.11947,3.27645
0.035,0.000000,6.619342,1.715298,0.000000,0,0,17.446915,12.193437,0,6.922938,0,19.470839,5.177077,7.943863,12.870730,1.48483,0.09844,3.27637
0.036,0.000000,6.621544,1.726494,0.000000,0,0,17.435698,12.225362,0,6.914608,0,19.478258,5.177194,7.944853,12.861327,1.48468,0.07718,3.27678
0.037,0.000000,6.623747,1.736749,0.000000,0,0,17.424498,12.257977,0,6.906222,0,19.485580,5.177413,7.945810,12.851922,1.48376,0.10642,3.27724
