"Time","66 RDS cle","64 R marks","63 sinus","62 Ramp down","61 Ramp up","60 right DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 simus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 Sw offset","44 Sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","67 LDS cle","v2 R COP","v3 L COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","65 L marks","59 left DS","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.114761,82.600792,118.309044,88.555389,1,0.000000,0.000000,4.428225,-3.024107,4.568480,14.889077,3.632594,17.326710,5.131440,12.448536,0,1,16.618332,0,3.427998,5.389781,11.417235,8.002402,17.916307,7.632067,12.726496,7.871730,12.212654,8.476578,12.013440,8.769816,13.464067,10.132603,13.847427,9.861809,14.644995,0,-0.01390,0.00262,-0.01742,-0.01319,0.00967,-0.01221,0.00950,0.00526,-0.00026,0.11229,3.27773
0.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.524307,82.322624,118.885643,89.350372,1,0.000000,0.000000,4.409178,-3.638915,4.565302,14.901512,3.632096,17.370985,5.131567,12.436516,0,1,16.606827,0,3.428688,5.398585,11.470084,8.015862,17.984640,7.632107,12.713753,7.868691,12.203886,8.476777,12.012304,8.764101,13.455228,10.123418,13.848072,9.855334,14.648330,0,-0.01829,0.00312,-0.02152,-0.01314,0.00844,-0.01367,0.00570,0.00520,-0.00007,0.10952,3.27758
0.002,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.932770,82.028610,119.449745,90.149109,1,0.000000,0.000000,4.390177,-4.249590,4.562004,14.914166,3.631589,17.414890,5.131680,12.424518,0,1,16.595339,0,3.429386,5.407360,11.523052,8.028932,18.051889,7.631978,12.701343,7.865667,12.195412,8.476336,12.010444,8.758476,13.446189,10.114305,13.848722,9.849016,14.651729,0,-0.01635,0.00446,-0.01996,-0.01380,0.00845,-0.01281,0.00467,0.00043,-0.00007,0.08835,3.27742
0.003,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.319748,81.420204,119.765877,91.022346,1,0.000000,0.000000,4.371490,-4.778323,4.556283,14.931181,3.630915,17.451445,5.131533,12.412971,0,1,16.584169,0,3.430264,5.415566,11.578376,8.034246,18.097610,7.628469,12.695531,7.862940,12.192766,8.463179,11.994221,8.754667,13.433166,10.106610,13.849480,9.845801,14.656424,0,-0.01821,0.00375,-0.02137,-0.01179,0.00884,-0.01249,0.00466,0.00533,0.00015,0.10114,3.27688
0.004,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.706711,80.811798,120.082008,91.895584,1,0.000000,0.000000,4.352879,-5.307056,4.550561,14.948195,3.630241,17.487999,5.131386,12.401426,0,1,16.572998,0,3.431143,5.423772,11.633699,8.039561,18.143332,7.624961,12.689718,7.860213,12.190122,8.450023,11.977998,8.750858,13.420142,10.098917,13.850236,9.842586,14.661118,0,-0.01585,0.00270,-0.01937,-0.01465,0.00742,-0.01218,0.00520,0.00710,-0.00033,0.12126,3.27636
0.005,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.093674,80.203384,120.398148,92.768829,1,0.000000,0.000000,4.334789,-5.835789,4.544840,14.965209,3.629567,17.524553,5.131238,12.389880,0,1,16.561829,0,3.432021,5.431977,11.689023,8.044876,18.189053,7.621452,12.683907,7.857487,12.187476,8.436866,11.961775,8.747049,13.407119,10.091223,13.850993,9.839371,14.665812,0,0.00024,0.00388,-0.02639,-0.01322,0.00845,-0.01401,0.00378,0.00126,0.00000,0.10092,3.27613
0.006,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.427643,79.616058,120.697411,93.641724,1,0.000000,0.000000,4.316803,-6.356712,4.539020,14.981854,3.628896,17.560741,5.131087,12.378315,0,1,16.550657,0,3.432910,5.440135,11.744457,8.049379,18.234739,7.618283,12.677888,7.854999,12.184260,8.424946,11.945790,8.743199,13.394257,10.083499,13.851678,9.836215,14.670252,0,-0.02271,0.00479,-0.01800,-0.01384,0.00887,-0.01277,0.00513,0.00297,-0.00004,0.07633,3.27592
0.007,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.710480,79.446854,120.662163,94.507736,1,0.000000,0.000000,4.299516,-6.722747,4.531221,14.991195,3.628277,17.589657,5.130860,12.366362,0,1,16.539446,0,3.434028,5.447324,11.802097,8.037806,18.279722,7.621853,12.667784,7.857249,12.169724,8.437532,11.934523,8.738555,13.384592,10.075171,13.850941,9.834239,14.669656,0,-0.00634,0.00092,-0.02135,-0.01387,0.00837,-0.01053,0.00549,0.00320,0.00022,0.12781,3.27607
0.008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.993332,79.277649,120.626907,95.373756,1,0.000000,0.000000,4.282365,-7.088782,4.523423,15.000535,3.627659,17.618572,5.130632,12.354407,0,1,16.528234,0,3.435145,5.454513,11.859737,8.026231,18.324705,7.625423,12.657680,7.859500,12.155188,8.450119,11.923254,8.733911,13.374928,10.066844,13.850204,9.832263,14.669060,0,0.03223,0.00272,-0.01733,-0.01173,0.00945,-0.01299,0.00610,0.00420,0.00004,0.11463,3.27622
0.009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.276169,79.108444,120.591660,96.239777,1,0.000000,0.000000,4.266134,-7.454816,4.515625,15.009874,3.627040,17.647488,5.130404,12.342454,0,1,16.517023,0,3.436262,5.461702,11.917377,8.014657,18.369686,7.628993,12.647575,7.861750,12.140652,8.462706,11.911986,8.729266,13.365264,10.058517,13.849467,9.830287,14.668464,0,-0.03657,0.00208,-0.02357,-0.01534,0.00930,-0.01280,0.00405,0.00090,0.00004,0.08547,3.27645
0.010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.588699,78.939384,120.571678,97.102554,1,0.000000,0.000000,4.250074,-7.812055,4.507748,15.019205,3.626419,17.676065,5.130184,12.330514,0,1,16.505833,0,3.437356,5.468869,11.975019,8.001629,18.410358,7.632684,12.637528,7.863914,12.126301,8.474829,11.900655,8.724743,13.355428,10.050299,13.848561,9.828443,14.667935,0,-0.00894,0.00880,-0.02383,-0.01585,0.00805,-0.01209,0.00536,0.00168,0.00022,0.11805,3.27669
