"Time","v3 L COP","66 RDS cle","64 R marks","67 LDS cle","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","65 L marks","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,1,0,1,0.000000,4.428225,-3.024107,4.568480,3.632594,17.326710,5.131440,12.448536,0,16.618332,3.427998,5.389781,11.417235,-0.00026,0.11229,3.27773
0.001,0.000000,1,0,1,0.000000,4.409178,-3.638915,4.565302,3.632096,17.370985,5.131567,12.436516,0,16.606827,3.428688,5.398585,11.470084,-0.00007,0.10952,3.27758
0.002,0.000000,1,0,1,0.000000,4.390177,-4.249590,4.562004,3.631589,17.414890,5.131680,12.424518,0,16.595339,3.429386,5.407360,11.523052,-0.00007,0.08835,3.27742
0.003,0.000000,1,0,1,0.000000,4.371490,-4.778323,4.556283,3.630915,17.451445,5.131533,12.412971,0,16.584169,3.430264,5.415566,11.578376,0.00015,0.10114,3.27688
0.004,0.000000,1,0,1,0.000000,4.352879,-5.307056,4.550561,3.630241,17.487999,5.131386,12.401426,0,16.572998,3.431143,5.423772,11.633699,-0.00033,0.12126,3.27636
0.005,0.000000,1,0,1,0.000000,4.334789,-5.835789,4.544840,3.629567,17.524553,5.131238,12.389880,0,16.561829,3.432021,5.431977,11.689023,0.00000,0.10092,3.27613
0.006,0.000000,1,0,1,0.000000,4.316803,-6.356712,4.539020,3.628896,17.560741,5.131087,12.378315,0,16.550657,3.432910,5.440135,11.744457,-0.00004,0.07633,3.27592
0.007,0.000000,1,0,1,0.000000,4.299516,-6.722747,4.531221,3.628277,17.589657,5.130860,12.366362,0,16.539446,3.434028,5.447324,11.802097,0.00022,0.12781,3.27607
0.008,0.000000,1,0,1,0.000000,4.282365,-7.088782,4.523423,3.627659,17.618572,5.130632,12.354407,0,16.528234,3.435145,5.454513,11.859737,0.00004,0.11463,3.27622
0.009,0.000000,1,0,1,0.000000,4.266134,-7.454816,4.515625,3.627040,17.647488,5.130404,12.342454,0,16.517023,3.436262,5.461702,11.917377,0.00004,0.08547,3.27645
0.010,0.000000,1,0,1,0.000000,4.250074,-7.812055,4.507748,3.626419,17.676065,5.130184,12.330514,0,16.505833,3.437356,5.468869,11.975019,0.00022,0.11805,3.27669
0.011,0.000000,1,0,1,0.000000,4.235176,-7.994843,4.498323,3.625739,17.697941,5.130095,12.318859,0,16.495049,3.437969,5.475581,12.032722,0.00020,0.12477,3.27715
0.012,0.000000,1,0,1,0.000000,4.220478,-8.177630,4.488897,3.625059,17.719814,5.130007,12.307204,0,16.484264,3.438582,5.482293,12.090425,0.00011,0.10116,3.27758
0.013,0.000000,1,0,1,0.000000,4.207142,-8.360417,4.479472,3.624378,17.741690,5.129919,12.295549,0,16.473480,3.439195,5.489005,12.148129,0.00020,0.08446,3.27735
0.014,0.000000,1,0,1,0.000000,4.194033,-8.534648,4.470048,3.623715,17.763283,5.129822,12.283890,0,16.462681,3.439816,5.495692,12.205769,-0.00004,0.12200,3.27712
0.015,0.000000,1,0,1,0.000000,4.182463,-8.539168,4.460646,3.623385,17.779291,5.129554,12.272148,0,16.451538,3.440612,5.501877,12.262146,0.00000,0.11710,3.27697
0.016,0.000000,1,0,1,0.226090,4.171147,-8.543688,4.451244,3.623055,17.795298,5.129287,12.260406,0,16.440397,3.441408,5.508062,12.318524,0.00004,0.09030,3.27685
0.017,0.000000,1,1,1,1.992421,4.161571,-8.548208,4.441842,3.622726,17.811306,5.129020,12.248663,0,16.429255,3.442204,5.514247,12.374902,0.00022,0.09326,3.27738
0.018,0.000000,1,0,1,3.532701,4.152270,-8.545792,4.432481,3.622418,17.827089,5.128768,12.236935,0,16.418135,3.442985,5.520426,12.431128,0.00011,0.12617,3.27788
0.019,0.000000,1,0,1,3.533019,4.144854,-8.405792,4.423935,3.622553,17.838402,5.128837,12.225471,0,16.407431,3.443487,5.526495,12.484326,0.00024,0.09538,3.27758
0.020,0.000000,1,0,1,3.533337,4.137718,-8.265794,4.415390,3.622689,17.849714,5.128906,12.214009,0,16.396727,3.443989,5.532564,12.537525,0.00029,0.09020,3.27729
0.021,0.000000,1,0,1,3.533656,4.132488,-8.125795,4.406845,3.622823,17.861027,5.128974,12.202546,0,16.386023,3.444491,5.538633,12.590724,0.00015,0.12231,3.27752
0.022,0.000000,1,0,1,3.533975,4.127530,-7.981428,4.398349,3.622950,17.872070,5.129048,12.191074,0,16.375303,3.444996,5.544679,12.643640,0.00020,0.10355,3.27773
0.023,0.000000,1,0,1,3.534290,4.124427,-7.750433,4.390826,3.622901,17.877764,5.129217,12.179429,0,16.364309,3.445561,5.550265,12.690948,0.00037,0.10306,3.27750
0.024,0.000000,1,0,1,3.534591,4.121586,-7.519438,4.383304,3.622852,17.883457,5.129385,12.167784,0,16.353313,3.446126,5.555851,12.738257,0.00033,0.08517,3.27728
0.025,0.000000,1,0,1,3.534801,4.120527,-7.288443,4.375781,3.622803,17.889151,5.129554,12.156138,0,16.342319,3.446692,5.561437,12.785566,0.00000,0.11043,3.27728
0.026,0.000000,1,0,1,3.534988,4.119712,-7.054739,4.368279,3.622737,17.894606,5.129706,12.144452,0,16.331308,3.447252,5.567010,12.832516,-0.00004,0.11278,3.27729
0.027,0.000000,1,0,1,3.535021,4.120556,-6.767313,4.361185,3.622322,17.895323,5.129519,12.131950,0,16.319983,3.447728,5.572338,12.872334,0.00000,0.09439,3.27744
0.028,0.000000,1,0,1,3.535052,4.121621,-6.479887,4.354091,3.621907,17.896040,5.129333,12.119450,0,16.308655,3.448205,5.577665,12.912154,0.00020,0.11619,3.27758
0.029,0.000000,1,0,1,3.535081,4.124183,-6.192461,4.346997,3.621491,17.896757,5.129146,12.106948,0,16.297329,3.448681,5.582993,12.951973,0.00000,0.11645,3.27727
0.030,0.000000,1,0,1,3.535132,4.126941,-5.902526,4.339990,3.621089,17.897202,5.128964,12.094463,0,16.285997,3.449165,5.588312,12.991409,0.00004,0.10179,3.27696
0.031,0.000000,1,0,1,3.535339,4.131030,-5.562839,4.334701,3.620932,17.892250,5.128869,12.082306,0,16.274546,3.449821,5.593474,13.023252,0.00011,0.08918,3.27658
0.032,0.000000,1,0,1,3.535556,4.135283,-5.223152,4.329412,3.620776,17.887299,5.128774,12.070148,0,16.263094,3.450476,5.598637,13.055096,-0.00007,0.11804,3.27625
0.033,0.000000,1,0,1,3.535843,4.140663,-4.883465,4.324122,3.620620,17.882347,5.128679,12.057990,0,16.251642,3.451132,5.603800,13.086939,0.00000,0.10903,3.27709
0.034,0.000000,1,0,1,3.536121,4.146172,-4.543286,4.318900,3.620469,17.877192,5.128575,12.045825,0,16.240200,3.451777,5.608900,13.118463,0.00026,0.09102,3.27789
0.035,0.000000,1,0,1,3.536345,4.152555,-4.193335,4.314998,3.620419,17.868029,5.128288,12.033503,0,16.228949,3.452220,5.612750,13.143638,0.00011,0.11074,3.27773
0.036,0.000000,1,0,1,3.536563,4.159038,-3.843383,4.311096,3.620368,17.858866,5.128002,12.021180,0,16.217699,3.452663,5.616600,13.168812,0.00004,0.11332,3.27758
0.037,0.000000,1,0,1,3.536735,4.166197,-3.493432,4.307194,3.620317,17.849703,5.127715,12.008859,0,16.206448,3.453106,5.620450,13.193987,0.00013,0.10024,3.27727
0.038,0.000000,1,0,1,3.536906,4.173439,-3.142985,4.303360,3.620280,17.840441,5.127425,11.996529,0,16.195185,3.453532,5.624217,13.218859,0.00004,0.10145,3.27699
0.039,0.000000,1,0,1,3.537070,4.181238,-2.782704,4.300878,3.620524,17.829182,5.127089,11.984055,0,16.183668,3.453610,5.626327,13.237726,0.00024,0.11027,3.27745
0.040,0.000000,1,0,1,3.537233,4.189096,-2.422424,4.298396,3.620767,17.817923,5.126753,11.971581,0,16.172150,3.453689,5.628438,13.256594,-0.00002,0.10388,3.27789
0.041,0.000000,1,0,1,3.537392,4.197357,-2.062144,4.295913,3.621011,17.806664,5.126417,11.959105,0,16.160633,3.453767,5.630548,13.275461,0.00011,0.09521,3.27773
0.042,0.000000,1,0,1,3.537548,4.205650,-1.705674,4.293527,3.621260,17.795382,5.126078,11.946652,0,16.149113,3.453836,5.632517,13.294023,0.00000,0.10325,3.27760
0.043,0.000000,1,0,1,3.537691,4.214156,-1.424772,4.293055,3.621625,17.783638,5.125684,11.934611,0,16.137541,3.453721,5.631688,13.306498,0.00026,0.10248,3.27790
0.044,0.000000,1,0,1,3.537830,4.222674,-1.143870,4.292582,3.621990,17.771893,5.125290,11.922570,0,16.125969,3.453606,5.630858,13.318973,0.00004,0.09325,3.27817
0.045,0.000000,1,0,1,3.537939,4.231282,-0.862968,4.292109,3.622355,17.760147,5.124896,11.910530,0,16.114399,3.453490,5.630029,13.331449,0.00026,0.11123,3.27741
0.046,0.000000,1,0,1,3.538043,4.239895,-0.584896,4.291653,3.622719,17.748421,5.124486,11.898473,0,16.102825,3.453371,5.629144,13.343566,0.00000,0.10367,3.27669
0.047,0.000000,1,0,1,3.538113,4.248554,-0.362938,4.291499,3.623078,17.737040,5.123774,11.886087,0,16.091225,3.453178,5.627160,13.348585,0.00015,0.08963,3.27707
0.048,0.000000,1,0,1,3.538186,4.257206,-0.140980,4.291346,3.623436,17.725660,5.123062,11.873702,0,16.079624,3.452984,5.625176,13.353605,-0.00007,0.10967,3.27743
0.049,0.000000,1,0,1,3.538280,4.265820,0.080978,4.291193,3.623795,17.714281,5.122349,11.861317,0,16.068022,3.452791,5.623192,13.358624,0.00007,0.09099,3.27736
0.050,0.000000,1,0,1,3.538383,4.274402,0.298852,4.291126,3.624163,17.702896,5.121624,11.848942,0,16.056419,3.452598,5.621169,13.363384,0.00011,0.08056,3.27727
0.051,0.000000,1,0,1,3.538557,4.282763,0.435734,4.292760,3.624720,17.691416,5.120645,11.836767,0,16.044756,3.452414,5.618374,13.362986,0.00015,0.11047,3.27689
