"Time","63 sinus","62 rm dwn st","61 rm dwn sw","60 rmp up st","59 rmp up sw","58 Ramp down","57 Ramp up","56 right DS","54 lHL swoff","53 lHL swon","52 rHL swoff","51 rHL swon","50 lFL swoff","49 lFL swon","48 rFL swoff","47 rFL swon","46 sw offset","45 sw onset","44 ramnp dwn","43 ramp up","42 sinus rmp","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","66 RDS cle","64 R marks","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","55 left DS","67 LDS cle","65 L marks","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.415558,57.550335,64.372063,108.905876,0.000000,0,0,6.045031,1.520925,5.987872,13.571252,4.825520,14.910574,6.106269,10.197119,0.000000,0,0,0,16.300547,0,4.833268,6.793051,11.469679,7.748783,14.990137,7.966263,10.079760,8.525316,10.157181,9.088363,10.338472,8.013454,11.257228,9.206860,11.793996,9.139079,12.580215,0,-0.02103,0.00378,-0.02055,-0.01740,0.00865,-0.01163,0.01769,0.00470,0.00001,0.09209,3.27654
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.812378,57.012985,64.201775,108.739799,0.000000,0,0,6.044433,1.391754,5.989249,13.570157,4.825536,14.899130,6.105382,10.208906,0.000000,0,0,0,16.305538,0,4.821774,6.792725,11.457311,7.749034,14.978836,7.975813,10.092780,8.526720,10.167764,9.084257,10.339877,8.008125,11.260575,9.203382,11.794065,9.137564,12.579989,0,-0.01870,0.00151,-0.01909,-0.01147,0.00764,-0.01227,-0.00251,0.00167,0.00016,0.07867,3.27613
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.156448,56.541199,63.995621,108.400024,0.000000,0,0,6.043623,1.283624,5.989991,13.566790,4.825518,14.887847,6.103795,10.221219,0.000000,0,0,0,16.310726,0,4.811277,6.792158,11.445276,7.749348,14.967895,7.973627,10.105852,8.521064,10.176081,9.075416,10.341899,8.001792,11.266446,9.199448,11.791437,9.135483,12.577501,0,-0.01884,0.00391,-0.00984,-0.01479,0.00866,-0.01260,0.01481,0.00259,0.00015,0.11497,3.27681
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.500534,56.069412,63.789467,108.060242,0.000000,0,0,6.042709,1.175494,5.990733,13.563421,4.825499,14.876564,6.102207,10.233531,0.000000,0,0,0,16.315912,0,4.800781,6.791590,11.433242,7.749661,14.956954,7.971441,10.118925,8.515407,10.184399,9.066573,10.343922,7.995458,11.272317,9.195514,11.788809,9.133402,12.575012,0,-0.01741,0.00212,-0.02671,-0.01132,0.00768,-0.01094,0.00107,0.00497,-0.00013,0.11239,3.27721
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.844604,55.597626,63.583313,107.720467,0.000000,0,0,6.041644,1.067364,5.991476,13.560054,4.825480,14.865280,6.100620,10.245844,0.000000,0,0,0,16.321098,0,4.790285,6.791023,11.421206,7.749974,14.946012,7.969254,10.131997,8.509750,10.192716,9.057732,10.345943,7.989124,11.278189,9.191579,11.786181,9.131321,12.572524,0,-0.01627,0.00428,-0.00856,-0.01453,0.00885,-0.01207,0.00139,0.00333,0.00001,0.09993,3.27698
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.154419,55.143303,63.368153,107.354774,0.000000,0,0,6.040529,0.970443,5.992268,13.559192,4.825483,14.854020,6.098760,10.258322,0.000000,0,0,0,16.326340,0,4.780542,6.790369,11.409163,7.750223,14.934888,7.965473,10.145451,8.502577,10.202121,9.048628,10.348308,7.982540,11.285162,9.188149,11.784313,9.129329,12.570418,0,-0.01510,0.00265,-0.04182,-0.00989,0.00809,-0.01301,0.00632,0.00331,-0.00014,0.10904,3.27680
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.393402,54.725090,63.134365,106.935493,0.000000,0,0,6.039344,0.896697,5.993163,13.563509,4.825531,14.842809,6.096335,10.271140,0.000000,0,0,0,16.331694,0,4.772356,6.789533,11.397102,7.750336,14.923382,7.958392,10.159692,8.492267,10.213775,9.038983,10.351380,7.975435,11.294416,9.185765,11.784017,9.127519,12.569103,0,-0.02116,0.00401,-0.00640,-0.01505,0.00712,-0.01339,0.00693,0.00282,0.00002,0.10237,3.27672
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.632385,54.306877,62.900578,106.516220,0.000000,0,0,6.038194,0.822951,5.994058,13.567826,4.825578,14.831596,6.093912,10.283959,0.000000,0,0,0,16.337048,0,4.764170,6.788697,11.385040,7.750449,14.911876,7.951310,10.173934,8.481956,10.225429,9.029340,10.354453,7.968330,11.303671,9.183381,11.783719,9.125709,12.567789,0,-0.01712,0.00310,-0.02260,-0.01409,0.00803,-0.01187,-0.00534,0.00563,0.00001,0.08031,3.27662
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.871368,53.888664,62.666790,106.096939,0.000000,0,0,6.037093,0.749205,5.994953,13.572145,4.825625,14.820385,6.091487,10.296778,0.000000,0,0,0,16.342400,0,4.755984,6.787861,11.372979,7.750563,14.900370,7.944229,10.188175,8.471646,10.237082,9.019695,10.357526,7.961226,11.312925,9.180997,11.783422,9.123898,12.566475,0,-0.01934,0.00301,-0.02916,-0.01375,0.00728,-0.01219,0.00567,0.00531,-0.00013,0.08309,3.27647
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.188385,53.505531,62.399162,105.651985,0.000000,0,0,6.036105,0.681824,5.995721,13.575155,4.825646,14.809185,6.089014,10.309709,0.000000,0,0,0,16.348036,0,4.748419,6.786941,11.360916,7.750667,14.888884,7.939775,10.204394,8.464166,10.249459,9.009070,10.361706,7.953821,11.323342,9.177947,11.783328,9.121953,12.565597,0,-0.02082,0.00337,-0.02100,-0.01379,0.00753,-0.01243,0.00591,0.00234,0.00001,0.12462,3.27642
