"Time","63 sinus","62 rm dwn st","61 rm dwn sw","60 rmp up st","59 rmp up sw","58 Ramp down","57 Ramp up","56 right DS","54 lHL swoff","53 lHL swon","52 rHL swoff","51 rHL swon","50 lFL swoff","49 lFL swon","48 rFL swoff","47 rFL swon","46 sw offset","45 sw onset","44 ramnp dwn","43 ramp up","42 sinus rmp","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","66 RDS cle","64 R marks","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","55 left DS","67 LDS cle","65 L marks","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.115860,38.563931,79.213356,92.364769,0.000000,0,0,6.329740,-2.713993,6.414703,9.635440,5.393878,12.394081,6.604036,6.890024,0.000000,1,0,0,11.323037,0,5.478384,6.841574,6.379789,8.050782,12.385097,7.988753,6.735013,8.219947,6.340672,8.754397,6.069199,8.136442,7.327618,9.387185,7.649175,9.207779,8.453761,0,-0.02232,0.00518,-0.02187,-0.01179,0.01708,-0.01447,0.00906,0.00289,1.48203,0.09345,3.27669
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.545029,39.493389,79.684692,92.748550,0.000000,0,0,6.328822,-2.578420,6.412214,9.646999,5.391096,12.424841,6.604055,6.878817,0.000000,1,0,0,11.311184,0,5.480604,6.840076,6.406100,8.057055,12.407526,7.990825,6.735043,8.214667,6.336812,8.752549,6.070310,8.139628,7.328772,9.390155,7.657045,9.209202,8.461320,0,-0.01863,0.00358,-0.01923,-0.01415,0.00547,-0.01197,0.00378,0.00219,1.48452,0.08826,3.27692
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.974197,40.422848,80.156029,93.132332,0.000000,0,0,6.328250,-2.442847,6.409725,9.658559,5.388315,12.455602,6.604075,6.867610,0.000000,1,0,0,11.299332,0,5.482823,6.838579,6.432412,8.063329,12.429956,7.992898,6.735072,8.209388,6.332951,8.750701,6.071421,8.142815,7.329926,9.393126,7.664917,9.210624,8.468879,0,-0.01850,0.00305,-0.02022,-0.01358,0.00884,-0.00960,0.00463,0.00279,1.48316,0.10199,3.27657
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.403351,41.352306,80.627365,93.516113,0.000000,0,0,6.327743,-2.307273,6.407236,9.670118,5.385534,12.486362,6.604094,6.856404,0.000000,1,0,0,11.287478,0,5.485043,6.837081,6.458723,8.069603,12.452386,7.994969,6.735101,8.204108,6.329091,8.748853,6.072532,8.146001,7.331081,9.396096,7.672787,9.212046,8.476438,0,-0.01913,0.00318,-0.02659,-0.01239,0.00679,-0.01179,0.00370,0.00198,1.48264,0.09988,3.27604
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.968826,42.460579,81.069855,93.989380,0.000000,0,0,6.327551,-2.182646,6.405253,9.676805,5.382051,12.514081,6.603871,6.845420,0.000000,1,0,0,11.276114,0,5.487217,6.835011,6.485669,8.075410,12.475830,7.994634,6.729305,8.200690,6.319098,8.750264,6.071554,8.149321,7.329016,9.396813,7.679790,9.214132,8.482216,0,-0.01620,0.00300,-0.01846,-0.01312,0.01100,-0.01210,0.00595,0.00385,1.48332,0.08756,3.27637
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.576401,43.624088,81.503433,94.490288,0.000000,0,0,6.327418,-2.061401,6.403427,9.681986,5.378351,12.540860,6.603572,6.834506,0.000000,1,0,0,11.264901,0,5.489377,6.832764,6.512812,8.081074,12.499587,7.993554,6.721711,8.197848,6.307211,8.752681,6.069930,8.152681,7.325955,9.396835,7.686524,9.216424,8.487443,0,-0.01498,0.00227,-0.01920,-0.01367,0.01697,-0.01315,0.00457,0.00173,1.48492,0.10763,3.27698
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.183990,44.787598,81.937004,94.991188,0.000000,0,0,6.327559,-1.940155,6.401601,9.687166,5.374651,12.567639,6.603274,6.823592,0.000000,1,0,0,11.253689,0,5.491537,6.830518,6.539954,8.086738,12.523344,7.992475,6.714116,8.195006,6.295325,8.755098,6.068305,8.156042,7.322895,9.396857,7.693258,9.218716,8.492671,0,-0.01798,0.00355,-0.01912,-0.01356,0.00884,-0.01234,0.00607,0.00268,1.48355,0.11149,3.27713
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.791565,45.951107,82.370583,95.492096,0.000000,0,0,6.327751,-1.818909,6.399775,9.692348,5.370951,12.594419,6.602975,6.812678,0.000000,1,0,0,11.242476,0,5.493697,6.828271,6.567096,8.092402,12.547101,7.991395,6.706522,8.192163,6.283438,8.757516,6.066681,8.159403,7.319835,9.396879,7.699992,9.221007,8.497898,0,-0.01664,0.00305,-0.01717,-0.01339,0.00594,-0.01347,0.00464,0.00233,1.48475,0.08395,3.27713
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.971893,46.927544,82.727509,95.946365,0.000000,0,0,6.328183,-1.715801,6.398103,9.697088,5.366112,12.618494,6.602700,6.801944,0.000000,1,0,0,11.231722,0,5.495884,6.821691,6.626042,8.095515,12.566039,7.990110,6.692354,8.190599,6.268229,8.762148,6.063235,8.163033,7.315998,9.397656,7.706161,9.222017,8.502618,0,-0.01691,0.00412,-0.02707,-0.01380,0.00643,-0.01306,0.00532,0.00336,1.48779,0.09200,3.27673
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.329147,47.846191,83.060760,96.386238,0.000000,0,0,6.328659,-1.618295,6.396480,9.701693,5.360921,12.641733,6.602431,6.791265,0.000000,1,0,0,11.221110,0,5.498080,6.813771,6.694813,8.097840,12.583488,7.988762,6.676155,8.189429,6.251994,8.767466,6.059227,8.166745,7.311921,9.398668,7.712156,9.222632,8.507180,0,-0.01473,0.00275,-0.01964,-0.01328,0.01506,-0.01153,0.01688,0.00051,1.48442,0.11029,3.27619
0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.686401,48.764839,83.394012,96.826103,0.000000,0,0,6.329354,-1.520789,6.394856,9.706297,5.355730,12.664973,6.602163,6.780587,0.000000,1,0,0,11.210498,0,5.500276,6.805852,6.763584,8.100165,12.600938,7.987414,6.659956,8.188260,6.235759,8.772782,6.055218,8.170458,7.307843,9.399680,7.718151,9.223247,8.511742,0,-0.02339,0.00366,-0.01707,-0.01342,0.00745,-0.01210,0.00557,0.00488,1.48397,0.10108,3.27629
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.043655,49.683487,83.727264,97.265976,0.000000,0,0,6.330089,-1.423283,6.393232,9.710902,5.350538,12.688212,6.601894,6.769909,0.000000,1,0,0,11.199886,0,5.502471,6.797933,6.832354,8.102491,12.618387,7.986066,6.643758,8.187090,6.219524,8.778099,6.051209,8.174170,7.303766,9.400692,7.724146,9.223862,8.516304,0,-0.01573,0.00280,-0.01866,-0.01467,0.01505,-0.01052,0.00662,0.00280,1.48473,0.10244,3.27660
