"Time","64 R marks","v2 R COP","66 RDS cle","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","65 L marks","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0.000000,0,5.938030,5.239604,5.785104,17.618832,5.998122,13.929882,0.000000,0,0,14.738744,4.325348,6.962931,14.029717,0.62862,0.11823,3.27655
0.001,0,0.000000,0,5.943150,5.335851,5.791425,17.609730,6.007789,13.936016,0.000000,0,0,14.743123,4.332295,6.962205,14.020452,0.65147,0.10186,3.27663
0.002,0,0.000000,0,5.948120,5.432097,5.797745,17.600628,6.017456,13.942150,0.000000,0,0,14.747502,4.339242,6.961479,14.011186,0.68277,0.09805,3.27674
0.003,0,0.000000,0,5.952958,5.528344,5.804066,17.591526,6.027122,13.948284,0.000000,0,0,14.751882,4.346190,6.960753,14.001921,0.72180,0.12010,3.27689
0.004,0,0.000000,0,5.957490,5.562664,5.810351,17.582073,6.036644,13.954972,0.000000,0,0,14.756153,4.353535,6.960014,13.992420,0.74141,0.10885,3.27688
0.005,0,0.000000,0,5.961750,5.521296,5.816593,17.572195,6.045986,13.962337,0.000000,0,0,14.760295,4.361365,6.959259,13.982634,0.76610,0.09572,3.27665
0.006,0,0.000000,0,5.965683,5.479928,5.822835,17.562315,6.055328,13.969701,0.000000,0,0,14.764436,4.369195,6.958504,13.972847,0.78740,0.09622,3.27669
0.007,0,0.000000,0,5.969326,5.438560,5.829077,17.552437,6.064671,13.977065,0.000000,0,0,14.768578,4.377026,6.957750,13.963060,0.81183,0.11812,3.27707
0.008,0,0.000000,0,5.972621,5.340259,5.835080,17.542374,6.073876,13.985115,0.000000,0,0,14.772427,4.385143,6.956972,13.952939,0.83246,0.10568,3.27708
0.009,0,0.000000,0,5.975606,5.172372,5.840792,17.532089,6.082914,13.994003,0.000000,0,0,14.775919,4.393609,6.956165,13.942408,0.85094,0.09343,3.27662
0.010,0,0.000000,0,5.978240,5.004486,5.846505,17.521805,6.091953,14.002891,0.000000,0,0,14.779410,4.402075,6.955359,13.931876,0.88144,0.10269,3.27637
0.011,0,0.000000,0,5.980559,4.836599,5.852217,17.511520,6.100991,14.011779,0.000000,0,0,14.782903,4.410541,6.954553,13.921345,0.91518,0.10582,3.27637
0.012,0,0.000000,0,5.982549,4.632793,5.857247,17.501175,6.109978,14.020988,0.000000,0,0,14.785735,4.418709,6.954188,13.910748,0.93430,0.09252,3.27610
0.013,0,0.000000,0,5.984245,4.385087,5.861444,17.490753,6.118902,14.030588,0.000000,0,0,14.787763,4.426514,6.954363,13.900075,0.95447,0.09284,3.27549
