"Time","67 LDS cle","65 L mark","64 R mark","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","36 CoMx (cm)","35 FRy (cm)","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.593170,25.660269,82.311241,81.358765,-3.174735,0.000000,0.000000,3.823520,3.687528,13.920050,2.960824,16.423946,11.386396,0,14.200740,4.263442,0,2.979851,12.713796,4.412114,6.171483,14.291739,6.867888,12.839428,6.903968,12.223257,7.109294,11.575416,7.260869,12.874710,8.412734,12.581642,8.487971,13.342527,0,-0.01735,0.00289,-0.01956,-0.01446,0.00825,-0.01284,0.03029,0.00039,0.00018,0.10226,3.27624
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.757248,26.250311,81.361641,80.066139,-3.119421,0.000000,0.000000,3.820232,3.686369,13.918117,2.960957,16.430420,11.377209,0,14.190539,4.261214,0,2.971561,12.729724,4.411675,6.172059,14.283201,6.866792,12.860487,6.891532,12.251339,7.112248,11.579220,7.266782,12.876122,8.418236,12.580032,8.495960,13.341552,0,-0.01735,0.00396,-0.01878,-0.01236,0.00857,-0.01215,0.00006,-0.00016,-0.00002,0.08229,3.27678
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.921326,26.840355,80.412041,78.773521,-3.064106,0.000000,0.000000,3.816944,3.685274,13.916183,2.961091,16.436892,11.368021,0,14.180339,4.258986,0,2.963271,12.745653,4.411235,6.172635,14.274664,6.865695,12.881545,6.879097,12.279422,7.115202,11.583024,7.272695,12.877534,8.423738,12.578422,8.503948,13.340577,0,-0.01594,0.00380,-0.02534,-0.01312,0.00870,-0.01389,-0.00017,0.00410,-0.00002,0.08159,3.27730
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.085403,27.430397,79.462433,77.480904,-3.008792,0.000000,0.000000,3.813656,3.684560,13.914248,2.961225,16.443365,11.358833,0,14.170138,4.256757,0,2.954980,12.761581,4.410796,6.173211,14.266128,6.864599,12.902604,6.866661,12.307504,7.118156,11.586828,7.278608,12.878945,8.429241,12.576812,8.511937,13.339602,0,-0.02003,0.00333,-0.01673,-0.01299,0.00809,-0.01166,0.03390,0.00071,0.00002,0.11124,3.27768
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.362946,28.059576,78.551018,76.115814,-2.952969,0.000000,0.000000,3.810398,3.683918,13.912717,2.961375,16.449865,11.349621,0,14.159943,4.254523,0,2.946589,12.777567,4.410340,6.173836,14.257624,6.863677,12.923095,6.854858,12.334457,7.120731,11.590427,7.285636,12.883464,8.434695,12.575195,8.519823,13.338662,0,-0.01945,0.00263,-0.01706,-0.01330,0.00780,-0.01179,0.02261,0.00125,0.00024,0.10044,3.27802
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.357193,29.280827,78.217316,73.654404,-2.889446,0.000000,0.000000,3.807592,3.683714,13.917276,2.961777,16.456779,11.340023,0,14.149826,4.252200,0,2.936656,12.794404,4.409630,6.175204,14.249624,6.865393,12.934999,6.852634,12.344335,7.117574,11.590916,7.309548,12.934971,8.439422,12.573495,8.526161,13.338244,0,-0.01939,0.00441,-0.02078,-0.01290,0.00855,-0.01179,-0.01126,0.00336,-0.00004,0.09703,3.27748
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.351440,30.502077,77.883606,71.192993,-2.825924,0.000000,0.000000,3.804786,3.683541,13.921835,2.962178,16.463696,11.330425,0,14.139709,4.249877,0,2.926722,12.811241,4.408920,6.176572,14.241624,6.867108,12.946902,6.850409,12.354213,7.114416,11.591404,7.333459,12.986479,8.444148,12.571794,8.532500,13.337827,0,-0.01701,0.00305,-0.02021,-0.01282,0.00825,-0.01130,0.00161,0.00200,0.00018,0.08489,3.27698
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.345703,31.723330,77.549904,68.731583,-2.762401,0.000000,0.000000,3.801980,3.683558,13.926394,2.962580,16.470610,11.320827,0,14.129591,4.247554,0,2.916789,12.828078,4.408209,6.177940,14.233624,6.868824,12.958807,6.848185,12.364090,7.111259,11.591893,7.357370,13.037987,8.448874,12.570093,8.538838,13.337409,0,-0.01579,0.00333,-0.02131,-0.01313,0.00839,-0.01224,0.05118,0.01988,0.00006,0.10538,3.27706
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.403412,32.906528,77.308372,66.354034,-2.699736,0.000000,0.000000,3.799203,3.683559,13.930838,2.962969,16.477669,11.311246,0,14.119502,4.245285,0,2.906763,12.844798,4.407492,6.179152,14.225647,6.869974,12.971409,6.845834,12.376475,7.105092,11.600076,7.381624,13.088972,8.453511,12.568339,8.545200,13.337046,0,-0.01753,0.00236,-0.02068,-0.01303,0.00884,-0.01259,0.02522,0.00248,0.00006,0.11112,3.27713
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.421280,33.514057,78.461456,65.245354,-2.650037,0.000000,0.000000,3.796855,3.683460,13.933540,2.963171,16.486910,11.301928,0,14.109849,4.243827,0,2.895328,12.859750,4.406657,6.178005,14.218001,6.862564,12.994570,6.841585,12.426798,7.053409,11.724661,7.411057,13.132059,8.456796,12.565787,8.551916,13.337503,0,-0.01543,0.00388,-0.02056,-0.01367,0.00840,-0.01284,0.00085,0.00128,0.00006,0.09953,3.27721
