"Time","v3 L COP","67 LDS cle","65 L mark","64 R mark","37a CoMy (cm)","v2 R COP","37 CoMy (cm)","v1 xCoM","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,-0.352955,0.000000,4.120274,4.105313,8.970323,4.128752,0,8.940274,4.423388,3.137089,6.594536,4.233216,-1.21541,0.12356,3.27697
0.001,0.000000,0,0,0,-0.278999,0.000000,4.119891,4.108028,8.958765,4.120084,0,9.000089,4.421730,3.133863,6.582581,4.233129,-1.22700,0.11656,3.27718
0.002,0.000000,0,0,0,-0.229358,0.000000,4.119714,4.110341,8.947107,4.113451,0,9.058856,4.420352,3.131774,6.570748,4.234265,-1.24037,0.10217,3.27733
0.003,0.000000,0,0,0,-0.179717,0.000000,4.119536,4.112387,8.935449,4.106818,0,9.117623,4.418973,3.129686,6.558915,4.235401,-1.25455,0.10588,3.27748
0.004,0.000000,0,0,0,-0.130077,0.000000,4.119359,4.114026,8.923791,4.100184,0,9.176391,4.417595,3.127598,6.547082,4.236537,-1.27924,0.11825,3.27763
0.005,0.000000,0,0,0,-0.095393,0.000000,4.119339,4.115393,8.912253,4.094764,0,9.234173,4.416302,3.125696,6.535539,4.238527,-1.29500,0.09477,3.27762
0.006,0.000000,0,0,0,-0.093083,0.000000,4.119664,4.116347,8.900977,4.091971,0,9.289824,4.415193,3.124200,6.524622,4.242365,-1.30793,0.07830,3.27724
0.007,0.000000,0,0,0,-0.090773,0.000000,4.119989,4.116913,8.889701,4.089178,0,9.345476,4.414084,3.122704,6.513705,4.246203,-1.31835,0.09930,3.27698
0.008,0.000000,0,0,0,-0.088464,0.000000,4.120314,4.116885,8.878425,4.086385,0,9.401128,4.412975,3.121208,6.502789,4.250042,-1.33075,0.09722,3.27698
0.009,0.000000,0,0,0,-0.105643,0.000000,4.120623,4.116323,8.867267,4.085460,0,9.455009,4.411992,3.119998,6.492047,4.255234,-1.34306,0.08971,3.27702
0.010,0.000000,0,0,0,-0.165010,0.000000,4.120898,4.114946,8.856365,4.088581,0,9.505055,4.411281,3.119406,6.481687,4.263358,-1.36338,0.09546,3.27718
0.011,0.000000,0,0,0,-0.224376,0.000000,4.121173,4.112916,8.845465,4.091701,0,9.555103,4.410570,3.118815,6.471325,4.271481,-1.37387,0.11526,3.27719
