"Time","67 LDS cle","66 RDS cle","65 L marks","64 R marks","63 sinus 2","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","v3 L COP","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.756943,37.015980,88.688278,63.986214,0.000000,4.799243,-3.272091,4.959752,10.372595,4.725039,12.694164,5.858122,0,4.551115,8.734894,0.000000,12.091607,5.279106,6.105352,8.154366,12.649122,8.173599,8.919525,8.256115,8.288119,8.491281,7.728252,8.866899,9.258119,10.204331,8.889160,10.047928,9.737748,0,-0.01722,0.00320,-0.02061,-0.01366,0.00741,-0.01343,0.02625,0.00269,-1.48064,0.07440,3.27681
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.827118,37.209484,88.853340,63.881741,0.000000,4.789715,-3.397872,4.956269,10.367557,4.724827,12.682663,5.859346,0,4.550600,8.725706,0.000000,12.085055,5.280792,6.094671,8.154536,12.636969,8.171366,8.913562,8.259127,8.276546,8.498780,7.718491,8.869793,9.243691,10.206520,8.881164,10.048246,9.724785,0,-0.01306,0.00202,-0.01944,-0.01238,0.00924,-0.01409,0.01599,0.00252,-1.47987,0.10204,3.27712
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.897293,37.402988,89.018402,63.777267,0.000000,4.780343,-3.523653,4.952787,10.362519,4.724615,12.671162,5.860571,0,4.550084,8.716518,0.000000,12.078504,5.282478,6.083989,8.154706,12.624816,8.169133,8.907598,8.262138,8.264973,8.506280,7.708730,8.872685,9.229264,10.208708,8.873166,10.048565,9.711822,0,-0.02247,0.00871,-0.02127,-0.01212,0.00765,-0.01357,-0.01233,0.00264,-1.48016,0.12011,3.27735
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.855850,37.615448,89.099373,63.628880,0.000000,4.771593,-3.625943,4.949104,10.358087,4.724376,12.659703,5.861992,0,4.548952,8.706667,0.000000,12.072365,5.283548,6.073286,8.155130,12.611755,8.166772,8.897580,8.265868,8.248230,8.514055,7.691531,8.876392,9.215926,10.214921,8.867995,10.047755,9.703288,0,-0.00926,0.00190,-0.02084,-0.01449,0.00782,-0.01329,-0.00327,0.00258,-1.47963,0.10513,3.27700
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.752701,37.838390,89.133865,63.456215,0.000000,4.763077,-3.715248,4.945310,10.353990,4.724122,12.648269,5.863521,0,4.547479,8.696449,0.000000,12.066454,5.284278,6.062570,8.155695,12.598195,8.164341,8.885322,8.269995,8.228628,8.521983,7.670220,8.880548,9.203190,10.223360,8.864386,10.046321,9.697205,0,-0.01970,0.00429,-0.01988,-0.01370,0.00916,-0.01202,0.00045,0.00226,-1.47983,0.08411,3.27631
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.649551,38.061333,89.168358,63.283554,0.000000,4.755037,-3.804554,4.941515,10.349893,4.723868,12.636833,5.865049,0,4.546006,8.686232,0.000000,12.060543,5.285008,6.051854,8.156260,12.584634,8.161910,8.873062,8.274121,8.209027,8.529911,7.648910,8.884706,9.190454,10.231798,8.860776,10.044888,9.691120,0,-0.02075,0.00387,-0.02046,-0.01436,0.00717,-0.01297,-0.00027,0.00244,-1.47973,0.08720,3.27611
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.546402,38.284271,89.202850,63.110889,0.000000,4.747177,-3.893859,4.937721,10.345796,4.723614,12.625399,5.866579,0,4.544534,8.676014,0.000000,12.054632,5.285738,6.041139,8.156823,12.571073,8.159479,8.860804,8.278248,8.189425,8.537839,7.627600,8.888862,9.177717,10.240236,8.857166,10.043453,9.685036,0,-0.01720,0.00420,-0.01959,-0.01307,0.01208,-0.01224,0.00576,0.00038,-1.47865,0.09641,3.27619
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.656662,38.335655,89.240631,62.986435,0.000000,4.739632,-3.961358,4.933598,10.340338,4.723389,12.614199,5.868347,0,4.543553,8.665346,0.000000,12.049108,5.286380,6.030141,8.157493,12.559327,8.164265,8.832130,8.284176,8.173043,8.547123,7.615985,8.892587,9.166958,10.245449,8.850744,10.043582,9.678681,0,-0.01751,0.00370,-0.01999,-0.01317,0.00905,-0.01401,0.00565,0.00287,-1.48125,0.09354,3.27631
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.884903,38.292198,89.280243,62.888626,0.000000,4.732207,-4.016802,4.929293,10.334126,4.723179,12.603130,5.870247,0,4.542845,8.654428,0.000000,12.043796,5.286974,6.018988,8.158219,12.548585,8.173040,8.794384,8.291100,8.158441,8.557157,7.609730,8.896072,9.157291,10.248878,8.842767,10.044574,9.672177,0,-0.01881,0.00439,-0.02110,-0.01293,0.00835,-0.01199,0.00394,0.00181,-1.47870,0.10057,3.27646
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.113159,38.248741,89.319855,62.790821,0.000000,4.725330,-4.072248,4.924988,10.327915,4.722969,12.592061,5.872147,0,4.542137,8.643511,0.000000,12.038483,5.287568,6.007835,8.158946,12.537844,8.181816,8.756637,8.298022,8.143839,8.567191,7.603475,8.899558,9.147624,10.252308,8.834790,10.045566,9.665672,0,-0.01708,0.00269,-0.02130,-0.01361,0.00813,-0.01263,0.00486,0.00189,-1.48050,0.11321,3.27691
