"Time","v2 R COP","67 LDS cle","66 RDS cle","65 L marks","64 R marks","63 sinus 2","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","v3 L COP","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.153412,83.764557,92.808693,93.527122,4.638420,6.538742,4.319353,9.456874,3.687338,10.785465,5.186579,0,3.143638,6.357060,0.000000,12.894078,5.624134,6.174910,8.245894,10.619060,8.318604,6.104613,8.770977,5.747923,9.480730,5.897004,8.902353,7.398373,10.176570,7.949765,9.898764,8.740105,0,-0.01956,0.00325,-0.02090,-0.01573,0.00781,-0.01207,0.00485,0.00259,0.74496,0.11710,3.27690
0.001,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.392990,85.174660,93.040054,93.473412,4.653862,6.714971,4.326072,9.466319,3.689611,10.777601,5.200245,0,3.148557,6.352481,0.000000,12.920954,5.624806,6.165655,8.246893,10.604093,8.328496,6.083442,8.774378,5.734406,9.480348,5.900111,8.904318,7.403679,10.173738,7.957560,9.894128,8.749170,0,-0.01807,0.00346,-0.02151,-0.01408,0.00815,-0.01245,0.00562,0.00298,0.77756,0.10847,3.27676
0.002,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.632568,86.584755,93.271408,93.419701,4.669606,6.891199,4.332791,9.475764,3.691884,10.769737,5.213912,0,3.153476,6.347901,0.000000,12.947829,5.625480,6.156400,8.247890,10.589126,8.338387,6.062271,8.777780,5.720889,9.479965,5.903218,8.906281,7.408986,10.170905,7.965355,9.889493,8.758236,0,-0.01663,0.00208,-0.01968,-0.01488,0.00757,-0.01183,0.00500,0.00267,0.80933,0.09282,3.27691
0.003,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.514557,87.863960,93.525261,93.435402,4.685383,7.066876,4.339807,9.488013,3.694256,10.762478,5.227190,0,3.159237,6.344402,0.000000,12.975319,5.626300,6.146639,8.249634,10.573095,8.345249,6.043896,8.784285,5.710316,9.481507,5.908097,8.908356,7.416013,10.170189,7.975346,9.885630,8.770737,0,-0.01828,0.00084,-0.02045,-0.01566,0.00705,-0.01236,0.00549,0.00038,0.83435,0.10627,3.27706
0.004,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.135475,89.047607,93.795540,93.501785,4.701177,7.242151,4.347040,9.502311,3.696700,10.755659,5.240188,0,3.165613,6.341692,0.000000,13.003258,5.627228,6.136510,8.251921,10.556289,8.349900,6.027563,8.793056,5.701892,9.484453,5.914268,8.910509,7.424296,10.171018,7.986940,9.882331,8.785746,0,-0.01874,0.00803,-0.02121,-0.01343,0.00873,-0.01173,0.00430,0.00336,0.85382,0.12181,3.27722
0.005,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.756393,90.231247,94.065819,93.568169,4.716984,7.417427,4.354274,9.516607,3.699144,10.748841,5.253184,0,3.171989,6.338983,0.000000,13.031197,5.628156,6.126381,8.254209,10.539483,8.354550,6.011229,8.801827,5.693468,9.487400,5.920441,8.912663,7.432580,10.171846,7.998534,9.879031,8.800754,0,-0.01788,0.00584,-0.02167,-0.01193,0.00778,-0.01341,0.00436,0.00282,0.87531,0.10595,3.27728
0.006,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.377304,91.414894,94.336090,93.634544,4.732798,7.592701,4.361507,9.530905,3.701588,10.742023,5.266181,0,3.178365,6.336273,0.000000,13.059135,5.629085,6.116252,8.256495,10.522676,8.359201,5.994895,8.810598,5.685043,9.490346,5.926612,8.914818,7.440863,10.172675,8.010128,9.875731,8.815763,0,-0.02002,0.00342,-0.01999,-0.01422,0.00781,-0.01181,0.00558,0.00153,0.89545,0.08056,3.27728
0.007,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.152687,92.396149,94.564606,93.581726,4.748687,7.754843,4.369378,9.543035,3.704037,10.735239,5.278481,0,3.185758,6.335165,0.000000,13.085917,5.630202,6.105961,8.259467,10.508119,8.364573,5.995939,8.814572,5.680816,9.487694,5.934465,8.918319,7.452111,10.173151,8.023254,9.875018,8.828279,0,-0.01859,-0.00066,-0.02075,-0.01178,0.00845,-0.01193,0.00375,0.00313,0.91068,0.09363,3.27724
0.008,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.040848,93.229652,94.762619,93.441879,4.764615,7.907396,4.377713,9.553581,3.706491,10.728479,5.290273,0,3.193893,6.335226,0.000000,13.111852,5.631459,6.095552,8.262939,10.495203,8.370472,6.009670,8.815043,5.679653,9.480953,5.943545,8.922804,7.465522,10.173368,8.037500,9.876192,8.838979,0,-0.03543,-0.01279,-0.02075,-0.02220,0.00909,-0.01180,0.00500,0.00488,0.94705,0.11084,3.27716
0.009,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.929008,94.063148,94.960640,93.302032,4.780382,8.059950,4.386048,9.564129,3.708944,10.721719,5.302065,0,3.202028,6.335288,0.000000,13.137787,5.632716,6.085143,8.266412,10.482287,8.376369,6.023401,8.815515,5.678490,9.474214,5.952626,8.927288,7.478934,10.173586,8.051746,9.877366,8.849677,0,-0.01035,-0.00931,-0.02014,-0.01015,0.00821,-0.01283,-0.00128,0.00023,0.97757,0.09207,3.27713
