"Time","60 right DS","59 left DS","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0.000000,0.000000,4.839310,-4.309228,4.938451,3.890402,5.408501,3.840672,5.486732,-0.60472,0.10580,3.27744
0.001,0,0,0.000000,0.000000,4.836238,-4.315102,4.932795,3.886955,5.406158,3.838096,5.484342,-0.62510,0.09929,3.27744
0.002,0,0,0.000000,0.000000,4.834031,-4.192263,4.928036,3.883308,5.403930,3.835741,5.482013,-0.64979,0.12028,3.27720
0.003,0,0,0.000000,0.000000,4.831945,-4.036436,4.923508,3.879609,5.401732,3.833442,5.479700,-0.66730,0.11427,3.27689
0.004,0,0,0.000000,0.000000,4.830721,-3.880610,4.918980,3.875909,5.399534,3.831143,5.477387,-0.69438,0.11919,3.27682
0.005,0,0,0.000000,0.000000,4.829618,-3.724783,4.914452,3.872210,5.397335,3.828845,5.475074,-0.71616,0.10753,3.27682
0.006,0,0,0.000000,0.000000,4.829322,-3.494404,4.910483,3.868071,5.395070,3.826783,5.472818,-0.76404,0.08624,3.27700
0.007,0,0,0.000000,0.000000,4.829139,-3.244919,4.906658,3.863818,5.392787,3.824781,5.470576,-0.78438,0.10007,3.27723
0.008,0,0,0.000000,0.000000,4.829714,-2.995434,4.902833,3.859566,5.390505,3.822780,5.468335,-0.80668,0.10857,3.27746
0.009,0,0,0.000000,0.000000,4.830395,-2.745949,4.899008,3.855314,5.388222,3.820779,5.466093,-0.82827,0.11357,3.27769
0.010,0,0,0.000000,0.000000,4.831769,-2.431633,4.896656,3.850560,5.386081,3.818959,5.463900,-0.84747,0.12626,3.27732
0.011,0,0,0.000000,0.000000,4.833240,-2.100704,4.894681,3.845678,5.383976,3.817186,5.461720,-0.87034,0.10526,3.27679
0.012,0,0,0.000000,0.000000,4.835243,-1.769774,4.892707,3.840796,5.381872,3.815413,5.459539,-0.90709,0.12114,3.27679
