"Time","28 CoMy (cm)","v1 xCOMy","28a CoMy (cm)","v2 Right CoP","v3 Left CoP","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,0.818296,5.529006,5.485839,6.055271,4.553573,4.783832,5.400594,3.971626,4.576217,2.824456,6.709948,5.634884,4.530930,6.489611,163.906281,171.853836,49.678513,173.428955,8.801893,2.029169,8.688087,5.840160,8.884615,6.365242,9.278696,6.895618,10.338278,8.849516,11.188143,6.660042,11.550948,5.971437
0.001,0.820257,5.529920,5.486649,6.058046,4.553120,4.788266,5.403901,3.962547,4.575274,2.835181,6.712192,5.642791,4.530964,6.503446,164.102188,171.875214,49.798466,173.863068,8.802842,2.036640,8.688425,5.849476,8.884924,6.373578,9.277918,6.905657,10.327197,8.852130,11.189783,6.659584,11.549703,5.971448
0.002,0.822218,5.530834,5.487459,6.060822,4.552666,4.792700,5.407207,3.953467,4.574332,2.845906,6.714435,5.650698,4.531000,6.517281,164.298096,171.896576,49.918415,174.297165,8.803790,2.044112,8.688764,5.858792,8.885233,6.381915,9.277141,6.915695,10.316115,8.854743,11.191423,6.659125,11.548457,5.971458
0.003,0.820512,5.531621,5.488337,6.063304,4.552588,4.798851,5.417736,3.932868,4.573748,2.852530,6.708872,5.665663,4.531429,6.529374,163.749802,171.243378,49.883076,174.444275,8.801387,2.048276,8.687710,5.869809,8.884520,6.390983,9.279152,6.916136,10.318213,8.855408,11.191664,6.660607,11.546537,5.971766
0.004,0.818805,5.532409,5.489214,6.065787,4.552510,4.805003,5.428264,3.912269,4.573163,2.859155,6.703310,5.680628,4.531858,6.541467,163.201508,170.590195,49.847736,174.591400,8.798983,2.052440,8.686657,5.880826,8.883805,6.400051,9.281162,6.916576,10.320310,8.856071,11.191903,6.662089,11.544618,5.972073
0.005,0.817098,5.533196,5.490092,6.068270,4.552433,4.811155,5.438792,3.891669,4.572579,2.865780,6.697747,5.695593,4.532287,6.553560,162.653229,169.937012,49.812397,174.738525,8.796579,2.056605,8.685604,5.891843,8.883091,6.409119,9.283174,6.917017,10.322407,8.856736,11.192142,6.663571,11.542698,5.972381
0.006,0.815392,5.533984,5.490969,6.070752,4.552355,4.817307,5.449320,3.871070,4.571994,2.872405,6.692184,5.710558,4.532716,6.565654,162.104935,169.283813,49.777058,174.885635,8.794176,2.060769,8.684550,5.902861,8.882378,6.418186,9.285185,6.917458,10.324504,8.857401,11.192383,6.665054,11.540778,5.972688
0.007,0.812331,5.534640,5.491787,6.076507,4.552203,4.819124,5.461096,3.835505,4.571514,2.879244,6.691918,5.719333,4.532892,6.579404,161.594971,168.938461,49.837196,175.119995,8.790492,2.071055,8.687284,5.915691,8.882097,6.428773,9.285991,6.924181,10.321734,8.861399,11.195061,6.667553,11.541622,5.975073
0.008,0.809270,5.535296,5.492605,6.082262,4.552051,4.820942,5.472873,3.799940,4.571033,2.886082,6.691651,5.728107,4.533069,6.593154,161.084991,168.593109,49.897335,175.354370,8.786808,2.081341,8.690018,5.928521,8.881817,6.439361,9.286797,6.930905,10.318964,8.865396,11.197739,6.670053,11.542467,5.977459
0.009,0.806209,5.535953,5.493423,6.088017,4.551898,4.822760,5.484649,3.764375,4.570553,2.892921,6.691385,5.736882,4.533245,6.606904,160.575027,168.247772,49.957474,175.588730,8.783125,2.091627,8.692751,5.941352,8.881536,6.449947,9.287602,6.937629,10.316195,8.869395,11.200416,6.672553,11.543312,5.979844
0.010,0.803149,5.536609,5.494241,6.093772,4.551746,4.824578,5.496425,3.728810,4.570073,2.899760,6.691118,5.745656,4.533421,6.620654,160.065063,167.902420,50.017612,175.823090,8.779441,2.101913,8.695484,5.954182,8.881255,6.460535,9.288408,6.944353,10.313425,8.873393,11.203094,6.675053,11.544156,5.982229
0.011,0.797679,5.537329,5.495249,6.101365,4.551186,4.824578,5.510930,3.676046,4.568518,2.904013,6.691799,5.753435,4.533853,6.628015,160.066162,167.714081,50.007767,176.122925,8.776174,2.115123,8.693151,5.962995,8.878889,6.467114,9.288069,6.951977,10.305771,8.876051,11.199923,6.677699,11.539142,5.982479
0.012,0.792209,5.538049,5.496257,6.108957,4.550624,4.824578,5.525435,3.623283,4.566964,2.908265,6.692479,5.761213,4.534285,6.635375,160.067261,167.525726,49.997917,176.422760,8.772907,2.128333,8.690820,5.971808,8.876524,6.473694,9.287728,6.959601,10.298117,8.878708,11.196751,6.680345,11.534127,5.982729
0.013,0.786740,5.538769,5.497266,6.116550,4.550063,4.824578,5.539940,3.570519,4.565410,2.912518,6.693160,5.768991,4.534717,6.642735,160.068375,167.337387,49.988068,176.722595,8.769640,2.141542,8.688488,5.980621,8.874158,6.480274,9.287388,6.967225,10.290462,8.881365,11.193580,6.682990,11.529113,5.982978
0.014,0.781270,5.539488,5.498274,6.124143,4.549502,4.824578,5.554445,3.517756,4.563855,2.916771,6.693841,5.776769,4.535149,6.650095,160.069473,167.149048,49.978222,177.022430,8.766373,2.154752,8.686155,5.989434,8.871792,6.486854,9.287048,6.974849,10.282808,8.884023,11.190409,6.685636,11.524098,5.983228
0.015,0.773115,5.539836,5.499052,6.130475,4.549942,4.824578,5.569005,3.486244,4.562312,2.922504,6.691945,5.783362,4.537572,6.657863,159.751984,166.918518,50.001461,177.285110,8.763776,2.164540,8.686920,5.999682,8.870110,6.495524,9.286739,6.982946,10.275566,8.887180,11.189243,6.688015,11.521204,5.984973
0.016,0.764960,5.540184,5.499830,6.136806,4.550382,4.824578,5.583564,3.454733,4.560769,2.928237,6.690049,5.789955,4.539996,6.665631,159.434509,166.687988,50.024700,177.547791,8.761179,2.174328,8.687685,6.009931,8.868427,6.504194,9.286430,6.991044,10.268325,8.890339,11.188077,6.690394,11.518309,5.986719
0.017,0.756805,5.540532,5.500607,6.143139,4.550822,4.824578,5.598124,3.423221,4.559225,2.933970,6.688154,5.796548,4.542419,6.673398,159.117035,166.457474,50.047939,177.810471,8.758582,2.184116,8.688450,6.020179,8.866745,6.512864,9.286120,6.999142,10.261084,8.893497,11.186911,6.692773,11.515414,5.988464
0.018,0.748650,5.540879,5.501386,6.149471,4.551262,4.824578,5.612683,3.391710,4.557682,2.939703,6.686258,5.803142,4.544842,6.681166,158.799545,166.226944,50.071178,178.073151,8.755985,2.193904,8.689215,6.030428,8.865063,6.521534,9.285811,7.007240,10.253841,8.896654,11.185745,6.695152,11.512520,5.990210
0.019,0.743244,5.541154,5.501945,6.151414,4.550402,4.824402,5.617537,3.358114,4.557531,2.950864,6.685291,5.816417,4.543273,6.689668,158.821060,165.994583,50.057182,178.344437,8.755399,2.201835,8.690668,6.042544,8.866821,6.530292,9.286660,7.012626,10.248699,8.897906,11.184177,6.696558,11.509377,5.988792
0.020,0.737838,5.541429,5.502505,6.153357,4.549541,4.824226,5.622390,3.324519,4.557380,2.962026,6.684324,5.829693,4.541703,6.698170,158.842590,165.762222,50.043190,178.615723,8.754812,2.209765,8.692122,6.054661,8.868580,6.539049,9.287510,7.018013,10.243557,8.899158,11.182610,6.697964,11.506233,5.987375
0.021,0.732432,5.541703,5.503065,6.155300,4.548681,4.824051,5.627243,3.290923,4.557229,2.973187,6.683357,5.842968,4.540134,6.706672,158.864105,165.529861,50.029194,178.886993,8.754227,2.217695,8.693574,6.066778,8.870338,6.547806,9.288359,7.023399,10.238414,8.900410,11.181043,6.699370,11.503089,5.985959
0.022,0.727026,5.541977,5.503624,6.157243,4.547821,4.823875,5.632096,3.257328,4.557078,2.984348,6.682390,5.856244,4.538565,6.715174,158.885620,165.297501,50.015198,179.158279,8.753640,2.225626,8.695027,6.078895,8.872097,6.556563,9.289207,7.028785,10.233272,8.901662,11.179475,6.700776,11.499946,5.984541
0.023,0.726563,5.542532,5.504204,6.160033,4.546515,4.823050,5.634987,3.226237,4.556694,2.994890,6.685080,5.867517,4.536335,6.723634,158.968719,165.070648,50.021999,179.216980,8.750484,2.231738,8.694662,6.087976,8.873227,6.564927,9.290557,7.035698,10.226803,8.902981,11.179172,6.701660,11.496795,5.984023
0.024,0.726100,5.543087,5.504784,6.162824,4.545208,4.822226,5.637877,3.195146,4.556310,3.005433,6.687769,5.878791,4.534106,6.732095,159.051819,164.843811,50.028801,179.275696,8.747327,2.237849,8.694296,6.097057,8.874357,6.573291,9.291906,7.042612,10.220335,8.904299,11.178867,6.702544,11.493645,5.983504
0.025,0.725637,5.543643,5.505363,6.165614,4.543901,4.821402,5.640769,3.164056,4.555926,3.015975,6.690459,5.890065,4.531877,6.740555,159.134933,164.616974,50.035603,179.334396,8.744170,2.243961,8.693930,6.106139,8.875487,6.581655,9.293257,7.049525,10.213867,8.905617,11.178564,6.703429,11.490494,5.982986
0.026,0.725174,5.544198,5.505942,6.168405,4.542595,4.820577,5.643660,3.132965,4.555542,3.026517,6.693149,5.901339,4.529647,6.749015,159.218033,164.390121,50.042404,179.393097,8.741014,2.250073,8.693564,6.115220,8.876617,6.590019,9.294606,7.056438,10.207398,8.906936,11.178261,6.704313,11.487343,5.982468
0.027,0.730591,5.545208,5.506668,6.169621,4.542645,4.820278,5.647317,3.104045,4.555108,3.042870,6.691923,5.915439,4.530181,6.761734,158.497070,163.511902,49.971157,178.918976,8.739178,2.254499,8.692812,6.125434,8.876082,6.602757,9.300364,7.065560,10.199146,8.906254,11.176903,6.705117,11.482462,5.980644
0.028,0.736008,5.546219,5.507393,6.170836,4.542695,4.819979,5.650975,3.075126,4.554674,3.059223,6.690697,5.929538,4.530715,6.774452,157.776123,162.633682,49.899910,178.444855,8.737342,2.258924,8.692060,6.135648,8.875547,6.615497,9.306120,7.074681,10.190893,8.905571,11.175544,6.705921,11.477581,5.978821
0.029,0.741425,5.547230,5.508118,6.172052,4.542745,4.819679,5.654633,3.046206,4.554240,3.075576,6.689471,5.943638,4.531249,6.787170,157.055161,161.755463,49.828667,177.970749,8.735506,2.263350,8.691308,6.145861,8.875011,6.628236,9.311877,7.083802,10.182641,8.904889,11.174185,6.706726,11.472699,5.976997
0.030,0.746842,5.548241,5.508843,6.173268,4.542794,4.819380,5.658291,3.017286,4.553806,3.091929,6.688245,5.957737,4.531783,6.799889,156.334198,160.877243,49.757420,177.496628,8.733670,2.267776,8.690556,6.156075,8.874476,6.640975,9.317635,7.092924,10.174389,8.904207,11.172827,6.707530,11.467818,5.975173
0.031,0.755454,5.549453,5.509601,6.173125,4.542458,4.819316,5.659923,2.987110,4.554180,3.098394,6.686327,5.970982,4.530736,6.807895,155.707214,160.283859,49.728119,177.148453,8.734866,2.286501,8.691945,6.166041,8.873656,6.650784,9.321007,7.100588,10.166818,8.903921,11.172542,6.707657,11.464847,5.975088
0.032,0.764066,5.550665,5.510359,6.172982,4.542122,4.819253,5.661554,2.956934,4.554553,3.104858,6.684410,5.984227,4.529690,6.815902,155.080246,159.690460,49.698814,176.800278,8.736061,2.305226,8.693335,6.176007,8.872835,6.660595,9.324379,7.108253,10.159246,8.903635,11.172256,6.707785,11.461876,5.975002
0.033,0.772678,5.551877,5.511117,6.172839,4.541785,4.819189,5.663186,2.926758,4.554927,3.111323,6.682493,5.997472,4.528644,6.823908,154.453278,159.097076,49.669510,176.452103,8.737257,2.323951,8.694723,6.185973,8.872015,6.670405,9.327750,7.115918,10.151676,8.903350,11.171970,6.707912,11.458904,5.974916
0.034,0.781290,5.553090,5.511874,6.172697,4.541449,4.819126,5.664817,2.896582,4.555301,3.117788,6.680576,6.010716,4.527597,6.831914,153.826294,158.503693,49.640209,176.103928,8.738453,2.342677,8.696113,6.195939,8.871195,6.680215,9.331122,7.123582,10.144105,8.903064,11.171685,6.708039,11.455933,5.974831
0.035,0.794257,5.554484,5.512585,6.172432,4.541251,4.819189,5.665484,2.873468,4.554927,3.129590,6.679380,6.019711,4.527575,6.845392,153.364487,157.747879,49.596283,175.720673,8.742724,2.357883,8.695290,6.206603,8.872005,6.691860,9.334772,7.128893,10.138824,8.901853,11.171484,6.707754,11.452064,5.973965
0.036,0.807224,5.555878,5.513295,6.172168,4.541053,4.819253,5.666151,2.850354,4.554553,3.141391,6.678185,6.028705,4.527553,6.858870,152.902679,156.992065,49.552353,175.337402,8.746996,2.373090,8.694466,6.217266,8.872816,6.703506,9.338422,7.134205,10.133543,8.900641,11.171282,6.707469,11.448195,5.973098
0.037,0.820191,5.557272,5.514005,6.171904,4.540855,4.819316,5.666818,2.827240,4.554180,3.153193,6.676991,6.037700,4.527531,6.872347,152.440857,156.236237,49.508427,174.954132,8.751267,2.388296,8.693643,6.227929,8.873627,6.715151,9.342072,7.139516,10.128262,8.899430,11.171080,6.707183,11.444325,5.972231
0.038,0.833158,5.558667,5.514715,6.171639,4.540657,4.819380,5.667484,2.804126,4.553806,3.164994,6.675795,6.046694,4.527509,6.885825,151.979050,155.480423,49.464500,174.570877,8.755539,2.403503,8.692820,6.238593,8.874437,6.726796,9.345721,7.144827,10.122981,8.898219,11.170878,6.706898,11.440456,5.971364
0.039,0.846782,5.560256,5.515586,6.172848,4.540467,4.819380,5.669759,2.784925,4.553557,3.174258,6.675938,6.051129,4.527378,6.895427,151.725891,155.049713,49.448223,174.420120,8.757513,2.416379,8.693538,6.248503,8.875104,6.735723,9.348128,7.151108,10.117588,8.898663,11.171564,6.707324,11.440949,5.971437
0.040,0.860407,5.561845,5.516456,6.174057,4.540278,4.819380,5.672034,2.765723,4.553308,3.183522,6.676080,6.055564,4.527248,6.905030,151.472717,154.618988,49.431946,174.269363,8.759487,2.429255,8.694256,6.258412,8.875771,6.744649,9.350534,7.157390,10.112194,8.899105,11.172251,6.707750,11.441442,5.971508
0.041,0.874032,5.563434,5.517326,6.175265,4.540089,4.819380,5.674309,2.746522,4.553060,3.192786,6.676222,6.059999,4.527118,6.914632,151.219559,154.188263,49.415672,174.118607,8.761460,2.442132,8.694974,6.268322,8.876437,6.753576,9.352942,7.163671,10.106800,8.899548,11.172936,6.708176,11.441936,5.971580
0.042,0.887656,5.565023,5.518197,6.176474,4.539899,4.819380,5.676584,2.727320,4.552811,3.202050,6.676364,6.064434,4.526987,6.924235,150.966400,153.757553,49.399395,173.967850,8.763434,2.455008,8.695692,6.278232,8.877104,6.762503,9.355349,7.169952,10.101407,8.899991,11.173622,6.708602,11.442429,5.971652
0.043,0.896250,5.566399,5.519119,6.177807,4.540745,4.819380,5.676584,3.561967,4.552454,3.211979,6.679030,6.074922,4.529036,6.934221,150.732468,153.091614,49.359905,173.755676,8.760974,2.457973,8.696321,6.294870,8.877943,6.773273,9.357925,7.175177,10.095107,8.898558,11.173303,6.707750,11.440841,5.971074
0.044,0.904844,5.567774,5.520041,6.179140,4.541590,4.819380,5.676584,4.396614,4.552096,3.221908,6.681696,6.085411,4.531084,6.944206,150.498535,152.425690,49.320412,173.543503,8.758514,2.460937,8.696949,6.311507,8.878782,6.784044,9.360502,7.180402,10.088808,8.897124,11.172983,6.706898,11.439253,5.970495
0.045,0.913438,5.569150,5.520963,6.180473,4.542436,4.819380,5.676584,5.231261,4.551740,3.231837,6.684361,6.095899,4.533132,6.954192,150.264587,151.759766,49.280922,173.331329,8.756054,2.463902,8.697577,6.328145,8.879622,6.794816,9.363079,7.185627,10.082508,8.895691,11.172664,6.706046,11.437665,5.969917
0.046,0.922032,5.570525,5.521885,6.181806,4.543282,4.819380,5.676584,6.065908,4.551383,3.241765,6.687027,6.106388,4.535181,6.964178,150.030655,151.093826,49.241432,173.119156,8.753593,2.466866,8.698206,6.344783,8.880461,6.805586,9.365656,7.190851,10.076208,8.894258,11.172344,6.705194,11.436077,5.969338
0.047,0.923155,5.571717,5.523018,6.180641,4.542377,4.819601,5.676584,6.071514,4.551383,3.249293,6.684698,6.111560,4.533371,6.971264,150.453033,150.868256,49.246155,172.845551,8.753353,2.468891,8.697626,6.357232,8.883022,6.814261,9.367657,7.197914,10.071083,8.895772,11.174694,6.705712,11.436916,5.968859
0.048,0.924277,5.572909,5.524151,6.179476,4.541472,4.819822,5.676584,6.077119,4.551383,3.256821,6.682369,6.116734,4.531561,6.978350,150.875427,150.642685,49.250881,172.571960,8.753113,2.470915,8.697046,6.369681,8.885584,6.822936,9.369658,7.204976,10.065958,8.897285,11.177044,6.706229,11.437756,5.968379
0.049,0.925400,5.574101,5.525284,6.178311,4.540567,4.820044,5.676584,6.082725,4.551383,3.264349,6.680040,6.121906,4.529751,6.985435,151.297821,150.417114,49.255608,172.298355,8.752873,2.472940,8.696467,6.382131,8.888146,6.831610,9.371660,7.212039,10.060834,8.898800,11.179395,6.706746,11.438594,5.967898
0.050,0.926522,5.575293,5.526416,6.177147,4.539662,4.820265,5.676584,6.088331,4.551383,3.271878,6.677711,6.127079,4.527942,6.992521,151.720200,150.191544,49.260330,172.024750,8.752633,2.474965,8.695888,6.394580,8.890708,6.840285,9.373661,7.219101,10.055709,8.900314,11.181745,6.707263,11.439433,5.967419
0.051,0.919288,5.575960,5.527465,6.177876,4.538579,4.821326,5.673753,5.164029,4.550817,3.280023,6.682000,6.141136,4.526340,6.999478,151.600601,149.656601,49.189079,171.807404,8.753040,2.480017,8.695953,6.403214,8.893004,6.848422,9.378528,7.224039,10.053250,8.899783,11.182341,6.708395,11.438755,5.966489
0.052,0.912054,5.576627,5.528513,6.178606,4.537495,4.822387,5.670921,4.239726,4.550251,3.288169,6.686290,6.155193,4.524737,7.006434,151.480988,149.121658,49.117825,171.590057,8.753448,2.485069,8.696018,6.411849,8.895300,6.856559,9.383394,7.228976,10.050792,8.899252,11.182937,6.709527,11.438076,5.965560
0.053,0.904820,5.577293,5.529562,6.179335,4.536410,4.823447,5.668090,3.315424,4.549686,3.296314,6.690580,6.169251,4.523135,7.013391,151.361389,148.586716,49.046570,171.372726,8.753855,2.490121,8.696083,6.420484,8.897596,6.864696,9.388262,7.233913,10.048333,8.898722,11.183533,6.710658,11.437398,5.964630
0.054,0.897586,5.577960,5.530610,6.180064,4.535326,4.824508,5.665259,2.391122,4.549120,3.304460,6.694870,6.183308,4.521533,7.020348,151.241791,148.051773,48.975319,171.155380,8.754262,2.495173,8.696149,6.429118,8.899893,6.872833,9.393128,7.238851,10.045875,8.898190,11.184129,6.711790,11.436720,5.963701
0.055,0.881418,5.578090,5.531592,6.179362,4.535951,4.825432,5.665259,2.373931,4.548512,3.314404,6.693466,6.192418,4.523390,7.033089,151.382141,147.457199,48.984936,171.068817,8.753635,2.502771,8.693666,6.442153,8.903191,6.884653,9.393554,7.241836,10.043070,8.898580,11.185495,6.711299,11.437560,5.964325
0.056,0.865249,5.578219,5.532575,6.178660,4.536575,4.826357,5.665259,2.356741,4.547904,3.324349,6.692062,6.201528,4.525247,7.045830,151.522491,146.862625,48.994553,170.982269,8.753008,2.510369,8.691183,6.455188,8.906488,6.896472,9.393978,7.244821,10.040264,8.898970,11.186861,6.710808,11.438400,5.964951
0.057,0.849080,5.578349,5.533557,6.177959,4.537200,4.827281,5.665259,2.339551,4.547296,3.334294,6.690659,6.210638,4.527104,7.058572,151.662857,146.268051,49.004173,170.895706,8.752381,2.517968,8.688700,6.468222,8.909786,6.908292,9.394403,7.247805,10.037459,8.899359,11.188227,6.710317,11.439240,5.965575
0.058,0.832911,5.578478,5.534540,6.177257,4.537825,4.828206,5.665259,2.322361,4.546688,3.344239,6.689255,6.219748,4.528962,7.071313,151.803207,145.673477,49.013790,170.809143,8.751755,2.525566,8.686216,6.481257,8.913084,6.920112,9.394829,7.250790,10.034655,8.899748,11.189593,6.709826,11.440080,5.966200
0.059,0.808765,5.578086,5.535421,6.177282,4.538546,4.828260,5.665259,2.313915,4.546688,3.358176,6.689304,6.233736,4.530405,7.079767,151.800735,145.153717,48.975258,170.701767,8.752019,2.530936,8.687258,6.492737,8.916319,6.928670,9.397775,7.254436,10.031510,8.898691,11.190739,6.709202,11.441108,5.965272
0.060,0.784620,5.577694,5.536303,6.177306,4.539268,4.828315,5.665259,2.305470,4.546688,3.372113,6.689354,6.247723,4.531848,7.088221,151.798264,144.633972,48.936722,170.594391,8.752283,2.536307,8.688299,6.504217,8.919554,6.937228,9.400721,7.258082,10.028366,8.897635,11.191883,6.708578,11.442137,5.964345
0.061,0.760474,5.577302,5.537185,6.177331,4.539989,4.828369,5.665259,2.297024,4.546688,3.386050,6.689404,6.261710,4.533291,7.096675,151.795792,144.114227,48.898190,170.487030,8.752548,2.541677,8.689340,6.515697,8.922789,6.945786,9.403667,7.261728,10.025221,8.896578,11.193028,6.707954,11.443165,5.963417
0.062,0.736328,5.576910,5.538066,6.177356,4.540710,4.828424,5.665259,2.288578,4.546688,3.399988,6.689453,6.275698,4.534734,7.105129,151.793320,143.594467,48.859657,170.379654,8.752812,2.547048,8.690381,6.527176,8.926023,6.954343,9.406613,7.265375,10.022077,8.895521,11.194174,6.707330,11.444193,5.962489
0.063,0.708738,5.576084,5.538695,6.178024,4.541289,4.828424,5.666474,2.282688,4.546688,3.408673,6.689575,6.285666,4.535891,7.115042,152.490402,143.393158,48.819229,170.159180,8.754386,2.555575,8.693314,6.541208,8.934103,6.964909,9.409017,7.271910,10.016778,8.895994,11.195238,6.707850,11.444046,5.962695
0.064,0.681148,5.575257,5.539325,6.178693,4.541868,4.828424,5.667688,2.276798,4.546688,3.417358,6.689698,6.295635,4.537048,7.124956,153.187469,143.191864,48.778801,169.938705,8.755959,2.564102,8.696245,6.555240,8.942182,6.975473,9.411420,7.278445,10.011478,8.896467,11.196303,6.708371,11.443899,5.962900
0.065,0.653558,5.574431,5.539954,6.179362,4.542446,4.828424,5.668903,2.270909,4.546688,3.426043,6.689821,6.305603,4.538205,7.134870,153.884552,142.990570,48.738373,169.718231,8.757532,2.572629,8.699177,6.569271,8.950260,6.986038,9.413823,7.284980,10.006180,8.896941,11.197369,6.708891,11.443752,5.963106
0.066,0.625968,5.573605,5.540583,6.180031,4.543025,4.828424,5.670118,2.265019,4.546688,3.434728,6.689943,6.315572,4.539362,7.144783,154.581635,142.789261,48.697945,169.497757,8.759106,2.581156,8.702109,6.583303,8.958340,6.996603,9.416226,7.291515,10.000881,8.897414,11.198433,6.709412,11.443605,5.963311
0.067,0.595912,5.572598,5.541162,6.178851,4.542478,4.828424,5.670251,2.258405,4.546853,3.442916,6.687450,6.325209,4.538101,7.156101,154.758133,142.508804,48.642273,169.319336,8.756878,2.589710,8.703774,6.593888,8.960131,7.002796,9.417428,7.296011,9.994980,8.896341,11.197543,6.708925,11.441668,5.962891
0.068,0.565857,5.571591,5.541740,6.177670,4.541930,4.828424,5.670383,2.251791,4.547019,3.451104,6.684957,6.334845,4.536840,7.167419,154.934631,142.228348,48.586597,169.140915,8.754651,2.598265,8.705439,6.604473,8.961922,7.008989,9.418629,7.300508,9.989079,8.895267,11.196653,6.708439,11.439729,5.962470
0.069,0.535801,5.570584,5.542319,6.176490,4.541382,4.828424,5.670516,2.245177,4.547185,3.459293,6.682464,6.344481,4.535579,7.178737,155.111115,141.947891,48.530922,168.962494,8.752424,2.606819,8.707104,6.615058,8.963712,7.015182,9.419830,7.305004,9.983178,8.894195,11.195763,6.707952,11.437790,5.962049
0.070,0.505745,5.569578,5.542898,6.175310,4.540834,4.828424,5.670649,2.238562,4.547350,3.467481,6.679971,6.354118,4.534318,7.190055,155.287613,141.667435,48.475250,168.784073,8.750196,2.615373,8.708769,6.625643,8.965503,7.021374,9.421032,7.309500,9.977277,8.893122,11.194873,6.707466,11.435852,5.961628
0.071,0.477385,5.568535,5.543351,6.175081,4.541058,4.827833,5.671333,2.234581,4.547585,3.473443,6.678829,6.362258,4.534530,7.199040,155.271561,141.433411,48.445129,168.680145,8.749293,2.627187,8.709648,6.632431,8.966751,7.027563,9.422252,7.314634,9.972486,8.893373,11.195826,6.707361,11.436817,5.961777
0.072,0.449024,5.567492,5.543805,6.174852,4.541281,4.827242,5.672017,2.230599,4.547820,3.479405,6.677687,6.370399,4.534741,7.208025,155.255493,141.199402,48.415005,168.576202,8.748390,2.639000,8.710526,6.639218,8.968000,7.033751,9.423471,7.319769,9.967694,8.893623,11.196779,6.707257,11.437781,5.961925
0.073,0.420663,5.566449,5.544258,6.174623,4.541504,4.826651,5.672701,2.226617,4.548055,3.485368,6.676545,6.378538,4.534953,7.217010,155.239441,140.965378,48.384880,168.472275,8.747488,2.650813,8.711405,6.646005,8.969249,7.039940,9.424690,7.324903,9.962903,8.893873,11.197733,6.707153,11.438745,5.962073
0.074,0.392302,5.565406,5.544711,6.174394,4.541727,4.826060,5.673385,2.222635,4.548289,3.491330,6.675404,6.386678,4.535164,7.225995,155.223389,140.731354,48.354759,168.368347,8.746585,2.662627,8.712284,6.652792,8.970497,7.046129,9.425910,7.330037,9.958112,8.894124,11.198686,6.707049,11.439711,5.962222
0.075,0.367681,5.564308,5.544912,6.174046,4.542738,4.826060,5.673385,2.216606,4.548586,3.501951,6.674706,6.396331,4.536890,7.232344,155.172165,140.060272,48.201920,168.207809,8.748775,2.670202,8.711489,6.661842,8.972192,7.054180,9.431767,7.336515,9.951878,8.891191,11.198408,6.706816,11.439200,5.962164
0.076,0.343060,5.563210,5.545113,6.173697,4.543749,4.826060,5.673385,2.210577,4.548883,3.512571,6.674010,6.405984,4.538616,7.238693,155.120941,139.389206,48.049080,168.047272,8.750967,2.677778,8.710694,6.670893,8.973886,7.062230,9.437623,7.342994,9.945644,8.888260,11.198132,6.706582,11.438690,5.962107
0.077,0.318440,5.562112,5.545314,6.173349,4.544761,4.826060,5.673385,2.204548,4.549180,3.523192,6.673313,6.415637,4.540341,7.245043,155.069717,138.718140,47.896236,167.886734,8.753159,2.685354,8.709900,6.679943,8.975582,7.070281,9.443480,7.349472,9.939411,8.885328,11.197854,6.706348,11.438180,5.962049
