"Time","v1 xCoMy","v2 Right CoP","v3 Left CoP","28a CoMy","28 CoMy","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004,6.050800,6.703140,4.944102,5.961369,1.580730,,6.383887,,5.008256,,7.022392,,4.879948,,,,,,,,,,,,9.777985,,,,12.048279,,,6.795414
0.005,6.052807,6.703765,4.944303,5.962700,1.592668,,6.380978,,5.009562,,7.026552,,4.879043,,,,,,,,,,,,9.789182,,,,12.050156,,,6.794801
0.006,6.054813,6.704390,4.944503,5.964032,1.604606,,6.378068,,5.010867,,7.030712,,4.878139,,,,,,,,,,,,9.800379,,,,12.052033,,,6.794188
0.007,6.056820,6.705015,4.944703,5.965363,1.616544,,6.375158,,5.012173,,7.034872,,4.877234,,,,,,,,,,,,9.811577,,,,12.053911,,,6.793575
0.008,6.058987,6.706491,4.949180,5.966910,1.627491,,6.375555,,5.020053,,7.037426,,4.878307,,,,,,,,,,,,9.809774,,,,12.055370,,,6.792282
0.009,6.061153,6.707966,4.953657,5.968457,1.638437,,6.375951,,5.027934,,7.039981,,4.879380,,,,,,,,,,,,9.807972,,,,12.056829,,,6.790989
0.010,6.063320,6.709442,4.958134,5.970005,1.649384,,6.376348,,5.035814,,7.042536,,4.880454,,,,,,,,,,,,9.806170,,,,12.058289,,,6.789697
0.011,6.065486,6.710917,4.962611,5.971552,1.660330,,6.376744,,5.043694,,7.045091,,4.881527,,,,,,,,,,,,9.804368,,,,12.059748,,,6.788404
0.012,6.067799,6.712686,4.968025,5.973277,1.670716,,6.377139,,5.055142,,7.048233,,4.880908,,,,,,,,,,,,9.809938,,,,12.059667,,,6.789286
0.013,6.070111,6.714455,4.973440,5.975002,1.681101,,6.377534,,5.066590,,7.051375,,4.880290,,,,,,,,,,,,9.815509,,,,12.059586,,,6.790167
0.014,6.072424,6.716223,4.978855,5.976727,1.691487,,6.377929,,5.078038,,7.054517,,4.879672,,,,,,,,,,,,9.821079,,,,12.059504,,,6.791049
0.015,6.074737,6.717991,4.984270,5.978452,1.701872,,6.378324,,5.089486,,7.057659,,4.879054,,,,,,,,,,,,9.826650,,,,12.059422,,,6.791930
0.016,6.077250,6.717704,4.988568,5.980379,1.712247,,6.376066,,5.096405,,7.059342,,4.880731,,,,,,,,,,,,9.831875,,,,12.057834,,,6.791046
0.017,6.079764,6.717417,4.992867,5.982306,1.722621,,6.373808,,5.103325,,7.061026,,4.882409,,,,,,,,,,,,9.837099,,,,12.056246,,,6.790161
0.018,6.082278,6.717130,4.997165,5.984232,1.732995,,6.371551,,5.110244,,7.062708,,4.884087,,,,,,,,,,,,9.842323,,,,12.054657,,,6.789277
0.019,6.084792,6.716842,5.001464,5.986159,1.743369,,6.369293,,5.117164,,7.064392,,4.885764,,,,,,,,,,,,9.847548,,,,12.053068,,,6.788393
0.020,6.087350,6.719522,5.004529,5.988148,1.753443,,6.370199,,5.122948,,7.068845,,4.886110,,,,,,,,,,,,9.857447,,,,12.052649,,,6.790761
0.021,6.089909,6.722201,5.007594,5.990137,1.763517,,6.371105,,5.128733,,7.073298,,4.886456,,,,,,,,,,,,9.867344,,,,12.052229,,,6.793130
0.022,6.092468,6.724881,5.010659,5.992126,1.773591,,6.372011,,5.134517,,7.077752,,4.886802,,,,,,,,,,,,9.877242,,,,12.051809,,,6.795499
0.023,6.095026,6.727561,5.013724,5.994114,1.783665,,6.372917,,5.140301,,7.082206,,4.887148,,,,,,,,,,,,9.887140,,,,12.051390,,,6.797868
0.024,6.097655,6.729126,5.014136,5.996194,1.793363,,6.374578,,5.141428,,7.083676,,4.886844,,,,,,,,,,,,9.892108,,,,12.048635,,,6.797413
0.025,6.100283,6.730692,5.014547,5.998273,1.803061,,6.376238,,5.142554,,7.085147,,4.886540,,,,,,,,,,,,9.897076,,,,12.045881,,,6.796958
0.026,6.102911,6.732258,5.014959,6.000353,1.812758,,6.377898,,5.143681,,7.086617,,4.886237,,,,,,,,,,,,9.902043,,,,12.043128,,,6.796504
0.027,6.105539,6.733823,5.015370,6.002432,1.822456,,6.379559,,5.144808,,7.088088,,4.885933,,,,,,,,,,,,9.907011,,,,12.040374,,,6.796049
