"Time","v3 Left CoP","v2 Right CoP","v1 xCoMy","28a CoMy (cm)","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,4.954166,6.874603,6.055894,6.088681,-0.597897,4.262188,6.696201,2.914736,4.951570,3.100835,7.053006,7.335512,4.956762,5.735504,142.141922,165.572815,72.480301,158.211792,8.753716,2.374527,8.257479,5.147191,8.418368,5.647419,8.979496,6.030325,10.094064,7.300624,11.173740,5.519027,11.316568,4.658880
0.001,4.962665,6.873990,6.055253,6.088253,-0.601774,4.260838,6.696519,2.925793,4.964552,3.066472,7.051460,7.340401,4.960777,5.746955,142.130386,165.323181,72.550522,158.107422,8.752055,2.360397,8.256609,5.158958,8.418804,5.656070,8.981402,6.036344,10.092463,7.302477,11.175114,5.520640,11.317482,4.659733
0.002,4.971163,6.873376,6.054612,6.087825,-0.605651,4.259488,6.696837,2.936849,4.977534,3.032108,7.049914,7.345289,4.964793,5.758406,142.118851,165.073532,72.620750,158.003067,8.750395,2.346267,8.255740,5.170726,8.419241,5.664720,8.983309,6.042363,10.090863,7.304330,11.176486,5.522254,11.318396,4.660586
0.003,4.979662,6.872762,6.053971,6.087396,-0.609528,4.258138,6.697155,2.947905,4.990516,2.997745,7.048368,7.350178,4.968808,5.769857,142.107315,164.823898,72.690979,157.898697,8.748735,2.332137,8.254871,5.182493,8.419677,5.673371,8.985216,6.048382,10.089263,7.306183,11.177859,5.523868,11.319308,4.661440
0.004,4.987196,6.873308,6.053452,6.087049,-0.612676,4.257665,6.698429,2.957580,5.003430,2.965697,7.048186,7.354891,4.970963,5.780268,141.290924,164.002014,72.558067,158.009628,8.747108,2.319184,8.254017,5.193014,8.417580,5.684817,8.991660,6.055919,10.087074,7.311179,11.179342,5.525315,11.322851,4.664022
0.005,4.994730,6.873854,6.052933,6.086703,-0.615825,4.257192,6.699703,2.967255,5.016344,2.933650,7.048004,7.359605,4.973116,5.790679,140.474518,163.180115,72.425156,158.120560,8.745480,2.306231,8.253162,5.203535,8.415483,5.696263,8.998104,6.063456,10.084886,7.316175,11.180825,5.526762,11.326393,4.666604
0.006,5.002264,6.874400,6.052414,6.086357,-0.618973,4.256718,6.700977,2.976930,5.029258,2.901602,7.047822,7.364318,4.975270,5.801091,139.658112,162.358231,72.292236,158.231491,8.743851,2.293278,8.252307,5.214055,8.413385,5.707709,9.004549,6.070992,10.082697,7.321172,11.182308,5.528210,11.329936,4.669187
0.007,5.009798,6.874946,6.051895,6.086010,-0.622122,4.256245,6.702251,2.986605,5.042171,2.869554,7.047641,7.369031,4.977425,5.811502,138.841721,161.536346,72.159325,158.342422,8.742223,2.280325,8.251452,5.224576,8.411288,5.719155,9.010993,6.078529,10.080508,7.326169,11.183791,5.529657,11.333479,4.671769
0.008,5.013679,6.877613,6.051486,6.085765,-0.625121,4.257082,6.704441,2.996909,5.048270,2.836317,7.050786,7.371961,4.979087,5.820970,138.925751,161.307434,72.081467,158.346878,8.743134,2.248164,8.252220,5.233225,8.412998,5.725470,9.016161,6.085515,10.077603,7.329455,11.184847,5.530355,11.334927,4.675362
0.009,5.017559,6.880281,6.051076,6.085521,-0.628120,4.257919,6.706630,3.007213,5.054369,2.803079,7.053932,7.374890,4.980749,5.830437,139.009766,161.078537,72.003616,158.351334,8.744045,2.216003,8.252989,5.241874,8.414709,5.731785,9.021328,6.092502,10.074698,7.332742,11.185903,5.531054,11.336375,4.678955
0.010,5.021440,6.882949,6.050667,6.085276,-0.631118,4.258756,6.708820,3.017516,5.060468,2.769841,7.057078,7.377819,4.982411,5.839904,139.093796,160.849640,71.925758,158.355789,8.744957,2.183843,8.253757,5.250523,8.416419,5.738099,9.026495,6.099488,10.071794,7.336029,11.186958,5.531753,11.337824,4.682549
0.011,5.025320,6.885616,6.050258,6.085031,-0.634117,4.259593,6.711010,3.027820,5.066567,2.736603,7.060224,7.380748,4.984073,5.849372,139.177826,160.620728,71.847900,158.360245,8.745868,2.151682,8.254525,5.259172,8.418129,5.744414,9.031663,6.106474,10.068889,7.339315,11.188014,5.532452,11.339272,4.686141
0.012,5.025086,6.884649,6.049919,6.084858,-0.637130,4.260347,6.710491,3.038455,5.064852,2.705549,7.058808,7.381695,4.985321,5.859798,138.595184,159.980194,71.775726,158.378983,8.753353,2.093141,8.252434,5.267070,8.415871,5.753149,9.033823,6.110036,10.065310,7.340591,11.187037,5.531874,11.338994,4.686060
0.013,5.024853,6.883682,6.049581,6.084685,-0.640142,4.261101,6.709973,3.049091,5.063136,2.674495,7.057392,7.382642,4.986569,5.870224,138.012543,159.339661,71.703560,158.397720,8.760838,2.034600,8.250341,5.274967,8.413611,5.761885,9.035984,6.113597,10.061729,7.341868,11.186058,5.531296,11.338717,4.685979
