"Time","v3 Left CoP","v1 xCoMy","v2 Right CoP","28a CoMy (cm)","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,6.347628,5.853959,4.863374,5.892123,-0.724781,8.247692,5.035082,8.902145,6.131010,10.947556,4.691665,7.202313,6.564246,6.092185,154.301712,102.317268,94.217010,106.219398,8.735790,8.810249,8.811257,6.240602,9.854395,6.492932,11.765669,6.083193,11.798218,6.154889,11.665250,6.227489,11.877670,7.192442
0.001,6.348281,5.853848,4.864097,5.892638,-0.736675,8.250069,5.036763,8.893030,6.130804,10.953222,4.691431,7.215874,6.565759,6.083462,137.886536,89.549591,81.561333,84.770615,8.737007,8.800774,8.811713,6.223022,9.855497,6.492467,11.337715,6.011627,11.713210,6.556668,11.667372,6.229768,11.879459,7.193882
0.002,6.348935,5.853736,4.864820,5.893153,-0.748569,8.252445,5.038445,8.883916,6.130598,10.958889,4.691196,7.229434,6.567271,6.074739,121.471359,76.781906,68.905655,63.321827,8.738224,8.791297,8.812170,6.205441,9.856600,6.492002,10.909762,5.940061,11.628202,6.958447,11.669493,6.232048,11.881248,7.195323
0.003,6.349588,5.853625,4.865543,5.893668,-0.760463,8.254822,5.040125,8.874802,6.130392,10.964555,4.690962,7.242995,6.568784,6.066015,105.056175,64.014221,56.249981,41.873039,8.739441,8.781820,8.812626,6.187860,9.857701,6.491536,10.481810,5.868495,11.543196,7.360227,11.671615,6.234328,11.883039,7.196764
0.004,6.350242,5.853514,4.866267,5.894184,-0.772357,8.257198,5.041806,8.865686,6.130186,10.970222,4.690727,7.256556,6.570297,6.057292,88.640999,51.246544,43.594303,20.424255,8.740658,8.772345,8.813082,6.170279,9.858804,6.491071,10.053856,5.796929,11.458188,7.762006,11.673737,6.236608,11.884828,7.198205
0.005,6.348786,5.853377,4.864431,5.894699,-0.784741,8.257645,5.039806,8.858788,6.125290,10.978659,4.689055,7.267467,6.572281,6.051069,102.997269,65.065186,53.786819,40.842850,8.740191,8.764920,8.813127,6.163801,9.860261,6.502346,10.483633,5.867241,11.549269,7.362490,11.675126,6.234669,11.885813,7.196402
0.006,6.347330,5.853240,4.862595,5.895214,-0.797125,8.258091,5.037807,8.851889,6.120394,10.987095,4.687384,7.278377,6.574265,6.044847,117.353546,78.883827,63.979332,61.261448,8.739725,8.757496,8.813171,6.157323,9.861719,6.513620,10.913409,5.937552,11.640350,6.962974,11.676516,6.232729,11.886797,7.194598
0.007,6.345874,5.853103,4.860759,5.895729,-0.809509,8.258538,5.035807,8.844991,6.115499,10.995531,4.685712,7.289288,6.576250,6.038623,131.709808,92.702469,74.171852,81.680046,8.739260,8.750071,8.813216,6.150845,9.863176,6.524895,11.343185,6.007864,11.731432,6.563458,11.677906,6.230790,11.887782,7.192795
0.008,6.344418,5.852966,4.858923,5.896244,-0.821893,8.258985,5.033807,8.838092,6.110602,11.003968,4.684040,7.300199,6.578234,6.032401,146.066086,106.521111,84.364365,102.098640,8.738793,8.742646,8.813261,6.144367,9.864634,6.536170,11.772963,6.078176,11.822513,6.163942,11.679296,6.228850,11.888767,7.190992
0.009,6.337040,5.852784,4.858529,5.896735,-0.834692,8.260452,5.036241,8.828934,6.096591,11.003968,4.680816,7.311740,6.577489,6.024853,145.404434,107.741844,82.962120,102.022217,8.740410,8.734737,8.814738,6.139040,9.864830,6.541564,11.774574,6.078598,11.827333,6.164850,11.680634,6.231169,11.889849,7.190079
