"Time","v2 Right CoP","v3 Left CoP","v1 xCoMy","28a CoMy (cm)","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,4.576891,6.371460,5.565798,5.505316,1.087051,15.957438,5.370542,18.083326,6.424293,15.409934,3.783241,13.289921,6.318627,14.965679,123.220886,143.835876,15.830967,8.328807,8.348103,18.519789,8.212525,13.659290,8.497246,13.361451,9.297302,13.509575,11.784266,16.144360,11.133987,14.896030,11.472864,15.869862
0.001,4.576787,6.332104,5.567807,5.506963,1.093549,15.959333,5.370835,18.072466,6.337263,15.294667,3.782738,13.280697,6.326945,14.969357,123.622459,144.044067,15.618578,8.525895,8.348526,18.509493,8.207956,13.654009,8.500518,13.354445,9.302881,13.505671,11.791707,16.140076,11.137188,14.896186,11.476727,15.869684
0.002,4.576682,6.292748,5.569816,5.508610,1.100047,15.961227,5.371129,18.061605,6.250233,15.179400,3.782236,13.271473,6.335262,14.973034,124.024033,144.252258,15.406190,8.722982,8.348949,18.499199,8.203387,13.648727,8.503790,13.347439,9.308459,13.501766,11.799149,16.135792,11.140388,14.896341,11.480589,15.869507
0.003,4.576578,6.253392,5.571825,5.510258,1.106546,15.963121,5.371422,18.050745,6.163203,15.064134,3.781734,13.262250,6.343580,14.976711,124.425613,144.460464,15.193802,8.920071,8.349372,18.488903,8.198818,13.643446,8.507061,13.340432,9.314037,13.497862,11.806589,16.131506,11.143589,14.896496,11.484450,15.869329
0.004,4.576473,6.214036,5.573833,5.511905,1.113044,15.965016,5.371716,18.039885,6.076173,14.948867,3.781231,13.253026,6.351898,14.980389,124.827187,144.668655,14.981413,9.117159,8.349795,18.478607,8.194249,13.638165,8.510333,13.333426,9.319616,13.493958,11.814031,16.127222,11.146790,14.896651,11.488313,15.869152
0.005,4.575831,6.233388,5.576001,5.513757,1.118708,15.967091,5.371719,18.032976,6.072938,14.945488,3.779943,13.244090,6.393838,15.035318,125.722656,144.537018,14.721033,9.295178,8.347404,18.469727,8.194242,13.630904,8.513342,13.331026,9.325323,13.489746,11.821614,16.122551,11.148735,14.896242,11.491732,15.867054
0.006,4.575189,6.252741,5.578168,5.515609,1.124372,15.969165,5.371724,18.026070,6.069703,14.942110,3.778655,13.235153,6.435779,15.090248,126.618118,144.405396,14.460654,9.473198,8.345013,18.460846,8.194234,13.623644,8.516351,13.328628,9.331030,13.485536,11.829197,16.117878,11.150680,14.895834,11.495150,15.864955
0.007,4.574547,6.272093,5.580335,5.517461,1.130036,15.971239,5.371728,18.019161,6.066468,14.938732,3.777367,13.226217,6.477719,15.145179,127.513588,144.273758,14.200275,9.651218,8.342621,18.451965,8.194226,13.616385,8.519360,13.326229,9.336736,13.481325,11.836781,16.113205,11.152624,14.895425,11.498569,15.862856
0.008,4.573905,6.291446,5.582502,5.519313,1.135700,15.973313,5.371732,18.012253,6.063232,14.935353,3.776078,13.217281,6.519659,15.200109,128.409058,144.142120,13.939896,9.829238,8.340230,18.443085,8.194219,13.609124,8.522368,13.323830,9.342443,13.477114,11.844364,16.108534,11.154570,14.895016,11.501987,15.860758
0.009,4.573392,6.292562,5.584641,5.521185,1.140489,15.973843,5.371732,18.001482,6.063232,15.700702,3.775052,13.214599,6.521892,15.194958,128.908783,143.732452,13.608741,10.111965,8.342289,18.429272,8.194704,13.606088,8.523657,13.320562,9.345757,13.467477,11.850759,16.098089,11.155438,14.893097,11.503824,15.856674
