"Time","2 Trdml","45 sw onset","46 sw offset"
0.00,0.39581,1,0
0.01,0.39424,0,0
0.02,0.39525,0,0
0.03,0.39638,0,0
0.04,0.40020,0,0
0.05,0.40181,0,0
0.06,0.40084,0,1
0.07,0.40243,0,0
0.08,0.40081,0,0
0.09,0.40210,0,0
0.10,0.40470,0,0
0.11,0.40445,0,0
0.12,0.40363,0,0
0.13,0.40332,0,0
0.14,0.40242,1,0
0.15,0.40344,0,0
0.16,0.40314,0,0
0.17,0.39979,0,0
0.18,0.39736,0,0
0.19,0.39786,0,0
0.20,0.40082,0,1
0.21,0.40041,0,0
0.22,0.39764,0,0
0.23,0.39172,0,0
0.24,0.38831,0,0
0.25,0.38675,0,0
0.26,0.39007,0,0
0.27,0.39412,1,0
0.28,0.39605,0,0
0.29,0.39966,0,0
0.30,0.39854,0,0
0.31,0.39878,0,0
0.32,0.40112,0,0
0.33,0.40267,0,0
0.34,0.40596,0,1
0.35,0.40896,0,0
0.36,0.40945,0,0
0.37,0.40966,0,0
0.38,0.40640,0,0
0.39,0.40348,0,0
0.40,0.40373,0,0
0.41,0.40565,0,0
0.42,0.40593,1,0
0.43,0.40563,0,0
0.44,0.40478,0,0
0.45,0.40038,0,0
0.46,0.39797,0,0
0.47,0.39938,0,0
0.48,0.40167,0,1
0.49,0.40249,0,0
0.50,0.40158,0,0
0.51,0.40186,0,0
0.52,0.39922,0,0
0.53,0.39973,0,0
0.54,0.40065,0,0
0.55,0.40218,0,0
0.56,0.40363,1,0
0.57,0.40319,0,0
0.58,0.40206,0,0
0.59,0.40143,0,0
0.60,0.39785,0,0
0.61,0.39863,0,0
0.62,0.40078,0,0
0.63,0.40183,0,1
0.64,0.40188,0,0
0.65,0.40134,0,0
0.66,0.39901,0,0
0.67,0.39742,0,0
0.68,0.39635,0,0
0.69,0.39683,0,0
0.70,0.39737,0,0
0.71,0.39734,1,0
0.72,0.39598,0,0
0.73,0.39780,0,0
0.74,0.39591,0,0
0.75,0.39025,0,0
0.76,0.39334,0,0
0.77,0.39977,0,1
0.78,0.40330,0,0
0.79,0.40459,0,0
0.80,0.40081,0,0
0.81,0.39916,0,0
0.82,0.39859,0,0
0.83,0.40118,0,0
0.84,0.40190,0,0
0.85,0.40272,0,0
0.86,0.40113,1,0
0.87,0.40221,0,0
0.88,0.39861,0,0
0.89,0.40164,0,0
0.90,0.40055,0,0
0.91,0.39783,0,0
0.92,0.39738,0,0
0.93,0.39827,0,0
0.94,0.40002,0,1
0.95,0.40165,0,0
0.96,0.39941,0,0
0.97,0.39976,0,0
0.98,0.39850,0,0
0.99,0.39568,0,0
1.00,0.39859,0,0
1.01,0.39955,0,0
1.02,0.39940,0,0
1.03,0.39949,1,0
1.04,0.40195,0,0
1.05,0.40249,0,0
1.06,0.40450,0,0
1.07,0.40205,0,0
1.08,0.39900,0,0
1.09,0.39887,0,0
1.10,0.40329,0,0
1.11,0.40552,0,1
1.12,0.40431,0,0
1.13,0.40243,0,0
1.14,0.39884,0,0
1.15,0.39692,0,0
1.16,0.39542,0,0
1.17,0.39808,0,0
1.18,0.39906,0,0
1.19,0.40101,1,0
1.20,0.40080,0,0
1.21,0.39918,0,0
1.22,0.39535,0,0
1.23,0.39377,0,0
1.24,0.39471,0,0
1.25,0.40853,0,0
1.26,0.41386,0,1
1.27,0.40618,0,0
1.28,0.40914,0,0
1.29,0.40774,0,0
1.30,0.40301,0,0
1.31,0.40243,0,0
1.32,0.40194,0,0
1.33,0.39906,0,0
1.34,0.40129,0,0
1.35,0.40090,1,0
1.36,0.40109,0,0
1.37,0.39992,0,0
1.38,0.39783,0,0
1.39,0.39406,0,0
1.40,0.39816,0,0
1.41,0.40075,0,0
1.42,0.40161,0,0
1.43,0.40280,0,1
1.44,0.40247,0,0
1.45,0.40190,0,0
1.46,0.40171,0,0
1.47,0.40004,0,0
1.48,0.40016,0,0
1.49,0.40483,0,0
1.50,0.40335,0,0
1.51,0.40062,1,0
1.52,0.40308,0,0
1.53,0.40337,0,0
1.54,0.39995,0,0
1.55,0.39607,0,0
1.56,0.39592,0,0
1.57,0.39738,0,0
