"Time","59 Left DS","60 Right DS","58 FLr Sw of","53 HLr Sw on","34a FRx (cm)","34 FRx (cm)","v3 R COP","v5 L COP","v7 xCoM","3 Platform","2 Trdml"
0.000,0,0,0,0,3.594547,14.911308,0.000000,0.000000,5.636099,-1.47838,0.09718
0.001,0,0,0,0,3.486846,14.915285,0.000000,0.000000,5.634165,-1.47917,0.09687
0.002,0,0,0,0,3.379145,14.919262,0.000000,0.000000,5.632231,-1.47986,0.09682
0.003,0,0,0,0,3.209763,14.923880,0.000000,0.000000,5.630913,-1.48094,0.09692
0.004,0,0,0,0,3.029325,14.928612,0.000000,0.000000,5.629705,-1.48021,0.09700
0.005,0,0,0,0,2.848887,14.933344,0.000000,0.000000,5.628498,-1.48193,0.09686
0.006,0,0,0,0,2.668449,14.938076,0.000000,0.000000,5.627290,-1.47951,0.09662
0.007,0,0,0,0,2.454053,14.942094,0.000000,0.000000,5.624784,-1.47810,0.09683
0.008,0,0,0,0,2.233570,14.945985,0.000000,0.000000,5.622046,-1.47974,0.09706
0.009,0,0,0,0,2.013088,14.949875,0.000000,0.000000,5.619308,-1.48058,0.09693
0.010,0,0,0,0,1.792605,14.953766,0.000000,0.000000,5.616569,-1.48033,0.09670
0.011,0,0,0,0,1.580151,14.957827,0.000000,0.000000,5.614467,-1.47992,0.09699
0.012,0,0,0,0,1.369136,14.961917,0.000000,0.000000,5.612480,-1.48047,0.09717
0.013,0,0,0,0,1.158120,14.966008,0.000000,0.000000,5.610492,-1.48108,0.09697
0.014,0,0,0,0,0.947105,14.970099,0.000000,0.000000,5.608505,-1.47986,0.09685
0.015,0,0,0,0,0.768661,14.973341,0.000000,0.000000,5.605954,-1.48067,0.09710
0.016,0,0,0,0,0.596056,14.976431,0.000000,0.000000,5.603303,-1.48030,0.09722
0.017,0,0,0,0,0.423451,14.979521,0.000000,0.000000,5.600651,-1.47971,0.09709
0.018,0,0,0,0,0.250846,14.982611,0.000000,0.000000,5.598000,-1.47960,0.09702
0.019,0,0,1,0,0.109499,14.985678,2.090636,0.000000,5.594691,-1.47958,0.09722
0.020,0,1,0,0,-0.026246,14.988741,4.338633,0.000000,5.591264,-1.47984,0.09749
0.021,0,1,0,0,-0.161991,14.991804,4.495993,0.000000,5.587838,-1.47943,0.09743
0.022,0,1,0,0,-0.297735,14.994868,4.495993,0.000000,5.584411,-1.48022,0.09740
0.023,0,1,0,0,-0.420637,14.998829,4.495993,0.000000,5.580575,-1.47946,0.09771
0.024,0,1,0,0,-0.541237,15.002950,4.495993,0.000000,5.576665,-1.48030,0.09781
0.025,0,1,0,0,-0.661837,15.007071,4.495993,0.000000,5.572756,-1.48129,0.09756
0.026,0,1,0,0,-0.782437,15.011192,4.495993,0.000000,5.568847,-1.48059,0.09756
0.027,0,1,0,0,-0.902224,15.014552,4.495993,0.000000,5.564829,-1.48006,0.09782
0.028,0,1,0,0,-1.021866,15.017776,4.495993,0.000000,5.560792,-1.47993,0.09792
0.029,0,1,0,0,-1.141507,15.021000,4.494791,0.000000,5.556755,-1.48123,0.09759
0.030,0,1,0,0,-1.261149,15.024223,4.493499,0.000000,5.552718,-1.48094,0.09777
0.031,0,1,0,0,-1.377121,15.024732,4.492080,0.000000,5.549201,-1.47841,0.09807
0.032,0,1,0,0,-1.492437,15.024754,4.490653,0.000000,5.545776,-1.47981,0.09803
0.033,0,1,0,0,-1.607752,15.024776,4.489141,0.000000,5.542351,-1.48090,0.09790
0.034,0,1,0,0,-1.723067,15.024797,4.487624,0.000000,5.538927,-1.47978,0.09825
0.035,0,1,0,0,-1.834869,15.022623,4.486063,0.000000,5.535342,-1.47610,0.09841
0.036,0,1,0,0,-1.946042,15.020055,4.484499,0.000000,5.531728,-1.47986,0.09828
0.037,0,1,0,0,-2.057214,15.017488,4.482903,0.000000,5.528114,-1.47951,0.09826
0.038,0,1,0,0,-2.168387,15.014919,4.481306,0.000000,5.524501,-1.47467,0.09845
0.039,0,1,0,0,-2.282727,15.011212,4.479706,0.000000,5.519778,-1.46992,0.09851
0.040,0,1,0,0,-2.397635,15.007301,4.478107,0.000000,5.514856,-1.46320,0.09828
0.041,0,1,0,0,-2.512542,15.003390,4.476662,0.000000,5.509934,-1.45810,0.09825
0.042,0,1,0,0,-2.627450,14.999478,4.475229,0.000000,5.505013,-1.44943,0.09854
0.043,0,1,0,0,-2.745366,14.995156,4.474058,0.000000,5.500381,-1.44981,0.09863
0.044,0,1,0,0,-2.863820,14.990760,4.472907,0.000000,5.495801,-1.44359,0.09847
0.045,0,1,0,0,-2.982274,14.986363,4.471747,0.000000,5.491221,-1.43793,0.09869
0.046,0,1,0,0,-3.100729,14.981968,4.470587,0.000000,5.486641,-1.43822,0.09897
0.047,0,1,0,0,-3.235736,14.976551,4.469153,0.000000,5.482543,-1.43225,0.09887
0.048,0,1,0,0,-3.373711,14.970951,4.467699,0.000000,5.478531,-1.42006,0.09850
0.049,0,1,0,0,-3.511686,14.965352,4.466219,0.000000,5.474519,-1.40749,0.09843
0.050,0,1,0,0,-3.649661,14.959752,4.464737,0.000000,5.470507,-1.39890,0.09843
0.051,0,1,0,0,-3.796321,14.952567,4.463521,0.000000,5.467582,-1.38306,0.09804
0.052,0,1,0,0,-3.944538,14.945098,4.462325,0.000000,5.464852,-1.36623,0.09767
0.053,0,1,0,0,-4.092754,14.937628,4.461242,0.000000,5.462122,-1.35139,0.09802
0.054,0,1,0,0,-4.240971,14.930159,4.460168,0.000000,5.459392,-1.34180,0.09836
0.055,0,1,0,0,-4.393467,14.921228,4.458996,0.000000,5.457323,-1.33195,0.09842
