"Time","67 sinus","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 rFLswoff","57 rFLswon","56 lFLswoff","55 lFLswon","54 rHLswoff","53 rHLswon","52 lHLswoff","51 lHLswon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.888481,92.128532,94.630280,100.801651,6.535318,15.620317,5.346244,17.564093,7.109163,16.799015,0,5.145110,11.955284,7.506013,14.103658,8.213717,17.938936,8.364504,12.038129,8.600950,11.667504,9.279687,11.899524,8.809490,13.327195,10.092935,13.867059,9.880948,14.871514,0,-0.01599,0.00298,-0.02044,-0.01379,0.00724,-0.01120,0.00646,0.00239,0.00022,0.09475,3.27762
0.001,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.180878,92.876862,94.644608,100.750816,6.536495,15.622787,5.351387,17.547743,7.091006,16.842556,0,5.146421,11.943994,7.502946,14.110046,8.212988,17.926971,8.373454,12.028143,8.610250,11.662243,9.283685,11.902576,8.812518,13.329807,10.095173,13.871652,9.880999,14.875628,0,-0.01545,0.00453,-0.01999,-0.01358,0.00777,-0.01215,0.00496,0.00256,-0.00011,0.09468,3.27767
0.002,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.473274,93.625198,94.658928,100.699982,6.537671,15.625257,5.356530,17.531395,7.072850,16.886099,0,5.147734,11.932704,7.499879,14.116435,8.212258,17.915009,8.382405,12.018158,8.619549,11.656981,9.287683,11.905630,8.815546,13.332420,10.097410,13.876245,9.881049,14.879744,0,-0.01732,0.00433,-0.02060,-0.01382,0.00792,-0.01196,0.00633,0.00138,0.00006,0.09481,3.27752
0.003,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.836281,94.432976,94.689934,100.641045,6.538319,15.625508,5.359717,17.515863,7.059150,16.930721,0,5.150709,11.921903,7.498947,14.117552,8.211642,17.905048,8.388074,12.008447,8.631636,11.652288,9.292714,11.908925,8.819054,13.335377,10.099674,13.880655,9.881039,14.884043,0,-0.01970,0.00688,-0.02046,-0.01213,0.00903,-0.01237,0.00597,0.00280,0.00006,0.09492,3.27754
0.004,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.277031,95.306183,94.739304,100.573204,6.538385,15.623318,5.360753,17.501232,7.050357,16.976534,0,5.155515,11.911641,7.500364,14.112865,8.211148,17.897297,8.390128,11.999039,8.646792,11.648224,9.298882,11.912488,8.823089,13.338713,10.101967,13.884862,9.880960,14.888544,0,-0.01503,0.00919,-0.01999,-0.01358,0.00835,-0.01326,0.00788,0.00276,0.00015,0.09490,3.27777
0.005,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.717773,96.179398,94.788673,100.505363,6.538452,15.621126,5.361788,17.486601,7.041564,17.022348,0,5.160321,11.901379,7.501781,14.108180,8.210655,17.889545,8.392183,11.989631,8.661950,11.644159,9.305051,11.916051,8.827123,13.342048,10.104259,13.889069,9.880882,14.893045,0,-0.02028,0.01102,-0.02014,-0.01437,0.00814,-0.01183,0.00400,0.00358,0.00015,0.09468,3.27775
0.006,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.158524,97.052605,94.838043,100.437523,6.538517,15.618935,5.362823,17.471970,7.032772,17.068161,0,5.165127,11.891117,7.503198,14.103494,8.210161,17.881794,8.394238,11.980222,8.677107,11.640095,9.311219,11.919613,8.831158,13.345384,10.106551,13.893275,9.880804,14.897548,0,-0.02043,0.00811,-0.02166,-0.01459,0.00821,-0.01151,0.00619,0.00375,0.00000,0.09451,3.27745
0.007,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.486458,97.789986,94.833641,100.360771,6.539681,15.621950,5.361726,17.455681,7.024296,17.114183,0,5.170687,11.879159,7.504411,14.100055,8.209459,17.872997,8.395504,11.972208,8.689488,11.635206,9.316065,11.923203,8.835428,13.348687,10.109901,13.898040,9.881647,14.902164,0,-0.01512,0.00278,-0.02211,-0.01271,0.00793,-0.01392,0.00547,-0.00041,0.00018,0.09473,3.27732
0.008,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.690201,98.377838,94.770035,100.274193,6.542052,15.630698,5.358280,17.437567,7.016171,17.160435,0,5.177076,11.865336,7.505400,14.097989,8.208528,17.863049,8.395901,11.965728,8.698816,11.629409,9.319455,11.926822,8.839958,13.351954,10.114416,13.903420,9.883504,14.906904,0,-0.01872,0.00155,-0.02166,-0.01342,0.00887,-0.01188,0.00440,0.00170,0.00006,0.09494,3.27739
0.009,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.893944,98.965691,94.706436,100.187622,6.544423,15.639445,5.354835,17.419455,7.008044,17.206686,0,5.183465,11.851513,7.506389,14.095923,8.207596,17.853102,8.396298,11.959248,8.708143,11.623611,9.322845,11.930441,8.844489,13.355221,10.118932,13.908800,9.885361,14.911646,0,-0.01722,0.00388,-0.01940,-0.01483,0.00789,-0.01229,0.00476,0.00305,0.00009,0.09483,3.27736
0.010,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.097687,99.553535,94.642830,100.101051,6.546794,15.648193,5.351389,17.401340,6.999918,17.252937,0,5.189854,11.837689,7.507378,14.093858,8.206664,17.843155,8.396695,11.952767,8.717470,11.617814,9.326235,11.934060,8.849019,13.358488,10.123446,13.914181,9.887218,14.916388,0,-0.01916,0.00092,-0.01911,-0.01386,0.00892,-0.01117,0.00576,0.00346,0.00013,0.09453,3.27721
