"Time","67 sinus","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 rFLswoff","57 rFLswon","56 lFLswoff","55 lFLswon","54 rHLswoff","53 rHLswon","52 lHLswoff","51 lHLswon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.860161,80.933907,91.995575,154.100525,6.193436,15.285710,5.716675,18.146439,6.848469,15.706079,0,5.159090,11.458998,7.237992,14.030910,8.269799,18.480330,8.140471,11.604549,8.519547,11.198330,9.279434,11.448678,8.591678,12.777249,9.807827,13.451241,10.643785,14.667334,0,-0.01620,0.00333,-0.02740,-0.01237,0.00829,-0.01062,0.00267,0.00341,0.00066,0.09743,3.27703
0.001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.485077,80.917023,92.137283,154.376984,6.193786,15.288791,5.720442,18.142300,6.848631,15.727276,0,5.163679,11.449485,7.266866,14.046185,8.270834,18.471586,8.141482,11.605905,8.518403,11.195040,9.284236,11.449350,8.596557,12.777335,9.810698,13.457742,10.647383,14.671618,0,-0.03796,-0.02528,-0.00347,-0.01408,0.00663,-0.01193,0.01079,0.00131,0.02770,0.09744,3.27709
0.002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.109985,80.900139,92.278999,154.653458,6.194136,15.291871,5.724209,18.138159,6.848794,15.748472,0,5.168267,11.439973,7.295740,14.061458,8.271869,18.462841,8.142495,11.607259,8.517260,11.191749,9.289038,11.450022,8.601437,12.777421,9.813569,13.464243,10.650981,14.675901,0,-0.02084,0.00737,-0.03792,-0.01403,0.00831,-0.01281,0.00732,0.00239,0.05227,0.09784,3.27747
0.003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.856445,80.814369,92.406029,154.889923,6.196856,15.294785,5.726526,18.134218,6.851115,15.777943,0,5.172868,11.433766,7.324608,14.068913,8.272511,18.456854,8.145641,11.608965,8.519201,11.189604,9.295273,11.451084,8.606173,12.777016,9.815916,13.469987,10.654691,14.682027,0,-0.01652,-0.01238,-0.02067,-0.01407,0.00675,-0.01190,0.00585,0.00265,0.07897,0.09795,3.27754
0.004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.894775,80.563187,92.497787,155.030334,6.205267,15.297301,5.725359,18.130754,6.858621,15.827279,0,5.177497,11.435499,7.353463,14.057596,8.272210,18.457493,8.153913,11.611515,8.528549,11.190212,9.304950,11.453084,8.610565,12.775432,9.817006,13.473913,10.658672,14.692575,0,-0.01418,0.00321,-0.01431,-0.01279,0.00906,-0.01391,0.00474,0.00305,0.10521,0.09787,3.27686
0.005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.933113,80.312004,92.589554,155.170746,6.213679,15.299817,5.724193,18.127293,6.866127,15.876616,0,5.182127,11.437232,7.382318,14.046279,8.271909,18.458130,8.162183,11.614066,8.537898,11.190821,9.314627,11.455083,8.614959,12.773849,9.818096,13.477839,10.662653,14.703124,0,-0.01521,0.00601,-0.03152,-0.01455,0.00824,-0.01197,0.00504,0.00234,0.13196,0.09774,3.27645
0.006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.971443,80.060822,92.681313,155.311157,6.222090,15.302333,5.723027,18.123829,6.873633,15.925952,0,5.186757,11.438965,7.411172,14.034962,8.271608,18.458767,8.170454,11.616616,8.547246,11.191429,9.324303,11.457082,8.619351,12.772264,9.819186,13.481766,10.666635,14.713673,0,-0.02862,0.00438,-0.02275,-0.01263,0.00897,-0.01288,0.00559,0.00244,0.15753,0.09788,3.27676
0.007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.124939,79.754967,92.833214,155.432144,6.229189,15.304998,5.721222,18.121315,6.879266,15.982814,0,5.191917,11.440804,7.441088,14.024487,8.271817,18.459339,8.178113,11.618973,8.555663,11.192433,9.333190,11.458230,8.623743,12.770101,9.820424,13.485503,10.668613,14.723330,0,-0.02610,-0.00667,-0.00959,-0.01373,0.00792,-0.01405,0.00297,0.00326,0.20151,0.09807,3.27711
0.008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.554985,79.317818,93.129547,155.506470,6.233139,15.308023,5.717885,18.121078,6.880401,16.057749,0,5.198351,11.442894,7.473551,14.016037,8.273252,18.459751,8.184303,11.620863,8.561841,11.194388,9.340181,11.457336,8.628134,12.766543,9.822019,13.488788,10.665784,14.730845,0,-0.02167,0.00817,-0.03140,-0.01434,0.01140,-0.01358,0.00692,0.00588,0.23362,0.09792,3.27757
0.009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.985023,78.880669,93.425873,155.580795,6.237089,15.311048,5.714548,18.120842,6.881536,16.132685,0,5.204786,11.444984,7.506014,14.007586,8.274687,18.460165,8.190494,11.622753,8.568020,11.196343,9.347173,11.456443,8.632524,12.762986,9.823612,13.492072,10.662955,14.738362,0,-0.01982,0.00126,-0.01830,-0.01377,0.00500,-0.01100,0.00240,0.00787,0.26130,0.09762,3.27781
