"Time","61 right DS","60 left DS","37a CoMy (cm)","37 CoMy (cm)","v5 L COP","v4 R COP","v3 xCoM","35 FRy (cm)","30 HRy (cm)","3 Platform","2 Trdml"
0.000,0,0,-10.135216,4.193467,0.000000,0.000000,3.712433,3.834401,3.278991,-1.31924,0.10031
0.001,0,0,-10.081167,4.181136,0.000000,0.000000,3.703285,3.828918,3.277979,-1.30962,0.09994
0.002,0,0,-10.027118,4.168804,0.000000,0.000000,3.694145,3.823435,3.276967,-1.28307,0.09995
0.003,0,0,-9.916758,4.156341,0.000000,0.000000,3.686374,3.818127,3.276035,-1.27119,0.10007
0.004,0,0,-9.800962,4.143866,0.000000,0.000000,3.678612,3.812837,3.275112,-1.25356,0.10000
0.005,0,0,-9.685168,4.131390,0.000000,0.000000,3.672310,3.807546,3.274189,-1.24194,0.09971
0.006,0,0,-9.569374,4.118915,0.000000,0.000000,3.666017,3.802256,3.273265,-1.22792,0.09964
0.007,0,0,-9.406870,4.107037,0.000000,0.000000,3.661260,3.797625,3.272614,-1.21352,0.09976
0.008,0,0,-9.239859,4.095217,0.000000,0.000000,3.656512,3.793057,3.271990,-1.18755,0.09972
0.009,0,0,-9.072848,4.083396,0.000000,0.000000,3.653386,3.788489,3.271365,-1.16560,0.09928
0.010,0,0,-8.905837,4.071576,0.000000,0.000000,3.650270,3.783921,3.270741,-1.14981,0.09933
0.011,0,0,-8.699358,4.060925,0.000000,0.000000,3.648791,3.779804,3.267026,-1.13532,0.09954
0.012,0,0,-8.489070,4.050387,0.000000,0.000000,3.647322,3.775731,3.263014,-1.11620,0.09943
0.013,0,0,-8.278783,4.039850,0.000000,0.000000,3.647422,3.771658,3.259002,-1.10042,0.09910
0.014,0,0,-8.068495,4.029312,0.000000,0.000000,3.647532,3.767585,3.254990,-1.08324,0.09935
0.015,0,0,-7.819158,4.019774,0.000000,0.000000,3.649232,3.764262,3.248567,-1.04845,0.09955
0.016,0,0,-7.566053,4.010334,0.000000,0.000000,3.650942,3.761012,3.241911,-1.02927,0.09919
0.017,0,0,-7.312948,4.000894,0.000000,0.000000,3.654448,3.757761,3.235256,-1.00722,0.09904
0.018,0,0,-7.059843,3.991453,0.000000,0.000000,3.657964,3.754511,3.228601,-0.98864,0.09927
0.019,0,0,-6.786000,3.984801,0.000000,0.000000,3.663490,3.752161,3.220915,-0.97260,0.09924
0.020,0,0,-6.510156,3.978417,0.000000,0.000000,3.669027,3.749898,3.213130,-0.95217,0.09897
0.021,0,0,-6.234312,3.972034,0.000000,0.000000,3.676588,3.747636,3.205345,-0.93022,0.09893
0.022,0,0,-5.958468,3.965650,0.000000,0.000000,3.684162,3.745373,3.197560,-0.89193,0.09906
0.023,0,0,-5.651799,3.961217,0.000000,0.000000,3.693612,3.744594,3.190533,-0.87160,0.09914
0.024,0,0,-5.342155,3.956971,0.000000,0.000000,3.703073,3.743957,3.183579,-0.84826,0.09888
0.025,0,0,-5.032511,3.952726,0.000000,0.000000,3.714204,3.743321,3.176625,-0.82761,0.09884
0.026,0,0,-4.722868,3.948481,0.000000,0.000000,3.725346,3.742685,3.169671,-0.80733,0.09904
0.027,0,0,-4.415353,3.946478,0.000000,0.000000,3.737605,3.742442,3.163014,-0.78457,0.09904
0.028,0,0,-4.108044,3.944692,0.000000,0.000000,3.749871,3.742237,3.156386,-0.74160,0.09878
0.029,0,0,-3.800735,3.942906,0.000000,0.000000,3.762329,3.742032,3.149757,-0.72148,0.09877
0.030,0,0,-3.493426,3.941120,0.000000,0.000000,3.774788,3.741827,3.143129,-0.69566,0.09901
0.031,0,0,-3.222265,3.939737,0.000000,0.000000,3.786671,3.741789,3.136784,-0.67197,0.09899
0.032,0,0,-2.954591,3.938392,0.000000,0.000000,3.798550,3.741768,3.130466,-0.64776,0.09850
0.033,1,0,-2.686918,3.937047,0.000000,1.704594,3.809579,3.741746,3.124148,-0.62476,0.09858
0.034,1,0,-2.419245,3.935703,0.000000,3.419477,3.820603,3.741725,3.117831,-0.60132,0.09878
0.035,1,0,-2.225399,3.935849,0.000000,3.426454,3.830417,3.741551,3.111421,-0.55647,0.09855
0.036,1,0,-2.038678,3.936140,0.000000,3.423121,3.840224,3.741362,3.105003,-0.53192,0.09811
0.037,1,0,-1.851957,3.936430,0.000000,3.419842,3.847937,3.741174,3.098585,-0.50840,0.09802
0.038,1,0,-1.665235,3.936720,0.000000,3.416562,3.855637,3.740985,3.092167,-0.47987,0.09790
0.039,1,0,-1.576302,3.936409,0.000000,3.413597,3.860703,3.741114,3.086329,-0.45737,0.09785
0.040,1,0,-1.496804,3.936041,0.000000,3.410634,3.865752,3.741274,3.080549,-0.43040,0.09757
0.041,1,0,-1.417306,3.935672,0.000000,3.407951,3.868625,3.741434,3.074767,-0.40589,0.09714
0.042,1,0,-1.337809,3.935303,0.000000,3.405270,3.871485,3.741594,3.068986,-0.35882,0.09712
0.043,1,0,-1.331702,3.936063,0.000000,3.402741,3.872867,3.742219,3.063239,-0.33036,0.09721
0.044,1,0,-1.332677,3.936932,0.000000,3.400213,3.874239,3.742890,3.057494,-0.30855,0.09713
0.045,1,0,-1.333651,3.937802,0.000000,3.397669,3.874134,3.743560,3.051750,-0.27703,0.09659
0.046,1,0,-1.334626,3.938671,0.000000,3.395124,3.874019,3.744230,3.046005,-0.25807,0.09639
0.047,1,0,-1.379219,3.938336,0.000000,3.392453,3.872274,3.744786,3.040210,-0.22758,0.09657
0.048,1,0,-1.428020,3.937885,0.000000,3.389781,3.870520,3.745331,3.034410,-0.20566,0.09657
0.049,1,0,-1.476821,3.937433,0.000000,3.387190,3.867652,3.745877,3.028610,-0.15584,0.09639
0.050,1,0,-1.525623,3.936982,0.000000,3.384600,3.864779,3.746422,3.022811,-0.12506,0.09617
0.051,1,0,-1.557289,3.935494,0.000000,3.382250,3.861655,3.747098,3.017142,-0.10167,0.09628
0.052,1,0,-1.587303,3.933905,0.000000,3.379900,3.858531,3.747787,3.011487,-0.07531,0.09656
0.053,1,0,-1.617316,3.932317,0.000000,3.377306,3.855693,3.748476,3.005831,-0.04957,0.09664
0.054,1,0,-1.647330,3.930728,0.000000,3.374710,3.852857,3.749165,3.000175,-0.02177,0.09635
0.055,1,0,-1.633679,3.928301,0.000000,3.371628,3.850751,3.749750,2.994704,0.00105,0.09628
0.056,1,0,-1.615815,3.925793,0.000000,3.368543,3.848648,3.750324,2.989251,0.04871,0.09663
0.057,1,0,-1.597951,3.923285,0.000000,3.366640,3.847942,3.750898,2.983797,0.07979,0.09676
0.058,1,0,-1.580087,3.920776,0.000000,3.364745,3.847245,3.751472,2.978344,0.10725,0.09643
