"Time","51 right DS","50 left DS","v3 R COP","v2 L COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","33 FLy (cm)","35 FRy (cm)","30 HRy (cm)","28 HLy (cm)","3 Platform"
0.000,0,0,0.000000,0.000000,5.699289,0.244121,5.686349,6.727718,5.066399,3.821371,6.287681,-0.00013
0.001,0,0,0.000000,0.000000,5.691049,0.082878,5.686654,6.728996,5.066386,3.814834,6.292089,0.00025
0.002,0,0,0.000000,0.000000,5.682877,-0.058106,5.686218,6.729532,5.066528,3.808001,6.295628,0.00013
0.003,0,0,0.000000,0.000000,5.674715,-0.197705,5.685732,6.730017,5.066682,3.801148,6.299108,0.00013
0.004,0,0,0.000000,0.000000,5.667071,-0.337304,5.685246,6.730503,5.066835,3.794294,6.302587,0.00000
0.005,0,0,0.000000,0.000000,5.659447,-0.476903,5.684760,6.730988,5.066989,3.787441,6.306067,0.00028
0.006,0,0,0.000000,0.000000,5.652812,-0.575113,5.683806,6.731651,5.067554,3.780520,6.306458,0.00013
0.007,0,0,0.000000,0.000000,5.646197,-0.670493,5.682820,6.732326,5.068147,3.773595,6.306637,0.00018
0.008,0,0,0.000000,0.000000,5.640658,-0.765873,5.681834,6.733001,5.068739,3.766670,6.306816,0.00013
0.009,0,0,0.000000,0.000000,5.635138,-0.861253,5.680847,6.733676,5.069332,3.759745,6.306995,0.00025
0.010,0,0,0.000000,0.000000,5.630631,-0.923937,5.679963,6.732826,5.070163,3.751792,6.302637,0.00000
0.011,0,0,0.000000,0.000000,5.626138,-0.984386,5.679086,6.731872,5.071011,3.743768,6.297967,0.00018
0.012,0,0,0.000000,0.000000,5.622419,-1.044835,5.678209,6.730917,5.071858,3.735745,6.293298,0.00003
0.013,0,0,0.000000,0.000000,5.618711,-1.105284,5.677332,6.729963,5.072705,3.727721,6.288629,0.00031
0.014,0,0,0.000000,0.000000,5.615574,-1.131560,5.675921,6.728473,5.074006,3.720975,6.290370,0.00003
0.015,0,0,0.000000,0.000000,5.612451,-1.155498,5.674475,6.726946,5.075338,3.714317,6.292548,0.00000
0.016,0,0,0.000000,0.000000,5.610092,-1.179437,5.673028,6.725420,5.076670,3.707658,6.294727,0.00008
0.017,0,0,0.000000,0.000000,5.607750,-1.203376,5.671580,6.723893,5.078002,3.700999,6.296906,0.00013
