"Time","1 Synch","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","13 Crx (cm)","14 Cry (cm)","15 Hipx (cm)","16 Hipy (cm)","17 Knee x","18 Knee y","19 ankx (cm)","20 anky (cm)","21 MTPx (cm)","22 MTPy (cm)","23 toex (cm)","24 toey (cm)","25 FLtx (cm)","26 FLty (cm)","27 HLx (cm)","28 HLy (cm)","29 HRx (cm)","30 HRy (cm)","31 Keyboard","32 FLx (cm)","33 FLy (cm)","34 FRx (cm)","35 FRy (cm)","36 CoMx (cm)","37 CoMy (cm)","38 Hip (deg)","39 Knee (deg","40 Ankle (de","41 MTP (deg)","42 Rump up","43 Ramp down","44 sw onset","45 sw offset","12 Synch","46 Sw rmp up","47 St rmp up","48 Sw rmp dw","49 St rmp dw","50 Sinus rmp","51 HLl Sw on","52 HLl Sw of","53 HLr Sw on","54 HLr Sw of","55 FLl Sw on","56 FLl Sw of","57 FLr Sw on","58 FLr Sw of","59 Left DS","60 Right DS","61 Ramp up","62 Ramp down","63 rmp up sw","64 rmp up st","65 rm dwn sw","66 rm dwn st"
0.000,3.27678,0.09668,0.00012,0.00057,0.00078,0.00062,0.00054,0.00048,0.00058,0.00060,0.00105,15.832616,10.763091,14.647871,10.711267,14.900709,9.229122,13.392339,8.731458,13.855466,8.116241,14.381525,7.994679,19.902160,8.418241,15.271559,6.605466,14.682131,3.883767,0,17.779599,5.932508,19.915172,4.515149,16.931047,5.125081,83.477723,98.235775,71.293462,139.378280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.001,3.27644,0.09664,-0.00013,0.00059,0.00081,0.00065,0.00057,0.00048,0.00058,0.00064,0.00123,15.831000,10.762790,14.647570,10.708813,14.895629,9.226746,13.383702,8.738460,13.842867,8.119120,14.370084,7.997609,19.916336,8.414211,15.296116,6.610093,14.666231,3.892869,0,17.774431,5.929888,19.914975,4.522558,16.930372,5.127132,83.765282,98.068597,71.315829,139.121323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.002,3.27639,0.09685,0.00012,0.00059,0.00084,0.00066,0.00059,0.00049,0.00057,0.00062,0.00151,15.829726,10.762588,14.647360,10.706561,14.890227,9.224393,13.374573,8.746304,13.830801,8.122146,14.358067,8.000463,19.927251,8.410344,15.323037,6.617570,14.654437,3.902650,0,17.767173,5.927196,19.913852,4.530928,16.929165,5.130347,84.055860,97.895601,71.310444,138.912324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.003,3.27689,0.09700,0.00002,0.00059,0.00089,0.00068,0.00061,0.00053,0.00058,0.00060,0.00156,15.829189,10.762903,14.647398,10.704925,14.884577,9.222075,13.365778,8.754616,13.819302,8.125573,14.345215,8.003028,19.932582,8.406237,15.352220,6.626921,14.647627,3.910917,0,17.756094,5.925208,19.911901,4.539675,16.928632,5.134967,84.345563,97.725631,71.296565,138.742615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.004,3.27770,0.09687,-0.00002,0.00058,0.00092,0.00066,0.00066,0.00066,0.00055,0.00060,0.00166,15.829474,10.763847,14.647721,10.704023,14.878763,9.219813,13.357680,8.763087,13.808287,8.129420,14.331549,8.005153,19.931903,8.401994,15.383292,6.637417,14.644684,3.916282,0,17.741188,5.924212,19.909421,4.548364,16.929323,5.140830,84.631518,97.559477,71.285856,138.601439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.005,3.27778,0.09669,0.00015,0.00060,0.00090,0.00069,0.00064,0.00075,0.00055,0.00060,0.00191,15.830144,10.765016,14.648172,10.703471,14.872886,9.217638,13.349862,8.771522,13.797482,8.133317,14.317565,8.006789,19.927956,8.398561,15.415422,6.648742,14.641158,3.918705,0,17.725327,5.923686,19.907053,4.556811,16.930685,5.147111,84.912559,97.384491,71.277317,138.474553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.006,3.27681,0.09700,0.00002,0.00061,0.00085,0.00070,0.00064,0.00076,0.00057,0.00065,0.00190,15.830713,10.765957,14.648574,10.702839,14.867046,9.215582,13.341837,8.779734,13.786595,8.136857,14.303800,8.007894,19.923784,8.396964,15.447738,6.660620,14.632285,3.918269,0,17.711656,5.923030,19.905467,4.564855,16.932065,5.152921,85.187680,97.186753,71.268744,138.347383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.007,3.27584,0.09724,-0.00012,0.00063,0.00089,0.00072,0.00071,0.00078,0.00058,0.00066,0.00196,15.830696,10.766221,14.648752,10.701700,14.861346,9.213677,13.333118,8.787540,13.775337,8.139639,14.290790,8.008433,19.922401,8.398211,15.479373,6.672776,14.613352,3.915064,0,17.703283,5.921648,19.905339,4.572341,16.932812,5.157377,85.455855,96.952477,71.257994,138.205462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.008,3.27560,0.09691,0.00008,0.00063,0.00090,0.00074,0.00076,0.00085,0.00057,0.00068,0.00190,15.829824,10.765734,14.648630,10.699940,14.855884,9.211937,13.323595,8.795087,13.763627,8.141636,14.278721,8.008522,19.924843,8.402121,15.510078,6.685063,14.583457,3.909426,0,17.700797,5.919293,19.907544,4.579613,16.932750,5.160121,85.714554,96.677816,71.247304,138.042237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.009,3.27615,0.09646,0.00013,0.00063,0.00097,0.00077,0.00079,0.00096,0.00058,0.00068,0.00197,15.828185,10.765038,14.648296,10.697963,14.850754,9.210353,13.313776,8.803063,13.751738,8.143447,14.267205,8.008540,19.928843,8.406524,15.540629,6.697549,14.548052,3.902107,0,17.700576,5.916294,19.913292,4.587840,16.932492,5.161668,85.958741,96.375501,71.246213,137.864358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.010,3.27708,0.09665,0.00013,0.00059,0.00105,0.00078,0.00081,0.00100,0.00062,0.00075,0.00208,15.825901,10.764735,14.647852,10.696226,14.846052,9.208908,13.304231,8.812210,13.739971,8.145727,14.255798,8.008889,19.931822,8.409063,15.571899,6.710318,14.513194,3.893897,0,17.698600,5.913035,19.923826,4.598275,16.932724,5.162617,86.183143,96.059833,71.264955,137.679724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.011,3.27742,0.09683,0.00013,0.00058,0.00114,0.00075,0.00079,0.00113,0.00062,0.00076,0.00195,15.823096,10.765420,14.647402,10.695177,14.841870,9.207589,13.295524,8.823258,13.728628,8.149129,14.244061,8.009968,19.931236,8.407402,15.604752,6.723454,14.484891,3.885587,0,17.690880,5.909903,19.940363,4.612147,16.934126,5.163563,86.382518,95.745024,71.313718,137.495989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.012,3.27693,0.09663,0.00017,0.00059,0.00111,0.00077,0.00078,0.00118,0.00062,0.00079,0.00172,15.820020,10.767247,14.647007,10.694936,14.838239,9.206370,13.287953,8.836136,13.717793,8.153860,14.231899,8.011871,19.927305,8.400883,15.639328,6.736781,14.465572,3.878011,0,17.675776,5.907315,19.962117,4.629210,16.936767,5.164933,86.554084,95.438404,71.399486,137.302564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.013,3.27669,0.09635,0.00002,0.00063,0.00096,0.00075,0.00076,0.00115,0.00064,0.00081,0.00165,15.817135,10.769627,14.646657,10.695067,14.835083,9.205203,13.281372,8.849437,13.707187,8.159392,14.219794,8.014184,19.924851,8.391639,15.674566,6.749692,14.451700,3.872075,0,17.655562,5.905743,19.984967,4.646753,16.939700,5.166876,86.699162,95.135836,71.523888,137.058439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.014,3.27715,0.09627,0.00013,0.00064,0.00093,0.00079,0.00072,0.00108,0.00066,0.00079,0.00155,15.814921,10.771904,14.646336,10.695084,14.832317,9.204042,13.275592,8.861627,13.696499,8.165123,14.208284,8.016445,19.929135,8.382074,15.709287,6.761538,14.439172,3.868689,0,17.632882,5.905664,20.004478,4.661832,16.941882,5.169513,86.819460,94.832092,71.688050,136.719718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.015,3.27746,0.09651,0.00025,0.00063,0.00094,0.00078,0.00076,0.00105,0.00065,0.00081,0.00139,15.813853,10.773423,14.646030,10.694504,14.829856,9.202838,13.270423,8.871189,13.685419,8.170455,14.197900,8.018197,19.945356,8.374572,15.742324,6.771676,14.423914,3.868753,0,17.610370,5.907548,20.016254,4.671531,16.942281,5.172962,86.916743,94.522004,71.893129,136.242804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.016,3.27725,0.09667,0.00027,0.00064,0.00094,0.00077,0.00079,0.00109,0.00065,0.00077,0.00143,15.813995,10.773900,14.645718,10.693161,14.827615,9.201588,13.265701,8.877850,13.673897,8.174948,14.188803,8.019286,19.974291,8.370480,15.773147,6.779915,14.404004,3.872194,0,17.589856,5.911326,20.019102,4.674886,16.940706,5.177164,86.996944,94.204685,72.142778,135.606285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.017,3.27716,0.09655,0.00015,0.00064,0.00092,0.00074,0.00077,0.00112,0.00066,0.00073,0.00137,15.814721,10.773657,14.645381,10.691418,14.825511,9.200360,13.261302,8.883413,13.662312,8.178421,14.180538,8.020070,20.009338,8.369408,15.802290,6.786813,14.381107,3.877321,0,17.571825,5.916033,20.017166,4.674201,16.938371,5.181764,87.072950,93.886388,72.444807,134.825741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.018,3.27741,0.09624,0.00025,0.00065,0.00094,0.00073,0.00072,0.00110,0.00065,0.00069,0.00167,15.815339,10.773078,14.644994,10.689686,14.823461,9.199230,13.257104,8.889879,13.651086,8.180716,14.172591,8.020953,20.043196,8.370803,15.830390,6.793001,14.357231,3.882291,0,17.556637,5.920615,20.015099,4.672085,16.936621,5.186379,87.158305,93.574043,72.807422,133.920263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.019,3.27734,0.09652,0.00000,0.00064,0.00090,0.00069,0.00069,0.00099,0.00062,0.00070,0.00166,15.815166,10.772542,14.644536,10.688375,14.821383,9.198273,13.252987,8.899228,13.640633,8.181680,14.164451,8.022336,20.068609,8.374110,15.858078,6.799105,14.334374,3.885274,0,17.544641,5.924027,20.017506,4.671126,16.936791,5.190626,87.266481,93.274592,73.238664,132.909161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.020,3.27678,0.09682,0.00025,0.00063,0.00079,0.00071,0.00069,0.00098,0.00061,0.00066,0.00159,15.813933,10.772325,14.643941,10.687657,14.819200,9.197529,13.248883,8.911978,13.630852,8.181373,14.155729,8.024284,20.081744,8.378838,15.885752,6.805601,14.314050,3.885498,0,17.535544,5.925717,20.025800,4.672238,16.939271,5.194211,87.405591,92.995746,73.734437,131.827897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.021,3.27652,0.09660,0.00000,0.00063,0.00065,0.00070,0.00067,0.00088,0.00061,0.00070,0.00152,15.812071,10.772522,14.643071,10.687311,14.816845,9.196973,13.244808,8.926205,13.620789,8.180207,14.146248,8.026307,20.084476,8.384597,15.913410,6.812711,14.296960,3.883962,0,17.527975,5.925949,20.036064,4.673542,16.942876,5.196985,87.574804,92.746504,74.270404,130.738874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
