"Time","60 Right DS","59 Left DS","56 FLl Sw of","55 FLl Sw on","54 HLr Sw of","53 HLr Sw on","52 HLl Sw of","v6 L Mos","v4 R Mos","37 CoMy (cm)","v5 L COP","v3 R COP","v2 Virtual","v1 Virtual","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","50 Sinus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Rump up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","36 CoMx (cm)","35 FRy (cm)","32a FLx (cm)","32 FLx (cm)","34a FRx (cm)","58 FLr Sw of","57 FLr Sw on","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29a HRx (cm)","29 HRx (cm)","28 HLy (cm)","51 HLl Sw on","27a HLx (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","67 xCoM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,0,-0.01685,0.00459,-0.01953,-0.01315,0.00867,-0.01241,0.00546,0.00519,,-1.47949,0.10062,3.27655
0.001,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,0,-0.01672,0.00409,-0.02060,-0.01428,0.00854,-0.01222,0.00436,0.00175,,-1.47845,0.10036,3.27698
0.002,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,0,-0.01599,0.00211,-0.02136,-0.01308,0.00784,-0.01263,0.00256,-0.01228,,-1.47885,0.10028,3.27752
0.003,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,0,-0.02551,0.00232,-0.02106,-0.01335,0.00833,-0.01175,0.00543,0.00481,,-1.47913,0.10047,3.27759
0.004,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,0,-0.01254,0.00404,-0.02014,-0.01462,0.00705,-0.01205,0.00562,0.00099,,-1.47943,0.10041,3.27759
0.005,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,0,-0.01450,0.00163,-0.02045,-0.01389,0.00775,-0.01198,0.00473,0.00267,,-1.47714,0.10007,3.27692
0.006,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,0,-0.01993,0.00507,-0.02121,-0.01381,0.00806,-0.01221,0.00421,0.00237,,-1.47827,0.10019,3.27616
0.007,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,0,-0.02063,0.00139,-0.02060,-0.01424,0.00818,-0.01224,0.00278,-0.00816,,-1.47922,0.10032,3.27626
0.008,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,0,-0.01001,0.00305,-0.01968,-0.01250,0.00751,-0.01096,0.00638,0.00763,,-1.47952,0.10022,3.27649
0.009,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,0,-0.01276,0.00574,-0.02029,-0.01424,0.00974,-0.01218,0.00638,0.00175,,-1.47824,0.10002,3.27685
