"Time","60 Right DS","59 Left DS","58 FLr Sw of","57 FLr Sw on","56 FLl Sw of","54 HLr Sw of","55 FLl Sw on","53 HLr Sw on","52 HLl Sw of","51 HLl Sw on","v6 L Mos","v4 R Mos","67 xCoM","37 CoMy (cm)","v5 L COP","v3 R COP","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)"
0.00,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.01,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.02,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.03,1,1,0,0,0,0,0,0,0,0,-5.062282,-5.062282,5.061230,0.932254,0.000000,0.000000,4.296498,5.900440,3.868784,6.808165
0.04,1,1,0,0,0,0,0,0,0,0,-5.201450,-5.201450,5.201661,1.648696,0.000000,0.000000,4.327481,5.916884,3.885846,6.742429
0.05,1,1,0,0,0,0,0,0,0,0,-5.158390,-5.158390,5.157470,1.909784,0.000000,0.000000,4.412529,5.936099,3.867044,6.734456
0.06,1,1,0,0,0,0,0,0,0,0,-5.166518,-5.166518,5.164844,2.292499,0.000000,0.000000,4.446057,5.945082,3.860184,6.689267
0.07,1,1,0,0,0,0,0,0,0,0,-5.291834,-5.291834,5.292455,2.579060,0.000000,0.000000,4.503513,5.933597,3.878529,6.615554
0.08,1,1,0,0,0,0,0,0,0,0,-5.316019,-5.316019,5.316652,3.117161,0.000000,0.000000,4.573090,5.921445,3.914579,6.674047
0.09,1,1,1,0,0,0,0,0,0,0,-5.333699,-5.333699,5.333162,3.821774,0.000000,0.000000,4.674003,5.916533,3.877877,6.787479
0.10,1,1,0,0,0,0,0,0,0,0,-5.450023,-1.217760,5.449202,4.617891,0.000000,4.232263,4.629134,5.913283,3.874223,6.866619
0.11,1,1,0,0,0,0,0,0,0,0,-5.626472,-1.408136,5.627598,4.919108,0.000000,4.218336,4.580212,5.893055,3.856164,6.862245
0.12,1,1,0,0,0,0,0,0,1,0,-5.588009,-1.374841,5.589037,4.317585,0.000000,4.213168,4.578024,5.910149,3.845467,6.773077
0.13,1,1,0,0,0,0,0,0,0,0,-5.481604,-1.236880,5.480909,3.336143,0.000000,4.244724,4.634102,5.904846,3.858595,6.792599
0.14,1,1,0,0,0,0,1,0,0,0,-5.524155,-1.268441,5.524010,2.999033,0.000000,4.255713,4.648125,5.904046,3.884123,6.790816
0.15,1,1,0,0,0,0,0,0,0,0,-5.569464,-1.311882,5.569316,3.797286,0.000000,4.257581,4.602182,5.929510,3.910117,6.771278
0.16,1,1,0,0,0,0,0,0,0,0,-5.714183,-1.443632,5.713149,5.345110,0.000000,4.270551,4.609136,6.159551,3.931485,6.794197
0.17,1,1,0,0,0,0,0,0,0,0,-5.944363,-1.666876,5.945652,6.448095,0.000000,4.277487,4.622260,6.291508,3.931680,6.776480
0.18,1,1,0,0,0,0,0,0,0,0,-5.998466,-1.734565,5.999703,6.345551,0.000000,4.263902,4.619687,6.421574,3.902125,6.761906
0.19,1,1,0,0,0,0,0,1,0,0,-5.930072,-1.678021,5.930602,4.935683,0.000000,4.252052,4.604875,6.428256,3.886513,6.744956
0.20,0,1,0,0,0,0,0,0,0,0,-5.849100,-5.849100,5.850067,3.353340,0.000000,0.000000,4.585776,6.447722,3.918639,6.776395
0.21,0,1,0,0,0,0,0,0,0,0,-5.806947,-5.806947,5.805806,2.349489,0.000000,0.000000,4.610939,6.432565,3.941806,6.761335
0.22,0,1,0,0,0,0,0,0,0,0,-5.848558,-5.848558,5.848150,2.165110,0.000000,0.000000,4.629425,6.473781,3.816898,6.763207
0.23,0,1,0,0,0,0,0,0,0,0,-5.905367,-5.905367,5.905798,2.083072,0.000000,0.000000,4.645091,6.512462,3.835627,6.766420
0.24,0,1,0,0,0,0,0,0,0,0,-5.904739,-5.904739,5.905415,1.670231,0.000000,0.000000,4.622446,6.543452,3.965400,6.765065
0.25,0,1,0,0,0,0,0,0,0,0,-5.842371,-5.842371,5.843016,1.120258,0.000000,0.000000,4.601908,6.567572,4.176916,6.791210
0.26,0,1,0,0,0,0,0,0,0,0,-5.828187,-5.828187,5.829078,0.452596,0.000000,0.000000,4.615570,6.557464,4.187532,6.811507
0.27,0,1,0,0,0,0,0,0,0,0,-5.858590,-5.858590,5.860212,0.041843,0.000000,0.000000,4.619136,6.566403,4.220369,6.819008
0.28,0,1,0,0,0,0,0,0,0,0,-5.754192,-5.754192,5.753884,-0.530126,0.000000,0.000000,4.606402,6.567374,4.211258,6.822781
0.29,0,1,0,0,0,0,0,0,0,0,-5.745704,-5.745704,5.745985,-0.500817,0.000000,0.000000,4.613636,6.576063,4.163467,6.824443
0.30,0,1,0,0,0,0,0,0,0,0,-5.771937,-5.771937,5.771608,-0.435024,0.000000,0.000000,4.589496,6.570411,4.140461,6.814990
0.31,0,1,0,0,0,0,0,0,0,0,-5.830580,-5.830580,5.830743,-0.320224,0.000000,0.000000,4.591473,6.567315,4.101363,6.786792
0.32,0,1,0,0,0,0,0,0,0,0,7.598739,-5.754960,5.754647,-0.941783,13.353699,0.000000,4.599524,6.565615,4.041549,6.784486
0.33,0,1,0,0,0,0,0,0,0,0,5.633337,-5.658454,5.658316,-1.653591,11.291791,0.000000,4.637727,4.522346,3.994437,6.772140
0.34,0,1,0,0,1,0,0,0,0,0,7.579258,-5.650592,5.651885,-2.032674,13.229851,0.000000,4.648426,6.526546,3.967554,6.774178
0.35,0,1,0,0,0,1,0,0,0,0,7.618532,-5.621804,5.621474,-1.615851,13.240336,0.000000,4.628996,6.446822,4.035144,6.795424
0.36,0,1,0,0,0,0,0,0,0,0,7.533801,-5.655197,5.654422,-0.831298,13.188997,0.000000,4.656067,6.405856,4.026456,6.784144
0.37,0,1,0,1,0,0,0,0,0,0,7.432306,-5.765553,5.766382,-0.198462,13.197859,0.000000,4.689617,6.405631,4.023105,6.791277
0.38,0,1,0,0,0,0,0,0,0,0,7.492966,-5.744480,5.744797,-0.573153,13.237447,0.000000,4.627592,6.450216,4.026002,6.786467
0.39,0,1,0,0,0,0,0,0,0,0,7.569181,-5.638165,5.639839,-1.597860,13.207346,0.000000,4.635975,6.451858,4.027715,6.755658
0.40,0,1,0,0,0,0,0,0,0,0,7.730990,-5.496655,5.497349,-2.601619,13.227646,0.000000,4.524808,6.446365,4.048065,6.782089
0.41,0,1,0,0,0,0,0,0,0,0,7.771739,-5.497066,5.496719,-2.869355,13.268806,0.000000,4.541097,6.455438,4.083092,6.812743
0.42,0,1,0,0,0,0,0,0,0,0,7.796631,-5.510723,5.511085,-2.991754,13.307354,0.000000,4.449001,6.467482,4.042119,6.839617
0.43,0,1,0,0,0,0,0,0,0,0,7.890285,-5.463801,5.464204,-3.442123,13.354086,0.000000,4.462255,6.469467,4.067955,6.884622
0.44,0,1,0,0,0,0,0,0,0,0,8.071482,-5.315373,5.315267,-4.338038,13.386855,0.000000,4.474197,6.458524,4.086573,6.929339
0.45,0,1,0,0,0,0,0,0,0,0,8.150993,-5.217084,5.216325,-4.882330,13.368077,0.000000,4.384083,6.401027,4.068577,6.966515
0.46,0,1,0,0,0,0,0,0,0,1,8.135017,-5.196247,5.195970,-4.666042,13.331264,0.000000,4.333820,6.385922,4.070666,6.943976
0.47,0,0,0,0,0,0,0,0,0,0,-5.204396,-5.204396,5.203795,-3.800163,0.000000,0.000000,4.283284,6.329437,4.061360,6.895765
0.48,0,0,0,0,0,0,0,0,0,0,-5.242112,-5.242112,5.240900,-2.793783,0.000000,0.000000,4.247640,6.333670,4.083285,6.961963
0.49,0,0,0,0,0,0,0,0,0,0,-5.250327,-5.250327,5.248710,-2.091629,0.000000,0.000000,4.211381,6.317318,4.104328,6.980915
0.50,0,0,0,0,0,0,0,0,0,0,-5.250625,-5.250625,5.247896,-1.657231,0.000000,0.000000,4.193389,6.317406,4.104664,6.871665
0.51,0,0,0,0,0,0,0,0,0,0,-5.236761,-5.236761,5.236408,-1.206603,0.000000,0.000000,4.143320,6.304621,4.097808,6.819509
0.52,0,0,0,0,0,0,0,0,0,0,-5.272545,-5.272545,5.272285,-0.739378,0.000000,0.000000,4.115091,6.318280,4.093239,6.799406
0.53,0,0,0,0,0,0,0,0,0,0,-5.330813,-5.330813,5.331527,-0.244319,0.000000,0.000000,4.138148,6.278931,4.106036,6.758262
0.54,0,0,0,0,0,0,0,0,0,0,-5.301926,-5.301926,5.302702,-0.068000,0.000000,0.000000,4.057975,6.288847,4.108923,6.719175
0.55,0,0,1,0,0,0,0,0,0,0,-5.322128,-5.322128,5.322176,0.499806,0.000000,0.000000,4.052344,6.277080,4.136903,6.794048
0.56,1,0,0,0,0,0,0,0,0,0,-5.353102,-1.280987,5.352877,1.031777,0.000000,4.072116,4.025458,6.303641,4.100960,6.876591
0.57,1,0,0,0,0,0,0,0,0,0,-5.474032,-1.368605,5.474423,1.739373,0.000000,4.105427,4.112316,6.341957,4.104115,6.999051
0.58,1,0,0,0,0,0,0,0,0,0,-5.469005,-1.365375,5.468589,1.447412,0.000000,4.103631,4.136111,6.336801,4.095236,6.981217
