"Time","v5 L COP","v3 R COP","70 RDS cle","34 FRx (cm)","29 HRx (cm)","71 LDS cle","37a CoMy (cm)","32 FLx (cm)","27 HLx (cm)","67 xCoM","v7 xCoM","3 Platform","2 Trdml","37b CoMy (cm)","37 CoMy (cm)"
0.000,0.000000,0.000000,1,17.646563,15.658282,1,0.712432,19.746731,14.168615,5.747933,5.747933,-0.00014,0.09750,5.792257,-0.964758
0.001,0.000000,0.000000,1,17.636023,15.674980,1,0.726468,19.754131,14.159012,5.746608,5.746608,-0.00029,0.09758,5.792498,-0.989670
0.002,0.000000,0.000000,1,17.625439,15.687732,1,0.640328,19.759575,14.149156,5.745392,5.745392,0.00015,0.09787,5.795478,-1.008619
0.003,0.000000,0.000000,1,17.614841,15.698919,1,0.514453,19.764244,14.139200,5.744218,5.744218,0.00000,0.09792,5.799544,-1.025203
0.004,0.000000,0.000000,1,17.604242,15.710107,1,0.388578,19.768911,14.129245,5.743045,5.743045,0.00015,0.09761,5.803611,-1.041787
0.005,0.000000,0.000000,1,17.593643,15.721294,1,0.262703,19.773581,14.119289,5.741871,5.741871,0.00016,0.09765,5.807677,-1.058371
0.006,0.000000,0.000000,1,17.583197,15.749827,1,0.043661,19.787672,14.108845,5.740620,5.740620,0.00015,0.09787,5.807806,-1.068336
0.007,0.000000,0.000000,1,17.572809,15.785240,1,-0.212336,19.805502,14.098206,5.739338,5.739338,0.00000,0.09780,5.806372,-1.075677
0.008,0.000000,0.000000,1,17.562422,15.820653,1,-0.468333,19.823330,14.087567,5.738056,5.738056,-0.00000,0.09746,5.804939,-1.083017
0.009,0.000000,0.000000,1,17.552034,15.856066,1,-0.724330,19.841160,14.076928,5.736773,5.736773,0.00000,0.09746,5.803505,-1.090357
0.010,0.000000,0.000000,1,17.541180,15.880004,1,-0.968835,19.848928,14.065068,5.735868,5.735868,-0.00014,0.09758,5.801252,-1.089615
0.011,0.000000,0.000000,1,17.530142,15.899390,1,-1.208781,19.852703,14.052724,5.735113,5.735113,0.00000,0.09752,5.798674,-1.085666
0.012,0.000000,0.000000,1,17.519104,15.918777,1,-1.448727,19.856480,14.040380,5.734357,5.734357,0.00000,0.09738,5.796096,-1.081717
0.013,0.000000,0.000000,1,17.508066,15.938163,1,-1.688672,19.860256,14.028035,5.733602,5.733602,0.00000,0.09719,5.793518,-1.077768
0.014,0.000000,0.000000,1,17.497461,15.955758,1,-1.836013,19.866306,14.016261,5.732405,5.732405,0.00015,0.09726,5.791622,-1.068823
0.015,0.000000,0.000000,1,17.487028,15.972644,1,-1.946622,19.873259,14.004714,5.731033,5.731033,0.00015,0.09743,5.789996,-1.057897
0.016,0.000000,0.000000,1,17.476595,15.989529,1,-2.057231,19.880211,13.993167,5.729661,5.729661,0.00015,0.09732,5.788371,-1.046970
0.017,0.000000,0.000000,1,17.466162,16.006414,1,-2.167840,19.887163,13.981620,5.728288,5.728288,0.00015,0.09695,5.786746,-1.036044
0.018,0.000000,0.000000,1,17.455957,16.019745,1,-2.239411,19.894800,13.971363,5.726883,5.726883,-0.00000,0.09690,5.784385,-1.021152
0.019,0.000000,0.000000,1,17.445841,16.031666,1,-2.295499,19.902708,13.961619,5.725465,5.725465,0.00030,0.09706,5.781732,-1.004687
0.020,0.000000,0.000000,1,17.435724,16.043587,1,-2.351587,19.910616,13.951875,5.724047,5.724047,0.00030,0.09690,5.779079,-0.988222
0.021,0.000000,0.000000,1,17.425608,16.055508,1,-2.407675,19.918524,13.942131,5.722629,5.722629,0.00000,0.09653,5.776427,-0.971757
0.022,0.000000,0.000000,1,17.416138,16.083883,1,-2.391076,19.920771,13.932077,5.720748,5.720748,0.00015,0.09636,5.772548,-0.956459
0.023,0.000000,0.000000,1,17.406923,16.118786,1,-2.345644,19.920771,13.921902,5.718685,5.718685,0.00000,0.09638,5.768182,-0.941624
0.024,0.000000,0.000000,1,17.397711,16.153687,1,-2.300213,19.920771,13.911726,5.716621,5.716621,-0.00000,0.09642,5.763817,-0.926788
0.025,0.000000,0.000000,1,17.388496,16.188589,1,-2.254782,19.920771,13.901549,5.714558,5.714558,0.00015,0.09636,5.759452,-0.911952
0.026,0.000000,0.000000,1,17.378777,16.213434,1,-2.227023,19.920771,13.893617,5.712187,5.712187,0.00031,0.09611,5.759475,-0.903347
0.027,0.000000,0.000000,1,17.368858,16.234287,1,-2.206273,19.920771,13.886573,5.709695,5.709695,-0.00015,0.09609,5.761238,-0.897213
0.028,0.000000,0.000000,1,17.358938,16.255142,1,-2.185523,19.920771,13.879529,5.707202,5.707202,0.00015,0.09636,5.763001,-0.891078
0.029,0.000000,0.000000,1,17.349020,16.275997,1,-2.164773,19.920771,13.872485,5.704710,5.704710,-0.00000,0.09640,5.764765,-0.884944
0.030,0.000000,0.000000,1,17.338911,16.300001,1,-2.167392,19.920771,13.863751,5.702109,5.702109,0.00030,0.09612,5.761165,-0.886220
0.031,0.000000,0.000000,1,17.328728,16.325256,1,-2.179281,19.920771,13.854348,5.699464,5.699464,0.00015,0.09605,5.755438,-0.890436
0.032,0.000000,0.000000,1,17.318544,16.350512,1,-2.191170,19.920771,13.844945,5.696819,5.696819,0.00014,0.09627,5.749711,-0.894653
0.033,0.000000,0.000000,1,17.308359,16.375767,1,-2.203058,19.920771,13.835541,5.694174,5.694174,0.00030,0.09639,5.743983,-0.898869
0.034,0.000000,0.000000,1,17.298189,16.395723,1,-2.189359,19.920771,13.828263,5.691419,5.691419,0.00030,0.09628,5.741847,-0.910618
0.035,0.000000,0.000000,1,17.288023,16.413582,1,-2.165509,19.920771,13.821830,5.688619,5.688619,0.00015,0.09612,5.741136,-0.925357
0.036,2.592816,0.000000,1,17.277857,16.431438,1,-2.141660,19.920771,13.815395,5.685820,5.685820,0.00015,0.09625,5.740424,-0.940095
0.037,5.841959,0.000000,1,17.267693,16.449295,1,-2.117811,19.920771,13.808961,5.683020,5.683020,0.00000,0.09649,5.739712,-0.954833
0.038,6.498286,0.000000,1,17.257620,16.455389,1,-2.144046,19.920771,13.804080,5.680327,5.680327,-0.00015,0.09648,5.738645,-0.978095
0.039,6.498286,0.000000,1,17.247585,16.456818,1,-2.190148,19.920771,13.799814,5.677677,5.677677,0.00015,0.09631,5.737436,-1.004737
0.040,6.498286,0.000000,1,17.237549,16.458246,1,-2.236250,19.920771,13.795548,5.675026,5.675026,0.00015,0.09639,5.736228,-1.031379
0.041,6.498286,0.000000,1,17.227514,16.459675,1,-2.282351,19.920771,13.791283,5.672376,5.672376,0.00015,0.09668,5.735020,-1.058022
0.042,6.498286,0.000000,1,17.218040,16.460081,1,-2.214863,19.920771,13.783786,5.670135,5.670135,0.00015,0.09675,5.731880,-1.089534
0.043,6.498286,0.000000,1,17.208790,16.460081,1,-2.102320,19.920771,13.775008,5.668057,5.668057,0.00000,0.09651,5.727975,-1.122978
0.044,6.498286,0.000000,1,17.199539,16.460081,1,-1.989776,19.920771,13.766230,5.665979,5.665979,0.00045,0.09656,5.724070,-1.156422
