"Time","56 FLl Sw of","55 FLl Sw on","54 HLr Sw of","53 HLr Sw on","52 HLl Sw of","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","50 Sinus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Rump up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","36 CoMx (cm)","59 Left DS","60 Right DS","v6 L Mos","37a CoMy (cm)","v4 R Mos","32 FLx (cm)","58 FLr Sw of","57 FLr Sw on","34 FRx (cm)","31 Keyboard","29 HRx (cm)","51 HLl Sw on","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v7 xCoM","v5 L COP","28 HLy (cm)","33 FLy (cm)","67 xCoM","v3 R COP","35 FRy (cm)","30 HRy (cm)","v2 Virtual","v1 Virtual","34a FRx (cm)","37b CoMy (cm)","37 CoMy (cm)","32a FLx (cm)","29a HRx (cm)","27a HLx (cm)"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.485504,53.633163,72.131493,89.792038,15.190404,1,0,0.700944,-2.125781,6.076752,16.238882,0,0,17.498138,0,13.262940,0,12.437657,8.247733,17.516338,8.016171,13.200210,8.173388,12.523137,8.799688,12.112978,8.689116,13.698032,10.147118,13.344299,10.420905,14.503541,0,-0.01617,0.00308,-0.01991,-0.01330,0.00880,-0.01207,0.00446,0.00166,-1.47989,0.09920,3.27733,6.076784,6.777696,7.142326,6.413062,6.076784,0.000000,5.010966,4.624846,-0.552233,191.733826,17.498138,6.150893,-1.394643,16.238882,13.262940,12.372759
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.607803,53.884041,71.872391,90.235260,15.193064,1,0,0.705121,-1.952113,6.073016,16.225071,0,0,17.511778,0,13.254065,0,12.437657,8.248687,17.516378,8.019640,13.188475,8.173831,12.510368,8.803876,12.107811,8.687808,13.691653,10.146817,13.343910,10.422056,14.503417,0,-0.02385,0.01215,-0.01934,-0.01429,0.00875,-0.01046,0.00339,0.00259,-1.47966,0.09926,3.27756,6.073697,6.778136,7.143081,6.413128,6.073697,0.000000,5.011355,4.623280,-0.570890,191.586349,17.511778,6.148758,-1.412584,16.225071,13.254065,12.369073
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.730118,54.134922,71.613281,90.678482,15.195724,1,0,0.708904,-1.778445,6.069654,16.211262,0,0,17.525417,0,13.245189,0,12.437657,8.249641,17.516417,8.023108,13.176741,8.174275,12.497601,8.808063,12.102645,8.686501,13.685274,10.146516,13.343521,10.423208,14.503293,0,-0.01202,0.00364,-0.01974,-0.01378,0.00793,-0.01218,0.00566,0.00261,-1.47913,0.09896,3.27750,6.070610,6.778559,7.143836,6.413194,6.070610,0.000000,5.011744,4.621715,-0.589548,191.438858,17.525417,6.146625,-1.430525,16.211262,13.245189,12.365386
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.852417,54.385799,71.354179,91.121704,15.198383,1,0,0.711821,-1.604777,6.067122,16.197451,0,0,17.539059,0,13.236313,0,12.437657,8.250595,17.516457,8.026577,13.165006,8.174719,12.484832,8.812250,12.097478,8.685193,13.678895,10.146214,13.343132,10.424359,14.503168,0,-0.00040,0.01025,-0.01857,-0.01444,0.00878,-0.01340,0.00454,0.00274,-1.47897,0.09916,3.27644,6.067522,6.778944,7.144590,6.413260,6.067522,0.000000,5.012134,4.620149,-0.608205,191.291382,17.539059,6.144491,-1.448466,16.197451,13.236313,12.361700
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.997742,54.544174,70.997314,91.590439,15.202324,1,0,0.715051,-1.442749,6.064291,16.183128,0,0,17.551224,0,13.227513,0,12.437657,8.253152,17.519173,8.029724,13.152847,8.175895,12.473161,8.821507,12.092473,8.683909,13.671257,10.146150,13.342964,10.425948,14.503262,0,-0.02211,0.00622,-0.02310,-0.01300,0.00856,-0.02384,0.00504,0.00547,-1.47873,0.09945,3.27579,6.064277,6.779343,7.145199,6.413486,6.064277,0.000000,5.012543,4.618730,-0.626938,191.139618,17.551224,6.142201,-1.466456,16.183128,13.227513,12.358789
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.220169,54.392864,70.313164,92.144562,15.210548,1,0,0.718974,-1.319690,6.060799,16.167093,0,0,17.558455,0,13.218968,0,12.437657,8.261076,17.530846,8.031792,13.139266,8.179523,12.465164,8.847731,12.088007,8.682701,13.659405,10.146875,13.343534,10.428998,14.504081,0,-0.01071,-0.00034,-0.01907,-0.01354,0.00863,-0.01823,0.00495,0.00181,-1.47726,0.09937,3.27663,6.060503,6.779773,7.145319,6.414245,6.060503,0.000000,5.013020,4.617797,-0.645922,190.973526,17.558455,6.139392,-1.484608,16.167093,13.218968,12.358476
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.442596,54.241550,69.629013,92.698685,15.218773,1,0,0.723065,-1.196632,6.057144,16.151058,0,0,17.565683,0,13.210423,0,12.437657,8.269001,17.542521,8.033859,13.125686,8.183150,12.457167,8.873956,12.083540,8.681493,13.647552,10.147600,13.344106,10.432048,14.504901,0,-0.02200,0.00963,-0.01940,-0.01435,0.00876,-0.01172,0.00553,0.00327,-1.47820,0.09899,3.27732,6.056729,6.780210,7.145441,6.415003,6.056729,0.000000,5.013496,4.616866,-0.664907,190.807419,17.565683,6.136582,-1.502761,16.151058,13.210423,12.358162
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.665024,54.090240,68.944855,93.252815,15.226997,1,0,0.727528,-1.073573,6.053129,16.135023,0,0,17.572914,0,13.201879,0,12.437657,8.276925,17.554193,8.035927,13.112105,8.186778,12.449170,8.900181,12.079074,8.680285,13.635699,10.148326,13.344676,10.435098,14.505720,0,-0.01125,0.00492,-0.02128,-0.01237,0.00927,-0.01233,0.00594,-0.00126,-1.47842,0.09938,3.27747,6.052955,6.780657,7.145561,6.415761,6.052955,0.000000,5.013972,4.615934,-0.683891,190.641327,17.572914,6.133773,-1.520914,16.135023,13.201879,12.357848
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.929367,53.938210,68.296135,93.772774,15.231229,1,0,0.731734,-0.899743,6.049366,16.120657,0,0,17.581421,0,13.194153,0,12.437657,8.283921,17.564671,8.038257,13.095639,8.189910,12.440578,8.927901,12.073400,8.679083,13.624029,10.149228,13.344614,10.437990,14.505901,0,-0.01518,0.00512,-0.02079,-0.01314,0.00787,-0.01354,0.00464,0.00382,-1.47809,0.09942,3.27752,6.049669,6.781101,7.145835,6.416400,6.049669,0.000000,5.014308,4.614902,-0.701525,190.489365,17.581421,6.131385,-1.537802,16.120657,13.194153,12.356454
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.334084,53.783756,67.766029,94.178352,15.222093,1,0,0.735375,-0.555941,6.046162,16.111876,0,0,17.594198,0,13.189167,0,12.437657,8.287813,17.571135,8.041460,13.069513,8.191381,12.429995,8.960629,12.063682,8.677903,13.612973,10.150723,13.342435,10.440359,14.503946,0,-0.02433,-0.00538,-0.01894,-0.01488,0.00753,-0.01281,0.00454,0.00060,-1.47855,0.09914,3.27722,6.048020,6.781537,7.146623,6.416638,6.048020,0.000000,5.014175,4.613533,-0.714639,190.384750,17.594198,6.130408,-1.550460,16.111876,13.189167,12.351444
0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.738792,53.629303,67.235916,94.583931,15.212955,1,0,0.738164,-0.212139,6.043853,16.103094,0,0,17.606976,0,13.184181,0,12.437657,8.291704,17.577600,8.044663,13.043388,8.192852,12.419412,8.993357,12.053964,8.676723,13.601916,10.152217,13.340256,10.442728,14.501991,0,-0.02104,0.00753,-0.01862,-0.01370,0.00807,-0.01283,0.00487,0.00245,-1.47825,0.09907,3.27701,6.046371,6.782017,7.147410,6.416876,6.046371,0.000000,5.014042,4.612164,-0.727753,190.280136,17.606976,6.129431,-1.563119,16.103094,13.184181,12.346434
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.143509,53.474850,66.705811,94.989517,15.203818,1,0,0.739075,0.131663,6.043519,16.094311,0,0,17.619753,0,13.179195,0,12.437657,8.295595,17.584064,8.047867,13.017262,8.194324,12.408828,9.026085,12.044246,8.675544,13.590860,10.153711,13.338077,10.445097,14.500036,0,-0.02046,0.00522,-0.01878,-0.01530,0.00883,-0.01261,0.00468,0.00289,-1.47733,0.09936,3.27716,6.044721,6.782594,7.148197,6.417114,6.044721,0.000000,5.013908,4.610795,-0.740866,190.175522,17.619753,6.128455,-1.575777,16.094311,13.179195,12.341424
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.622505,53.429913,66.255066,95.377747,15.194696,1,0,-0.319601,0.437111,6.044446,16.085052,0,0,17.632174,0,13.169922,0,12.437657,8.299571,17.592648,8.050200,12.994838,8.195075,12.399533,9.054200,12.036407,8.674614,13.581033,10.154783,13.336292,10.447317,14.497993,0,-0.01470,-0.00050,-0.02160,-0.01387,0.00831,-0.01153,0.00637,0.00201,-1.48018,0.09926,3.27722,6.044330,5.724845,7.149172,6.417304,6.044330,0.000000,5.013628,4.609488,-0.751406,190.065735,17.632174,6.128598,-1.585836,16.085052,13.169922,12.337448
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.350212,53.751614,66.070030,95.707886,15.185626,1,0,-3.714801,0.614157,6.048150,16.074196,0,0,17.643400,0,13.146291,1,12.437657,8.303827,17.608322,8.049621,12.984803,8.193419,12.394552,9.066876,12.034862,8.674521,13.575318,10.154442,13.335830,10.449039,14.495650,0,-0.01794,0.00554,-0.02055,-0.01387,0.00826,-0.01233,0.00408,0.00153,-1.47956,0.09895,3.27691,6.048153,2.333349,7.150777,6.417331,6.048153,0.000000,5.012856,4.608387,-0.753329,189.938629,17.643400,6.132493,-1.587196,16.074196,13.146291,12.336935
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.077919,54.073315,65.885002,96.038025,15.176556,0,0,-6.051926,0.791203,6.051926,16.063337,0,0,17.654627,0,13.122660,0,12.437657,8.308084,17.623995,8.049042,12.974768,8.191761,12.389572,9.079554,12.033317,8.674429,13.569604,10.154101,13.335366,10.450760,14.493308,0,-0.01104,0.01171,-0.02153,-0.01349,0.00837,-0.02036,0.00491,0.00242,-1.47805,0.09902,3.27672,6.051976,0.000000,7.152382,6.417358,6.051976,0.000000,5.012084,4.607285,-0.755252,189.811539,17.654627,6.136389,-1.588556,16.063337,13.122660,12.336422
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.805618,54.395016,65.699966,96.368164,15.167485,0,0,-6.055857,0.968248,6.055857,16.052481,0,0,17.665854,0,13.099029,0,12.437657,8.312342,17.639669,8.048463,12.964733,8.190104,12.384591,9.092230,12.031771,8.674336,13.563890,10.153760,13.334903,10.452480,14.490965,0,-0.02469,0.01040,-0.02236,-0.01396,0.00917,-0.01778,0.00562,0.00242,-1.47776,0.09917,3.27695,6.055799,0.000000,7.153987,6.417386,6.055799,0.000000,5.011312,4.606184,-0.757176,189.684433,17.665854,6.140285,-1.589916,16.052481,13.099029,12.335909
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.503357,54.699780,65.498322,96.702271,15.159339,0,0,-6.058721,1.111082,6.058721,16.042482,0,0,17.676508,0,13.076382,0,12.437657,8.316634,17.652981,8.047520,12.955042,8.191533,12.375541,9.104050,12.029686,8.674275,13.557410,10.153870,13.334120,10.454360,14.488728,0,-0.01241,0.00185,-0.01990,-0.01310,0.00815,-0.01246,0.00521,0.00321,-1.47815,0.09906,3.27713,6.058863,0.000000,7.155363,6.417280,6.058863,0.000000,5.010454,4.605107,-0.756596,189.567596,17.676508,6.143290,-1.588818,16.042482,13.076382,12.335838
