"Time","v5 L COP","v3 R COP","70 RDS cle","34 FRx (cm)","29 HRx (cm)","71 LDS cle","37a CoMy (cm)","32 FLx (cm)","27 HLx (cm)","67 xCoM","v7 xCoM","3 Platform","2 Trdml","37b CoMy (cm)","37 CoMy (cm)"
0.000,0.000000,0.000000,0,16.807253,15.341639,0,2.570033,19.091593,13.672797,6.520168,6.520168,1.48274,0.09880,6.416216,2.175951
0.001,0.000000,0.000000,0,16.798063,15.398045,0,2.262994,19.077446,13.654890,6.516182,6.516182,1.48371,0.09852,6.425020,2.070841
0.002,0.000000,0.000000,0,16.788876,15.454452,0,1.955956,19.063299,13.636984,6.512196,6.512196,1.48346,0.09839,6.433825,1.965730
0.003,0.000000,0.000000,0,16.779758,15.506862,0,1.571014,19.048367,13.615802,6.507915,6.507915,1.48419,0.09862,6.436750,1.862163
0.004,0.000000,0.000000,0,16.770708,15.555640,0,1.115304,19.032717,13.591645,6.503366,6.503366,1.48340,0.09866,6.434334,1.759999
0.005,0.000000,0.000000,0,16.761656,15.604419,0,0.659594,19.017069,13.567489,6.498816,6.498816,1.48327,0.09853,6.431919,1.657834
0.006,0.000000,0.000000,0,16.752605,15.653197,0,0.203884,19.001419,13.543332,6.494267,6.494267,1.47938,0.09853,6.429503,1.555670
0.007,0.000000,0.000000,0,16.743927,15.706586,0,-0.221431,18.986313,13.522954,6.490316,6.490316,1.48383,0.09878,6.427104,1.460428
0.008,0.000000,0.000000,0,16.735586,15.764161,0,-0.619135,18.971699,13.506008,6.486908,6.486908,1.48460,0.09887,6.424720,1.371472
0.009,0.000000,0.000000,0,16.727245,15.821737,0,-1.016840,18.957087,13.489063,6.483500,6.483500,1.48300,0.09877,6.422336,1.282518
0.010,0.000000,0.000000,0,16.718904,15.879313,0,-1.414544,18.942472,13.472117,6.480092,6.480092,1.48488,0.09887,6.419952,1.193563
0.011,0.000000,0.000000,0,16.711964,15.908577,0,-1.639270,18.929699,13.461683,6.476707,6.476707,1.48316,0.09915,6.417315,1.113500
0.012,0.000000,0.000000,0,16.706295,15.912125,0,-1.706861,18.918598,13.457166,6.473344,6.473344,1.48354,0.09906,6.414451,1.041514
0.013,0.000000,0.000000,0,16.700626,15.915671,0,-1.774453,18.907497,13.452647,6.469981,6.469981,1.49188,0.09885,6.411585,0.969529
0.014,0.000000,0.000000,0,16.694960,15.919219,0,-1.842045,18.896397,13.448129,6.466619,6.466619,1.48462,0.09898,6.408720,0.897543
0.015,0.000000,0.000000,0,16.691416,15.920907,0,-1.763758,18.889078,13.443999,6.462958,6.462958,1.48359,0.09915,6.406899,0.831953
