"Time","56 FLl Sw of","55 FLl Sw on","52 HLl Sw of","v3 R COP","70 RDS cle","34 FRx (cm)","29 HRx (cm)","v5 L COP","71 LDS cle","37a CoMy (cm)","32 FLx (cm)","57 FLr Sw on","58 FLr Sw of","53 HLr Sw on","51 HLl Sw on","27 HLx (cm)","54 HLr Sw of","67 xCoM","v7 xCoM","3 Platform","2 Trdml","37b CoMy (cm)","37 CoMy (cm)","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","50 Sinus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Rump up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","36 CoMx (cm)","60 Right DS","59 Left DS","v6 L Mos","v4 R Mos","34a FRx (cm)","31 Keyboard","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","1 Synch","29a HRx (cm)","69 L marks","68 R marks","28 HLy (cm)","33 FLy (cm)","35 FRy (cm)","30 HRy (cm)","v2 Virtual","v1 Virtual","32a FLx (cm)","27a HLx (cm)"
0.000,0,0,0,0.000000,0,14.906266,10.402681,0.000000,0,-0.178977,13.294827,0,0,0,0,10.517498,0,5.638552,5.638552,-1.48002,0.09718,5.630191,0.118273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.068787,37.208710,83.361534,83.697441,12.521771,0,0,-5.638578,5.638578,3.731111,0,8.435397,14.586386,8.070279,9.949656,8.161105,9.421345,8.367453,8.948858,8.722263,10.493094,10.131679,9.988070,10.381311,11.030553,0,-0.02903,-0.00010,-0.01999,-0.01357,0.00820,-0.01194,0.00458,0.00162,3.27726,-10.558060,0,0,7.197177,6.115515,4.538743,4.407415,0.807957,157.058456,13.294827,10.445770
0.001,0,0,0,0.000000,0,14.910243,10.391422,0.000000,0,-0.097798,13.285635,0,0,0,0,10.517498,0,5.636618,5.636618,-1.48165,0.09722,5.629945,0.079218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.357407,37.340523,83.359154,83.728165,12.520496,0,0,-5.636779,5.636779,3.623410,0,8.437916,14.598049,8.065542,9.935022,8.158743,9.406520,8.366298,8.940789,8.721183,10.486282,10.131687,9.983754,10.377874,11.024334,0,-0.02202,0.00514,-0.02028,-0.01390,0.00773,-0.01212,0.00554,0.00189,3.27749,-10.629844,0,0,7.197011,6.115899,4.541371,4.408352,0.768426,156.957260,13.285635,10.455247
0.002,0,0,0,0.000000,0,14.914220,10.380162,0.000000,0,-0.016619,13.276443,0,0,0,0,10.517498,0,5.634683,5.634683,-1.48032,0.09696,5.629699,0.040163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.646011,37.472336,83.356773,83.758888,12.519221,0,0,-5.634812,5.634812,3.515710,0,8.440434,14.609713,8.060806,9.920388,8.156380,9.391695,8.365143,8.932719,8.720101,10.479471,10.131697,9.979437,10.374437,11.018115,0,-0.01357,0.01021,-0.02213,-0.01288,0.00820,-0.01124,0.00731,0.00320,3.27750,-10.701628,0,0,7.196844,6.116283,4.544000,4.409289,0.728894,156.856064,13.276443,10.464725
0.003,0,0,0,0.000000,0,14.918197,10.368903,0.000000,0,0.064560,13.267252,0,0,0,0,10.517498,0,5.632749,5.632749,-1.48014,0.09680,5.629453,0.001109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.934616,37.604145,83.354393,83.789619,12.517946,0,0,-5.632761,5.632761,3.408009,0,8.442951,14.621376,8.056070,9.905754,8.154017,9.376870,8.363989,8.924650,8.719020,10.472659,10.131705,9.975120,10.371001,11.011897,0,-0.02630,0.00743,-0.02044,-0.01414,0.00778,-0.01165,0.00299,-0.01378,3.27735,-10.773411,0,0,7.196677,6.116668,4.546629,4.410227,0.689362,156.754868,13.267252,10.474201
0.004,0,0,0,0.000000,0,14.922611,10.360287,0.000000,0,0.170913,13.252231,0,0,0,0,10.523308,0,5.631236,5.631236,-1.48029,0.09689,5.628904,-0.036851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.713959,37.971844,83.237297,83.906509,12.512742,0,0,-5.631310,5.631310,3.258121,0,8.444099,14.635424,8.052991,9.892211,8.155982,9.366357,8.366075,8.917180,8.717808,10.465836,10.131417,9.971384,10.369142,11.006944,0,-0.01188,0.00553,-0.02014,-0.01387,0.00875,0.00269,0.01238,0.01313,3.27746,-10.858360,0,0,7.196337,6.117034,4.549327,4.410671,0.650624,156.586349,13.252231,10.490792
0.005,0,0,0,0.000000,0,14.927343,10.353584,0.000000,0,0.295494,13.232987,0,0,0,0,10.533325,0,5.630029,5.630029,-1.47975,0.09698,5.628137,-0.074016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.124527,38.510353,83.037140,84.085800,12.504692,0,0,-5.630164,5.630164,3.077682,0,8.444255,14.651196,8.051110,9.879457,8.161080,9.358967,8.370508,8.910145,8.716499,10.459004,10.130915,9.968070,10.368425,11.002907,0,-0.02707,0.00305,-0.02092,-0.01562,0.00771,-0.01744,0.00390,0.00145,3.27776,-10.952844,0,0,7.195872,6.117388,4.552077,4.410758,0.612460,156.369095,13.232987,10.512535
0.006,0,0,0,0.000000,0,14.932076,10.346882,0.000000,0,0.420075,13.213744,0,0,0,0,10.543342,0,5.628821,5.628821,-1.48161,0.09691,5.627369,-0.111181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.535095,39.048866,82.836975,84.265083,12.496643,0,0,-5.628944,5.628944,2.897244,0,8.444410,14.666970,8.049231,9.866703,8.166179,9.351577,8.374942,8.903110,8.715192,10.452172,10.130411,9.964755,10.367709,10.998870,0,-0.01292,0.00479,-0.01909,-0.01353,0.00809,-0.00986,0.00484,-0.00909,3.27759,-11.047327,0,0,7.195407,6.117742,4.554826,4.410844,0.574296,156.151840,13.213744,10.534277
0.007,0,0,0,0.000000,0,14.936808,10.340179,0.000000,0,0.544656,13.194501,0,0,0,0,10.553359,0,5.627614,5.627614,-1.48034,0.09669,5.626601,-0.148347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.945663,39.587376,82.636818,84.444374,12.488594,0,0,-5.627687,5.627687,2.716806,0,8.444566,14.682743,8.047350,9.853950,8.171277,9.344187,8.379375,8.896073,8.713884,10.445341,10.129909,9.961441,10.366993,10.994833,0,-0.01202,0.00123,-0.01938,-0.01081,0.00863,-0.01210,0.00167,0.00075,3.27705,-11.141810,0,0,7.194942,6.118095,4.557575,4.410931,0.536133,155.934586,13.194501,10.556020
0.008,0,0,0,0.000000,0,14.941051,10.331203,0.000000,0,0.626946,13.184528,0,0,0,0,10.558665,0,5.625518,5.625518,-1.48005,0.09673,5.629003,-0.187486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.568314,40.474327,82.274529,84.606140,12.479053,0,0,-5.625581,5.625581,2.513142,0,8.445458,14.695723,8.045559,9.841638,8.172075,9.333137,8.391242,8.886528,8.711911,10.436120,10.130661,9.958380,10.365550,10.990232,0,-0.01882,0.00131,-0.02028,-0.01438,0.00865,-0.01304,0.00493,0.00446,3.27730,-11.243318,0,0,7.194507,6.118527,4.560398,4.411488,0.496476,155.816620,13.184528,10.575998
0.009,0,0,0,0.000000,0,14.944942,10.320580,0.000000,0,0.678611,13.181269,0,0,0,0,10.560562,0,5.622780,5.622780,-1.48026,0.09701,5.633698,-0.228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.620407,41.613602,81.794846,84.755226,12.468434,0,0,-5.623041,5.623041,2.292660,0,8.446884,14.706677,8.043832,9.829646,8.169759,9.319436,8.408491,8.875165,8.709456,10.425168,10.132322,9.955503,10.363583,10.985221,0,-0.00326,0.00244,-0.01971,-0.01280,0.00759,-0.00979,0.00493,0.00191,3.27814,-11.349911,0,0,7.194095,6.119015,4.563273,4.412385,0.455738,155.770569,13.181269,10.594699
