"Time","60 right DS","59 left DS","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","24 toey (cm)","16 Hipy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,1,0,0.000000,0.000000,6.261312,-0.144221,6.318157,5.168022,6.727370,4.996588,7.406049,8.228013,10.193880,0.00002,0.09551,3.27759
0.001,1,0,0.000000,0.000000,6.262384,-0.132670,6.320816,5.172278,6.727835,4.997456,7.404609,8.231290,10.189460,0.00022,0.09540,3.27714
0.002,1,0,0.000000,0.000000,6.263328,-0.159708,6.318161,5.174913,6.728353,4.999413,7.402908,8.232263,10.186338,0.00009,0.09541,3.27708
0.003,1,0,0.000000,0.000000,6.264227,-0.206448,6.312791,5.176721,6.728898,5.001927,7.401075,8.232059,10.183880,0.00015,0.09555,3.27723
0.004,1,0,0.000000,0.000000,6.265151,-0.253188,6.307422,5.178529,6.729443,5.004441,7.399242,8.231855,10.181421,0.00013,0.09557,3.27728
0.005,1,0,0.000000,0.000000,6.266083,-0.299928,6.302052,5.180336,6.729988,5.006956,7.397408,8.231652,10.178963,0.00009,0.09535,3.27728
0.006,1,0,0.000000,0.000000,6.266979,-0.377702,6.303188,5.182175,6.730546,5.008920,7.395492,8.232827,10.177125,0.00000,0.09511,3.27763
0.007,1,0,0.000000,0.000000,6.267863,-0.471321,6.307644,5.184030,6.731112,5.010604,7.393531,8.234705,10.175603,0.00009,0.09525,3.27817
0.008,1,0,0.000000,0.000000,6.268654,-0.564940,6.312100,5.185884,6.731678,5.012288,7.391571,8.236584,10.174082,0.00022,0.09550,3.27780
0.009,1,0,0.000000,0.000000,6.269413,-0.658559,6.316557,5.187738,6.732244,5.013971,7.389611,8.238461,10.172560,0.00007,0.09542,3.27696
0.010,1,0,0.000000,0.000000,6.270086,-0.759178,6.317692,5.189764,6.732749,5.015843,7.388429,8.239534,10.170686,0.00015,0.09510,3.27677
0.011,1,0,0.000000,0.000000,6.270731,-0.863372,6.317131,5.191876,6.733222,5.017809,7.387644,8.240196,10.168632,0.00015,0.09518,3.27692
0.012,1,0,0.000000,0.000000,6.271280,-0.967566,6.316570,5.193988,6.733696,5.019776,7.386859,8.240858,10.166578,0.00009,0.09540,3.27713
0.013,1,0,0.000000,0.000000,6.271795,-1.071760,6.316010,5.196100,6.734169,5.021743,7.386075,8.241520,10.164524,-0.00002,0.09551,3.27736
0.014,1,0,0.000000,0.000000,6.272251,-1.149441,6.314430,5.203888,6.734321,5.021752,7.386082,8.241042,10.160330,0.00015,0.09548,3.27734
0.015,1,0,0.000000,0.000000,6.272687,-1.213586,6.312332,5.214573,6.734308,5.020761,7.386493,8.239983,10.155043,0.00013,0.09518,3.27718
0.016,1,0,0.000000,0.000000,6.273195,-1.277730,6.310233,5.225259,6.734296,5.019770,7.386905,8.238924,10.149756,0.00009,0.09517,3.27708
0.017,1,0,0.000000,0.000000,6.273727,-1.341875,6.308135,5.235945,6.734284,5.018779,7.387316,8.237864,10.144469,0.00009,0.09546,3.27700
0.018,1,0,0.000000,1.911187,6.274383,-1.360900,6.303341,5.245028,6.734386,5.018330,7.388731,8.237519,10.141062,0.00013,0.09558,3.27693
0.019,1,0,0.000000,4.479987,6.275080,-1.356889,6.297171,5.253295,6.734548,5.018157,7.390659,8.237539,10.138614,0.00015,0.09536,3.27685
0.020,1,0,0.000000,5.140322,6.275772,-1.352879,6.291001,5.261561,6.734709,5.017983,7.392588,8.237558,10.136166,0.00009,0.09517,3.27712
0.021,1,0,0.000000,5.143980,6.276462,-1.348868,6.284832,5.269828,6.734870,5.017811,7.394516,8.237577,10.133718,0.00024,0.09537,3.27758
0.022,1,0,0.000000,5.147110,6.277109,-1.291529,6.283760,5.274022,6.734930,5.019515,7.396351,8.238500,10.133225,0.00032,0.09557,3.27769
0.023,1,0,0.000000,5.150057,6.277743,-1.206962,6.285290,5.276136,6.734938,5.022178,7.398139,8.239882,10.133732,0.00015,0.09553,3.27761
0.024,1,0,0.000000,5.152236,6.278597,-1.122396,6.286820,5.278251,6.734945,5.024841,7.399927,8.241264,10.134239,0.00039,0.09540,3.27749
0.025,1,0,0.000000,5.154152,6.279528,-1.037829,6.288351,5.280366,6.734953,5.027503,7.401714,8.242646,10.134746,0.00020,0.09542,3.27734
0.026,1,0,0.000000,5.155325,6.280818,-0.916323,6.287596,5.283155,6.734801,5.028436,7.403710,8.243068,10.134735,0.00015,0.09569,3.27733
0.027,1,0,0.000000,5.156244,6.282233,-0.775957,6.285675,5.286288,6.734569,5.028483,7.405812,8.242999,10.134459,-0.00009,0.09592,3.27741
0.028,1,0,0.000000,5.158084,6.283690,-0.635590,6.283753,5.289422,6.734336,5.028532,7.407914,8.242930,10.134184,-0.00024,0.09586,3.27729
0.029,1,0,0.000000,5.160240,6.285162,-0.495224,6.281831,5.292555,6.734103,5.028580,7.410016,8.242861,10.133909,-0.00009,0.09568,3.27706
0.030,1,0,0.000000,5.164421,6.286367,-0.338758,6.280611,5.299069,6.733886,5.028150,7.410268,8.240814,10.133847,-0.00002,0.09587,3.27693
0.031,1,0,0.000000,5.169298,6.287478,-0.174073,6.279748,5.307309,6.733676,5.027476,7.409576,8.237759,10.133894,0.00000,0.09615,3.27685
0.032,1,0,0.000000,5.172678,6.288437,-0.009388,6.278886,5.315550,6.733466,5.026803,7.408884,8.234702,10.133941,0.00002,0.09609,3.27678
0.033,1,0,0.000000,5.175544,6.289343,0.155297,6.278023,5.323790,6.733257,5.026129,7.408192,8.231646,10.133987,0.00007,0.09593,3.27670
0.034,1,0,0.000000,5.173645,6.290334,0.300447,6.278553,5.323113,6.733066,5.023746,7.406498,8.225336,10.134754,0.00009,0.09616,3.27692
0.035,1,0,0.000000,5.170106,6.291354,0.435623,6.279793,5.317883,6.732885,5.020488,7.404294,8.217364,10.135888,0.00015,0.09643,3.27730
0.036,1,0,0.000000,5.165589,6.292455,0.570799,6.281033,5.312653,6.732704,5.017231,7.402089,8.209394,10.137022,-0.00002,0.09647,3.27739
0.037,1,0,0.000000,5.160735,6.293584,0.705975,6.282273,5.307423,6.732522,5.013974,7.399884,8.201422,10.138156,0.00000,0.09635,3.27731
0.038,1,0,0.000000,5.159379,6.294714,0.798973,6.284800,5.306634,6.732321,5.013673,7.399142,8.201424,10.138426,0.00000,0.09629,3.27738
